AJvRBg,,U2FsaW0gSGFtaWQ=,,,,,TcODwqFxdWluYSBkZSBWZW5kYXMgUXVlYnJhZGE=,,U2FsaW0gSGFtaWQ=
UJvRBg,,W1NhbGltIEhhbWlkXQpTb21lIG1lcmNoYW50cyBwdXQgcG9pbnRzIGluIF4wMDAwRkZMVUteMDAwMDAwIGp1c3QgdG8gbWFrZSB0aGVtc2VsdmVzIG1vcmUgd2VsbC1yb3VuZGVkLiBVc2UgZGlzY3JldGlvbiB3aGVuIGl0IGNvbWVzIHRvIGNvbWJhdCByZWxhdGVkIHN0YXRzLg==,,,,,W1NhbGltIEhhbWlkXQpBbGd1bWFzIHBlc3NvYXMgdGFtYsODwqltIGludmVzdGVtIGVtIF4wMDAwQ0RTT1JeMDAwMDAwIHBhcmEgY29tcGVuc2FyIGFzIGRpZmVyZW50ZXMgZnJhcXVlemFzLiBWb2PDg8KqIHZhaSBkZXNlbnZvbHZlciBhcyBwcsODwrNwcmlhcyBwcmVmZXLDg8KqbmNpYXMgZGUgbHV0YSBjb25mb3JtZSBldm9sdWlyLg==,,W1NhbGltSGFtaWRdCkFsZ3Vub3MgY29tZXJjaWFudGVzIHBvbmVuIHB1bnRvcyBlbiBeRkYwMDAwU1VFXjAwMDAwMCBzb2xvIHBhcmEgZXF1aWxpYnJhcnNlIG1lam9yLiBUZW4gZGlzY3JlY2nDs24gcmVzcGVjdG8gZGUgbGFzIGVzdGFkw61zdGljYXMgcmVsYWNpb25hZGFzIGNvbiBlbCBjb21iYXRlLg==
UZvRBg,,W1NhbGltIEhhbWlkXQpJbnN0ZWFkIG9mIHRyeWluZyB0byBmaWd1cmUgaXQgb3V0IGFsbCBieSB5b3Vyc2VsZiwgaXQgd291bGQgYmUgYSBnb29kIGlkZWEgdG8gZmluZCBvdXQgd2hhdCBvdGhlciwgaGlnaGVyIGxldmVsIG1lcmNoYW50cyBhcmUgZG9pbmcu,,,,,W1NhbGltIEhhbWlkXQpBbMODwqltIGRpc3NvLCB2b2PDg8KqIHRhbWLDg8KpbSBwb2RlIHRlbnRhciBkZXNjb2JyaXIgYXMgY29pc2FzIHBvciBzaSBzw4PCsywgbWFzIHBvZGUgcG91cGFyIHRlbXBvIGZhbGFuZG8gY29tIE1lcmNhZG9yZXMgZGUgbsODwq12ZWlzIG1haW9yZXMgYW8gc2V1IHJlZG9yLg==,,W1NhbGltSGFtaWRdCkVuIHZleiBkZSBpbnRlbnRhciBhdmVyaWd1YXJsbyBwb3IgdHUgY3VlbnRhLCBzZXLDrWEgYnVlbmEgaWRlYSBhdmVyaWd1YXIgcXXDqSBoYWNlbiBvdHJvcyBjb21lcmNpYW50ZXMgZGUgbml2ZWwgbcOhcyBhbHRvLg==
UpvRBg,,W1NhbGltIEhhbWlkXQpBbnkgbW9yZSBxdWVzdGlvbnM/,,,,,W1NhbGltIEhhbWlkXQpNYWlzIGFsZ3VtYSBwZXJndW50YT8=,,W1NhbGltSGFtaWRdCsK/QWxndW5hIG90cmEgcHJlZ3VudGE/
U5vRBg,,W1NhbGltIEhhbWlkXQpDcmFmdGluZy1yZWxhdGVkIHN0YXRzIGFyZSBmYXIgbW9yZSBzaW1wbGUgdGhhbiB0aG9zZSBvZiBjb21iYXQuIEJ1dCBsZXZlbGluZyB0aGVtIHVwIGNhbiBiZSBhIHBhaW4u,,,,,W1NhbGltIEhhbWlkXQpBdHJpYnV0b3MgZGUgY3JpYcODwqfDg8KjbyBzw4PCo28gbWFpcyBzaW1wbGVzIGRvIHF1ZSBvcyBkZSBjb21iYXRlLiBNYXMgc2VyIHVtIE1lcmNhZG9yIGRlZGljYWRvIMODwqAgY3JpYcODwqfDg8KjbyDDg8KpIG11aXRvIG1haXMgZGlmw4PCrWNpbC4=,,W1NhbGltSGFtaWRdCkxhcyBlc3RhZMOtc3RpY2FzIHJlbGFjaW9uYWRhcyBjb24gbGEgZmFicmljYWNpw7NuIHNvbiBtdWNobyBtw6FzIHNlbmNpbGxhcyBxdWUgbGFzIGRlIGNvbWJhdGUuIFBlcm8gc3ViaXJsYXMgZGUgbml2ZWwgcHVlZGUgc2VyIHVuYSBtb2xlc3RpYS4=
VJvRBg,,W1NhbGltIEhhbWlkXQpGb3IgY3JhZnRpbmcsIHlvdSBzaG91bGQgbWFpbmx5IGludmVzdCBpbiBeMDAwMEZGREVYIGFuZCBMVUteMDAwMDAwLiBZb3UgbWF5IGFsc28gaW52ZXN0IGluIF4wMDAwRkZJTlReMDAwMDAwIGlmIHlvdSBoYXZlIHN0YXRzIHRvIHNwYXJlLg==,,,,,W1NhbGltIEhhbWlkXQpFbSBnZXJhbCwgTWVyY2Fkb3JlcyBkZSBjcmlhw4PCp8ODwqNvIGZvY2FtIGVtIF4wMDAwQ0RERVMgZSBTT1JeMDAwMDAwLCBlIGludmVzdGVtIHBvbnRvcyBzb2JyZXNzYWxlbnRlcyBlbSBeMDAwMENESU5UXjAwMDAwMC4=,,W1NhbGltSGFtaWRdClBhcmEgZmFicmljYXIsIGRlYmVyw61hcyBpbnZlcnRpciBwcmluY2lwYWxtZW50ZSBlbiBeRkYwMDAwREVTIHkgU1VFXjAwMDAwMC4gVGFtYmnDqW4gcHVlZGVzIGludmVydGlyIGVuIF5GRjAwMDBJTlReMDAwMDAwIHNpIHRlIHNvYnJhbiBlc3RhZMOtc3RpY2FzLg==
VZvRBg,,W1NhbGltIEhhbWlkXQpUaGUgZXhhY3QgcmF0aW8gb2Ygc3RhdCBpbnZlc3RtZW50IG1heSB2YXJ5LCBkZXBlbmRpbmcgb24geW91ciBzaXR1YXRpb24gYW5kIGVxdWlwbWVudC4=,,,,,W1NhbGltIEhhbWlkXQpBIHByb3BvcsODwqfDg8KjbyBkZSBkaXN0cmlidWnDg8Knw4PCo28gZGVsZXMgZGVwZW5kZSBkbyBzZXUgZXF1aXBhbWVudG8gZSBkYSBzdWEgc2l0dWHDg8Knw4PCo28sIMODwqkgY2xhcm8u,,W1NhbGltSGFtaWRdCkxhIHByb3BvcmNpw7NuIGV4YWN0YSBkZSBsYSBpbnZlcnNpw7NuIGRlIGVzdGFkw61zdGljYXMgcHVlZGUgdmFyaWFyIGVuIGZ1bmNpw7NuIGRlIHR1IHNpdHVhY2nDs24geSB0dSBlcXVpcGFtaWVudG8u
VpvRBg,,W1NhbGltIEhhbWlkXQpLZWVwIGluIG1pbmQgdGhhdCB3YWxraW5nIHRoZSBwYXRoIG9mIGEgY3JhZnRpbmcgbWVyY2hhbnQgY2FuIGJlIHRlZGlvdXMgYW5kIGV4aGF1c3Rpbmcu,,,,,W1NhbGltIEhhbWlkXQpPIHF1ZSB2b2PDg8KqIGRldmUgbGVtYnJhciDDg8KpIHF1ZSwgY29tbyBldSBmYWxlaSBhbnRlcywgc2VyIHVtIE1lcmNhZG9yIGRlZGljYWRvIMODwqAgY3JpYcODwqfDg8KjbyBwb2RlIHNlciBleHRyZW1hbWVudGUgdGVkaW9zbyBlIGRpZsODwq1jaWwu,,W1NhbGltSGFtaWRdClRlbiBlbiBjdWVudGEgcXVlIHJlY29ycmVyIGVsIGNhbWlubyBkZWwgZmFicmljYW50ZSBwdWVkZSBzZXIgdGVkaW9zbyB5IGFnb3RhZG9yLg==
V5vRBg,,W1NhbGltIEhhbWlkXQpZb3Ugc2hvdWxkIHRha2UgYWR2YW50YWdlIG9mIHlvdXIgbW9uZXkgYW5kIGNvbm5lY3Rpb25zIGFzIG11Y2ggYXMgcG9zc2libGUuIFdlbGwsIHRoYXQncyBqdXN0IG15IG9waW5pb24uIERvbid0IHRha2UgaXQgYXMgdGhlIG9mZmljaWFsIG9waW5pb24gb2YgQ3JpYXR1cmEgQWNhZGVteSBvciBhbnl0aGluZywgaGVoZS4=,,,,,W1NhbGltIEhhbWlkXQpTdWdpcm8gcXVlIHZvY8ODwqogdXNlIG3Dg8KheGltbyBkZSBkaW5oZWlybyBlIGFqdWRhIHBvc3PDg8KtdmVsIHBhcmEgc3ViaXIgZGUgbsODwq12ZWwgcmFwaWRhbWVudGUuIENsYXJvLCBlc3NhIMODwqkgc8ODwrMgYSBtaW5oYSBvcGluacODwqNvIHBlc3NvYWw7IG7Dg8KjbyDDg8KpIGEgcG9zacODwqfDg8KjbyBvZmljaWFsIGRhIEFjYWRlbWlhLiBIb2hvaG8h,,W1NhbGltSGFtaWRdCkRlYmVzIGFwcm92ZWNoYXIgYWwgbcOheGltbyB0dSBkaW5lcm8geSB0dXMgY29udGFjdG9zLiBQZXJvIGVzbyBubyBlcyBtw6FzIHF1ZSBtaSBvcGluacOzbi4gTm8gdGUgbG8gdG9tZXMgY29tbyBsYSBvcGluacOzbiBvZmljaWFsIGRlIGxhIEFjYWRlbWlhIENyaWF0dXJhIG5pIG5hZGEgcG9yIGVsIGVzdGlsbywgamUsIGplLg==
WJvRBg,,W1NhbGltIEhhbWlkXQpUaGF0J3MgYWJvdXQgaXQuIENvbWUgdGFsayB0byBtZSBpZiB5b3UgaGF2ZSBhbnkgb3RoZXIgcXVlc3Rpb25zIGFib3V0IG1lcmNoYW50cy4=,,,,,W1NhbGltIEhhbWlkXQpFbnTDg8KjbyBwb2RlbW9zIGVuY2VycmFyIHBvciBob2plLiBTZSB0aXZlciBtYWlzIHBlcmd1bnRhcyBzb2JyZSBNZXJjYWRvcmVzLCBzaW50YS1zZSDDg8KgIHZvbnRhZGUgcGFyYSB2b2x0YXIu,,W1NhbGltSGFtaWRdCkVzbyBlcyB0b2RvLiBWZW4gYSBoYWJsYXIgY29ubWlnbyBzaSB0aWVuZXMgYWxndW5hIG90cmEgcHJlZ3VudGEgc29icmUgbG9zIGNvbWVyY2lhbnRlcy4=
WZvRBg,,W1NhbGltIEhhbWlkXQpZb3UncmUgYmFjaywge30uIFdhbnQgdG8gZ2V0IHNvbWUgcHJhY3RpY2Ugb3V0IGluIHRoZSBmaWVsZCBieSBydW5uaW5nIHNvbWUgc2ltcGxlIGVycmFuZHM/,,,,,W1NhbGltIEhhbWlkXQpPbMODwqEgZGUgbm92bywge30uIERlc3NhIHZleiwgcXVlcm8gdGUgbWFuZGFyIHBhcmEgdW1hIHRhcmVmYSBjb21vIGV4ZXJjw4PCrWNpby4=,,W1NhbGltSGFtaWRdClZvbHZpc3RlLCB7fS4gwr9RdWllcmVzIGhhY2VyIGFsZ28gZGUgcHLDoWN0aWNhIGRlIGNhbXBvIGNvbiBhbGd1bm9zIHJlY2Fkb3Mgc2ltcGxlcz8=
WpvRBg,,W1NhbGltIEhhbWlkXQpTZWUgdGhhdCBub2lzeSB2ZW5kaW5nIG1hY2hpbmU/IFRoYXQgdGhpbmcgdXNlZCB0byBzZWxsIGJldmVyYWdlcywgYnV0IGl0IHdvdWxkIGFsd2F5cyBqdXN0IGdvYmJsZSB1cCB5b3VyIG1vbmV5Li4u,,,,,W1NhbGltIEhhbWlkXQpUw4PCoSB2ZW5kbyBhcXVlbGEgbcODwqFxdWluYSBkZSB2ZW5kYXMgYmFydWxoZW50YSBubyBjYW50byBkZXNzYSBzYWxhIGRlIGF1bGE/IEVsYSBjb3N0dW1hdmEgdmVuZGVyIGJlYmlkYXMsIG1hcyBlc3TDg8KhIGVuZ29saW5kbyBvIGRpbmhlaXJvLi4u,,W1NhbGltSGFtaWRdCsK/VmVzIGVzYSBtw6FxdWluYSBleHBlbmRlZG9yYSBydWlkb3NhPyBFc2EgY29zYSBzb2zDrWEgdmVuZGVyIGJlYmlkYXMsIHBlcm8gc2llbXByZSBzZSB0cmFnYWJhIGVsIGRpbmVyb+KApg==
W5vRBg,,W1NhbGltIEhhbWlkXQpUaGF0J3Mgd2h5IHN0dWRlbnRzIHVzZSBpdCB0byBwcmFjdGljZSB0aGVpciBza2lsbHMuIEdvIGZpbmQgb3V0IHRoZSBwcmljZXMgb2YgR2FybGV0IGFuZCBaYXJnb24gZnJvbSB0aGUgdmVuZGluZyBtYWNoaW5lLg==,,,,,W1NhbGltIEhhbWlkXQpFbmZpbSwgcG9yIGNhdXNhIGRpc3NvLCBlc3TDg8KhIHNlbmRvIHVzYWRhIHBvciBhbHVub3MgcGFyYSBwcmF0aWNhciBhcyBoYWJpbGlkYWRlcy4gUXVlcm8gcXVlIHZvY8ODwqogZGVzY3VicmEgb3MgcHJlw4PCp29zIGRhcyBHYXJsZXRhcyBlIFphcmfDg8K0bmlvcyB2ZW5kaWRvcyBwb3IgYXF1ZWxhIG3Dg8KhcXVpbmEu,,W1NhbGltSGFtaWRdClBvciBlc28gbG9zIGVzdHVkaWFudGVzIGxhIHVzYW4gcGFyYSBwcmFjdGljYXIgc3VzIGhhYmlsaWRhZGVzLiBBdmVyaWd1YSBsb3MgcHJlY2lvcyBkZSBHYXJsZXQgeSBaYXJnw7NuIGRlIGxhIG3DoXF1aW5hIGV4cGVuZGVkb3JhLg==
XJvRBg,,W1NhbGltIEhhbWlkXQpXYWl0LCB0aGVyZSdzIG1vcmUhCllvdSBoYXZlIHRvIF4wMDAwRkZlcXVpcCB0aGUgTWVyY2hhbnQgTWFudWFsLCBhbmQgZmluZCB0aGUgZGlzY291bnRlZCBwcmljZV4wMDAwMDAu,,,,,W1NhbGltIEhhbWlkXQpFaXMgbyBwcm9ibGVtYS4KRXUgbsODwqNvIHF1ZXJvIG9zIHByZcODwqdvcyBkZSB2YXJlam8uIEVxdWlwZSBvIHNldSBeMDAwMENETWFudWFsIGRvIE1lcmNhZG9yIGUgZGVzY3VicmEgb3MgcHJlw4PCp29zIGRlIGF0YWNhZG9eMDAwMDAwLg==,,W1NhbGltSGFtaWRdCsKhRXNwZXJhLCBoYXkgbcOhcyEKVGllbmVzIHF1ZSBeRkYwMDAwZXF1aXBhciBlbCBNYW51YWwgZGVsIENvbWVyY2lhbnRlIHkgYnVzY2FyIGVsIHByZWNpbyBjb24gZGVzY3VlbnRvXjAwMDAwMC4=
XZvRBg,,W1NhbGltIEhhbWlkXQpEb24ndCBib3RoZXIgYnV5aW5nIGFueXRoaW5nLiBBbGwgeW91IGhhdmUgdG8gZG8gaXMgZ28gZmluZCB0aGUgZGlzY291bnRlZCBwcmljZXMsIG9rYXk/,,,,,W1NhbGltIEhhbWlkXQpFdSBuw4PCo28gcXVlcm8gcXVlIHZvY8ODwqogY29tcHJlIG9zIGl0ZW5zIGRlIHZlcmRhZGUuIEV1IHPDg8KzIHF1ZXJvIHNhYmVyIG9zIHByZcODwqdvcy4gQ29uc2VndWUgZmF6ZXIgaXNzbz8=,,W1NhbGltSGFtaWRdCk5vIHRlIG1vbGVzdGVzIGVuIGNvbXByYXIgbmFkYS4gVG9kbyBsbyBxdWUgdGllbmVzIHF1ZSBoYWNlciBlcyBpciBhIGF2ZXJpZ3VhciBsb3MgcHJlY2lvcyByZWJhamFkb3MsIMK/c8OtPw==
XpvRBg,,TWF5YmUgbmV4dCB0aW1lLg==,,,,,VGFsdmV6IGRlcG9pcy4=,,UXVpesOhIGxhIHByw7N4aW1hIHZlei4=
X5vRBg,,QWxsIHJpZ2h0Lg==,,,,,Vm91IHRlbnRhci4=,,RGUgYWN1ZXJkby4=
YJvRBg,,W1NhbGltIEhhbWlkXQpTdWl0IHlvdXJzZWxmLg==,,,,,W1NhbGltIEhhbWlkXQpTZW0gcHJvYmxlbWEuIFPDg8KzIHZvbHRlIGRlcG9pcy4=,,W1NhbGltSGFtaWRdCkNvbW8gcXVpZXJhcy4=
YZvRBg,,W1NhbGltIEhhbWlkXQpBbGwgcmlnaHQuIEdvb2QgbHVjay4=,,,,,W1NhbGltIEhhbWlkXQpDZXJ0bywgcG9kZSBpciE=,,W1NhbGltSGFtaWRdCkRlIGFjdWVyZG8uIEJ1ZW5hIHN1ZXJ0ZS4=
YpvRBg,,W1NhbGltIEhhbWlkXQpEaWQgeW91IGZpbmQgb3V0IHRoZSBwcmljZXM/,,,,,W1NhbGltIEhhbWlkXQpUw4PCoSBiZW0sIG1lIGRpZ2EgcXVhaXMgcHJlw4PCp29zIHZvY8ODwqogY29uc2VndWl1Lg==,,W1NhbGltSGFtaWRdCsK/QXZlcmlndWFzdGUgbG9zIHByZWNpb3M/
Y5vRBg,,SSB3aWxsIGdvIGZpbmQgb3V0IGFnYWluLg==,,,,,RGVpeGUtbWUgY29uZmVyaXIgbm92YW1lbnRlLg==,,SXLDqSBhIGF2ZXJpZ3VhcmxvcyBkZSBudWV2by4=
ZJvRBg,,R2FybGV0IDI5IHplbnksIFphcmdvbiAzNTUgemVueS4=,,,,,R2FybGV0YTogMjkgWiwgWmFyZ8ODwrRuaW9zOiAzNTUgWg==,,R2FybGV0OjI5emVueSwgWmFyZ8OzbjozNTV6ZW55Lg==
ZZvRBg,,R2FybGV0IDI3IHplbnksIFphcmdvbiAzNDIgemVueS4=,,,,,R2FybGV0YTogMjcgWiwgWmFyZ8ODwrRuaW9zOiAzNDIgWg==,,R2FybGV0OjI3emVueSwgWmFyZ8OzbjozNDJ6ZW55Lg==
ZpvRBg,,R2FybGV0IDI3IHplbnksIFphcmdvbiAzMzQgemVueS4=,,,,,R2FybGV0YTogMjcgWiwgWmFyZ8ODwrRuaW9zOiAzMzQgWg==,,R2FybGV0OjI3emVueSwgWmFyZ8OzbjozMzR6ZW55Lg==
Z5vRBg,,R2FybGV0IDI3IHplbnksIFphcmdvbiAzMzAgemVueS4=,,,,,R2FybGV0YTogMjcgWiwgWmFyZ8ODwrRuaW9zOiAzMzAgWg==,,R2FybGV0OjI3emVueSwgWmFyZ8OzbjozMzB6ZW55Lg==
aJvRBg,,W1NhbGltIEhhbWlkXQpBbGwgcmlnaHQuIENvbWUgYmFjayBvbmNlIHlvdSd2ZSBmb3VuZCBvdXQu,,,,,W1NhbGltIEhhbWlkXQpTZW0gcHJvYmxlbWEuIE7Dg8KjbyBzZSBhcHJlc3NlLg==,,W1NhbGltSGFtaWRdCkRlIGFjdWVyZG8uIFZ1ZWx2ZSBjdWFuZG8gbG9zIGF2ZXJpZ8O8ZXMu
aZvRBg,,W1NhbGltIEhhbWlkXQpPaCwgeW91J3ZlIGVxdWlwcGVkIHRoZSBtYW51YWwgYW5kIGZvdW5kIG91dCB0aGUgZGlzY291bnRlZCBwcmljZSwganVzdCBsaWtlIEkgdG9sZCB5b3Uu,,,,,W1NhbGltIEhhbWlkXQpPaCwgdm9jw4PCqiBlcXVpcG91IG8gTWFudWFsIGRvIE1lcmNhZG9yIGUgY29uc2VndWl1IG9zIHByZcODwqdvcyBjZXJ0b3Mu,,W1NhbGltSGFtaWRdCkFoLCBlcXVpcGFzdGUgZWwgbWFudWFsIHkgYXZlcmlndWFzdGUgZWwgcHJlY2lvIGNvbiBkZXNjdWVudG8sIHRhbCBjb21vIGxvIHBlZMOtLg==
apvRBg,,W1NhbGltIEhhbWlkXQpJZiB5b3UgYmVjb21lIGEgaGlnaC1sZXZlbCBtZXJjaGFudCwgeW91IHdpbGwgYmUgYWJsZSB0byBwdXJjaGFzZSB0aGluZ3MgYXQgZXZlbiBsb3dlciBwcmljZXMgd2l0aCBhIGhpZ2gtbGV2ZWwgRGlzY291bnQgc2tpbGwu,,,,,W1NhbGltIEhhbWlkXQpTZSB2b2PDg8KqIHNlIHRvcm5hciB1bSBNZXJjYWRvciBlIGF1bWVudGFyIG8gc2V1IG7Dg8KtdmVsIGRlIERlc2NvbnRvLCBwb2RlIGNvbnNlZ3VpciBkZXNjb250b3MgbWFpb3Jlcy4=,,W1NhbGltSGFtaWRdClNpIHRlIGNvbnZpZXJ0ZXMgZW4gY29tZXJjaWFudGUgZGUgYWx0byBuaXZlbCwgcG9kcsOhcyBjb21wcmFyIGNvc2FzIGEgcHJlY2lvcyBhw7puIG3DoXMgYmFqb3Mgc3ViaWVuZG8gZGUgbml2ZWwgbGEgaGFiaWxpZGFkIERlc2N1ZW50by4=
a5vRBg,,W1NhbGltIEhhbWlkXQpUaGUgc2FtZSBnb2VzIGZvciBPdmVyY2hhcmdlLiBZb3UnbGwgYmUgYWJsZSB0byBzZWxsIGFsbCB0aGUgbG9vdCB5b3UgY29sbGVjdGVkIHdoaWxlIGh1bnRpbmcgYXQgYW4gZXZlbiBoaWdoZXIgcHJpY2Uu,,,,,W1NhbGltIEhhbWlkXQpTdXBlcmZhdHVyYXIgZnVuY2lvbmEgZGEgbWVzbWEgbWFuZWlyYSBxdWUgbyBEZXNjb250bywgbWFzIGFvIGNvbnRyw4PCoXJpby4gVm9jw4PCqiBwb2RlIHZlbmRlciBvIHF1ZSBnYW5oYSBjb20gbW9uc3Ryb3MgcGFyYSBsb2phcyBwb3IgdW0gcHJlw4PCp28gYWx0by4=,,W1NhbGltSGFtaWRdCkxvIG1pc21vIG9jdXJyZSBjb24gU29icmVjb3N0by4gUG9kcsOhcyB2ZW5kZXIgdG9kbyBlbCBib3TDrW4gcmVjb2xlY3RhZG8gZGUgdHVzIGNhY2Vyw61hcyBhIHVuIHByZWNpbyBhw7puIG1heW9yLg==
bJvRBg,,W1NhbGltIEhhbWlkXQpUaGVyZSdzIG5vIG5lZWQgdG8gcHJhY3RpY2UgdXNpbmcgT3ZlcmNoYXJnZS4gQXMgeW91IHByb2dyZXNzIGluIHlvdXIgdHJhaW5pbmcgYW5kIHNlbGwgeW91ciBsb290LCB5b3UnbGwganVzdCBmZWVsIHlvdXIgcHVyc2UgZ2V0IGEgbGl0dGxlIGhlYXZpZXIgdGhhbiBleHBlY3RlZCwgaWYgeW91IGtub3cgd2hhdCBJIG1lYW4uLi4=,,,,,W1NhbGltIEhhbWlkXQpOw4PCo28gYWNobyBxdWUgcHJlY2lzYW1vcyBwcmF0aWNhciBTdXBlcmZhdHVyYXIuIFZvY8ODwqogcG9kZSB2aXZlbmNpYXIgaXNzbyBwb3IgY29udGEgcHLDg8KzcHJpYSB2ZW5kZW5kbyBpdGVucyBvYnRpZG9zIGR1cmFudGUgb3V0cmFzIGF1bGFzIG5hIEFjYWRlbWlhLg==,,W1NhbGltSGFtaWRdCk5vIG5lY2VzaXRhcyBwb25lciBlbiBwcsOhY3RpY2EgbGEgaGFiaWxpZGFkIFNvYnJlY29zdG8uIEEgbWVkaWRhIHF1ZSBhdmFuY2VzIGVuIHR1IGVudHJlbmFtaWVudG8geSB2ZW5kYXMgdHUgYm90w61uLCBzZW50aXLDoXMgcXVlIGVsIG1vbmVkZXJvIHRlIHBlc2EgdW4gcG9jbyBtw6FzIGRlIGxvIHF1ZSBlc3BlcmFiYXMsIHNpIGVudGllbmRlcyBhIHF1w6kgbWUgcmVmaWVyb+KApg==
bZvRBg,,W1NhbGltIEhhbWlkXQpXZWxsLCB5b3UndmUgbm93IGNvbXBsZXRlZCB0aGUgTWVyY2hhbnQgQ291cnNlLiA=,,,,,W1NhbGltIEhhbWlkXQpJc3NvIGNvbmNsdWkgbyBzZXUgY3Vyc28gZGUgTWVyY2Fkb3IgbmEgQWNhZGVtaWEu,,W1NhbGltSGFtaWRdCkJpZW4sIHlhIGNvbXBsZXRhc3RlIGVsIEN1cnNvIGRlIENvbWVyY2lhbnRlLiA=
bpvRBg,,W1NhbGltIEhhbWlkXQpBcmUgeW91IHN1cmUgeW91IGdvdCB0aGUgcmlnaHQgcHJpY2UsIHt9Pw==,,,,,W1NhbGltIEhhbWlkXQpUZW0gY2VydGV6YSBkZSBxdWUgY29uZmVyaXUgb3MgcHJlw4PCp29zLCB7fT8=,,W1NhbGltSGFtaWRdCsK/RW4gc2VyaW8gZXMgZXNlIGVsIHByZWNpbyBjb3JyZWN0bywge30/
b5vRBg,,W1NhbGltIEhhbWlkXQpIYWhhLCB5b3UndmUgYWxyZWFkeSBjb21wbGV0ZWQgdGhlIENyaWF0dXJhIEFjYWRlbXkgTWVyY2hhbnQgQ291cnNlLCB7fS4=,,,,,W1NhbGltIEhhbWlkXQpIYWhhLiB7fSwgdm9jw4PCqiBjb21wbGV0b3UgbyBjdXJzbyBkZSB0ZW9yaWEgZGUgTWVyY2Fkb3IgZGEgQWNhZGVtaWEgQ3JpYXR1cmEu,,W1NhbGltSGFtaWRdCkphLCBqYSwgeWEgY29tcGxldGFzdGUgZWwgQ3Vyc28gZGUgQ29tZXJjaWFudGUgZGUgbGEgQWNhZGVtaWEgQ3JpYXR1cmEsIHt9Lg==
cJvRBg,,W1NhbGltIEhhbWlkXQpHbyB0YWxrIHRvIDxOQVZJPltCYXR0bGUgSW5zdHJ1Y3RvciBTcGlub108SU5GTz5pel9hYzAxLDU5LDgzPC9JTkZPPjwvTkFWST4gb24gdGhlIDFzdCBmbG9vciBpZiB5b3Ugd2FudCB0byB0cnkgb3V0IG90aGVyIGNvbWJhdCBza2lsbHMgaW4gdGhlIE1lcmNoYW50IE1hbnVhbC4=,,,,,W1NhbGltIEhhbWlkXQpTZSBxdWlzZXIgdGVzdGFyIGFzIHN1YXMgaGFiaWxpZGFkZXMgZGUgY29tYmF0ZSBubyBzZXUgTWFudWFsIGRvIE1lcmNhZG9yLCBwb3IgZmF2b3IsIHbDg8KhIGF0w4PCqSBvIDxOQVZJPltJbnN0cnV0b3IgZGUgQ29tYmF0ZSBTdmVub108SU5GTz5pel9hYzAxNTksODM8L0lORk8+PC9OQVZJPiBubyAxw4LCuiBhbmRhci4=,,W1NhbGltSGFtaWRdClZlIGEgaGFibGFyIGNvbiBlbCA8TkFWST5bSW5zdHJ1Y3RvciBTcGlub108SU5GTz5pel9hYzAxLDU5LDgzPC9JTkZPPjwvTkFWST4gZW4gZWwgcHJpbWVyIHBpc28gc2kgcXVpZXJlcyBwcm9iYXIgb3RyYXMgaGFiaWxpZGFkZXMgZGUgY29tYmF0ZSBkZWwgTWFudWFsIGRlbCBDb21lcmNpYW50ZS4=
cZvRBg,,W1NhbGltIEhhbWlkXQpZb3Ugd2lsbCBiZSBhYmxlIHRvIGxlYXJuIGFsbCBzb3J0cyBvZiBjb21iYXQtcmVsYXRlZCB0aGluZ3MgZnJvbSBoaW0u,,,,,W1NhbGltIEhhbWlkXQpFbGUgcG9kZSB0ZSBhanVkYXIgYSB1c8ODwqEtbGFzLg==,,W1NhbGltSGFtaWRdCkRlIMOpbCBhcHJlbmRlcsOhcyB0b2RvIHRpcG8gZGUgY29zYXMgcmVsYWNpb25hZGFzIGNvbiBlbCBjb21iYXRlLg==
cpvRBg,,W1NhbGltIEhhbWlkXQpPbmNlIHlvdSByZWFjaCBKb2IgTGV2ZWwgMTAsIEknbGwgdGVsbCB5b3Ugd2hlcmUgdG8gZ28gZnJvbSB0aGVyZSwge30uIEdvb2QgbHVjay4=,,,,,W1NhbGltIEhhbWlkXQpQYXJhIG91dHJhcyBpbmZvcm1hw4PCp8ODwrVlcyBkYSBjbGFzc2UsIGV1IGRpcmVpIHF1YW5kbyB2b2PDg8KqIGF0aW5naXIgbyBOw4PCrXZlbCBkZSBDbGFzc2UgMTAsIHt9LiBBdMODwqkgbMODwqEsIGNvbnRpbnVlIGNvbSBvIGJvbSB0cmFiYWxoby4=,,W1NhbGltSGFtaWRdClVuYSB2ZXogcXVlIGFsY2FuY2VzIGVsIG5pdmVsIGRlIGNsYXNlMTAsIHRlIGRpcsOpIGTDs25kZSBpciBhIHBhcnRpciBkZSBhaMOtLCB7fS4gQnVlbmEgc3VlcnRlLg==
c5vRBg,,U3Rld2FyZCBBeWRpbg==,,,,,TW9yZG9tbyBBaWRpbg==,,U3Rld2FyZCBBeWRpbg==
