QIIcAw,,TmluamEgVHJhaW5lcg==,,,,,SG9ubw==,,SG9ubw==
mYIcAw,,W0hvbm8tb2hdCldoaWNoIG9mIHRoZSBmb2xsb3dpbmcgTmluanV0c3Ugc2tpbGxzCmlzIG9mIHRoZSBXaW5kIHR5cGU/,,,,,W0hvbm9dClF1YWwgZGFzIHByw7N4aW1hcyBIYWJpbGlkYWRlcyBOaW5qYQp0ZW0gcHJvcHJpZWRhZGUgVmVudG8/,,W0hvbm9dCsK/Q3XDoWwgZGUgbGFzIHNpZ3VpZW50ZXMgaGFiaWxpZGFkZXMgZGUgTmluamEKdGllbmUgbGEgcHJvcGllZGFkIFZpZW50bz8=
moIcAw,,TGlnaHRuaW5nIEpvbHQ=,,,,,RGVzY2FyZ2EgRWzDqXRyaWNh,,RGVzY2FyZ2EgcmVsw6FtcGFnby4=
m4IcAw,,W0hvbm8tb2hdCldoaWNoIG9mIHRoZSBmb2xsb3dpbmcgc2tpbGxzIGlzIG5vdCByZWxhdGVkIHRvIGEgcHJlcmVxdWlzaXRlIHNraWxsPw==,,,,,W0hvbm9dClF1YWwgZGFzIEhhYmlsaWRhZGVzIGEgc2VndWlyIG7Do28gbmVjZXNzaXRhIGRlIHVtYSBhbnRlcmlvcj8=,,W0hvbm9dCsK/Q3XDoWwgZGUgbGFzIHNpZ3VpZW50ZXMgaGFiaWxpZGFkZXMgbm8gcmVxdWllcmUgdW5hIGhhYmlsaWRhZCBwcmV2aWE/
nIIcAw,,W0hvbm8tb2hdCldoaWNoIHNraWxsIHJlcXVpcmVzIGFuIGl0ZW0gdG8gY2FzdD8=,,,,,W0hvbm9dClF1YWwgZGVzc2FzIEhhYmlsaWRhZGVzIHByZWNpc2EgZGUgdW0gaXRlbSBwYXJhIHNlciB1c2FkYT8=,,W0hvbm9dCsK/UXXDqSBoYWJpbGlkYWQgcmVxdWllcmUgdW4gb2JqZXRvIHBhcmEgc2VyIGxhbnphZGE/
nYIcAw,,W0hvbm8tb2hdCldoYXQgaXMgdGhlIHJhbmdlIG9mIFdhdGVyeSBFdmFzaW9uIExldmVsIDEwPw==,,,,,W0hvbm9dClF1YWwgbyBhbGNhbmNlIGRhIEV2YXPDo28gQXF1w6F0aWNhIG5vIE7DrXZlbCAxMD8=,,W0hvbm9dCsK/Q3XDoWwgZXMgZWwgYWxjYW5jZSBkZSBFdmFzacOzbiBhY3XDoXRpY2EgZW4gZWwgbml2ZWwgMTA/
noIcAw,,NSBYIDU=,,,,,NXg1IGPDqWx1bGFz,,NXg1Y2VsZGFzLg==
n4IcAw,,NyBYIDc=,,,,,N3g3IGPDqWx1bGFz,,N3g3Y2VsZGFzLg==
oIIcAw,,OSBYIDk=,,,,,OXg5IGPDqWx1bGFz,,OXg5Y2VsZGFzLg==
oYIcAw,,W0hvbm8tb2hdClRoYXQgY29uY2x1ZGVzIGFsbCB0aGUgcXVlc3Rpb25zIQ==,,,,,W0hvbm9dCkUuLi4gRmltIGRhcyBwZXJndW50YXMh,,W0hvbm9dClkuLi4gwqFTZSBhY2FiYXJvbiBsYXMgcHJlZ3VudGFzIQ==
ooIcAw,,QWx0aG91Z2ggdGhlcmUgd2VyZSBzb21lIGRpZmZpY3VsdCBxdWVzdGlvbnMsCnlvdSBtYW5hZ2VkIHRvIGFuc3dlciBhbGwgb2YgdGhlbSBjb3JyZWN0bHkuIFdlbGwgZG9uZSE=,,,,,TWVzbW8gY29tIGFsZ3VtcyBkaWbDrWNlaXMsIHZvY8OqIApjb25zZWd1aXUgc2Ugc2FpciBiZW0uIEJvbSB0cmFiYWxobyE=,,SW5jbHVzbyBjb24gYWxndW5hcyBkaWbDrWNpbGVzLCAKbG9ncmFzdGUgaGFjZXJsbyBiaWVuLiDCoUJpZW4gaGVjaG8h
o4IcAw,,W0hvbm8tb2hdCklmIHlvdSBrbm93IHRoaXMgbXVjaCwKSSBoYXZlIG5vdGhpbmcgbW9yZSB0byB0ZWFjaCB5b3UKYWJvdXQgTmluamEgc2tpbGxzLgpJdCdzIHRpbWUgZm9yIHlvdSB0byBnbyB3aWxkLCByZWNydWl0IQ==,,,,,W0hvbm9dClNhYmVuZG8gZGUgdHVkbyBpc3NvLApuw6NvIGjDoSBtYWlzIG5hZGEgbWFpcyBwYXJhCnRlIGVuc2luYXIgc29icmUgYXMgSGFiaWxpZGFkZXMgTmluamEuCkhvcmEgZGUgY2FpciBubyBtdW5kbyE=,,W0hvbm9dClNpIHNhYmVzIHRvZG8gZXN0bywKbm8gaGF5IG5hZGEgbcOhcyBxdWUKZW5zZcOxYXJ0ZSBzb2JyZSBsYXMgaGFiaWxpZGFkZXMgZGUgTmluamEuCsKhRXMgaG9yYSBkZSBzYWxpciBhbCBtdW5kbyE=
pIIcAw,,Tm90IGVub3VnaCwgbm90IGVub3VnaCEKU2VlbXMgbGlrZSB5b3UgbmVlZCB0bwpzdHVkeSBOaW5qYSBza2lsbHMgZnVydGhlci4=,,,,,SG0uLi4KQWNyZWRpdG8gcXVlIHByZWNpc2UgZXN0dWRhciB1bSBwb3VjbyBtYWlzCnNvYnJlIEhhYmlsaWRhZGVzIE5pbmphLg==,,TW0uLi4KQ3JlbyBxdWUgbmVjZXNpdGFzIGVzdHVkaWFyIHVuIHBvY28gbcOhcwpzb2JyZSBsYXMgaGFiaWxpZGFkZXMgZGUgTmluamEu
pYIcAw,,W0hvbm8tb2hdCk9wZW4gdGhlIFNraWxsIHdpbmRvdyBhbmQgbW92ZSB5b3VyIGN1cnNvciB0byBhIHNraWxsCnRvIGxlYXJuIG1vcmUgYWJvdXQgaXQuCkdvIHN0dWR5IHRoZSBza2lsbHMgY2FyZWZ1bGx5IGFuZApjb21lIGJhY2suCk1ha2Ugc3VyZSB0byByZXZpZXcsIGFuZCB0aGVuIHJldmlldyBhZ2Fpbi4=,,,,,W0hvbm9dClBvZGUgY29uc2VndWlyIG1haXMgaW5mb3JtYcOnw7VlcwphYnJpbmRvIGEgamFuZWxhIGRlIEhhYmlsaWRhZGVzLgpEw6ogdW1hIG9saGFkYSBwb3IgbMOhIGUKdm9sdGUgYXF1aSBkZXBvaXMuClZlamEsIHJldmlzZSBlIHByYXRpcXVlIQ==,,W0hvbm9dClB1ZWRlcyBvYnRlbmVyIG3DoXMgaW5mb3JtYWNpw7NuCmFicmllbmRvIGxhIHZlbnRhbmEgZGUgSGFiaWxpZGFkZXMuCkVjaGEgdW4gdmlzdGF6byB5CnZ1ZWx2ZSBtw6FzIHRhcmRlLgrCoU9ic2VydmEsIHJlcGFzYSB5IHByYWN0aWNhIQ==
poIcAw,,W0hvbm8tb2hdCk5pbmphIHNraWxscyBtYXkgYmUgZGl2aWRlZCBpbnRvCnRocmVlIGdyb3Vwcy4KUGh5c2ljYWwgYXR0YWNrcyBhZmZlY3RlZCBieSBTVFIsCk5pbmp1dHN1IGF0dGFja3MgYWZmZWN0ZWQgYnkgSU5ULAphbmQgZmluYWxseSwgc3BlY2lhbCBza2lsbHMgY2FsbGVkCkRlY2VwdGlvbiBza2lsbHMu,,,,,W0hvbm9dCkhhYmlsaWRhZGVzIE5pbmphIHBvZGVtIHNlciBkaXZpZGlkYXMKZW0gdHLDqnMgY2F0ZWdvcmlhcyBwcmluY2lwYWlzLgpGT1IgYWZldGEgSGFiaWxpZGFkZXMgRsOtc2ljYXMgZQpJTlQgYWZldGEgSGFiaWxpZGFkZXMgZGUgbWFlc3RyaWEgTmluamEuClRhbWLDqW0gdGVtb3MgSGFiaWxpZGFkZXMgcXVlCmZ1bmNpb25hbSBkZSBmb3JtYSBlc3BlY2lhbC4=,,W0hvbm9dCkxhcyBoYWJpbGlkYWRlcyBkZSBOaW5qYSBwdWVkZW4gZGl2aWRpcnNlCmVuIHRyZXMgY2F0ZWdvcsOtYXMgcHJpbmNpcGFsZXMuCkZVRSBhZmVjdGEgYSBsYXMgaGFiaWxpZGFkZXMgZsOtc2ljYXMgZQpJTlQsIGEgbGFzIGhhYmlsaWRhZGVzIGRlIE1hZXN0csOtYSBkZSBOaW5qYS4KVGFtYmnDqW4gdGVuZW1vcyBoYWJpbGlkYWRlcyBxdWUKZnVuY2lvbmFuIGRlIGZvcm1hIGVzcGVjaWFsLg==
p4IcAw,,W0hvbm8tb2hdClRoZSBmaXJzdCB0eXBlIGlzIHBoeXNpY2FsIGF0dGFja3MuClNUUiBoYXMgYSBzdHJvbmcgaW5mbHVlbmNlCm9uIHRob3NlLgpQaHlzaWNhbCBhdHRhY2tzIGNhbiBiZSBmdXJ0aGVyIGRpdmlkZWQKaW50byB0d28gZGlmZmVyZW50IHR5cGVzLg==,,,,,W0hvbm9dClByaW1laXJhbWVudGUsIEhhYmlsaWRhZGVzIEbDrXNpY2FzLgpPYnZpYW1lbnRlIHPDo28gbGlnYWRhcyDDoCBGT1IKZSBkZXBlbmRlbSBkZXNzZSBhdHJpYnV0by4KSGFiaWxpZGFkZXMgRsOtc2ljYXMgcG9kZW0gc2VyIGRpdmlkaWRhcwplbSBkb2lzIHRpcG9zLi4u,,W0hvbm9dCkVuIHByaW1lciBsdWdhciwgbGFzIGhhYmlsaWRhZGVzIGbDrXNpY2FzLgpFdmlkZW50ZW1lbnRlLCBlc3TDoW4gdmluY3VsYWRhcyBhIGxhIEZVRQp5IGRlcGVuZGVuIGRlIGVzdGEgZXN0YWTDrXN0aWNhLgpMYXMgaGFiaWxpZGFkZXMgZsOtc2ljYXMgcHVlZGVuIGRpdmlkaXJzZQplbiBkb3MgdGlwb3MuLi4=
qIIcAw,,W0hvbm8tb2hdClRoZSBmaXJzdCB0eXBlIGlzIHRocm93aW5nLWJhc2VkCnNraWxscyB0aGF0IGFsbG93IHlvdSB0byBsYXVuY2ggeW91ciBhdHRhY2tzIGZyb20gYSBsb25nZXIgcmFuZ2UsCmFuZCB0aGUgc2Vjb25kIGlzIG1lbGVlIGF0dGFja3Mu,,,,,W0hvbm9dCkV4aXN0ZW0gYXF1ZWxhcyBxdWUgcG9kZW0gYWx2ZWphciBvIGluaW1pZ28gw6AgZGlzdMOibmNpYS4uLgpFIG91dHJhcyBxdWUgcG9kZW0gYWNlcnRhcgplbSB1bSBhbGNhbmNlIGNvcnBvIGEgY29ycG8u,,W0hvbm9dCkV4aXN0ZW4gbGFzIHF1ZSBwdWVkZW4gYXB1bnRhciBhbCBlbmVtaWdvIGEgZGlzdGFuY2lhLi4uClkgb3RyYXMgcXVlIHB1ZWRlbiBpbXBhY3RhcgphIGNvcnRhIGRpc3RhbmNpYS4=
qYIcAw,,W0hvbm8tb2hdCk5pbmp1dHN1IHNraWxscyBib2FzdCAxMDAlCmFjY3VyYWN5LgpUaGUgZmluYWwgRE1HIGlzIGRldGVybWluZWQgYnkgdGhlIHNraWxsJ3MgRE1HLApJTlQsIGFzIHdlbGwgYXMgdGhlIE1hZ2ljIEFUSyBvZiB0aGUgd2VhcG9uLg==,,,,,W0hvbm9dCkFsZ3VtYXMgSGFiaWxpZGFkZXMgZGUgTmluamEKaWdub3JhbSBhIGVzcXVpdmEgZG8gb3BvbmVudGUKTyBhdGFxdWUgZGEgYXJtYSBlIG91dHJvcyBiw7RudXMsIGNvbWJpbmFkb3MKY29tIGEgSGFiaWxpZGFkZSBlIHNpLCBkZXRlcm1pbmFtIGEgcXVhbnRpZGFkZSBkZSBkYW5vLg==,,W0hvbm9dCkFsZ3VuYXMgaGFiaWxpZGFkZXMgZGUgTmluamEKaWdub3JhbiBsYSBldmFzacOzbiBkZWwgYWR2ZXJzYXJpby4KRWwgYXRhcXVlIGRlIGFybWEgeSBvdHJhcyBib25pZmljYWNpb25lcywgY29tYmluYWRvcwpjb24gbGEgaGFiaWxpZGFkLCBkZXRlcm1pbmFuIGxhIGNhbnRpZGFkIGRlIGRhw7FvLg==
qoIcAw,,W0hvbm8tb2hdCkJ1dCB3aGVuIHVzaW5nIE5pbmp1dHN1IHNraWxscywKcmVtZW1iZXIgdGhhdCB0aGUgc2tpbGxzJyBTUCBjb3N0LCBjYXN0aW5nIHRpbWUsIGNvb2xkb3duIGFmdGVyIHVzZSwgZXRjLgptdXN0IGFsbCBiZSBjb25zaWRlcmVkIHRvIGF2b2lkIGdldHRpbmcgeW91cnNlbGYgaW4gZGFuZ2VyLg==,,,,,W0hvbm9dCkNvbnR1ZG8sIHF1YW5kbyBlc3RpdmVyIHVzYW5kbyB1bWEgSGFiaWxpZGFkZSBhdmFuw6dhZGEuLi4KVGVuaGEgZW0gbWVudGUgZGUgcXVlIHNlIG7Do28gY29uc2lkZXJhciBvIFNQLCB0ZXLDoSBwcm9ibGVtYXMgcGFyYSB1c2FyIGEgSGFiaWxpZGFkZS4uLgpDb20gY2VydGV6YSBlc3RhcsOhIGVtIHBlcmlnby4uLg==,,W0hvbm9dClNpbiBlbWJhcmdvLCBhbCB1c2FyIHVuYSBoYWJpbGlkYWQgYXZhbnphZGEuLi4KVGVuIGVuIGN1ZW50YSBxdWUsIHNpIG5vIGNvbnNpZGVyYXMgbG9zIFNQLCB0ZW5kcsOhcyBwcm9ibGVtYXMgcGFyYSB1c2FyIGxhIGhhYmlsaWRhZC4uLgpTaW4gZHVkYSBlc3RhcsOhcyBlbiBwZWxpZ3JvLi4u
q4IcAw,,W0hvbm8tb2hdCkZpbmFsbHksIHRoZXJlIGFyZSB0aGUgRGVjZXB0aW9uIHNraWxscy4KVGhlc2UgYXJlIHF1aXRlIGRpZmZlcmVudCBmcm9tCnRoZSBvdGhlciBza2lsbHMuCk9uZSBvZiB0aGVtIGFsbG93cyB5b3UgdG8gZXZhZGUgYXR0YWNrcyBtb3JlIGVhc2lseSw=,,,,,W0hvbm9dCkZhbGFuZG8gZGUgSGFiaWxpZGFkZXMgZXNwZWPDrWZpY2FzLi4uCkFsZ3VtYXMgcG9zc3VlbSBjYXJhY3RlcsOtc3RpY2FzIGUKZSBlZmVpdG9zIGRpZmVyZW50ZXMuClBvZGVtIGFqdWRhciBhIGRlc3ZpYXIgZGUgYXRhcXVlcy4uLg==,,W0hvbm9dCkhhYmxhbmRvIGRlIGhhYmlsaWRhZGVzIGVzcGVjw61maWNhcy4uLgpBbGd1bmFzIHRpZW5lbiBjYXJhY3RlcsOtc3RpY2FzIHkKZWZlY3RvcyBkaWZlcmVudGVzLgpQdWVkZW4gYXl1ZGFyIGEgZXZhZGlyIGxvcyBhdGFxdWVzLi4u
rIIcAw,,W0hvbm8tb2hdCndoaWxlIGFub3RoZXIgcHJvdmlkZXMgc3VwcG9ydGluZyBmdW5jdGlvbnMKYnkgYm9vc3RpbmcgeW91ciBzdGF0cywKYW5kIHlldCBhbm90aGVyIGNvbnN1bWVzIGFsbCB5b3VyIHN0cmVuZ3RoCmFuZCBkZWxpdmVycyBhIHBvd2VyZnVsIHN0cmlrZSB0byB5b3VyIGZvZS4=,,,,,W0hvbm9dCk91dHJhcyBhdW1lbnRhbSBvcyBhdHJpYnV0b3MgcG9yIHVtIHRlbXBvLi4uCkTDoSBhdMOpIHByYSBtZWxob3JhciBzdWEKRk9SIHBhcmEgZGVzZmVyaXIgdW0gcG9kZXJvc28KZ29scGUgY29udHJhIG8gaW5pbWlnby4=,,W0hvbm9dCk90cmFzIGF1bWVudGFuIGxhcyBlc3RhZMOtc3RpY2FzIGR1cmFudGUgdW4gdGllbXBvLi4uCkluY2x1c28gcHVlZGVzIG1lam9yYXIgdHUKRlVFIHBhcmEgYXNlc3RhciB1biBwb2Rlcm9zbwpnb2xwZSBhbCBlbmVtaWdvLg==
rYIcAw,,W0hvbm8tb2hdCkZvciBtb3JlIGRldGFpbHMsCm9wZW4gdGhlIFNraWxsIHdpbmRvdyBhbmQgdXNlIHlvdXIgY3Vyc29yCnRvIHZpZXcgYSBza2lsbC4KVGhhdCB3YXMgYSBxdWljayBvdmVydmlldywgYnV0IGl0IHdhc24ndCBzbyBib3JpbmcsIHdhcyBpdD8=,,,,,W0hvbm9dCk1haXMgZGV0YWxoZXMgdm9jw6ogZW5jb250cmEKbmEgamFuZWxhIGRlIEhhYmlsaWRhZGVzLgpFeHBsb3JlIGFzIEhhYmlsaWRhZGVzLCBwb2lzIGVzc2EKZm9pIHVtYSBleHBsaWNhw6fDo28gYnJldmUgZSBiZW0gYsOhc2ljYS4=,,W0hvbm9dClB1ZWRlcyBlbmNvbnRyYXIgbcOhcyBkZXRhbGxlcwplbiBsYSB2ZW50YW5hIEhhYmlsaWRhZGVzLgpFeHBsb3JhIGxhcyBoYWJpbGlkYWRlcywgeWEgcXVlIGVzdGEKZnVlIHVuYSBleHBsaWNhY2nDs24gYnJldmUgeSBtdXkgYsOhc2ljYS4=
roIcAw,,SSB3YW50IHRvIHJlZGlzdHJpYnV0ZSBteSBza2lsbHMu,,,,,R29zdGFyaWEgZGUgcmVkZWZpbmlyIGFzIEhhYmlsaWRhZGVzLi4u,,UXVpZXJvIHJlZGlzdHJpYnVpciBtaXMgaGFiaWxpZGFkZXMu
r4IcAw,,W0hvbm8tb2hdCkEgTmluamEncyB0cnVlIHN0cmVuZ3RoIHRha2VzIGVmZmVjdApvbmx5IHdoZW4gdGhhdCBOaW5qYSdzIHNraWxscyBhcmUgdXNlZCBwcm9wZXJseS4KU28gZG8gbm90IHNsYWNrIG9mZiBvbiB5b3VyIHRyYWluaW5nLg==,,,,,W0hvbm9dCk8gcG9kZXIgZG8gTmluamEgw6kgaW1wYXLDoXZlbApxdWFuZG8gYXMgSGFiaWxpZGFkZXMgY2VydGFzIHPDo28gdXNhZGFzLgpOdW5jYSBkZWl4ZSBkZSB0cmVpbmFyIQ==,,W0hvbm9dCkxhIHZlcmRhZGVyYSBmdWVyemEgZGUgdW4gbmluamEgc3VydGUgZWZlY3RvCnPDs2xvIGN1YW5kbyBsYXMgaGFiaWxpZGFkZXMgZGVsIG5pbmphIHNlIHV0aWxpemFuIGNvcnJlY3RhbWVudGUuCkFzw60gcXVlIG5vIHBpZXJkYXMgdGllbXBvIGVuIHR1IGVudHJlbmFtaWVudG8u
sIIcAw,,W0hvbm8tb2hdClJlZ3JldHRpbmcgdGhlIHBhc3QKaXMgbm90IHRoZSByaWdodCBtaW5kc2V0IGZvciBhIE5pbmphLgpDb25zaWRlciB0aGF0IQ==,,,,,W0hvbm9dCkFpbmRhIGFzc2ltIHRlIGVuc2luYXJlaS4uLgpQYXJhIGFxdWVsZXMgZnJ1c3RyYWRvcywKZW0gYWxndW0gbHVnYXIgZGUgUHJvbnRlcmEgZSBJemx1ZGUKaMOhIHVtYSBwZXNzb2EgcXVlCnJlZGVmaW5lIEhhYmlsaWRhZGVzIGUgQXRyaWJ1dG9zIHBhcmEgYXF1ZWxlcyBjb20gTsOtdmVsIGRlIENsYXNzZSBtZW5vciBxdWUgNDAu,,W0hvbm9dCsKhUXXDqSB0b250ZXLDrWEhCk5lZ2FyIGVsIHBhc2FkbyBlcyAKbGEgcHJpbWVyYSBhY3RpdHVkIGRlIGRlcnJvdGEuCsKhUmVmbGV4aW9uYSBzb2JyZSB0dSBmdWVyemEgTmluamEh
sYIcAw,,W0hvbm8tb2hdCkFzIGxvbmcgYXMgeW91IG1lZXQgdGhlIGNvbmRpdGlvbnMsCnlvdSBjYW4gZ28gZm9yIHRoZSByZXNldCwgc28gcmVzdCBlYXN5Lg==,,,,,W0hvbm9dClF1YW50YSB0b2xpY2UhClJlamVpdGFyIG8gcGFzc2FkbyDDqSAKYSBwcmltZWlyYSBhdGl0dWRlIGRlIGRlcnJvdGEuClJlZmxpdGEgc29icmUgc3VhIGZvcsOnYSBOaW5qYSE=,,W0hvbm9dCk1pZW50cmFzIGN1bXBsYXMgbGFzIGNvbmRpY2lvbmVzLApwdWVkZXMgaXIgcG9yIGVsIHJlaW5pY2lvLCBhc8OtIHF1ZSBkZXNjYW5zYSB0cmFucXVpbG8u
soIcAw,,W0hvbm8tb2hdCkEgTmluamEncyB3ZWFwb25zIGFyZQphcyBmb2xsb3dzLgpGaXJzdCwgdGhlIGRhZ2dlci4gSXQgaXMgdGhlIG1vc3QgY29tbW9uIHdlYXBvbi4KSXQgaGFzIGFuIGFkdmFudGFnZSBpbiB0ZXJtcyBvZiBhdHRhY2sgc3BlZWQsCmJ1dCBtb3N0IGRhZ2dlcnMgZG8gbm90IGhhdmUgaGlnaCBQaHlzaWNhbCBETUcu,,,,,W0hvbm9dCk5pbmphcyBwb2RlbSB1c2FyCmFsZ3VtYXMgb3DDp8O1ZXMgZGUgYXJtYXMuCkEgQWRhZ2Egw6kgYSBtYWlzIGNvbXVtLgpBcHJlc2VudGFtIGFsZ3VtYSB2YW50YWdlbSBuYSB2ZWxvY2lkYWRlIGRlIGF0YXF1ZSwKbWFzIGEgbWFpb3JpYSBkYXMgQWRhZ2FzIMOpIGJlbSBmcmFjYSBubyBxdWVzaXRvIGRhbm8u,,W0hvbm9dCkxhcyBhcm1hcyBkZSB1biBOaW5qYSBzb24KbGFzIHNpZ3VpZW50ZXMuClByaW1lcm8sIGxhIGRhZ2EuIEVzIGVsIGFybWEgbcOhcyBjb23Dum4uClRpZW5lIHVuYSB2ZW50YWphIGVuIHTDqXJtaW5vcyBkZSB2ZWxvY2lkYWQgZGUgYXRhcXVlLApwZXJvIGxhIG1heW9yw61hIGRlIGxhcyBkYWdhcyBubyB0aWVuZW4gdW4gYWx0byBETUcgRsOtc2ljby4=
s4IcAw,,W0hvbm8tb2hdClRoZSBzZWNvbmQgd2VhcG9uLCBvbmUgdW5pcXVlbHkgbWFkZSBmb3IgTmluamFzLAppcyB0aGUgSHV1bWEgU2h1cmlrZW4uClRvIHVzZSB0aGUgVGhyb3cgSHV1bWEgU2h1cmlrZW4gc2tpbGwsCnlvdSBtdXN0IGVxdWlwIG9uZS4=,,,,,W0hvbm9dCkEgU2h1cmlrZW4gSHV1bWEgw6kgdW1hIGFybWEKZXhjbHVzaXZhIGRvcyBOaW5qYXMuLi4KU2UgcXVpc2VyIHVzYXIgYSBIYWJpbGlkYWRlIGRlIEFycmVtZXNzYXIgU2h1cmlrZW4gSHV1bWEsIApkZXZlcsOhIGVxdWlwYXIgZXNzZSB0aXBvIGRlIGFybWEu,,W0hvbm9dCkVsIFNodXJpa2VuIEh1dW1hIGVzIHVuIGFybWEKZXhjbHVzaXZhIGRlIGxvcyBOaW5qYXMuLi4KU2kgcXVpZXJlcyB1c2FyIGxhIGhhYmlsaWRhZCBBcnJvamFyIFNodXJpa2VuIEh1dW1hLCAKZGViZXMgZXF1aXBhciBlc3RlIHRpcG8gZGUgYXJtYS4=
tIIcAw,,W0hvbm8tb2hdClRoZXJlIGFyZSBzb21lIG90aGVyCnRocm93YWJsZSBvYmplY3RzIHRoYXQgeW91IG11c3QgZXF1aXAKaW4gb3JkZXIgdG8gdXNlIG90aGVyIHRocm93aW5nIHNraWxscy5UaGVzZSBpbmNsdWRlClNodXJpa2VuIGZvciBUaHJvdyBTaHVyaWtlbiwKYW5kIEt1bmFpIGZvciBUaHJvdyBLdW5haS4=,,,,,W0hvbm9dCkFsw6ltIGRlc3NhcywgZXhpc3RlbQphbGd1bnMgcHJvasOpdGVpcyBxdWUgcG9kZW0gc2VyIGVxdWlwYWRvcwpwYXJhIHNlIHVzYXIgSGFiaWxpZGFkZXMgZGUgQXJyZW1lc3NvLgpQYXJhIHVzYXIgSGFiaWxpZGFkZXMgZGUgQXJyZW1lc3NhciBTaHVyaWtlbiwgZGV2ZSBlcXVpcGFyIHVtYSBTaHVyaWtlbi4KUGFyYSB1c2FyIEhhYmlsaWRhZGVzIGRlIEFycmVtZXNzYXIgS3VuYWkuLi4gQm9tLCB2b2PDqiBqw6Egc2FiZS4uLg==,,W0hvbm9dCkFkZW3DoXMsIGhheQphbGd1bmFzIGJhbGFzIHF1ZSBzZSBwdWVkZW4gZXF1aXBhcgpwYXJhIHVzYXIgbGFzIGhhYmlsaWRhZGVzIGRlIGxhbnphbWllbnRvLgpQYXJhIHVzYXIgbGEgaGFiaWxpZGFkIEFycm9qYXIgU2h1cmlrZW4sIGRlYmVzIGVxdWlwYXJ0ZSBjb24gdW5hIFNodXJpa2VuLgpQYXJhIHVzYXIgbGEgaGFiaWxpZGFkIEFycm9qYXIgS3VuYWkuLi4gQnVlbm8sIHlhIHNhYmVzLi4u
tYIcAw,,W0hvbm8tb2hdCkZvciBOaW5qYXMgd2hvIGZhdm9yCk5pbmp1dHN1IHNraWxscyBpbiBiYXR0bGUsIGl0IGlzIGJldHRlciB0bwpyYWlzZSB0aGUgTUFUSyByYXRoZXIgdGhhbiB0aGUgUGh5c2ljYWwgQVRLIG9mIHRoZSB3ZWFwb24u,,,,,W0hvbm9dClBhcmEgTmluamFzIHF1ZSB1dGlsaXphbSBQZXLDrWNpYSBOaW5qYSwsCsOpIHZhbnRham9zbyBldm9sdWlyIG8gYXRhcXVlIG3DoWdpY28u,,W0hvbm9dClBhcmEgbG9zIE5pbmphcyBxdWUgdXNhbiBNYWVzdHLDrWEgZGUgTmluamEsCmVzIGNvbnZlbmllbnRlIG1lam9yYXIgZWwgYXRhcXVlIG3DoWdpY28u
toIcAw,,W0hvbm8tb2hdClNvbWUgdG9vbHMgZG8gbm90IG5lZWQgdG8gYmUgZXF1aXBwZWQsCmJ1dCBzaW1wbHkga2VwdCBpbiB0aGUgaW52ZW50b3J5CmluIG9yZGVyIHRvIHVzZSBjZXJ0YWluIHNraWxscy4KRm9yIGV4YW1wbGUsIFB5cm9zdG9uZXMgZm9yIEV4cGxvZGluZyBEcmFnb24uLi4=,,,,,W0hvbm9dCk7Do28gaMOhIG5lY2Vzc2lkYWRlIGRlIGVxdWlwYXIgbmFkYS4KQWxndW5zIGRvcyBpdGVucyB2w6ptIGRpcmV0byBkbyBzZXUgaW52ZW50w6FyaW8gZQpzw6NvIGVzc2VuY2lhaXMgcGFyYSBvIHVzbyBkYXMgSGFiaWxpZGFkZXMuClVtYSBQZWRyYSBkbyBGb2dvIMOpIGNydWNpYWwgcGFyYSBhIEhhYmlsaWRhZGUgZG8gRHJhZ8OjbyBFeHBsb3Npdm8uLi4=,,W0hvbm9dCk5vIGhhY2UgZmFsdGEgZXF1aXBhciBuYWRhLgpBbGd1bm9zIGRlIGxvcyBvYmpldG9zIHByb3ZpZW5lbiBkaXJlY3RhbWVudGUgZGUgdHUgaW52ZW50YXJpbyB5CnNvbiBlc2VuY2lhbGVzIHBhcmEgdXNhciBsYXMgaGFiaWxpZGFkZXMuClVuYSBQaWVkcmEgYXJkaWVudGUgZXMgY3J1Y2lhbCBwYXJhIGxhIGhhYmlsaWRhZCBEcmFnw7NuIGV4cGxvc2l2by4uLg==
