oC6YDA,UlMyNg==,UlMyNg==,,,,,UlMyNg==,,UlMyNg==
IC+YDA,W1JTMjZdCu2aqOuKpeqzvCDsnbzsuZjtlZjripQg66qo65OI7J2EIOyGjOyngO2VmOyFlOyVvCDqsJXtmZTrpbwg7KeE7ZaJIO2VoCDsiJgg7J6I7Iq164uI64ukLg==,W1JTMjZdCllvdSBjYW4gcHJvY2VlZCBvbmx5IGlmIHlvdSBoYXZlIGEgbW9kdWxlIHRoYXQgbWF0Y2hlcyB0aGUgc2VsZWN0ZWQgZWZmZWN0Lg==,,,,,W1JTMjZdClZvY8OqIHPDsyBwb2RlIHByb3NzZWd1aXIgc2UgcG9zc3VpciB1bSBtw7NkdWxvIHF1ZSBjb3JyZXNwb25kYSBhbyBlZmVpdG8gc2VsZWNpb25hZG8u,,W1JTMjZdClNvbG8gcHVlZGVzIGNvbnRpbnVhciBzaSB0aWVuZXMgdW4gbcOzZHVsbyBxdWUgY29pbmNpZGEgY29uIGVsIGVmZWN0byBzZWxlY2Npb25hZG8u
IS+YDA,W1JTMjZdCuygleyDgeyggeyduCDsp4TtlonsnbQg67aI6rCA64ql7ZWcIOyDge2ZqeyeheuLiOuLpC4g6rSA66as7J6Q66W8IOywvuycvOyFlOyVvCDtlaAg6rKDIOqwmeq1sOyalC4=,W1JTMjZdCk5vcm1hbCBvcGVyYXRpb24gaXMgbm90IHBvc3NpYmxlLiBZb3UgbWF5IG5lZWQgdG8gY29udGFjdCBhbiBhZG1pbmlzdHJhdG9yLg==,,,,,W1JTMjZdCk7Do28gw6kgcG9zc8OtdmVsIHByb3NzZWd1aXIgbm9ybWFsbWVudGUuIFRhbHZleiB2b2PDqiBwcmVjaXNlIGNvbnRhdGFyIHVtIGFkbWluaXN0cmFkb3Iu,,W1JTMjZdCk5vIGVzIHBvc2libGUgY29udGludWFyIGNvbiBub3JtYWxpZGFkLiBQdWVkZSBxdWUgZGViYXMgY29udGFjdGFyIGEgdW4gYWRtaW5pc3RyYWRvci4=
Ii+YDA,W1JTMjZdCuyepeu5hOulvCDrspfqs6Ag6rOE7Iug6rG0IOyVhOuLjOqwgOyalD8=,W1JTMjZdCkFyZSB5b3Ugc3VyZSB5b3XigJlyZSBub3QgdW5lcXVpcHBlZD8=,,,,,W1JTMjZdClRlbSBjZXJ0ZXphIGRlIHF1ZSBuw6NvIGVzdMOhIHNlbSBlcXVpcGFtZW50bz8=,,W1JTMjZdCsK/U2VndXJvIHF1ZSBubyBlc3TDoXMgc2luIGVxdWlwYXIgZWwgZXF1aXBvPw==
Iy+YDA,XkZGMDAwMOuenOuNpOyYteyFmOydtCDtmZXsnbjrkKnri4jri6QuIO2VtOuLuSDsnqXruYTripQg7J6R7JeFIO2VmOyLpCDsiJgg7JeG7Iq164uI64ukLl4wMDAwMDA=,XkZGMDAwMFJhbmRvbSBvcHRpb25zIGRldGVjdGVkLiBUaGlzIGVxdWlwbWVudCBjYW5ub3QgYmUgbW9kaWZpZWQuXjAwMDAwMA==,,,,,XkZGMDAwME9ww6fDtWVzIGFsZWF0w7NyaWFzIGRldGVjdGFkYXMuIEVzdGUgZXF1aXBhbWVudG8gbsOjbyBwb2RlIHNlciBtb2RpZmljYWRvLl4wMDAwMDA=,,XkZGMDAwMFNlIGRldGVjdGFyb24gb3BjaW9uZXMgYWxlYXRvcmlhcy4gRXN0ZSBlcXVpcG8gbm8gc2UgcHVlZGUgbW9kaWZpY2FyLl4wMDAwMDA=
JC+YDA,W1JTMjZdCuydtOuvuCDroIjsoITrk5zquIkg66qo65OI7J2EIOyepeywqSDtlZjshajsl4jqtbDsmpQuIOuNlCDsnbTsg4HsnZgg66CI7KCE65Oc6riJIOuqqOuTiCDsnqXssKnsnYAg67aI6rCA64ql7ZWp64uI64uk,W1JTMjZdCllvdSBoYXZlIGFscmVhZHkgaW5zdGFsbGVkIGEgTGVnZW5kLWdyYWRlIG1vZHVsZS4gWW91IGNhbm5vdCBpbnN0YWxsIGFueSBhZGRpdGlvbmFsIExlZ2VuZC1ncmFkZSBtb2R1bGVzLg==,,,,,W1JTMjZdClZvY8OqIGrDoSBpbnN0YWxvdSB1bSBtw7NkdWxvIGRlIGdyYXUgTGVuZMOhcmlvLiBOw6NvIMOpIHBvc3PDrXZlbCBpbnN0YWxhciBtYWlzIG3Ds2R1bG9zIExlbmTDoXJpb3Mu,,W1JTMjZdCllhIGhhcyBpbnN0YWxhZG8gdW4gbcOzZHVsbyBkZSBncmFkbyBMZWdlbmRhcmlvLiBObyBzZSBwdWVkZW4gaW5zdGFsYXIgbcOhcyBtw7NkdWxvcyBMZWdlbmRhcmlvcy4=
JS+YDA,W1JTMjZdCuyEoO2Dne2VmOyLoCDrqqjrk4jqs7wg7ISg7YOd7ZWY7IugIOyepeu5hOuKlCDtmLjtmZjrkJjsp4Ag7JWK7Iq164uI64ukLg==,W1JTMjZdClRoZSBzZWxlY3RlZCBtb2R1bGUgaXMgbm90IGNvbXBhdGlibGUgd2l0aCB0aGUgc2VsZWN0ZWQgZXF1aXBtZW50Lg==,,,,,W1JTMjZdCk8gbcOzZHVsbyBzZWxlY2lvbmFkbyBuw6NvIMOpIGNvbXBhdMOtdmVsIGNvbSBvIGVxdWlwYW1lbnRvIHNlbGVjaW9uYWRvLg==,,W1JTMjZdCkVsIG3Ds2R1bG8gc2VsZWNjaW9uYWRvIG5vIGVzIGNvbXBhdGlibGUgY29uIGVsIGVxdWlwbyBzZWxlY2Npb25hZG8u
Ji+YDA,W1JTMjZdCuydtCDrqqjrk4jsnYAg7LKrIOqwle2ZlCDsi5zsl5Drp4wg7IKs7JqpIOqwgOuKpe2VqeuLiOuLpC4g7Jyg6rCQ7Iqk65+96rKM64+EIO2VtOuLueyepeu5hOuKlCDsnbTrr7gg64uk66W4IO2aqOuKpeydhCDrtoDsl6zrsJvsnLzshajqtbDsmpQuIOuLpOuluCDrqqjrk4jsnYQg7J207Jqp7ZWY7JesIOqwle2ZlO2VtCDso7zsi63si5zsmKQu,W1JTMjZdClRoaXMgbW9kdWxlIGNhbiBiZSB1c2VkIG9ubHkgZm9yIHRoZSBmaXJzdCBlbmhhbmNlbWVudC4gVW5mb3J0dW5hdGVseSwgdGhpcyBlcXVpcG1lbnQgYWxyZWFkeSBoYXMgYSBkaWZmZXJlbnQgZWZmZWN0LiBQbGVhc2UgdXNlIGFub3RoZXIgbW9kdWxlLg==,,,,,W1JTMjZdCkVzdGUgbcOzZHVsbyBzw7MgcG9kZSBzZXIgdXNhZG8gbmEgcHJpbWVpcmEgbWVsaG9yaWEuIEluZmVsaXptZW50ZSwgZXN0ZSBlcXVpcGFtZW50byBqw6EgcmVjZWJldSBvdXRybyBlZmVpdG8uIFVzZSBvdXRybyBtw7NkdWxvLg==,,W1JTMjZdCkVzdGUgbcOzZHVsbyBzb2xvIHB1ZWRlIHVzYXJzZSBlbiBsYSBwcmltZXJhIG1lam9yYS4gTGFtZW50YWJsZW1lbnRlLCBlc3RlIGVxdWlwbyB5YSB0aWVuZSBvdHJvIGVmZWN0by4gVXNhIG90cm8gbcOzZHVsby4=
Jy+YDA,W1JTMjZdCuydtCDrqqjrk4jsnZgg64ql66Cl7LmY64qUIHswfeuyiCDquYzsp4Ag7ZmV7J6lIOqwgOuKpe2VqeuLiOuLpC4g7J2066+4IO2ZleyepSDtlZzqs4TsuZjquYzsp4Ag7J6R7JeF7J20IOuQnCDqsoMg6rCZ6rWw7JqU,W1JTMjZdClRoaXMgbW9kdWxl4oCZcyBzdGF0cyBjYW4gYmUgZXh0ZW5kZWQgdXAgdG8gezB9IHRpbWVzLiBJdCBzZWVtcyBpdCBoYXMgYWxyZWFkeSByZWFjaGVkIHRoZSBsaW1pdC4=,,,,,W1JTMjZdCk9zIGF0cmlidXRvcyBkZXN0ZSBtw7NkdWxvIHBvZGVtIHNlciBhbXBsaWFkb3MgYXTDqSB7MH0gdmV6ZXMuIFBhcmVjZSBxdWUgasOhIGF0aW5naXUgbyBsaW1pdGUu,,W1JTMjZdCkxvcyBhdHJpYnV0b3MgZGUgZXN0ZSBtw7NkdWxvIHNlIHB1ZWRlbiBhbXBsaWFyIGhhc3RhIHswfSB2ZWNlcy4gUGFyZWNlIHF1ZSB5YSBhbGNhbnrDsyBlbCBsw61taXRlLg==
KC+YDA,W1JTMjZdCuqwle2ZlO2VmOyLnOugpOuKlCDsnqXruYTqsIAg7J2066+4IO2ZleyepSDtlZzqs4TsuZjquYzsp4Ag7J6R7JeF7J20IOuQnCDqsoMg6rCZ6rWw7JqU,W1JTMjZdCkl0IHNlZW1zIHRoZSBlcXVpcG1lbnQgeW91IHdhbnQgdG8gZW5oYW5jZSBoYXMgYWxyZWFkeSByZWFjaGVkIGl0cyBleHBhbnNpb24gbGltaXQu,,,,,W1JTMjZdClBhcmVjZSBxdWUgbyBlcXVpcGFtZW50byBxdWUgdm9jw6ogZGVzZWphIG1lbGhvcmFyIGrDoSBhdGluZ2l1IG8gbGltaXRlIGRlIGV4cGFuc8Ojby4=,,W1JTMjZdClBhcmVjZSBxdWUgZWwgZXF1aXBvIHF1ZSBkZXNlYXMgbWVqb3JhciB5YSBhbGNhbnrDsyBlbCBsw61taXRlIGRlIGV4cGFuc2nDs24u
KS+YDA,W1JTMjZdCuyekeyXheykkeyXkCDsnqXruYTrpbwg7J6l7LCp7ZW07KCcIO2VmOyLnOuptCDsmKTrpZjqsIAg67Cc7IOd7ZWgIOyImCDsnojsirXri4jri6QuIOyjvOydmO2VmOyLreyLnOyYpC4=,W1JTMjZdClVuZXF1aXBwaW5nIHRoZSBlcXVpcG1lbnQgZHVyaW5nIHRoZSBwcm9jZXNzIG1heSBjYXVzZSBlcnJvcnMuIFBsZWFzZSBiZSBjYXJlZnVsLg==,,,,,W1JTMjZdClJlbW92ZXIgbyBlcXVpcGFtZW50byBkdXJhbnRlIG8gcHJvY2Vzc28gcG9kZSBjYXVzYXIgZXJyb3MuIFRlbmhhIGN1aWRhZG8u,,W1JTMjZdCkRlc2VxdWlwYXIgZWwgZXF1aXBvIGR1cmFudGUgZWwgcHJvY2VzbyBwdWVkZSBjYXVzYXIgZXJyb3Jlcy4gVGVuIGN1aWRhZG8u
Ki+YDA,7J2866Oo7KCEIOyJtOuTnEE=,SWxsdXNpb24gU2hpZWxkIEE=,,,,,RXNjdWRvIGRlIElsdXPDo28gQQ==,,RXNjdWRvIGRlIElsdXNpw7NuIEE=
Ky+YDA,7J2866Oo7KCEIOyJtOuTnEI=,SWxsdXNpb24gU2hpZWxkIEI=,,,,,RXNjdWRvIGRlIElsdXPDo28gQg==,,RXNjdWRvIGRlIElsdXNpw7NuIEI=
LC+YDA,W1JTMjZdCuqwle2ZlO2VmOyLnOugpOuKlCDsnqXssKntlZwg7KCc7ZKI7JeQIOyLnOumrOyWvOuEmOuyhOqwgCDsl4bsirXri4jri6QuIOq3nOqyqSDsmbgg7IOB7ZKI7J2066+A66GcIOqwle2ZlOulvCDtlbQg65Oc66a0IOyImCDsl4bsirXri4jri6Qu,W1JTMjZdClRoZSBlcXVpcHBlZCBpdGVtIHlvdSB3YW50IHRvIGVuaGFuY2UgaGFzIG5vIHNlcmlhbCBudW1iZXIuIEFzIGl0IGlzIG5vbi1zdGFuZGFyZCwgd2UgY2Fubm90IGVuaGFuY2UgaXQu,,,,,W1JTMjZdCk8gaXRlbSBlcXVpcGFkbyBxdWUgdm9jw6ogZGVzZWphIG1lbGhvcmFyIG7Do28gcG9zc3VpIG7Dum1lcm8gZGUgc8OpcmllLiBQb3Igc2VyIHVtIHByb2R1dG8gZm9yYSBkbyBwYWRyw6NvLCBuw6NvIMOpIHBvc3PDrXZlbCBhcHJpbW9yw6EtbG8u,,W1JTMjZdCkVsIG9iamV0byBlcXVpcGFkbyBxdWUgZGVzZWFzIG1lam9yYXIgbm8gdGllbmUgbsO6bWVybyBkZSBzZXJpZS4gQWwgc2VyIHVuIHByb2R1Y3RvIGZ1ZXJhIGRlIGVzdMOhbmRhciwgbm8gc2UgcHVlZGUgbWVqb3Jhci4=
LS+YDA,W1JTMjZdXjAwMDBGRgp7MH0gKyB7MX0g7ISg7YOdCl4wMDAwMDAtLS0tLS0tLS0tLS0tLS0tLS0K7ISg7YOd7ZWY7IugIOuPhOuptOydgCDtlbTri7kg7J6l67mE7JeQIOy1nOuMgCBeMDAwMEZGezJ9IO2ajCDquYzsp4Ag64+Z7J287ZWcIOuPhOuptOycvOuhnCDsl4Xqt7jroIjsnbTrk5wg6rCA64qlXjAwMDAwMO2VmOupsCDtmITsnqwgXjAwMDBGRnszfSDtmoxeMDAwMDAwIOqwle2ZlOuQmOyWtCDsnojsirXri4jri6QuIOqzhOyGjSDsp4Ttlokg7ZWY7Iuc6rKg7Iq164uI6rmMPw==,W1JTMjZdXjAwMDBGRgp7MH0gKyB7MX0gU2VsZWN0ZWQKXjAwMDAwMC0tLS0tLS0tLS0tLS0tLS0tLQpUaGlzIGJsdWVwcmludCBjYW4gdXBncmFkZSB0aGUgc2VsZWN0ZWQgZXF1aXBtZW50IHVwIHRvIF4wMDAwRkZ7Mn0gdGltZXNeMDAwMDAwIHdpdGggdGhlIHNhbWUgYmx1ZXByaW50LCBhbmQgaXQgaGFzIGJlZW4gdXBncmFkZWQgXjAwMDBGRnszfSB0aW1lc14wMDAwMDAgc28gZmFyLiBEbyB5b3Ugd2FudCB0byBjb250aW51ZT8=,,,,,W1JTMjZdXjAwMDBGRgp7MH0gKyB7MX0gU2VsZWNpb25hZG8KXjAwMDAwMC0tLS0tLS0tLS0tLS0tLS0tLQpFc3RhIHBsYW50YSBwb2RlIGFwcmltb3JhciBvIGVxdWlwYW1lbnRvIHNlbGVjaW9uYWRvIGF0w6kgXjAwMDBGRnsyfSB2ZXplc14wMDAwMDAgY29tIGEgbWVzbWEgcGxhbnRhLCBlIGVsZSBqw6EgZm9pIGFwcmltb3JhZG8gXjAwMDBGRnszfSB2ZXplc14wMDAwMDAuIERlc2VqYSBjb250aW51YXI/,,W1JTMjZdXjAwMDBGRgp7MH0gKyB7MX0gU2VsZWNjaW9uYWRvCl4wMDAwMDAtLS0tLS0tLS0tLS0tLS0tLS0KRXN0ZSBwbGFubyBwdWVkZSBtZWpvcmFyIGVsIGVxdWlwbyBzZWxlY2Npb25hZG8gaGFzdGEgXjAwMDBGRnsyfSB2ZWNlc14wMDAwMDAgY29uIGVsIG1pc21vIHBsYW5vLCB5IGFjdHVhbG1lbnRlIGxsZXZhIF4wMDAwRkZ7M30gbWVqb3Jhc14wMDAwMDAuIMK/RGVzZWFzIGNvbnRpbnVhcj8=
Li+YDA,7IOd6rCBIOyigCDrjZQg7ZW067O06rOgLi4u,TGV0IG1lIHRoaW5rIGEgYml0IG1vcmUuLi4=,,,,,Vm91IHBlbnNhciB1bSBwb3VjbyBtYWlzLi4u,,RMOpamFtZSBwZW5zYXJsbyB1biBwb2NvIG3DoXMuLi4=
Ly+YDA,7KeE7ZaJ7ZWc64uk,UHJvY2VlZA==,,,,,UHJvc3NlZ3Vpcg==,,Q29udGludWFy
MC+YDA,W1JTMjZdCuyEoO2Dne2VmOyLoCDsnqXruYTripQg7J2066+4IO2ZleyepSDtlZzqs4TsuZjquYzsp4Ag7J6R7JeF7J20IOuQnCDqsoMg6rCZ6rWw7JqU,W1JTMjZdCkl0IHNlZW1zIHRoZSBzZWxlY3RlZCBlcXVpcG1lbnQgaGFzIGFscmVhZHkgcmVhY2hlZCBpdHMgZXhwYW5zaW9uIGxpbWl0Lg==,,,,,W1JTMjZdClBhcmVjZSBxdWUgbyBlcXVpcGFtZW50byBzZWxlY2lvbmFkbyBqw6EgYXRpbmdpdSBvIGxpbWl0ZSBkZSBleHBhbnPDo28u,,W1JTMjZdClBhcmVjZSBxdWUgZWwgZXF1aXBvIHNlbGVjY2lvbmFkbyB5YSBhbGNhbnrDsyBlbCBsw61taXRlIGRlIGV4cGFuc2nDs24u
MS+YDA,W1JTMjZdCuyepeu5hOydmCBeOTkwMDAwezB967KI7Ke4IF4wMDAwMDDsl4Xqt7jroIjsnbTrk5zrpbwg7Iuc64+E7ZWp64uI64ukLg==,W1JTMjZdCkF0dGVtcHRpbmcgdGhlIF45OTAwMDB7MH10aF4wMDAwMDAgdXBncmFkZSBvZiB0aGUgZXF1aXBtZW50Lg==,,,,,W1JTMjZdClRlbnRhbmRvIGEgXjk5MDAwMHswfcKqXjAwMDAwMCBtZWxob3JpYSBkbyBlcXVpcGFtZW50by4=,,W1JTMjZdCkludGVudGFuZG8gbGEgXjk5MDAwMHswfS7Cql4wMDAwMDAgbWVqb3JhIGRlbCBlcXVpcG8u
Mi+YDA,W1JTMjZdCuyepeu5hOydmCBeOTkwMDAwIOuztOuEiOyKpCDtmqjriqUgXjAwMDAwMOyXheq3uOugiOydtOuTnOulvCDsi5zrj4Ttlanri4jri6Qu,W1JTMjZdCkF0dGVtcHRpbmcgdG8gdXBncmFkZSB0aGUgXjk5MDAwMGJvbnVzIGVmZmVjdF4wMDAwMDAgb2YgdGhlIGVxdWlwbWVudC4=,,,,,W1JTMjZdClRlbnRhbmRvIGFwcmltb3JhciBvIF45OTAwMDBlZmVpdG8gYsO0bnVzXjAwMDAwMCBkbyBlcXVpcGFtZW50by4=,,W1JTMjZdCkludGVudGFuZG8gbWVqb3JhciBlbCBeOTkwMDAwZWZlY3RvIGFkaWNpb25hbF4wMDAwMDAgZGVsIGVxdWlwby4=
