QOvSAQ,,R3Jhbm55,,,,,Vm92w7M=,,QWJ1ZWxh
D+zSAQ,,W0h1Z29dCllvdSBoYXZlbid0IGRlY2lkZWQgd2hhdCBraW5kIG9mIHBldCB5b3Ugd2FudD8KR2V0IGEgbG92ZSBwZXQuCkEgbG92ZSBwZXQgY291bGQgYmUgeW91ciBwYXJ0bmVyIGZvciBsaWZlLgpUYWtlIGl0IHNlcmlvdXNseS4KVGhpbmsgY2FyZWZ1bGx5LgpBbmQgY29tZSBiYWNrIHRvIG1lIHdoZW4geW91IGFyZSByZWFkeSE=,,,,,W1NIT0dPXQpWb2PDqiBuw6NvIGRlY2lkaXUgcXVlIGJpY2hpbmhvIGRlIGVzdGltYcOnw6NvIHF1ZXIuLi4KQ29tbyBzZXUgbGluZG8gYmljaGluaG8gZGUgZXN0aW1hw6fDo28uLi4KVm9jw6ogcG9kZSBhZHF1aXJpciB1bSBwYXJjZWlybyBwYXJhIGEgdmlkYS4KTGV2ZSBpc3NvIGEgc8OpcmlvLi4uCkUgcGVuc2UgY3VpZGFkb3NhbWVudGUuLi4KVm9sdGUgcXVhbmRvIGVzdGl2ZXIgZGVjaWRpZG8h,,W0h1Z29dCsK/Tm8gaGFzIGRlY2lkaWRvIHF1w6kgdGlwbyBkZSBtYXNjb3RhIHF1aWVyZXM/CkNvbnNpZ3VlIHVuYSBtYXNjb3RhIGRlbCBhbW9yLgpVbmEgbWFzY290YSBkZWwgYW1vciBwb2Ryw61hIHNlciB0dSBjb21wYcOxZXJvIHBhcmEgdG9kYSBsYSB2aWRhLgpUw7NtYXRlbG8gZW4gc2VyaW8uClBpw6luc2FsbyBkZXRlbmlkYW1lbnRlLgpZIHZ1ZWx2ZSBhIGNvbnN1bHRhcm1lIGN1YW5kbyBlc3TDqXMgcHJlcGFyYWRvLg==
EOzSAQ,,W1dvb2ZpZV0KU28gdGhhdCdzIHdoYXQgeW91IGFyZSBsb29raW5nIGZvciEKVGhlcmUgaXMgbm8gb25lIGluIHRoZSB3b3JsZAp0aGF0IGNhbiBvdXRkbyBteSBza2lsbHMgaW4gCmNyZWF0aW5nIGJlYXV0aWZ1bCBpdGVtcyBmb3IgcGV0cyEKSSBjYW4gbWFrZSBhbnkgCmtpbmQgb2YgcHJldHR5IHBldCBpdGVtIQ==,,,,,W1l1VV0KRW50w6NvIMOpIGlzc28gcXVlIGVzdMOhIHByb2N1cmFuZG8hCk7Do28gaMOhIG5pbmd1w6ltIG5vIG11bmRvLi4uCk1haXMgaGFiaWxpZG9zbyBxdWFuZG8gc2UgdHJhdGEgZGUgZmF6ZXIgaXRlbnMgcGFyYSBiaWNoaW5ob3MgZGUgZXN0aW1hw6fDo28uLi4KRG8gcXVlIGV1IQpQb3NzbyBmYXplciBxdWFscXVlci4uLgpJdGVtIHBhcmEgYmljaGluaG9zIGRlIGVzdGltYcOnw6NvIQ==,,W1dvb2ZpZV0KwqFBc8OtIHF1ZSBlc28gZXMgbG8gcXVlIGVzdMOhcyBidXNjYW5kbyEKTm8gaGF5IG5hZGllIGVuIGVsIG11bmRvCnF1ZSBwdWVkYSBzdXBlcmFyIG1pcyBoYWJpbGlkYWRlcyBlbiAKwqFjcmVhciBoZXJtb3NvcyBhcnTDrWN1bG9zIHBhcmEgbWFzY290YXMhClB1ZWRvIGhhY2VyIGN1YWxxdWllciAKwqF0aXBvIGRlIG9iamV0byBib25pdG8gcGFyYSBtYXNjb3RhcyE=
EezSAQ,,SW5xdWlyZSBhYm91dCBeMzM1NUZGJ01vbnN0ZXIgVGFtaW5nJ14wMDAwMDAgLg==,,,,,UGVyZ3VudGFyIHNvYnJlIF4zMzU1RkYnIERvbWFyIE1vbnN0cm9zICdeMDAwMDAw,,UHJlZ3VudGEgcG9yIF4zMzU1RkYnRG9tYXIgbW9uc3RydW9zJ14wMDAwMDAgLg==
EuzSAQ,,T3JkZXIgXjMzNTVGRidTa3VsbCBIZWxtJ14wMDAwMDAu,,,,,UGVkaXIgXjMzNTVGRicgRWxtbyBkZSBDcsOibmlvJ14wMDAwMDA=,,T3JkZW4gXjMzNTVGRidTa3VsbCBIZWxtJ14wMDAwMDAu
E+zSAQ,,T3JkZXIgXjMzNTVGRidNb25zdGVyIE94eWdlbiBNYXNrJ14wMDAwMDAgLg==,,,,,UGVkaXIgXjMzNTVGRicgTcOhc2NhcmEgZGUgT3hpZ8OqbmlvIHBhcmEgQmljaGluaG8gJ14wMDAwMDA=,,UGVkaWRvIF4zMzU1RkYnTcOhc2NhcmEgZGUgb3jDrWdlbm8gTW9uc3RlcideMDAwMDAwIC4=
FOzSAQ,,T3JkZXIgXjMzNTVGRidTaWxrIFJpYmJvbideMDAwMDAwIC4=,,,,,UGVkaXIgXjMzNTVGRicgTGHDp28gZGUgU2VkYSAnXjAwMDAwMA==,,UGVkaWRvIF4zMzU1RkYnQ2ludGEgZGUgc2VkYSdeMDAwMDAwIC4=
FezSAQ,,T3JkZXIgXjMzNTVGRidTdGVsbGFyIEhhaXJwaW4nXjAwMDAwMC4=,,,,,UGVkaXIgXjMzNTVGRicgT3JuYXRvIEVzdGVsYXIgJ14wMDAwMDA=,,T3JkZW4gXjMzNTVGRidIb3JxdWlsbGEgRXN0ZWxhcideMDAwMDAwLg==
FuzSAQ,,T3JkZXIgXjMzNTVGRidUaW55IEVnZyBTaGVsbCdeMDAwMDAwLg==,,,,,UGVkaXIgXjMzNTVGRicgQ2FzY2EgZGUgT3ZvIE1pbsO6c2N1bGEnXjAwMDAwMA==,,UGVkaWRvIF4zMzU1RkYnUGVxdWXDsWEgY8Ohc2NhcmEgZGUgaHVldm8nXjAwMDAwMC4=
F+zSAQ,,T3JkZXIgXjMzNTVGRidSb2NrZXIgR2xhc3NlcydeMDAwMDAwLg==,,,,,UGVkaXIgXjMzNTVGRicgw5NjdWxvcyBkZSBSb2NrZXIgJ14wMDAwMDA=,,UGVkaWRvIF4zMzU1RkYnR2FmYXMgUm9ja2VyJ14wMDAwMDAu
GOzSAQ,,W1dvb2ZpZV0KSWYgeW91IHdhbnQgdG8gaGF2ZQphIHdvbmRlcmZ1bCBib25kIHdpdGggeW91ciBwZXQsCnlvdSBzaG91bGQgZG8gc29tZXRoaW5nIG5pY2UKdGhhdCB3b3VsZCBwbGVhc2UgeW91ciBwZXQhCldlLCBtZW1iZXJzIG9mIHRoZSBQZXQgQWRvcHRpb24gVW5pb24sCmhhdmUgY29tZSB1cCB3aXRoIGEgd2hvbGUgYnVuY2ggb2YgZ3Jvb3Z5IGl0ZW1z,,,,,W1l1VV0KU2UgcXVpc2VyLi4uCkNvbnZlcnNhciBiZW0gY29tIHNldXMgYW3DoXZlaXMgYmljaGluaG9zIGRlIGVzdGltYcOnw6NvLi4KT3Mgam9nYWRvcmVzIGRldmVtIHRlciBhbGdvClBhcmEgYWdyYWRhciBzZXVzIGJpY2hpbmhvcyBkZSBlc3RpbWHDp8OjbyEKTsOzcyBjb21vIG1lbWJyb3MgZGEgVW5pw6NvIGRvcyBEb21hZG9yZXMgZGUgTW9uc3Ryb3MuLi4KRGUgYWNvcmRvIGNvbSBhcyBuZWNlc3NpZGFkZXMgZG9zIGpvZ2Fkb3Jlcy4uLg==,,W1dvb2ZpZV0KU2kgcXVpZXJlcyB0ZW5lcgp1biB2w61uY3VsbyBtYXJhdmlsbG9zbyBjb24gdHUgbWFzY290YSwKZGViZXLDrWFzIGhhY2VyIGFsZ28gYm9uaXRvCsKhcXVlIGNvbXBsYXpjYSBhIHR1IG1hc2NvdGEhCk5vc290cm9zLCBtaWVtYnJvcyBkZSBsYSBVbmnDs24gZGUgQWRvcGNpw7NuIGRlIE1hc2NvdGFzLApoYW4gbGxlZ2FkbyBjb24gdW4gbW9udMOzbiBkZSBhcnTDrWN1bG9zIGdyb292eQ==
GezSAQ,,W1dvb2ZpZV0KYmFzZWQgb24gd2hhdCBwZXQgb3duZXJzIG5lZWQuCllvdSBjYW4gc2hvcCBoZXJlCndpdGhvdXQgcHJlc3N1cmUhIApTaWxrIFJpYmJvbiEKTW9uc3RlciBPeHlnZW4gTWFzayEKU2t1bGwgSGVsbSE=,,,,,W1l1VV0KQ3JpYW1vcyB2w6FyaW9zIGl0ZW5zIGRpdmVydGlkb3MuLi4KUGFyYSBwb2RlciBjb21wcmFyIGFxdWkuLi4KU2VtIHByZXNzw6NvISBOw7NzIHRlbW9zLi4uICEKTGHDp28gZGUgU2VkYSEKTcOhc2NhcmEgZGUgT3hpZ8OqbmlvIHBhcmEgQmljaGluaG8hCkVsbW8gZGUgQ3LDom5pbyE=,,W1dvb2ZpZV0KYmFzYWRvIGVuIGxvIHF1ZSBuZWNlc2l0YW4gbG9zIGR1ZcOxb3MgZGUgbWFzY290YXMuClB1ZWRlcyBjb21wcmFyIGFxdcOtCsKhc2luIHByZXNpb25lcyEgCsKhQ2ludGEgZGUgc2VkYSEKTcOhc2NhcmEgZGUgb3jDrWdlbm8gcGFyYSBtb25zdHJ1b3MKwqFDYXNjbyBkZSBjYWxhdmVyYSE=
GuzSAQ,,W1dvb2ZpZV0KU3RlbGxhciBIYWlycGluIQpUaW55IEVnZyBTaGVsbCEhClJvY2tlciBHbGFzc2VzISEh,,,,,W1l1VV0KT3JuYXRvIEVzdGVsYXIhCkNhc2NhIGRlIE92byBNaW7DunNjdWxhISEKw5NjdWxvcyBkZSBSb2NrZXIhISE=,,W1dvb2ZpZV0KwqFQaW56YSBFc3RlbGFyIQrCocKhVGlueSBFZ2cgU2hlbGwhIQrCocKhwqFHYWZhcyBSb2NrZXIhISE=
G+zSAQ,,W1dvb2ZpZV0KVG8gZ2V0IFNrdWxsIEhlbG0sIHlvdSBuZWVkIG9uZSBeMzM1NUZGJyBCb25lIEhlbG0gJ14wMDAwMDAuClRvIGdldCBNb25zdGVyIE94eWdlbiBNYXNrLCB5b3UgbmVlZCBvbmUgXjMzNTVGRicgT3h5Z2VuIE1hc2sgJ14wMDAwMDAuClRvIGdldCBTaWxrIFJpYmJvbiwgeW91IG5lZWQgb25lIF4zMzU1RkYnIFJpYmJvbiAnXjAwMDAwMC4KVG8gZ2V0IFN0ZWxsYXIgSGFpcnBpbiwgeW91IG5lZWQgb25lIF4zMzU1RkYnIFN0YXIgRHVzdCAnXjAwMDAwMC4KVG8gZ2V0IFRpbnkgRWdnIFNoZWxsLCB5b3UgbmVlZCBvbmUgXjMzNTVGRicgRWdnIFNoZWxsICdeMDAwMDAwLg==,,,,,W1l1VV0KUGFyYSB0ZXIgdW0gRWxtbyBkZSBDcsOibmlvLCB2b2PDqiBwcmVjaXNhIGRlIHVtIF4zMzU1RkYnIEVsbW8gZGUgT3NzbyAnXjAwMDAwMC4KUGFyYSB0ZXIgdW1hIE3DoXNjYXJhIGRlIE94aWfDqm5pbyBwYXJhIEJpY2hpbmhvLCB2b2PDqiBwcmVjaXNhIGRlIHVtYSBeMzM1NUZGJyBNw6FzY2FyYSBkZSBPeGlnw6puaW8gJ14wMDAwMDAuClBhcmEgdGVyIHVtIExhw6dvIGRlIFNlZGEgdm9jw6ogcHJlY2lzYSBkZSB1bSBeMzM1NUZGJyBMYcOnbyAnXjAwMDAwMC4KUGFyYSB0ZXIgdW0gT3JuYXRvIEVzdGVsYXIgdm9jw6ogcHJlY2lzYSBkZSBeMzM1NUZGJyBQcmVzaWxoYSBkZSBFc3RyZWxhICdeMDAwMDAwLgpQYXJhIHRlciB1bSBDYXNjYSBkZSBPdm8gTWluw7pzY3VsYSB2b2PDqiBwcmVjaXNhIGRlIHVtYSBeMzM1NUZGJyBDYXNjYSBkZSBPdm8gJ14wMDAwMDAu,,W1dvb2ZpZV0KUGFyYSBvYnRlbmVyIFNrdWxsIEhlbG0sIG5lY2VzaXRhcyB1biBeMzM1NUZGJyBCb25lIEhlbG0gJ14wMDAwMDAuClBhcmEgY29uc2VndWlyIGxhIE3DoXNjYXJhIGRlIE94w61nZW5vIGRlIE1vbnN0cnVvLCBuZWNlc2l0YXMgdW5hIF4zMzU1RkYnIE3DoXNjYXJhIGRlIE94w61nZW5vICdeMDAwMDAwLgpQYXJhIG9idGVuZXIgU2lsayBSaWJib24sIG5lY2VzaXRhcyB1biBeMzM1NUZGJyBSaWJib24gJ14wMDAwMDAuClBhcmEgY29uc2VndWlyIEhvcnF1aWxsYSBFc3RlbGFyLCBuZWNlc2l0YXMgdW4gXjMzNTVGRicgUG9sdm8gRXN0ZWxhciAnXjAwMDAwMC4KUGFyYSBvYnRlbmVyIHVuYSBjw6FzY2FyYSBkZSBodWV2byBkaW1pbnV0YSwgbmVjZXNpdGFzIHVuYSBeMzM1NUZGJyBjw6FzY2FyYSBkZSBodWV2byAnXjAwMDAwMC4=
HOzSAQ,,VG8gZ2V0IFJvY2tlciBHbGFzc2VzLCB5b3UgbmVlZCB0d28gXjMzNTVGRidNYXNxdWVyYWRlcydeMDAwMDAwLApvbmUgXjMzNTVGRicgUmliYm9uICdeMDAwMDAwLAphbmQgXjMzNTVGRicgNDAwIFplbnkgJ14wMDAwMDAu,,,,,UGFyYSB0ZXIgw5NjdWxvcyBkZSBSb2NrZXIgdm9jw6ogcHJlY2lzYSBkZSBkb2lzIF4zMzU1RkYnIFphcmfDtG5pb3MgJ14wMDAwMDAsCkUgdW0gXjMzNTVGRicgTGHDp28gJ14wMDAwMDAsCkFsw6ltIGRlIF4zMzU1RkYnIDQwMCBaZW55ICdeMDAwMDAwLg==,,UGFyYSBjb25zZWd1aXIgR2FmYXMgZGUgUm9ja2VyLCBuZWNlc2l0YXMgZG9zIF4zMzU1RkYnTWFzY2FyYWRhcydeMDAwMDAwLAp1bmEgXjMzNTVGRidDaW50YSdeMDAwMDAwLAp5IF4zMzU1RkYnNDAwIFplbnknXjAwMDAwMC4=
HezSAQ,,W1dvb2ZpZV0KUGxlYXNlIGRvIHlvdSBiZXN0IHRvIGFjcXVpcmUgdGhlbS4KVGhpbmsgb2YgeW91ciBwZXRzIQpCZSBhIG1vcmUgcmVzcG9uc2libGUgbWFzdGVyISE=,,,,,W1l1VV0KRMOqIG8gbcOheGltbyBkZSBzaSBwYXJhIGFjaGFyIGVzc2VzIGl0ZW5zLgpQb3Igc2V1cyBxdWVyaWRvcyBiaWNoaW5ob3MgZGUgZXN0aW1hw6fDo28uLi4KU2VqYSB1bSBkb25vIHJlc3BvbnPDoXZlbCEh,,W1dvb2ZpZV0KUG9yIGZhdm9yLCBoYXogdG9kbyBsbyBwb3NpYmxlIHBvciBhZHF1aXJpcmxvcy4KwqFQaWVuc2EgZW4gdHVzIG1hc2NvdGFzIQrCocKhU2VhIHVuIGFtbyBtw6FzIHJlc3BvbnNhYmxlISE=
HuzSAQ,,VG8gcHJvZHVjZSB0aGlzIGl0ZW0sCndlIHVzZSBpbmdyZWRpZW50cyB0aGF0IGNhbiBiZSB1c2VkIGZvciB3b3JsZCBkZXN0cnVjdGlvbi4KSXTigJlzIGNhbGxlZCBeMzM1NUZGJ1NrdWxsIEhlbG0nXjAwMDAwMCEhCkl0IGxvb2tzIGNyZWVweSwgYnV0IGl04oCZcyBwb3dlcmZ1bC4KSXQgY2FuIG1ha2UgcGVvcGxlIGdvIGNyYXp5LgpJdOKAmXMgYSB2ZXJ5IG15c3RpY2FsIGl0ZW0u,,,,,VXNhbW9zIGl0ZW5zIHF1ZSBwb2RlbSBkZXN0cnVpciBvIG11bmRvIGNvbW8gaW5ncmVkaWVudGVzLi4uClBhcmEgcHJvZHV6aXIuCk8gcXVlIGNoYW1hbW9zIGRlIF4zMzU1RkYnRWxtbyBkZSBDcsOibmlvJ14wMDAwMDAhIQrDiSBhc3N1c3RhZG9yIG1hcyBwb2Rlcm9zby4uLgpQb2RlIGVubG91cXVlY2VyIGFzIHBlc3NvYXMgLi4uCsOJIHVtIGl0ZW0gbXVpdG8gbWlzdGVyaW9zby4=,,UGFyYSBwcm9kdWNpciBlc3RlIGFydMOtY3VsbywKdXNhbW9zIGluZ3JlZGllbnRlcyBxdWUgcHVlZGVuIHNlciB1c2Fkb3MgcGFyYSBsYSBkZXN0cnVjY2nDs24gZGVsIG11bmRvLgrCocKhU2UgbGxhbWEgXjMzNTVGRidZZWxtbyBkZSBDYWxhdmVyYSdeMDAwMDAwISEKUGFyZWNlIGVzcGVsdXpuYW50ZSwgcGVybyBlcyBwb2Rlcm9zby4KUHVlZGUgdm9sdmVyIGxvY2EgYSBsYSBnZW50ZS4KRXMgdW4gb2JqZXRvIG11eSBtw61zdGljby4=
H+zSAQ,,W1dvb2ZpZV0KQWgtaGEhIFlvdSBoYXBwZW4gdG8gaGF2ZSAKdGhlIGl0ZW1zIHRvIG1ha2UgU2t1bGwgSGVsbS4KR3JlYXQhIEdyZWF0IQpGb3IgdGhlIGJlbmVmaXQgb2Ygb3VyIGdvb2QgcmVwdXRhdGlvbiwKSSdsbCBtYWtlIGl0IGZvciB5b3UgcmlnaHQgYXdheSE=,,,,,W1l1VV0KVWgtSGEhIFZvY8OqIHRlbSBvcyBpdGVucy4uLgpQYXJhIGZhemVyIHVtIEVsbW8gZGUgQ3LDom5pbyEKTWFyYXZpbGhvc28hIQpQb3Igbm9zc2EgcmVwdXRhw6fDo28uLi4KRmFyZWkgaW1lZGlhdGFtZW50ZSE=,,W1dvb2ZpZV0KwqFBaC1oYSEgUmVzdWx0YSBxdWUgdGllbmVzIApsb3Mgb2JqZXRvcyBwYXJhIGhhY2VyIGVsIENhc2NvIGRlIENhbGF2ZXJhLgrCoWdlbmlhbCEgwqFHZW5pYWwhClBvciBlbCBiaWVuIGRlIG51ZXN0cmEgYnVlbmEgcmVwdXRhY2nDs24sCsKhdGUgbG8gaGFyw6kgYWhvcmEgbWlzbW8h
IOzSAQ,,W1dvb2ZpZV0KUmUtc2hhcGUgQm9uZSBIZWxtIGEgYml0Li4u,,,,,W1l1VV0KQWp1c3RlIG8gRWxtbyBkZSBPc3NvIHVtIHBvdWNvLi4u,,W1dvb2ZpZV0KUmVtb2RlbGEgdW4gcG9jbyBlbCBZZWxtbyBkZSBIdWVzby4uLg==
IezSAQ,,XjMzNTVGRi0gUHVnYXohIFB1Z2F6ISAtXjAwMDAwMA==,,,,,XjMzNTVGRi0gUHVnYXohIFB1Z2F6ISAtXjAwMDAwMA==,,XjMzNTVGRi0gwqFQdWdheiEgwqFQdWdheiEgLV4wMDAwMDA=
IuzSAQ,,W1dvb2ZpZV0KQWxyaWdodCEgSXTigJlzIGRvbmUhClRoaXMgaXMgbWFkZQpzcGVjaWFsbHkgZm9yIHlvdXIgcGV0cy4uLgpTa3VsbCBIZWxtIQ==,,,,,W1l1VV0KUHJvbnRvISBFc3TDoSBmZWl0byEKRmVpdG8gZXNwZWNpYWxtZW50ZS4uLgpQYXJhIHNldXMgYmljaGluaG9zIGRlIGVzdGltYcOnw6NvLi4uCkVsbW8gZGUgQ3LDom5pbyE=,,W1dvb2ZpZV0KwqFNdXkgYmllbiEgwqFIZWNobyEKRXN0byBlc3TDoSBoZWNobwplc3BlY2lhbG1lbnRlIHBhcmEgc3VzIG1hc2NvdGFzLi4uCsKhWWVsbW8gZGUgQ2FsYXZlcmEh
I+zSAQ,,W1dvb2ZpZV0KU2t1bGwgSGVsbSEKVGhlcmXigJlzIG9ubHkgb25lIHdheSB0byBjcmVhdGUKdGhpcyB0aGluZyB0aGF0IHlvdXIgcGV0cyB3aWxsIGxvdmUuCkdldCBvbmUgXjMzNTVGRiBCb25lIEhlbG0hXjAwMDAwMC4KQnJpbmcgaXQgdG8gbWUhCkZvciB0aGUgYmVuZWZpdCBvZiBvdXIgZ29vZCByZXB1dGF0aW9uLA==,,,,,W1l1VV0KUGFyYSBmYXplciBhcXVpbG8gcXVlIHNldXMgYmljaGluaG9zIGRlIGVzdGltYcOnw6NvIGFkb3JhbS4uLgpFbG1vIGRlIENyw6JuaW8hCkjDoSBhcGVuYXMgdW1hIG1hbmVpcmEhCkNvbnNpZ2EgdW0gXjMzNTVGRiBFbG1vIGRlIE9zc28gIV4wMDAwMDAuCkUgdHJhZ2EtbyBwYXJhIG1pbSEKUG9yIG5vc3NhIHJlcHV0YcOnw6NvLi4u,,W1dvb2ZpZV0KwqFZZWxtbyBkZSBjYWxhdmVyYSEKVGhlcmXrrakgc8OzbG8gdW5hIG1hbmVyYSBkZSBjcmVhcgplc3RhIGNvc2EgcXVlIGEgdHVzIG1hc2NvdGFzIGxlcyBlbmNhbnRhcsOhLgpDb25zaWd1ZSB1biBeMzM1NUZGIMKhWWVsbW8gZGUgSHVlc28hIF4wMDAwMDAKwqFUcsOhaWdhbm1lbG8hClBvciBlbCBiaWVuIGRlIG51ZXN0cmEgYnVlbmEgcmVwdXRhY2nDs24s
JOzSAQ,,W1dvb2ZpZV0KSSdsbCBtYWtlIGl0IGZvciB5b3UgcmlnaHQgYXdheSE=,,,,,W1l1VV0KRmFyZWkgaW1lZGlhdGFtZW50ZSEgIQ==,,W1dvb2ZpZV0KwqFUZSBsbyBwcmVwYXJhcsOpIGFob3JhIG1pc21vIQ==
JezSAQ,,VG8gbWFrZSB0aGlzIGl0ZW0sIHlvdSBuZWVkIHRvIHVzZQp3ZWFyYWJsZSBpdGVtcyBhcyBpbmdyZWRpZW50cy4KQWgsIHRoZSBeMzM1NUZGJ094eWdlbiBNYXNrJy5eMDAwMDAwCldoZW4geW91IHdlYXIgaXQsIG5vIG9uZSB3aWxsIGJlIGFibGUgdG8gCnRlbGwgd2hvIG9yIHdoYXQgeW91IGFyZS4=,,,,,VXNhbW9zIGl0ZW5zIGRlIHZlc3R1w6FyaW8gY29tbyBpbmdyZWRpZW50ZXMuLi4KUGFyYSBwcm9kdXppci4KXjMzNTVGRicgTcOhc2NhcmEgZGUgT3hpZ8OqbmlvICdeMDAwMDAwCkFvIHVzYXIgaXNzbyAuLi4KTmluZ3XDqW0gc2FiZSBkaXplciBxdWVtIHZvY8OqIMOpLi4u,,UGFyYSBmYWJyaWNhciBlc3RlIGFydMOtY3VsbywgbmVjZXNpdGFzIHV0aWxpemFyCmNvbW8gaW5ncmVkaWVudGVzLgpBaCwgbGEgXjMzNTVGRidNw6FzY2FyYSBkZSBPeMOtZ2VubycuXjAwMDAwMApDdWFuZG8gbGEgdXNhcywgbmFkaWUgc2Vyw6EgY2FwYXogZGUuLi4gCnNhYmVyIHF1acOpbiBvIHF1w6kgZXJlcy4=
JuzSAQ,,W1dvb2ZpZV0KQWgtaGEhIFlvdSBoYXBwZW4gdG8gaGF2ZSAKdGhlIGl0ZW1zIHRvIG1ha2UgTW9uc3RlciBPeHlnZW4gTWFzay4KR3JlYXQhIEdyZWF0IQpGb3IgdGhlIGJlbmVmaXQgb2Ygb3VyIGdvb2QgcmVwdXRhdGlvbiwKSSdsbCBtYWtlIGl0IGZvciB5b3UgcmlnaHQgYXdheSE=,,,,,W1l1VV0KVWgtSGEhIFZvY8OqIHRlbSBvcyBpdGVucy4uLgpQYXJhIGZhemVyIE3DoXNjYXJhIGRlIE94aWfDqm5pbyBwYXJhIEJpY2hpbmhvLgrDk3RpbW8hClBvciBub3NzYSByZXB1dGHDp8Ojby4uLgpGYXJlaSBpbWVkaWF0YW1lbnRlIQ==,,W1dvb2ZpZV0KwqFBaC1oYSEgUmVzdWx0YSBxdWUgdGllbmVzIApsb3MgYXJ0w61jdWxvcyBwYXJhIGhhY2VyIGxhIE3DoXNjYXJhIGRlIE94w61nZW5vIE1vbnN0cnVvc2EuCsKhR2VuaWFsISDCoUdlbmlhbCEKUG9yIGVsIGJpZW4gZGUgbnVlc3RyYSBidWVuYSByZXB1dGFjacOzbiwKwqF0ZSBsYSBoYXLDqSBhaG9yYSBtaXNtbyE=
J+zSAQ,,W1dvb2ZpZV0KQmVuZGluZy4uLmJlbmRpbmcuLi5iZW5kaW5nLi4uT3h5Z2VuIE1hc2su,,,,,W1l1VV0KQ29sb3F1ZSBhIE3DoXNjYXJhIGRlIE94aWfDqm5pbyBkZW50cm8u,,W1dvb2ZpZV0KRG9ibGFuZG8uLi4gZG9ibGFuZG8uLi4gZG9ibGFuZG8uLi4gTcOhc2NhcmEgZGUgT3jDrWdlbm8u
KOzSAQ,,XjMzNTVGRi0gIFB1ZWxhISBQdWVsYSEgUGFoPz8gLV4wMDAwMDA=,,,,,XjMzNTVGRi0gIFB1ZWxhISBQdWVsYSEgUGFoPz8gLV4wMDAwMDA=,,XjMzNTVGRi0gwqFQdWVsYSEgwqFQdWVsYSEgwr9QYWg/IC1eMDAwMDAw
KezSAQ,,W1dvb2ZpZV0KQWxyaWdodCEgSXTigJlzIGRvbmUhClRoaXMgaXMgbWFkZQpzcGVjaWFsbHkgZm9yIHlvdXIgcGV0cy4uLgpNb25zdGVyIE94eWdlbiBNYXNrIQ==,,,,,W1l1VV0KUHJvbnRvISBFc3TDoSBmZWl0byEKRmVpdG8gZXNwZWNpYWxtZW50ZS4uLgpQYXJhIHNldXMgYmljaGluaG9zIGRlIGVzdGltYcOnw6NvLi4uCk3DoXNjYXJhIGRlIE94aWfDqm5pbyBwYXJhIEJpY2hpbmhvIQ==,,W1dvb2ZpZV0KwqFNdXkgYmllbiEgwqFIZWNobyEKRXN0byBlc3TDoSBoZWNobwplc3BlY2lhbG1lbnRlIHBhcmEgc3VzIG1hc2NvdGFzLi4uCsKhTW9uc3RydW8gTcOhc2NhcmEgZGUgT3jDrWdlbm8h
KuzSAQ,,W1dvb2ZpZV0KQWghIE1vbnN0ZXIgT3h5Z2VuIE1hc2shClRoZXJlIGlzIG9ubHkgb25lIAp3YXkgdG8gZG8gaXQhCkp1c3Qgb25lIF4zMzU1RkYgT3h5Z2VuIE1hc2shXjAwMDAwMApBbmQgYnJpbmcgaXQgdG8gbWUhCkZvciB0aGUgYmVuZWZpdCBvZiBvdXIgZ29vZCByZXB1dGF0aW9uLA==,,,,,W1l1VV0KUGFyYSBmYXplciBhcXVpbG8gcXVlIHNldXMgYmljaGluaG9zIGRlIGVzdGltYcOnw6NvIGFkb3JhbS4uLgpNw6FzY2FyYSBkZSBPeGlnw6puaW8gcGFyYSBCaWNoaW5oby4uLgpIw6EgYXBlbmFzIHVtYSBtYW5laXJhIQpQZWd1ZSB1bWEgXjMzNTVGRiBNw6FzY2FyYSBkZSBPeGlnw6puaW8gIV4wMDAwMDAKRSB0cmFnYS1hIHBhcmEgbWltIQpQb3Igbm9zc2EgcmVwdXRhw6fDo28uLi4=,,W1dvb2ZpZV0KwqFBaCEgwqFNb25zdHJ1byBNw6FzY2FyYSBkZSBPeMOtZ2VubyEKU8OzbG8gaGF5IHVuYSAKwqFtYW5lcmEgZGUgaGFjZXJsbyEKU29sbyB1bmEgXjMzNTVGRiDCoU3DoXNjYXJhIGRlIE94w61nZW5vIQrCoVkgdHLDoWVtZWxhIQpQb3IgZWwgYmllbiBkZSBudWVzdHJhIGJ1ZW5hIHJlcHV0YWNpw7NuLA==
