wObOBw,,U2NydWJieQ==,,,,,RXNmcmlnYQ==,,RXhmb2xpYWRvcg==
wufOBw,,QmVjYXVzZSBvZiB0aGUgaW50cnVkZXJzPw==,,,,,UG9yIGNhdXNhIGRvcyBpbnZhc29yZXM/,,wr9Qb3IgY3VscGEgZGUgbG9zIGludHJ1c29zPw==
w+fOBw,,W1N3aXNoaWVdCkhhdmUgeW91IHNlZW4gdGhvc2UgaW50cnVkZXJzIGJlZm9yZT8gVXBvbiBsZWFybmluZyB0aGVyZSB3YXMgYSBiYXRoaG91c2UsIHRoZXkgcnVzaGVkIGluIGdyb3VwcyB3aXRoIGV5ZXMgYWZsYW1lLiBXaGVuIHdlIHByZXZlbnRlZCB0aGVpciBlbnRyeSwgdGhleSBmb3JjZWQgdGhlaXIgd2F5IGluLg==,,,,,W1ZhaGlkYV0KSsOhIHZpdSBhcXVlbGVzIGludmFzb3JlcyBhbnRlcz8gQW8gc2FiZXJlbSBkYSBleGlzdMOqbmNpYSBkYSBzYXVuYSwgdmllcmFtIGVtIG1hc3NhLCBlbmxvdXF1ZWNpZG9zLiBRdWFuZG8gdGVudGFtb3MgaW1wZWRpciBhIGVudHJhZGEsIHVzYXJhbSBmb3LDp2EgcGFyYSBpbnZhZGlyLg==,,W1N3aXNoaWVdCsK/SGFzIHZpc3RvIGEgYXF1ZWwgaW50cnVzbyBkZSBoYWNlIHBvY28/IEFsIGVudGVyYXJzZSBkZSBxdWUgaGFiw61hIHVuYSBiYcOxZXJhLCBzZSBsZXMgZnVlcm9uIGxvcyBvam9zIHkgdmluaWVyb24gZW4gZ3J1cG8uIENvbW8gbm8gbGVzIGRlamFtb3MgZW50cmFyLCBlbnRyYXJvbiB1c2FuZG8gbGEgZnVlcnphLg==
xOfOBw,,W1N3aXNoaWVdClRoZXkgZW50ZXJlZCB0aHJvdWdoIGFueSBwbGFjZSB3aGVyZSB0aGV5IGNvdWxkIHdlZGdlIHRoZWlyIGJvZGllcywgc3VjaCBhcyB3YXRlciBwaXBlcyBhbmQgZHJhaW5zLiBBcyBhIHJlc3VsdCwgZXZlbiBmaXNoIGZyb20gdGhlIGxha2UgZmxvd2VkIGluLgpDbGVhbmluZyBiZWNhbWUgZmFyIG1vcmUgZGlmZmljdWx0LiBUaGUgaW50cnVkZXJzIGV2ZW4gaW50ZXJmZXJlZCB3aXRoIGNsZWFuaW5nIGFuZCBvZmZlcmVkIG5vIGNvb3BlcmF0aW9uIHdoYXRzb2V2ZXIu,,,,,W1ZhaGlkYV0KRW50cmFyYW0gcG9yIHF1YWxxdWVyIGx1Z2FyIG9uZGUgcHVkZXNzZW0gc2UgZW5maWFyLCBjb21vIHR1YnVsYcOnw7VlcyBlIHJhbG9zLiBDb20gaXNzbywgYXTDqSBwZWl4ZXMgZG9zIGFycmVkb3JlcyBkYSBtYW5zw6NvIGFjYWJhcmFtIGVudHJhbmRvLgpJc3NvIHRvcm5vdSBhIGxpbXBlemEgYWluZGEgbWFpcyBkaWbDrWNpbC4gT3MgaW52YXNvcmVzIGF0w6kgYXRyYXBhbGhhdmFtIGEgbGltcGV6YSwgbsOjbyBjb29wZXJhdmFtIGRlIGZvcm1hIGFsZ3VtYS4=,,W1N3aXNoaWVdCkVudHJhcm9uIHBvciBjdWFscXVpZXIgc2l0aW8gZG9uZGUgcHVkaWVyYW4gZW5jYWphciBlbCBjdWVycG8sIGNvbW8gbGFzIHR1YmVyw61hcyB5IGxvcyBkZXNhZ8O8ZXMuIFBvciBlc28gdGFtYmnDqW4gc2UgY29sYXJvbiBsb3MgcGVjZXMgZGVsIGxhZ28uCkdyYWNpYXMgYSBlc28sIGxpbXBpYXIgc2Ugdm9sdmnDsyBtw6FzIGRpZsOtY2lsLiBFc2UgaW50cnVzbyBpbmNsdXNvIGVzdG9yYsOzIGxhIGxpbXBpZXphLiBObyBjb29wZXLDsyBlbiBhYnNvbHV0byBjb24gbGEgbGltcGllemEu
xefOBw,,W1N3aXNoaWVdClRoaXMgaXMgYSBiYXRoaG91c2UuIEh5Z2llbmUgbXVzdCB0YWtlIHByaW9yaXR5LiBOYXR1cmFsbHksIHRoZSBmdW5jdGlvbnMgb2YgdGhlIGNsZWFuaW5nIEF1dG9tYXRhIHdlcmUgcmVpbmZvcmNlZC4=,,,,,W1ZhaGlkYV0KQXF1aSDDqSB1bWEgc2F1bmEuIEEgaGlnaWVuZSBkZXZlIHNlciBwcmlvcmlkYWRlIG3DoXhpbWEuIENvbW8gY29uc2VxdcOqbmNpYSBuYXR1cmFsLCByZWZvcsOnYW1vcyBhcyBmdW7Dp8O1ZXMgZGFzIEF1dMO0bWF0YXMgZGUgbGltcGV6YS4=,,W1N3aXNoaWVdCkVzdGUgbHVnYXIgZXMgdW4gYmHDsW8uIExhIGhpZ2llbmUgZGViZSBzZXIgbGEgbcOheGltYSBwcmlvcmlkYWQuIENvbW8gcGFzbyBuYXR1cmFsLCBzZSByZWZvcnphcm9uIGxhcyBmdW5jaW9uZXMgZGUgbGFzIG11w7FlY2FzIGF1dG9tw6F0aWNhcyBxdWUgcmVhbGl6YW4gbGEgbGltcGllemEu
xufOBw,,W1N3aXNoaWVdClRoZSBpbnRydWRlcnMgaGF2ZSByZXRyZWF0ZWQgc29tZXdoYXQgYnV0IGhhdmUgbm90IGJlZW4gY29tcGxldGVseSBlcmFkaWNhdGVkLiBUaGVyZWZvcmUsIHRoZSBDbGVhbmluZyBSb2JvdCBtdXN0IHJlbWFpbiBhcyBpdCBpcy4gRXhlcmNpc2UgY2F1dGlvbiB3aGVuIGl0IGlzIGNsZWFuaW5nIHRpbWUu,,,,,W1ZhaGlkYV0KT3MgaW52YXNvcmVzIHJlY3VhcmFtLCBtYXMgbsOjbyBmb3JhbSBjb21wbGV0YW1lbnRlIGVsaW1pbmFkb3MuIFBvciBpc3NvLCBuw6NvIHBvZGVtb3MgcmVtb3ZlciBhcyBlbXByZWdhZGFzLiBRdWFuZG8gZm9yIGhvcmEgZGEgbGltcGV6YSwgdGVuaGEgY3VpZGFkby4=,,W1N3aXNoaWVdCkVsIGludHJ1c28gcmV0cm9jZWRpw7MgdW4gcGFzbywgcGVybyBubyBmdWUgZXJyYWRpY2FkbyBwb3IgY29tcGxldG8uIFBvciBlc28sIG5vIHF1ZWRhIG3DoXMgcmVtZWRpbyBxdWUgZGVqYXIgYSBSb2JvdCBkZSBMaW1waWV6YSB0YWwgY29tbyBlc3TDoS4gQXPDrSBxdWUsIGN1YW5kbyBzZWEgaG9yYSBkZSBsaW1waWFyLCBoYXkgcXVlIHRlbmVyIGN1aWRhZG8u
x+fOBw,,RGlkIHRoZXkgY2F1c2UgbXVjaCBpbnRlcmZlcmVuY2U/,,,,,TyBxdWUgZWxlcyBxdWVyaWFtPw==,,wr9Fc3RvcmLDsyBtdWNobz8=
yOfOBw,,W1N3aXNoaWVdCkkgZG8gbm90IHVuZGVyc3RhbmQgaHVtYW4gZGVzaXJlLgpJIG9ubHkga25vdyB0aGF0IGh1bWFucyByZXF1aXJlIGJhdGhpbmcsIGFuZCB0aGF0IGJhdGhpbmcgcmVxdWlyZXMgc3BhY2UgYW5kIGNsZWFuaW5nLiBUaGUgdGFzayBhc3NpZ25lZCB0byBtZSBpcyBjbGVhbmluZy4gVGhhdCBpcyBhbGwgSSBrbm93Lg==,,,,,W1ZhaGlkYV0KTsOjbyBzZWkgbyBxdWUgcXVlcmlhbS4KQXBlbmFzIHNlaSBxdWUgaHVtYW5vcyBwcmVjaXNhbSBkZSBiYW5obywgcXVlIG8gYmFuaG8gcHJlY2lzYSBkZSBlc3Bhw6dvIGUgbGltcGV6YSwgZSBxdWUgbWluaGEgbWlzc8OjbyDDqSB2YXJyZXIuIMOJIHPDsyBpc3NvIHF1ZSBzZWku,,W1N3aXNoaWVdCk5vIGNvbm96Y28gbG9zIGRlc2VvcyBkZSBsb3MgaHVtYW5vcy4KU29sbyBzw6kgcXVlIGxvcyBodW1hbm9zIG5lY2VzaXRhbiBiYcOxYXJzZSwgeSBxdWUgcGFyYSBiYcOxYXJzZSBzZSBuZWNlc2l0YSB1biBlc3BhY2lvIHkgbGltcGllemEuIExhIG1pc2nDs24gcXVlIHNlIG1lIGhhIGRhZG8gZXMgbGltcGlhci4gRXNvIGVzIHRvZG8gbG8gcXVlIHPDqS4=
yefOBw,,W1N3aXNoaWVdClRoZSBpbnRydWRlcnMgd2VyZSBvZiB0d28gdHlwZXMuIFRob3NlIG9ic2Vzc2VkIHdpdGggYmF0aGluZywgYW5kIHRob3NlIG9ic2Vzc2VkIHdpdGggdGhlIGZhY2lsaXRpZXMuIFdoYXQgdGhleSBzaGFyZWQgaW4gY29tbW9uIHdhcyBvYnNlc3Npb24u,,,,,W1ZhaGlkYV0KSGF2aWEgZG9pcyB0aXBvcyBkZSBpbnZhc29yZXMuIE9zIG9iY2VjYWRvcyBwb3IgYmFuaG8gZSBvcyBvYmNlY2Fkb3MgcGVsYSBzYXVuYS4gTyBwb250byBlbSBjb211bSBlcmEgYSBvYnNlc3PDo28u,,W1N3aXNoaWVdCkxvcyBpbnRydXNvcyBlcmFuIGRlIGRvcyB0aXBvcy4gTG9zIHF1ZSBzZSBvYnNlc2lvbmFiYW4gY29uIGVsIGJhw7FvLCBvIGxvcyBxdWUgc2Ugb2JzZXNpb25hYmFuIGNvbiBsYXMgaW5zdGFsYWNpb25lcy4gTG8gcXVlIGFtYm9zIHRlbsOtYW4gZW4gY29tw7puIGVyYSBxdWUgc2Ugb2JzZXNpb25hYmFuIGNvbiBhbGdvLg==
yufOBw,,W1N3aXNoaWVdClRob3NlIG9ic2Vzc2VkIHdpdGggYmF0aGluZyBkaWQgbm90IGNvb3BlcmF0ZSB3aXRoIGNsZWFuaW5nLCBhbmQgdGhvc2Ugb2JzZXNzZWQgd2l0aCB0aGUgZmFjaWxpdGllcyBkZXN0cm95ZWQgdGhlIGZhY2lsaXRpZXMgYW5kIHRoZSBBdXRvbWF0YS4KVGhleSBkaXNtYW50bGVkIHRoZSBCb2lsZXIsIGRhbWFnZWQgdGhlIHBpcGVzLCBhbmQgZGlzYXNzZW1ibGVkIEF1dG9tYXRhLiBJdCBpcyBzYWlkIHRoYXQgbm8gb25lIGtub3dzIGhvdyBsb25nIHJlc3RvcmF0aW9uIHdpbGwgdGFrZS4gT3RoZXIgYXJlYXMgYXJlIGluIGEgc2ltaWxhciBzdGF0ZSwgYW5kIHRoZSBlbnRpcmUgbWFuc2lvbiBpcyBsaWtlIHRoaXMu,,,,,W1ZhaGlkYV0KT3Mgb2JjZWNhZG9zIHBvciBiYW5obyBuw6NvIGNvb3BlcmF2YW0gY29tIGEgbGltcGV6YSwgZSBvcyBvYmNlY2Fkb3MgcGVsYSBzYXVuYSBkZXN0cnXDrWFtIGVzdHJ1dHVyYXMgZSBhdXTDtG1hdGFzLgpEZXNtb250YXJhbSBhIGNhbGRlaXJhLCBkYW5pZmljYXJhbSB0dWJ1bGHDp8O1ZXMgZSBkZXNtYW50ZWxhcmFtIEF1dMO0bWF0YXMuIERpemVtIHF1ZSBuw6NvIHNhYmVtIHF1YW50byB0ZW1wbyBsZXZhcsOhIHBhcmEgcmVzdGF1cmFyLiBBIHNpdHVhw6fDo28gbsOjbyDDqSBtdWl0byBkaWZlcmVudGUgZW0gb3V0cm9zIGxvY2FpcywgdG9kYSBhIG1hbnPDo28gZXN0w6EgYXNzaW0u,,W1N3aXNoaWVdCkxvcyBodW1hbm9zIG9ic2VzaW9uYWRvcyBjb24gZWwgYmHDsW8gbm8gY29vcGVyYWJhbiBjb24gbGEgbGltcGllemEsIHkgbG9zIGh1bWFub3Mgb2JzZXNpb25hZG9zIGNvbiBsYXMgaW5zdGFsYWNpb25lcyBkZXN0cnXDrWFuIGxhcyBpbnN0YWxhY2lvbmVzIHkgbGFzIG11w7FlY2FzIGF1dG9tw6F0aWNhcy4KVGFtYmnDqW4gc2UgbGxldmFyb24gQ2FsZGVyYSwgZGHDsWFyb24gbGFzIHR1YmVyw61hcyB5IGRlc21hbnRlbGFyb24gbGFzIG11w7FlY2FzIGF1dG9tw6F0aWNhcy4gRGljZW4gcXVlIG5vIHNhYmVuIGN1w6FudG8gdGFyZGFyw6EgbGEgcmVzdGF1cmFjacOzbi4gTGEgc2l0dWFjacOzbiBlbiBvdHJvcyBsdWdhcmVzIHRhbXBvY28gZXMgbXV5IGRpc3RpbnRhOyBkaWplcm9uIHF1ZSB0b2RhIGxhIG1hbnNpw7NuIGVzdMOhIGVuIGVzdGUgZXN0YWRvLg==
y+fOBw,,W1N3aXNoaWVdCldoYXQgaXMgdGhlIGdyZWF0ZXN0IGRpc3Rpbmd1aXNoaW5nIGZlYXR1cmUgYmV0d2VlbiBndWVzdHMgYW5kIGludHJ1ZGVycz8gV2h5IGRvIHRoZWlyIGJlaGF2aW9yYWwgcGF0dGVybnMgZGlmZmVyPyBIb3cgZG8gaHVtYW5zIGRpc3Rpbmd1aXNoIGJldHdlZW4gdGhlIHR3bz8=,,,,,W1ZhaGlkYV0KUG9yIHF1ZSBvcyBpbnZhc29yZXMgbsOjbyBzw6NvIGNvbW8gb3MgdmlzaXRhbnRlcz8gUG9yIHF1ZSBzZXVzIHBhZHLDtWVzIGRlIGNvbXBvcnRhbWVudG8gc8OjbyBkaWZlcmVudGVzPyBDb21vIG9zIGh1bWFub3MgZGlzdGluZ3VlbSBlc3NlcyBkb2lzPw==,,W1N3aXNoaWVdCsK/Q3XDoWwgZXMgbGEgY2FyYWN0ZXLDrXN0aWNhIG3DoXMgZ3JhbmRlIHF1ZSBkaXN0aW5ndWUgYSBsb3MgaHXDqXNwZWRlcyBkZSBsb3MgaW50cnVzb3M/IMK/UG9yIHF1w6kgbG9zIGh1w6lzcGVkZXMgeSBsb3MgaW50cnVzb3MgdGllbmVuIHBhdHJvbmVzIGRlIGNvbmR1Y3RhIGRpc3RpbnRvcz8gwr9Dw7NtbyBkaXN0aW5ndWVuIGxvcyBodW1hbm9zIGxhIGRpZmVyZW5jaWEgZW50cmUgYW1ib3M/
zOfOBw,,W1N3aXNoaWVdCldlIEF1dG9tYXRhIGhhdmUgb25seSBpbnRlcmFjdGVkIHdpdGggZ3Vlc3RzLCBzbyBpdCBpcyBuYXR1cmFsIHRoYXQgd2UgZG8gbm90IGZ1bGx5IHVuZGVyc3RhbmQuCkFyZSB3ZSBub3QgdW5hYmxlIHRvIHBlcmNlaXZlIHdoYXQgaHVtYW5zIG5hdHVyYWxseSBmZWVsPyBXZSBjYW5ub3QgZXZlbiBzZW5zZSB0aGUgdGV4dHVyZSB3aGVyZSBvdXIgZmluZ2VydGlwcyB0b3VjaC4=,,,,,W1ZhaGlkYV0KTsOzcywgQXV0w7RtYXRhcywgc8OzIHRpdmVtb3MgY29udGF0byBjb20gdmlzaXRhbnRlcyBhdMOpIGFnb3JhLCBlbnTDo28gw6kgbmF0dXJhbCBxdWUgbsOjbyBzYWliYW1vcy4KTsOjbyBjb25zZWd1aW1vcyBzZW50aXIgY29pc2FzIHF1ZSBodW1hbm9zIGNvbnNpZGVyYW0gbmF0dXJhaXMuIE5lbSBtZXNtbyBhIHNlbnNhw6fDo28gZG8gdG9xdWUgbmEgcG9udGEgZG9zIGRlZG9zLg==,,W1N3aXNoaWVdCkNyZW8gcXVlIGVzIG5hdHVyYWwgcXVlIG5vIGxvIHNlcGFtb3MgYmllbiwgeWEgcXVlIGxhcyBtdcOxZWNhcyBhdXRvbcOhdGljYXMgY29tbyBub3NvdHJvcyBzb2xvIGhlbW9zIHRlbmlkbyBjb250YWN0byBjb24gbG9zIGh1w6lzcGVkZXMgaGFzdGEgYWhvcmEuCk5vc290cm9zIG5vIHBvZGVtb3Mgc2VudGlyIGNvc2FzIHF1ZSBsb3MgaHVtYW5vcyBwdWVkZW4gZGFyIHBvciBzZW50YWRhcy4gTmkgc2lxdWllcmEgY29ub2NlbW9zIGxhIHNlbnNhY2nDs24gYWwgdGFjdG8gZGUgdW5hIHBhcnRlIGNvbW8gZXN0YSwgZG9uZGUgbGEgcHVudGEgZGUgbG9zIGRlZG9zIGxsZWdhIGEgdG9jYXIu
zefOBw,,W1N3aXNoaWVdCkhvd2V2ZXIsIGV2ZW4gd2l0aG91dCBrbm93aW5nIHN1Y2ggdGhpbmdzLCBpdCBkb2VzIG5vdCBoaW5kZXIgbXkgd29yay4gSSBjbGVhbi4gSSBwZXJmb3JtIHRoZSB0YXNrIGFzc2lnbmVkIHRvIG1lLiBXaGF0ZXZlciBpcyBkZXNpZ25hdGVkIGFzIHdhc3RlLCBJIHN3ZWVwIGF3YXkgYXMgaXQgYXBwZWFycy4=,,,,,W1ZhaGlkYV0KTWFzIG1lc21vIHNlbSBpc3NvLCBtZXUgdHJhYmFsaG8gbsOjbyDDqSBhZmV0YWRvLiBFdSB2YXJyby4gQ3VtcHJvIGEgbWlzc8OjbyBxdWUgbWUgZm9pIGRhZGEu,,W1N3aXNoaWVdClBlcm8gYXVucXVlIG5vIHNlcGEgZXNhcyBjb3Nhcywgbm8gYWZlY3RhIGEgbWkgdHJhYmFqby4gU29sbyB0ZW5nbyBxdWUgbGltcGlhci4gU29sbyB0ZW5nbyBxdWUgY3VtcGxpciBsYSBtaXNpw7NuIHF1ZSBzZSBtZSBoYSBkYWRvLiBMbyBxdWUgZXN0w6kgZGVzaWduYWRvIGNvbW8gYmFzdXJhLCBsbyBiYXJybyBlbiBjdWFudG8gbG8gdmVvLg==
zufOBw,,W1N3aXNoaWVdCkh1bWFucyBhcyBodW1hbnMsIEF1dG9tYXRhIGFzIEF1dG9tYXRhLg==,,,,,W1ZhaGlkYV0KSHVtYW5vcyBzw6NvIGh1bWFub3MuIEF1dMO0bWF0YXMgc8OjbyBBdXTDtG1hdGFzLg==,,W1N3aXNoaWVdCkxvcyBodW1hbm9zIGNvbW8gaHVtYW5vcywgeSBsYXMgbXXDsWVjYXMgYXV0b23DoXRpY2FzIGNvbW8gbXXDsWVjYXMgYXV0b23DoXRpY2FzLg==
z+fOBw,,W1N3aXNoaWVdCkhtbS4uLiBob3dldmVyLCBpZiB5b3UsIGh1bWFuIGd1ZXN0IHswfSwgd291bGQgYXNzaXN0IHdpdGggb25lIG1hdHRlciwgaXQgd291bGQgYmUgYXBwcmVjaWF0ZWQuIEFyZSB5b3UgaW50ZXJlc3RlZD8=,,,,,W1ZhaGlkYV0KSG0uLi4gbm8gZW50YW50bywgaMOhIGFsZ28gZW0gcXVlIGdvc3RhcmlhIHF1ZSB7MH0gYWp1ZGFzc2UuIFRlbSBpbnRlcmVzc2U/,,W1N3aXNoaWVdCkhtbS4uLiBQZXJvIGhheSBhbGdvIGVuIGxvIHF1ZSBtZSBndXN0YXLDrWEgcXVlIGVsIGh1w6lzcGVkIGh1bWFubyB7MH0gbWUgYXl1ZGFyYS4gwr9UZSBpbnRlcmVzYT8=
0OfOBw,,R2xhZGx5Lg==,,,,,Q29tIHByYXplci4=,,Q29uIGd1c3RvLg==
0efOBw,,SSBhbSByYXRoZXIgYnVzeS4=,,,,,RXN0b3Ugc2VtIHRlbXBvLg==,,RXN0b3kgdW4gcG9jbyBvY3VwYWRvLg==
0ufOBw,,W1N3aXNoaWVdCkkgc2VlLiBVbmRlcnN0b29kLiBJIHdhcyB0YXVnaHQgbm90IHRvIGRldGFpbiBidXN5IGd1ZXN0cy4=,,,,,W1ZhaGlkYV0KRW50ZW5kby4gQXByZW5kaSBxdWUgbsOjbyBzZSBkZXZlIHJldGVyIHZpc2l0YW50ZXMgb2N1cGFkb3Mu,,W1N3aXNoaWVdCsK/QWgsIHPDrT8gRW50ZW5kaWRvLiBBcHJlbmTDrSBxdWUgbm8gc2UgZGViZSByZXRlbmVyIGEgdW4gaHXDqXNwZWQgb2N1cGFkby4=
0+fOBw,,W1N3aXNoaWVdClRoZW4gSSByZXF1ZXN0IHRoZSBlbGltaW5hdGlvbiBvZiBeMDAwMENEMTUgQm9pbGluZyBNYXJjIGFuZCAxNSBCb2lsaW5nIFBpcmFuaGFeMDAwMDAwLiBUaGV5IGFyZSB0aGUgcHJpbWFyeSBjYXVzZSBvZiB0aGUgYmF0aGhvdXNlIGJlY29taW5nIHVuY2xlYW4u,,,,,W1ZhaGlkYV0KUGXDp28gcXVlIGVsaW1pbmUgXjAwMDBDRDE1eCBNYXJjIEVzY2FsZGFkbyBlIDE1eCBDYXJwYSBFc2NhbGRhZGFeMDAwMDAwLiBFbGVzIHPDo28gYSBwcmluY2lwYWwgY2F1c2EgZGEgc3VqZWlyYSBubyBiYW5oby4=,,W1N3aXNoaWVdCkVudG9uY2VzLCB0ZSBwaWRvIHF1ZSBlbGltaW5lcyBeMDAwMENEMTUgTWFyYyBkZSBBZ3VhIENhbGllbnRlIHkgMTUgUGlyYcOxYSBkZSBhZ3VhIGNhbGllbnRlXjAwMDAwMC4gU29uIGxhIHByaW5jaXBhbCBjYXVzYSBkZSBxdWUgZWwgYmHDsW8gc2UgZW5zdWNpZS4=
1OfOBw,,W1N3aXNoaWVdCk90aGVyIGFyZWFzIG9mIHRoZSBtYW5zaW9uIGFsc28gbGFjayByZXNvdXJjZXMsIHNvIHdlIG11c3QgaGFuZGxlIGl0IG91cnNlbHZlcy4gV2UgY2xlYW4gd2hlbmV2ZXIgd2Ugc2VlIHRoZW0sIGJ1dCB0aGVpciBudW1iZXJzIGFyZSB0b28gZ3JlYXQuIEl0IGNvbmNlcm5zIGh5Z2llbmUgYW5kIHNhZmV0eSwgc28gaXQgY2Fubm90IGJlIHBvc3Rwb25lZC4gSSBsZWF2ZSBpdCB0byB5b3Uu,,,,,W1ZhaGlkYV0KT3V0cmFzIMOhcmVhcyBkYSBtYW5zw6NvIHRhbWLDqW0gZXN0w6NvIGNvbSBwb3Vjb3MgcmVjdXJzb3MsIGVudMOjbyBwcmVjaXNhbW9zIGxpZGFyIGNvbSBpc3NvIGludGVybmFtZW50ZS4gTGltcGFtb3Mgc2VtcHJlIHF1ZSB2ZW1vcywgbWFzIHPDo28gbXVpdG9zLiDDiSBxdWVzdMOjbyBkZSBoaWdpZW5lIGUgc2VndXJhbsOnYSwgbsOjbyBwb2RlIHNlciBhZGlhZG8uIENvbnRvIGNvbSB2b2PDqi4=,,W1N3aXNoaWVdCkVuIG90cmFzIHBhcnRlcyBkZSBsYSBtYW5zacOzbiB0YW1iacOpbiBmYWx0YW4gcmVjdXJzb3MsIGFzw60gcXVlIGRlYmVtb3MgaGFjZXJsbyBub3NvdHJvcyBtaXNtb3MuIExpbXBpYW1vcyBjYWRhIHZleiBxdWUgbG9zIHZlbW9zLCBwZXJvIHNvbiBkZW1hc2lhZG9zLiBDb21vIGVzIHVuIGFzdW50byBkZSBoaWdpZW5lIHkgc2VndXJpZGFkLCBubyBzZSBwdWVkZSBwb3Nwb25lci4gRW50b25jZXMsIHRlIGxvIGVuY2FyZ28u
1efOBw,,W1N3aXNoaWVdCldoYXQgaXMgdGhlIG1hdHRlcj8gUGVyaGFwcyB5b3UgaGF2ZSBjb21lIHRvIGhlbHA/,,,,,W1ZhaGlkYV0KTyBxdWUgZGVzZWphPyBWZWlvIGFqdWRhcj8=,,W1N3aXNoaWVdCsK/UXXDqSBvY3VycmU/IMK/QWNhc28gdmFzIGEgYXl1ZGFyPw==
1ufOBw,,SSB3aWxsIHRha2UgY2FyZSBvZiB0aGUgZmlzaC4=,,,,,VmltIGVsaW1pbmFyIG9zIHBlaXhlcw==,,TWUgZW5jYXJnYXLDqSBkZSBsb3MgcGVjZXMu
1+fOBw,,SSB3YXMgY3VyaW91cyBhYm91dCB0aGUgY2xlYW5pbmcu,,,,,VGVuaG8gY3VyaW9zaWRhZGUgc29icmUgYSBsaW1wZXph,,VGVuZ28gY3VyaW9zaWRhZCBwb3IgbGEgbGltcGllemEu
2OfOBw,,W1N3aXNoaWVdCk15IGdyYXRpdHVkZSBmb3IgeW91ciBhc3Npc3RhbmNlLiBUaGVuIEkgcmVxdWVzdCB0aGUgZWxpbWluYXRpb24gb2YgXjAwMDBDRDE1IEJvaWxpbmcgTWFyYyBhbmQgMTUgQm9pbGluZyBQaXJhbmhhXjAwMDAwMC4=,,,,,W1ZhaGlkYV0KQWdyYWRlw6dvIGEgYWp1ZGEuIEVudMOjbyBwZcOnbyBxdWUgZWxpbWluZSBeMDAwMENEMTV4IE1hcmMgRXNjYWxkYWRvIGUgMTV4IENhcnBhIEVzY2FsZGFkYV4wMDAwMDAu,,W1N3aXNoaWVdCkFncmFkZXpjbyB0dSBheXVkYS4gRW50b25jZXMsIHRlIHBpZG8gcXVlIGVsaW1pbmVzIF4wMDAwQ0QxNSBNYXJjIGRlIEFndWEgQ2FsaWVudGUgeSAxNSBQaXJhw7FhIGRlIGFndWEgY2FsaWVudGVeMDAwMDAwLg==
2efOBw,,W1N3aXNoaWVdCkNsZWFuaW5nIHByb2NlZWRzIGFzIHVzdWFsLiBJdCBpcyBtZXJlbHkgZGlmZmljdWx0IGR1ZSB0byBudW1lcm91cyBvYnN0YWNsZXMu,,,,,W1ZhaGlkYV0KQSBsaW1wZXphIHNlZ3VlIGNvbW8gc2VtcHJlLiBBcGVuYXMgaMOhIG11aXRvcyBvYnN0w6FjdWxvcy4=,,W1N3aXNoaWVdCkxhIGxpbXBpZXphIGxhIGhhZ28gY29tbyBzaWVtcHJlLiBTb2xvIHF1ZSBoYXkgbXVjaG9zIG9ic3TDoWN1bG9zIHkgcG9yIGVzbyBlcyBkaWbDrWNpbC4=
2ufOBw,,SSB3aWxsIHRha2UgY2FyZSBvZiB0aGUgZmlzaC4=,,,,,VmltIGVsaW1pbmFyIG9zIHBlaXhlcw==,,TWUgZW5jYXJnYXLDqSBkZSBsb3MgcGVjZXMu
2+fOBw,,XkFBQUFBQUZpc2ggRXh0ZXJtaW5hdGlvbiAtIFdhaXRpbmdeMDAwMDAw,,,,,XkFBQUFBQVtFc3BlcmFdIFZpbSBlbGltaW5hciBvcyBwZWl4ZXNeMDAwMDAw,,XkFBQUFBQVByb2Nlc2FtaWVudG8gZGUgcGVjZXMgLSBFbiBlc3BlcmFeMDAwMDAw
3OfOBw,,SSB3aWxsIHRha2UgY2FyZSBvZiB0aGUgZmlzaC4u,,,,,VmltIGVsaW1pbmFyIG9zIHBlaXhlcw==,,TWUgZW5jYXJnYXLDqSBkZSBsb3MgcGVjZXMuLg==
3efOBw,,SSBoYXZlIHRha2VuIGNhcmUgb2YgdGhlIGZpc2gu,,,,,RWxpbWluZWkgb3MgcGVpeGVzLg==,,TWUgZW5jYXJndcOpIGRlIGxvcyBwZWNlcy4=
3ufOBw,,XkFBQUFBQUZpc2ggRXh0ZXJtaW5hdGlvbiAtIEluIFByb2dyZXNzXjAwMDAwMA==,,,,,XkFBQUFBQVtFbSBjdXJzb10gVmltIGVsaW1pbmFyIG9zIHBlaXhlc14wMDAwMDA=,,XkFBQUFBQVByb2Nlc2FtaWVudG8gZGUgcGVjZXMgLSBFbiBjdXJzb14wMDAwMDA=
3+fOBw,,VW5kZXJzdG9vZC4=,,,,,RW50ZW5kaS4=,,RGUgYWN1ZXJkby4=
4OfOBw,,W1N3aXNoaWVdClRoZW4gSSBzaGFsbCB3YWl0Lg==,,,,,W1ZhaGlkYV0KRW50w6NvIGFndWFyZGFyZWku,,W1N3aXNoaWVdCkVudG9uY2VzLCBlc3RhcsOpIGVzcGVyYW5kby4=
