IGwwDA,,Q2FjdGVyb24=,,,,,S2FjdGVyb24=,,Q2FjdGVyb24=
WWwwDA,,W0NhY3Rlcm9uXQpUb2RheSBhZ2FpbiwgSSdsbCBhc2sgeW91IHRvIGh1bnQgXjAwMDBDRDMwIGNveW90ZXNeMDAwMDAwLgpUaG9zZSBndXlzIHRyYXZlbCBpbiBwYWNrcyBhdCBuaWdodCBhbmQgaG93bC4gQXMgaWYgdG8gc2F5IGNhdGNoaW5nIHRoZW0gaXMgdXNlbGVzcyBubyBtYXR0ZXIgd2hhdC4uLg==,,,,,W0thY3Rlcm9uXQpIb2plLCBub3ZhbWVudGUsIHBlZGlyZWkgcXVlIHZvY8OqIGNhY2UgXjAwMDBDRDMwIGNvaW90ZXNeMDAwMDAwLgpBcXVlbGVzIGNhcmFzIHZpYWphbSBlbSBiYW5kb3Mgw6Agbm9pdGUgZSB1aXZhbS4gQ29tbyBzZSBkaXNzZXNzZW0gcXVlIHBlZ8OhLWxvcyDDqSBpbsO6dGlsLCBuw6NvIGltcG9ydGEgbyBxdWUuLi4=,,W0NhY3Rlcm9uXQpIb3kgdGFtYmnDqW4sIHRlIHBlZGlyw6kgcXVlIGNhY2VzIF4wMDAwQ0QzMCBjb3lvdGVzXjAwMDAwMC4KRXNvcyB0aXBvcyB2aWFqYW4gZW4gbWFuYWRhcyBwb3IgbGEgbm9jaGUgeSBhw7psbGFuLiBDb21vIHNpIGRpamVyYW4gcXVlIGVzIGluw7p0aWwgYXRyYXBhcmxvcyBwYXNlIGxvIHF1ZSBwYXNlLi4u
WmwwDA,,W0NhY3Rlcm9uXQpCdXQgSSBiZWxpZXZlIHRoYXQgZXZlbnR1YWxseSwgc21hbGwgZGFpbHkgY2hhbmdlcyB3aWxsIGJyaW5nIGJpZyBjaGFuZ2UuCkJlY2F1c2UgeW91LCBzdHJhbmdlciB0cmF2ZWxlciwgY29tZSBhbmQgaGVscCwgb25lIG9mIHRob3NlIHNtYWxsIGRhaWx5IGNoYW5nZXMgaXMgYm9ybi4gSSdtIGNvdW50aW5nIG9uIHlvdS4=,,,,,W0thY3Rlcm9uXQpNYXMgYWNyZWRpdG8gcXVlLCBldmVudHVhbG1lbnRlLCBwZXF1ZW5hcyBtdWRhbsOnYXMgZGnDoXJpYXMgdHJhcsOjbyB1bWEgZ3JhbmRlIG11ZGFuw6dhLgpQb3JxdWUgdm9jw6osIHZpYWphbnRlIGVzdHJhbmhvLCB2ZW0gZSBhanVkYSwgdW1hIGRlc3NhcyBwZXF1ZW5hcyBtdWRhbsOnYXMgZGnDoXJpYXMgbmFzY2UuIEVzdG91IGNvbnRhbmRvIGNvbSB2b2PDqi4=,,W0NhY3Rlcm9uXQpQZXJvIGNyZW8gcXVlIGV2ZW50dWFsbWVudGUsIGxvcyBwZXF1ZcOxb3MgY2FtYmlvcyBkaWFyaW9zIHRyYWVyw6FuIHVuIGdyYW4gY2FtYmlvLgpQb3JxdWUgdMO6LCB2aWFqZXJvIGV4dHJhw7FvLCB2aWVuZXMgeSBheXVkYXMsIG5hY2UgdW5vIGRlIGVzb3MgcGVxdWXDsW9zIGNhbWJpb3MgZGlhcmlvcy4gQ3VlbnRvIGNvbnRpZ28u
W2wwDA,,W0NhY3Rlcm9uXQpZb3Ugc2VlbSB0byBoYXZlIHNvbWUgbGVpc3VyZSB0b2RheSwgc3RyYW5nZXIgdHJhdmVsZXIuClRoYW5rcyB0byB5b3UsIEkgaGF2ZSBzb21lIHRpbWUgdG8gY2F0Y2ggbXkgYnJlYXRoIHRvby4=,,,,,W0thY3Rlcm9uXQpWb2PDqiBwYXJlY2UgdGVyIGFsZ3VtYSBmb2xnYSBob2plLCB2aWFqYW50ZSBlc3RyYW5oby4KR3Jhw6dhcyBhIHZvY8OqLCBldSB0YW1iw6ltIHRlbmhvIHVtIHRlbXBvIHBhcmEgcmVjdXBlcmFyIG8gZsO0bGVnby4=,,W0NhY3Rlcm9uXQpQYXJlY2UgcXVlIGhveSB0aWVuZXMgYWxnbyBkZSB0aWVtcG8gbGlicmUsIHZpYWplcm8gZXh0cmHDsW8uCkdyYWNpYXMgYSB0aSwgeW8gdGFtYmnDqW4gdGVuZ28gYWxnbyBkZSB0aWVtcG8gcGFyYSByZWN1cGVyYXIgZWwgYWxpZW50by4=
XGwwDA,,W0NhY3Rlcm9uXQpIYXZpbmcgd29yayB0byBkbyBpcyBhbHdheXMgYSBnb29kIHRoaW5nLgpBIGxpZmUgb2Ygd2FraW5nIHVwIGluIHRoZSBtb3JuaW5nLCB3b3JraW5nIHdpdGggdGhlIGxhbmQncyBibGVzc2luZywgYW5kIHNsZWVwaW5nIGF0IG5pZ2h0Lg==,,,,,W0thY3Rlcm9uXQpUZXIgdHJhYmFsaG8gcGFyYSBmYXplciDDqSBzZW1wcmUgdW1hIGNvaXNhIGJvYS4KVW1hIHZpZGEgZGUgYWNvcmRhciBkZSBtYW5ow6MsIHRyYWJhbGhhciBjb20gYSBiw6puw6fDo28gZGEgdGVycmEgZSBkb3JtaXIgw6Agbm9pdGUu,,W0NhY3Rlcm9uXQpUZW5lciB0cmFiYWpvIHF1ZSBoYWNlciBlcyBzaWVtcHJlIGFsZ28gYnVlbm8uClVuYSB2aWRhIGRlIGRlc3BlcnRhcnNlIHBvciBsYSBtYcOxYW5hLCB0cmFiYWphciBjb24gbGEgYmVuZGljacOzbiBkZSBsYSB0aWVycmEgeSBkb3JtaXIgcG9yIGxhIG5vY2hlLg==
XWwwDA,,W0NhY3Rlcm9uXQpPZiBjb3Vyc2UsIHRoZXJlIG11c3QgYWxzbyBiZSB0aW1lIHRvIHJlc3QgbGlrZSBub3cuIExpZmUgbmVlZHMgdGltZSBvdXRzaWRlIG9mIHdvcmsgdG8gYmUgcG9saXNoZWQgYW5kIHNoaW5lIQ==,,,,,W0thY3Rlcm9uXQpDbGFybywgdGFtYsOpbSBkZXZlIGhhdmVyIHRlbXBvIHBhcmEgZGVzY2Fuc2FyLCBjb21vIGFnb3JhLiBBIHZpZGEgcHJlY2lzYSBkZSB0ZW1wbyBmb3JhIGRvIHRyYWJhbGhvIHBhcmEgc2VyIHBvbGlkYSBlIGJyaWxoYXIh,,W0NhY3Rlcm9uXQpQb3Igc3VwdWVzdG8sIHRhbWJpw6luIGRlYmUgaGFiZXIgdGllbXBvIHBhcmEgZGVzY2Fuc2FyIGNvbW8gYWhvcmEuIMKhTGEgdmlkYSBuZWNlc2l0YSB0aWVtcG8gZnVlcmEgZGVsIHRyYWJham8gcGFyYSBzZXIgcHVsaWRhIHkgYnJpbGxhciE=
XmwwDA,,W0NhY3Rlcm9uXQpJIGFza2VkIHlvdSB0byBodW50IDMwIGNveW90ZXMsIGhvdyBtYW55IGhhdmUgeW91IGNhdWdodD8KSWYgeW91J3JlIHRpcmVkLCByZXN0IHdoaWxlIGRvaW5nIGl0LiBJIGRvbid0IHdhbnQgdG8gYnVyZGVuIHlvdSB0b28gbXVjaCwgc3RyYW5nZXIgdHJhdmVsZXIu,,,,,W0thY3Rlcm9uXQpQZWRpIHBhcmEgdm9jw6ogY2HDp2FyIDMwIGNvaW90ZXMsIHF1YW50b3Mgdm9jw6ogcGVnb3U/ClNlIGVzdGl2ZXIgY2Fuc2FkbywgZGVzY2Fuc2UgZW5xdWFudG8gZmF6IGlzc28uIE7Do28gcXVlcm8gc29icmVjYXJyZWfDoS1sbyBkZW1haXMsIHZpYWphbnRlIGVzdHJhbmhvLg==,,W0NhY3Rlcm9uXQpUZSBwZWTDrSBxdWUgY2F6YXJhcyAzMCBjb3lvdGVzLCDCv2N1w6FudG9zIGhhcyBhdHJhcGFkbz8KU2kgZXN0w6FzIGNhbnNhZG8sIGRlc2NhbnNhIG1pZW50cmFzIGxvIGhhY2VzLiBObyBxdWllcm8gY2FyZ2FydGUgZGVtYXNpYWRvLCB2aWFqZXJvIGV4dHJhw7FvLg==
X2wwDA,,W0NhY3Rlcm9uXQpZb3UndmUgcmV0dXJuZWQgZnJvbSBodW50aW5nLiBJIGhvcGUgSSdtIG5vdCBwdXR0aW5nIHRvbyBtdWNoIGJ1cmRlbiBvbiB5b3U/CklmIGl0J3Mgb2theSwgSSdsbCBhc2sgZm9yIHlvdXIgaGVscCBpbiB0aGUgZnV0dXJlIHRvby4gSWYgd2Ugc3RlYWRpbHkgY2xlYXIgb3V0IHRoZSBjb3lvdGVzLCBpdCB3aWxsIHVsdGltYXRlbHkgYmUgYSB2aXJ0dW91cyBjeWNsZSBmb3IgeW91LCBzdHJhbmdlciB0cmF2ZWxlciwgd2hvIGtlZXBzIGNvbWluZyBoZXJlLg==,,,,,W0thY3Rlcm9uXQpWb2PDqiB2b2x0b3UgZGEgY2HDp2EuIEVzcGVybyBuw6NvIGVzdGFyIGNvbG9jYW5kbyBtdWl0byBmYXJkbyBlbSB2b2PDqj8KU2UgZm9yIG9rYXksIHBlZGlyZWkgc3VhIGFqdWRhIG5vIGZ1dHVybyB0YW1iw6ltLiBTZSBuw7NzIGxpbXBhcm1vcyBvcyBjb2lvdGVzIGRlIGZvcm1hIGNvbnN0YW50ZSwgaXNzbyBhY2FiYXLDoSBzZW5kbyB1bSBjaWNsbyB2aXJ0dW9zbyBwYXJhIHZvY8OqLCB2aWFqYW50ZSBlc3RyYW5obywgcXVlIGNvbnRpbnVhIHZpbmRvIGFxdWku,,W0NhY3Rlcm9uXQpIYXMgcmVncmVzYWRvIGRlIGNhemFyLiBFc3Blcm8gbm8gZXN0YXIgcG9uaWVuZG8gZGVtYXNpYWRhIGNhcmdhIHNvYnJlIHRpLgpTaSBlc3TDoSBiaWVuLCB0YW1iacOpbiBwZWRpcsOpIHR1IGF5dWRhIGVuIGVsIGZ1dHVyby4gU2kgZWxpbWluYW1vcyBjb25zdGFudGVtZW50ZSBhIGxvcyBjb3lvdGVzLCBlbiDDumx0aW1hIGluc3RhbmNpYSBzZXLDoSB1biBjaWNsbyB2aXJ0dW9zbyBwYXJhIHRpLCB2aWFqZXJvIGV4dHJhw7FvLCBxdWUgc2lndWVzIHZpbmllbmRvIGFxdcOtLg==
YGwwDA,,W0NhY3Rlcm9uXQpJIHRyaWVkIHRvIHByZXBhcmUgdGhlIGJlc3QgcmV3YXJkIEkgY291bGQsIGJ1dCBJJ20gbm90IHN1cmUgaWYgeW91J2xsIGxpa2UgaXQuLi4gVGhhbmsgeW91IGZvciBjb21pbmcgZXZlcnkgdGltZS4gSSBleHByZXNzIG15IGdyYXRpdHVkZSBvbiBiZWhhbGYgb2YgbXkgZmFtaWx5Lg==,,,,,W0thY3Rlcm9uXQpUZW50ZWkgcHJlcGFyYXIgYSBtZWxob3IgcmVjb21wZW5zYSBxdWUgcHVkZSwgbWFzIG7Do28gdGVuaG8gY2VydGV6YSBzZSB2b2PDqiB2YWkgZ29zdGFyLi4uIE9icmlnYWRhIHBvciB2aXIgc2VtcHJlLiBFeHByZXNzbyBtaW5oYSBncmF0aWTDo28gZW0gbm9tZSBkYSBtaW5oYSBmYW3DrWxpYS4=,,W0NhY3Rlcm9uXQpJbnRlbnTDqSBwcmVwYXJhciBsYSBtZWpvciByZWNvbXBlbnNhIHF1ZSBwdWRlLCBwZXJvIG5vIGVzdG95IHNlZ3VyYSBkZSBzaSB0ZSBndXN0YXLDoS4uLiBHcmFjaWFzIHBvciB2ZW5pciBjYWRhIHZlei4gRXhwcmVzbyBtaSBncmF0aXR1ZCBlbiBub21icmUgZGUgbWkgZmFtaWxpYS4=
YWwwDA,,W0NhY3Rlcm9uXQpIbW0uLi4gV2FpdCwgSSBmZWVsIHN0cmFuZ2UuIENvdWxkIHlvdSB0YWxrIHRvIG1lIG9uY2UgbW9yZT8KSWYgSSByZXBlYXQgdGhlIHNhbWUgdGhpbmcsIHBsZWFzZSB0YWtlIGEgc2NyZWVuc2hvdCBhbmQgY29udGFjdCB0aGUgb3BlcmF0aW9ucyB0ZWFtLg==,,,,,W0thY3Rlcm9uXQpIbW0uLi4gRXNwZXJlLCBzaW50byBhbGdvIGVzdHJhbmhvLiBWb2PDqiBwb2RlcmlhIGZhbGFyIGNvbWlnbyBtYWlzIHVtYSB2ZXo/ClNlIGV1IHJlcGV0aXIgYSBtZXNtYSBjb2lzYSwgcG9yIGZhdm9yLCB0aXJlIHVtIHByaW50IGUgZW50cmUgZW0gY29udGF0byBjb20gYSBlcXVpcGUgZGUgb3BlcmHDp8O1ZXMu,,W0NhY3Rlcm9uXQpNbW0uLi4gRXNwZXJhLCBtZSBzaWVudG8gZXh0cmHDsWEuIMK/UG9kcsOtYXMgaGFibGFybWUgdW5hIHZleiBtw6FzPwpTaSByZXBpdG8gbG8gbWlzbW8sIHBvciBmYXZvciB0b21hIHVuYSBjYXB0dXJhIGRlIHBhbnRhbGxhIHkgY29udGFjdGEgYWwgZXF1aXBvIGRlIG9wZXJhY2lvbmVzLg==
YmwwDA,,TGl0dGxlIFJhY3Rlcg==,,,,,UGVxdWVubyBSYWN0ZXI=,,UGVxdWXDsW8gUmFjdGVy
Y2wwDA,,W0xpdHRsZSBSYWN0ZXJdCk1vbSBzYWlkIHNoZSdkIGJ1eSBhZ2F2ZSBmbGF2b3IganVpY2UuLi4gQWdhdmUgZmxhdm9yIGp1aWNlLi4u,,,,,W1BlcXVlbm8gUmFjdGVyXQpBIG1hbcOjZSBkaXNzZSBxdWUgaWEgY29tcHJhciBzdWNvIHNhYm9yIGFnYXZlLi4uIFN1Y28gc2Fib3IgYWdhdmUuLi4=,,W1BlcXVlw7FvIFJhY3Rlcl0KTWFtw6EgZGlqbyBxdWUgY29tcHJhcsOtYSBqdWdvIHNhYm9yIGFnYXZlLi4uIEp1Z28gc2Fib3IgYWdhdmUuLi4=
ZGwwDA,,W0xpdHRsZSBSYWN0ZXJdCldhYWFoLCBod2FhYWFuZywgYWdhdmUgZmxhdm9yIGp1aWNlLi4uISEKKlNvYiosIGhvdyBtYW55IG1vcmUgbmlnaHRzIGRvIEkgaGF2ZSB0byBzbGVlcCB0byBnZXQgYWdhdmUgZmxhdm9yIGp1aWNlPyBMaXR0bGUgUmFjdGVyIHdpbGwgd2FpdC4uLiB3YWl0Li4uIHcuLi4gd2FhYWgu,,,,,W1BlcXVlbm8gUmFjdGVyXQpCdcOhw6HDoSwgYnXDocOhw6HDoSwgc3VjbyBzYWJvciBhZ2F2ZS4uLiEhCipTb2x1w6dvKiwgcXVhbnRhcyBub2l0ZXMgbWFpcyBldSB0ZW5obyBxdWUgZG9ybWlyIHBhcmEgY29uc2VndWlyIHN1Y28gc2Fib3IgYWdhdmU/IE8gUGVxdWVubyBSYWN0ZXIgdmFpIGVzcGVyYXIuLi4gZXNwZXJhci4uLiBiLi4uIGJ1w6HDocOhLg==,,W1BlcXVlw7FvIFJhY3Rlcl0KwqFCdWFhYSwgZ3VhYWEsIGp1Z28gc2Fib3IgYWdhdmUuLi4hIQoqU29sbG96byosIMK/Y3XDoW50YXMgbm9jaGVzIG3DoXMgdGVuZ28gcXVlIGRvcm1pciBwYXJhIG9idGVuZXIganVnbyBzYWJvciBhZ2F2ZT8gRWwgcGVxdWXDsW8gUmFjdGVyIGVzcGVyYXLDoS4uLiBlc3BlcmFyw6EuLi4gYi4uLiBidWFhYS4=
ZWwwDA,,W0xpdHRsZSBSYWN0ZXJdCldvdyEgQWdhdmUgZmxhdm9yIGp1aWNlISBUaGFuayB5b3UhISBBZHZlbnR1cmVyIGlzIGF3ZXNvbWUhIQpQbGVhc2UgdGVsbCBtb20hIEkgY2FuIG9ubHkgZHJpbmsgaXQgaWYgbW9tIHNheXMgeWVzIQ==,,,,,W1BlcXVlbm8gUmFjdGVyXQpVYXUhIFN1Y28gc2Fib3IgYWdhdmUhIE9icmlnYWRvISEgQXZlbnR1cmVpcm8gw6kgZGVtYWlzISEKUG9yIGZhdm9yLCBkaWdhIMOgIG1hbcOjZSEgU8OzIHBvc3NvIGJlYmVyIHNlIGEgbWFtw6NlIGRlaXhhciE=,,W1BlcXVlw7FvIFJhY3Rlcl0KwqFHdWF1ISDCoUp1Z28gc2Fib3IgYWdhdmUhIMKhwqFHcmFjaWFzISEgwqFFbCBhdmVudHVyZXJvIGVzIGluY3Jlw61ibGUhCsKhUG9yIGZhdm9yIGRpbGUgYSBtYW3DoSEgwqFTb2xvIHB1ZWRvIGJlYmVybG8gc2kgbWFtw6EgZGljZSBxdWUgc8OtIQ==
ZmwwDA,,W0xpdHRsZSBSYWN0ZXJdCkkgZHJhbmsgdGhlIGFnYXZlIGZsYXZvciBqdWljZS4gSSB3YW5uYSBkcmluayBpdCBldmVyeSBzaW5nbGUgZGF5Li4u,,,,,W1BlcXVlbm8gUmFjdGVyXQpFdSBiZWJpIG8gc3VjbyBzYWJvciBhZ2F2ZS4gRXUgcXVlcm8gYmViZXIgdG9kbyBzYW50byBkaWEuLi4=,,W1BlcXVlw7FvIFJhY3Rlcl0KQmViw60gZWwganVnbyBzYWJvciBhZ2F2ZS4gUXVpZXJvIGJlYmVybG8gdG9kb3MgbG9zIGTDrWFzLi4u
Z2wwDA,,W0xpdHRsZSBSYWN0ZXJdCkFnYXZlIGp1aWNlPyBXaGF0J3MgdGhhdC4uLiBBcmUgeW91IHRhbGtpbmcgYWJvdXQgdGhlIGFnYXZlIGZsYXZvciBqdWljZSB0aGF0IFJhY3RlciBsaWtlcz8=,,,,,W1BlcXVlbm8gUmFjdGVyXQpTdWNvIGRlIGFnYXZlPyBPIHF1ZSDDqSBpc3NvLi4uIFZvY8OqIGVzdMOhIGZhbGFuZG8gZG8gc3VjbyBzYWJvciBhZ2F2ZSBxdWUgbyBSYWN0ZXIgZ29zdGE/,,W1BlcXVlw7FvIFJhY3Rlcl0Kwr9KdWdvIGRlIGFnYXZlPyDCv1F1w6kgZXMgZXNvLi4uIEVzdMOhcyBoYWJsYW5kbyBkZWwganVnbyBzYWJvciBhZ2F2ZSBxdWUgbGUgZ3VzdGEgYSBSYWN0ZXI/
aGwwDA,,V2FzdGVsYW5kIENhY3RlcnBpbg==,,,,,S2FjdGVycGluIGRvIERlc2VydG8=,,Q2FjdGVyaW5vIGRlbCBZZXJtbw==
aWwwDA,,W1dhc3RlbGFuZCBDYWN0ZXJwaW5dCkFuIHRyYXZlbGVyLCBodWg/IFN0cmFuZ2VycyBhcmUgc28gZ3JlZWR5LgpXaGF0J3MgdGhlIHJlYXNvbiBmb3IgY2FycnlpbmcgYWxsIHRoYXQgbHVnZ2FnZSBhcm91bmQ/,,,,,W0thY3RlcnBpbiBkbyBEZXNlcnRvXQpVbSB2aWFqYW50ZSwgaGVpbj8gRXN0cmFuaG9zIHPDo28gdMOjbyBnYW5hbmNpb3Nvcy4KUXVhbCDDqSBhIHJhesOjbyBwYXJhIGNhcnJlZ2FyIHRvZGEgZXNzYSBiYWdhZ2VtIHBvciBhw60/,,W0NhY3RlcmlubyBkZWwgWWVybW9dClVuIHZpYWplcm8sIMK/ZWg/IExvcyBleHRyYcOxb3Mgc29uIHRhbiBjb2RpY2lvc29zLgrCv0N1w6FsIGVzIGxhIHJhesOzbiBwYXJhIGNhcmdhciBjb24gdG9kbyBlc2UgZXF1aXBhamU/
amwwDA,,LSBZb3Ugc2hvdWxkIHByb2JhYmx5IG9yZ2FuaXplIHlvdXIgYmFnIGFuZCB0cnkgdGFsa2luZyBhZ2FpbiAt,,,,,LSBWb2PDqiBwcm92YXZlbG1lbnRlIGRldmVyaWEgb3JnYW5pemFyIHN1YSBtb2NoaWxhIGUgdGVudGFyIGNvbnZlcnNhciBkZSBub3ZvIC0=,,LSBQcm9iYWJsZW1lbnRlIGRlYmVyw61hcyBvcmdhbml6YXIgdHUgbW9jaGlsYSBlIGludGVudGFyIGhhYmxhciBkZSBudWV2byAt
a2wwDA,,W1dhc3RlbGFuZCBDYWN0ZXJwaW5dCklzIGl0IHlvdXIgZmlyc3QgdGltZSBzZWVpbmcgYSBDYWN0ZXIgcm9hbWluZyB0aGUgd2FzdGVsYW5kPyBJJ20gYnVzeS4gR28geW91ciBvd24gd2F5Lg==,,,,,W0thY3RlcnBpbiBkbyBEZXNlcnRvXQrDiSBzdWEgcHJpbWVpcmEgdmV6IHZlbmRvIHVtIEthY3RlciB2YWdhbmRvIHBlbG8gZGVzZXJ0bz8gRXN0b3Ugb2N1cGFkby4gU2lnYSBzZXUgY2FtaW5oby4=,,W0NhY3RlcmlubyBkZWwgWWVybW9dCsK/RXMgbGEgcHJpbWVyYSB2ZXogcXVlIHZlcyBhIHVuIENhY3RlcmlubyB2YWdhbmRvIHBvciBlbCB5ZXJtbz8gRXN0b3kgb2N1cGFkby4gU2lndWUgdHUgY2FtaW5vLg==
bGwwDA,,QXNrIGlmIHRoZXkndmUgc2VlbiB0aGUganVpY2UgbWl4IHBhY2thZ2Uu,,,,,UGVyZ3VudGFyIHNlIGVsZSB2aXUgbyBwYWNvdGUgZGUgbWlzdHVyYSBkZSBzdWNvLg==,,UHJlZ3VudGFyIHNpIGhhIHZpc3RvIGVsIHBhcXVldGUgZGUgcHJlcGFyYWRvLg==
bWwwDA,,W3swfV0KQnkgYW55IGNoYW5jZSwgaGF2ZSB5b3Ugc2VlbiBhIGp1aWNlIG1peCBwYWNrYWdlIGFyb3VuZCBoZXJlPw==,,,,,W3swfV0KUG9yIGFjYXNvLCB2b2PDqiB2aXUgdW0gcGFjb3RlIGRlIG1pc3R1cmEgZGUgc3VjbyBwb3IgYXF1aT8=,,W3swfV0KUG9yIGNhc3VhbGlkYWQsIMK/aGFzIHZpc3RvIHVuIHBhcXVldGUgZGUgcHJlcGFyYWRvIHBhcmEganVnbyBwb3IgYXF1w60/
bmwwDA,,W1dhc3RlbGFuZCBDYWN0ZXJwaW5dCkp1aWNlIG1peCBwYWNrYWdlPyBUaGUgb25lIHRoYXQgZmVsbCBiZXR3ZWVuIHRoZSByb2Nrcz8gSSBzYXcgaXQu,,,,,W0thY3RlcnBpbiBkbyBEZXNlcnRvXQpQYWNvdGUgZGUgbWlzdHVyYSBkZSBzdWNvPyBBcXVlbGUgcXVlIGNhaXUgZW50cmUgYXMgcGVkcmFzPyBFdSB2aS4=,,W0NhY3RlcmlubyBkZWwgWWVybW9dCsK/UGFxdWV0ZSBkZSBwcmVwYXJhZG8gcGFyYSBqdWdvPyDCv0VsIHF1ZSBjYXnDsyBlbnRyZSBsYXMgcm9jYXM/IExvIHZpLg==
b2wwDA,,W3swfV0KVGhhdCBiZWxvbmdzIHRvIENhY3Rlcm9uLiBJJ3ZlIGNvbWUgdG8gZmluZCBpdC4=,,,,,W3swfV0KSXNzbyBwZXJ0ZW5jZSDDoCBLYWN0ZXJvbi4gRXUgdmltIGVuY29udHLDoS1sby4=,,W3swfV0KRXNvIGxlIHBlcnRlbmVjZSBhIENhY3Rlcm9uLiBIZSB2ZW5pZG8gYSBidXNjYXJsby4=
cGwwDA,,W1dhc3RlbGFuZCBDYWN0ZXJwaW5dClN0cmFuZ2VyLCBJIGhhdmUgbm8gcmVhc29uIHRvIHJldHVybiBzb21ldGhpbmcgQ2FjdGVyb24gbG9zdCB0byB5b3Uu,,,,,W0thY3RlcnBpbiBkbyBEZXNlcnRvXQpFc3RyYW5obywgbsOjbyB0ZW5obyBtb3Rpdm9zIHBhcmEgZGV2b2x2ZXIgYWxnbyBxdWUgYSBLYWN0ZXJvbiBwZXJkZXUgcGFyYSB2b2PDqi4=,,W0NhY3RlcmlubyBkZWwgWWVybW9dCkV4dHJhw7FvLCBubyB0ZW5nbyBuaW5ndW5hIHJhesOzbiBwYXJhIGRldm9sdmVybGUgYWxnbyBxdWUgQ2FjdGVyb24gcGVyZGnDsyBhIHRpLg==
cWwwDA,,VGhyZWF0ZW4gd2l0aCBmb3JjZS4=,,,,,QW1lYcOnYXIgY29tIGZvcsOnYS4=,,QW1lbmF6YXIgY29uIGZ1ZXJ6YS4=
cmwwDA,,UGVyc3VhZGUgd2l0aCB3b3Jkcy4=,,,,,UGVyc3VhZGlyIGNvbSBwYWxhdnJhcy4=,,UGVyc3VhZGlyIGNvbiBwYWxhYnJhcy4=
c2wwDA,,W3swfV0KSSBhbSBDYWN0ZXJvbidzIHJlcHJlc2VudGF0aXZlLiBCdXQgaWYgeW91J3JlIGdvaW5nIHRvIGJlIHN0dWJib3JuLCBJIGhhdmUgbm8gY2hvaWNlLgpEbyBJIG5lZWQgdG8gdXNlIGZvcmNlIHRvIGdldCB5b3UgdG8gcmV0dXJuIGl0Pw==,,,,,W3swfV0KU291IHJlcHJlc2VudGFudGUgZGEgS2FjdGVyb24uIE1hcyBzZSB2b2PDqiB2YWkgc2VyIHRlaW1vc28sIG7Do28gdGVuaG8gZXNjb2xoYS4KUHJlY2lzbyB1c2FyIGZvcsOnYSBwYXJhIGZhemVyIHZvY8OqIGRldm9sdmVyPw==,,W3swfV0KU295IGVsIHJlcHJlc2VudGFudGUgZGUgQ2FjdGVyb24uIFBlcm8gc2kgdmFzIGEgc2VyIHRlcmNvLCBubyBtZSBxdWVkYSBvcGNpw7NuLgrCv05lY2VzaXRvIHVzYXIgbGEgZnVlcnphIHBhcmEgcXVlIGxvIGRldnVlbHZhcz8=
dGwwDA,,W1dhc3RlbGFuZCBDYWN0ZXJwaW5dCkJsb29kIGNhbGxzIGZvciBibG9vZC4gSSB3aWxsIGdpdmUgeW91IHRoZSBqdWljZSBtaXggcGFja2FnZSBiZWZvcmUgdmlvbGVuY2Ugb2NjdXJzLCBzdHJhbmdlci4KQnV0IENhY3Rlcm9uIHNob3VsZCBiZSBhc2hhbWVkIGZvciBlbnRydXN0aW5nIGhpcyByZXByZXNlbnRhdGlvbiB0byBhIHN0cmFuZ2VyIGxpa2UgeW91Lg==,,,,,W0thY3RlcnBpbiBkbyBEZXNlcnRvXQpTYW5ndWUgY2hhbWEgc2FuZ3VlLiBFdSBsaGUgZGFyZWkgbyBwYWNvdGUgZGUgbWlzdHVyYSBkZSBzdWNvIGFudGVzIHF1ZSBhIHZpb2zDqm5jaWEgb2NvcnJhLCBlc3RyYW5oby4KTWFzIGEgS2FjdGVyb24gZGV2ZXJpYSB0ZXIgdmVyZ29uaGEgcG9yIGNvbmZpYXIgc3VhIHJlcHJlc2VudGHDp8OjbyBhIHVtIGVzdHJhbmhvIGNvbW8gdm9jw6ou,,W0NhY3RlcmlubyBkZWwgWWVybW9dCkxhIHNhbmdyZSBsbGFtYSBhIGxhIHNhbmdyZS4gVGUgZGFyw6kgZWwgcGFxdWV0ZSBkZSBwcmVwYXJhZG8gYW50ZXMgZGUgcXVlIG9jdXJyYSB2aW9sZW5jaWEsIGV4dHJhw7FvLgpQZXJvIENhY3Rlcm9uIGRlYmVyw61hIGF2ZXJnb256YXJzZSBwb3IgZW5jb21lbmRhciBzdSByZXByZXNlbnRhY2nDs24gYSB1biBleHRyYcOxbyBjb21vIHTDui4=
dWwwDA,,LSBZb3UgZ290IHRoZSBqdWljZSBtaXggcGFja2FnZSBzYWZlbHksIGJ1dCBmZWVsIGEgbGl0dGxlIGd1aWx0eS4uLiAt,,,,,LSBWb2PDqiBjb25zZWd1aXUgbyBwYWNvdGUgZGUgbWlzdHVyYSBkZSBzdWNvIGNvbSBzZWd1cmFuw6dhLCBtYXMgc2Ugc2VudGUgdW0gcG91Y28gY3VscGFkby4uLiAt,,LSBPYnR1dmlzdGUgZWwgcGFxdWV0ZSBkZSBwcmVwYXJhZG8gZGUgZm9ybWEgc2VndXJhLCBwZXJvIHRlIHNpZW50ZXMgdW4gcG9jbyBjdWxwYWJsZS4uLiAt
