oFbfBg,,R3VpZGU=,,,,,R3VpYQ==,,R3XDrWE=
oVffBg,,W1ZpY2VudGVdClVnaC4uLgpUaGF0J3MgZGVwcmVzc2luZy4=,,,,,W1ZpY2VudGVdCi4uLgpFc3RvdSBjYW5zYWRvLCBkZSB2ZXJkYWRlLg==,,W1ZpY2VudGVdClVmLi4uClF1w6kgZGVwcmltZW50ZS4=
olffBg,,W1ZpY2VudGVdCkdvIHRhbGsgdG8gTWF5c2hlbGwgaWYgeW91IHdpc2ggdG8gY29udGludWUgdGhlIGxlY3R1cmUuClNoZSB3aWxsIHRlbGwgeW91IHNvbWUgdXNlZnVsIHRoaW5ncy4=,,,,,W1ZpY2VudGVdCkZhbGUgY29tIGEgTWF5c2hlbGwgcGFyYSBjb250aW51YXIgbm8gY2FtaW5obyBkb3MgR2F0dW5vcy4KRWxhIHNlcsOhIGRlIGdyYW5kZSBhanVkYS4=,,W1ZpY2VudGVdClZlIGEgaGFibGFyIGNvbiBNYXlzaGVsbCBzaSBxdWllcmVzIGNvbnRpbnVhciBjb24gbGEgbGVjY2nDs24uClRlIGNvbnRhcsOhIGFsZ3VuYXMgY29zYXMgw7p0aWxlcy4=
o1ffBg,,W1ZpY2VudGVdClNoZSdsbCBnaXZlIHlvdSBpbnN0cnVjdGlvbiBvbiB1c2luZyB0aGllZiBza2lsbHMgdGhyb3VnaCBhIG1hbnVhbC4KQnV0IGV4cGVyaWVuY2luZyBza2lsbHMgZnJvbSB0aGUgbWFudWFsIGlzIGF2YWlsYWJsZSBvbmx5IHVudGlsIExldmVsIDEyLg==,,,,,W1ZpY2VudGVdCkVsYSBsaGUgZGFyw6EgaW5zdHJ1w6fDtWVzIHNvYnJlIGNvbW8gdXNhciBhcyBoYWJpbGlkYWRlcyBkb3MgR2F0dW5vcyBwb3IgbWVpbyBkZSB1bSBtYW51YWwuCk1hcyBhIGV4cGVyacOqbmNpYSBjb20gYXMgaGFiaWxpZGFkZXMgZG8gbWFudWFsIHPDsyBlc3TDoSBkaXNwb27DrXZlbCBhdMOpIG8gbsOtdmVsIDEyLg==,,W1ZpY2VudGVdClRlIGRhcsOhIGluc3RydWNjaW9uZXMgc29icmUgY8OzbW8gdXNhciBsYXMgaGFiaWxpZGFkZXMgZGUgbG9zIExhZHJvbmVzIGNvbiB1biBtYW51YWwuClBlcm8gZXhwZXJpbWVudGFyIGxhcyBoYWJpbGlkYWRlcyBhIHRyYXbDqXMgZGVsIG1hbnVhbCBzb2xvIGVzdMOhIGRpc3BvbmlibGUgaGFzdGEgZWwgbml2ZWwxMi4=
pFffBg,,W1ZpY2VudGVdCkkgd2FzIGFib3V0IHRvIGxldCB5b3UgcHJhY3RpY2UgdGhlIF40RDRERkZTdGVhbCBza2lsbCwgd2hpY2ggeW91IGNhbiB1c2UgdG8gc3RlYWwgdGhpbmdzIGZyb20gbW9uc3RlcnNeMDAwMDAwLCBidXQuLi4KV2VsbCwgaXQgY2FuIGJlIHNraXBwZWQuIEFsbCB5b3UgbmVlZCB0byBrbm93IGlzIHdoYXQgdGhlIHNraWxsIGlzLg==,,,,,W1ZpY2VudGVdClTDrW5oYW1vcyBwcmVwYXJhZG8gdW0gdHJlaW5hbWVudG8gcXVlIGVudm9sdmlhIF40RDRERkZyb3ViYXIgaXRlbnMgZGUgbW9uc3Ryb3NeMDAwMDAwLCBtYXMuLi4KTWluaGEgZnVuw6fDo28gw6kgYXBlbmFzIGxoZSBwYXNzYXIgYXMgaW5mb3JtYcOnw7Vlcy4uLg==,,W1ZpY2VudGVdCkliYSBhIGRlamFyIHF1ZSBwcmFjdGlxdWVzIGxhIF40RDRERkZoYWJpbGlkYWQgUm9iYXIsIHF1ZSBwdWVkZXMgdXNhciBwYXJhIHJvYmFybGVzIGNvc2FzIGEgbG9zIG1vbnN0cnVvc14wMDAwMDAsIHBlcm8uLi4KQnVlbm8sIHBvZGVtb3Mgb21pdGlybGEuIFNvbG8gbmVjZXNpdGFzIHNhYmVyIHF1w6kgZXMgZXNhIGhhYmlsaWRhZC4=
pVffBg,,W1ZpY2VudGVdCkkgd2lsbCBtYXJrIHRoZSBjb3Vyc2UgYXMgY29tcGxldGUuCkNhbiB5b3UgdGVsbCBtZSB3aGF0IFN0ZWFsIGlzPw==,,,,,W1ZpY2VudGVdClZhbW9zISBWYW1vcyBjb21wbGV0YXIgc2V1cyBlbnNpbmFtZW50b3MuClZvY8OqIHNhYmUgbyBxdWUgRnVydG8gZmF6Pw==,,W1ZpY2VudGVdCk1hcmNhcsOpIGVsIGN1cnNvIGNvbW8gY29tcGxldGFkby4Kwr9QdWVkZXMgZGVjaXJtZSBxdcOpIGVzIFJvYmFyPw==
plffBg,,U3RlYWxpbmcgb3RoZXIgcGVvcGxlcycgYmVsb25naW5ncyE=,,,,,Um91YmEgY29pc2FzIGRhcyBwZXNzb2FzIQ==,,wqFSb2JhciBsYXMgcGVydGVuZW5jaWFzIGRlIG90cmFzIHBlcnNvbmFzIQ==
p1ffBg,,U3RlYWxpbmcgdGhpbmdzIGZyb20gbW9uc3RlcnMh,,,,,Um91YmEgY29pc2FzIGRvcyBtb25zdHJvcyE=,,wqFSb2JhcmxlcyBjb3NhcyBhIGxvcyBtb25zdHJ1b3Mh
qFffBg,,TG9vdGluZyBzb21lb25lIGVsc2UncyBraWxsIQ==,,,,,Um91YmEgbyBjb3Jhw6fDo28gZGUgYWxndcOpbSBjb21wcm9tZXRpZG8h,,wqFSb2JhciBlbCBib3TDrW4gZGUgdW5hIHbDrWN0aW1hIGRlIGFsZ3VpZW4gbcOhcyE=
qVffBg,,SSBkb24ndCBrbm93Li4u,,,,,RXUgc2VpIGzDoS4uLg==,,Tm8gbG8gc8OpLi4u
qlffBg,,W1ZpY2VudGVdCk5vLCBkb24ndCBkbyB0aGF0LgpZb3UgbWF5IG5vdCBzdGVhbCBvdGhlciBwZW9wbGVzJyBiZWxvbmdpbmdzLg==,,,,,W1ZpY2VudGVdClBlcmRldSBhIHNhbmlkYWRlPwpJc3NvIGZvaSBlcnJhZG8gZGVtYWlzIQ==,,W1ZpY2VudGVdCk5vLCBubyBoYWdhcyBlc28uCk5vIHB1ZWRlcyByb2JhciBsYXMgcGVydGVuZW5jaWFzIGRlIG90cmFzIHBlcnNvbmFzLg==
q1ffBg,,W1ZpY2VudGVdClRoYXQncyByaWdodCEKSSBzZWUgdGhhdCB5b3UgcmVtZW1iZXIgY29ycmVjdGx5Lg==,,,,,W1ZpY2VudGVdCkNhcmFtYmEhCkJvYSBtZW3Ds3JpYS4uLg==,,W1ZpY2VudGVdCsKhQXPDrSBlcyEKVmVvIHF1ZSBsbyByZWNvcmRhc3RlIGNvcnJlY3RhbWVudGUu
rFffBg,,W1ZpY2VudGVdCldoeSBib3RoZXI/ClRoYXQgd291bGQgY2F1c2UgcHJvYmxlbXMu,,,,,W1ZpY2VudGVdCkRvIHF1ZSB2b2PDqiB0w6EgZmFsYW5kbz8KSXNzbyB0w6EgZXN0cmFuaG8uLi4=,,W1ZpY2VudGVdCsK/UG9yIHF1w6kgbW9sZXN0YXJzZT8KRXNvIGNhdXNhcsOtYSBwcm9ibGVtYXMu
rVffBg,,W1ZpY2VudGVdCllvdSBjYW4gdXNlIFN0ZWFsIHRvIHN0ZWFsIHRoaW5ncyBmcm9tIG1vbnN0ZXJzLgpUaGUgaGlnaGVyIHlvdXIgc2tpbGwgbGV2ZWwgYW5kIEhJVCwgdGhlIGdyZWF0ZXIgeW91ciBjaGFuY2Ugb2Ygc3VjY2Vzcy4=,,,,,W1ZpY2VudGVdCkZ1cnRvIMOpIHVtYSBIYWJpbGlkYWRlIHF1ZSByb3ViYSBjb2lzYXMgZG9zIG1vbnN0cm9zLi4uClF1YW50byBtYWlvciBvIG7DrXZlbCBkYSBIYWJpbGlkYWRlLCBtYWlvciBhIGNoYW5jZSBkZSBzdWNlc3NvLg==,,W1ZpY2VudGVdClB1ZWRlcyB1c2FyIFJvYmFyIHBhcmEgcXVpdGFybGVzIGNvc2FzIGEgbG9zIG1vbnN0cnVvcy4KQ3VhbnRvIG1heW9yZXMgc2VhbiB0dSBuaXZlbCBkZSBoYWJpbGlkYWQgeSBQUkVDLCBtYXlvciBzZXLDoSBsYSBwcm9iYWJpbGlkYWQgZGUgw6l4aXRvLg==
rlffBg,,W1ZpY2VudGVdClRoZXJlLiBNeSBjbGFzcyBpcyBvdmVyLgpJIGNvdWxkIGdvIG9uLCBidXQgeW91ciBsZXZlbCBpcyBzbyBoaWdoLg==,,,,,W1ZpY2VudGVdCkJvbSwgdGVybWluYW1vcyBwb3IgYXF1aSEKU2UgcXVpc2VyIHByb3NzZWd1aXIuLi4gQm9tLCBuw6NvIGTDoS4gTyBuw612ZWwgw6kgbXVpdG8gYWx0by4=,,W1ZpY2VudGVdCkJpZW4uIFNlIGFjYWLDsyBsYSBjbGFzZS4KUG9kcsOtYSBzZWd1aXIsIHBlcm8gdHUgbml2ZWwgZXMgZGVtYXNpYWRvIGFsdG8u
r1ffBg,,W1ZpY2VudGVdClRoYXQncyBncmVhdCEKS2VlcCB0aGF0IHN0b25lIGFzIGEgc291dmVuaXIu,,,,,W1ZpY2VudGVdCsOTdGltbyEKR3VhcmRlIGVzc2EgUGVkcmEgY29tbyBsZW1icmFuw6dhLg==,,W1ZpY2VudGVdCsKhRXhjZWxlbnRlIQpRdcOpZGF0ZSBlc2EgcGllZHJhIGNvbW8gcmVjdWVyZG8u
sFffBg,,W1ZpY2VudGVdCllvdSd2ZSBnb3R0ZW4gZXhwZXJpZW5jZSB3aXRoIHRoZSBza2lsbCwgc28gbGV0J3MgZW5kIGl0IHdpdGggdGhhdC4KUGxlYXNlIGdvIHRhbGsgdG8gTWF5c2hlbGwu,,,,,W1ZpY2VudGVdClZvY8OqIGrDoSBmZXogbyBuZWNlc3PDoXJpbyBwb3IgYXF1aS4uClbDoSBmYWxhciBjb20gYSBTZW5ob3JpdGEgTWF5c2hlbGwu,,W1ZpY2VudGVdCllhIHRpZW5lcyBleHBlcmllbmNpYSBjb24gbGEgaGFiaWxpZGFkLCBhc8OtIHF1ZSB0ZXJtaW5lbW9zIGNvbiBlc28uClZlIGEgaGFibGFyIGNvbiBNYXlzaGVsbC4=
sVffBg,,W1ZpY2VudGVdCkhtbS4uLiBZb3UgZG9uJ3QgbWVldCB0aGUgbGV2ZWwgcmVxdWlyZW1lbnRzIGZvciB0aGUgbWFudWFsLgpUaGF0IG1lYW5zIHlvdSB3b24ndCBiZSBhYmxlIHRvIHN0ZWFsIHRoYXQgc3RvbmUuLi4=,,,,,W1ZpY2VudGVdClZvY8OqIG7Do28gY29uc2VndWUgbmVtIGVxdWlwYXIgbyBNYW51YWwuLi4uCkNvbW8gdmFpIHJvdWJhciB1bWEgcGVkcmE/,,W1ZpY2VudGVdCk1tbS4uLiBObyBjdW1wbGVzIGxvcyByZXF1aXNpdG9zIGRlIG5pdmVsIHBhcmEgZWwgbWFudWFsLgpFc28gc2lnbmlmaWNhIHF1ZSBubyBwb2Ryw6FzIHJvYmFyIGVzYSBwaWVkcmEuLi4=
slffBg,,W1ZpY2VudGVdCldlbGwuLi4KT2gsIGhvdyB0byB1c2UgdGhpZWYgc2tpbGxzIGZyb20gdGhlIG1hbnVhbD8KWW91IHNob3VsZCBlcXVpcCB0aGUgbWFudWFsIGl0ZW0gZmlyc3Qu,,,,,W1ZpY2VudGVdCi4uLgpVc2UgbyBNYW51YWwgZG9zIEdhdHVub3MuLi4KUHJpbWVpcm8sIGVxdWlwZSBvIE1hbnVhbC4=,,W1ZpY2VudGVdCkJ1ZW5vLi4uCkFoLCDCv3F1aWVyZXMgc2FiZXIgY8OzbW8gdXNhciBsYXMgaGFiaWxpZGFkZXMgZGUgbG9zIExhZHJvbmVzIGNvbiBlbCBtYW51YWw/ClByaW1lcm8sIGRlYmVzIGVxdWlwYXIgZWwgbWFudWFsLg==
s1ffBg,,W1ZpY2VudGVdCl40RDRERkZEb3VibGUgY2xpY2sgdGhlIGl0ZW0geW91IHdhbnQgdG8gZXF1aXBeMDAwMDAwLCBvciBvcGVuIHRoZSBlcXVpcG1lbnQgd2luZG93IGFuZCBkcmFnIGFuZCBkcm9wIHRoZSBpdGVtLg==,,,,,W1ZpY2VudGVdCl40RDRERkZDbGlxdWUgZHVhcyB2ZXplcyBubyBpdGVtIHF1ZSBkZXNlamEgZXF1aXBhcl4wMDAwMDAgb3UgYWJyYSBhIGphbmVsYSBkZSBlcXVpcGFtZW50b3MgZSBhcnJhc3RlIG8gaXRlbS4=,,W1ZpY2VudGVdCl40RDRERkZIYXogZG9ibGUgY2xpYyBzb2JyZSBlbCBvYmpldG8gcXVlIHF1aWVyYXMgZXF1aXBhcl4wMDAwMDAgbyBhYnJlIGxhIHZlbnRhbmEgZGUgZXF1aXBhbWllbnRvIHkgYXJyYXN0cmEgeSBzdWVsdGEgZWwgb2JqZXRvLg==
tFffBg,,W1ZpY2VudGVdCllvdSB3aWxsIHNlZSBhIG5ldyBza2lsbCBpbiB0aGUgJ090aGVyJyB0YWIgb2YgdGhlIHNraWxsIHdpbmRvdy4KSXQgd291bGQgYmUgY29udmVuaWVudCBmb3IgeW91IGlmIHlvdSBwbGFjZSBpdCBvbiB0aGUgc2hvcnRjdXQgd2luZG93Lg==,,,,,W1ZpY2VudGVdClNlIGFicmlyIGEgamFuZWxhIGRlIEhhYmlsaWRhZGVzLCBpcsOhIHZlciB1bWEgSGFiaWxpZGFkZSBhZGljaW9uYWRhIGEgc2XDp8OjbyAnT3V0cm9zJy4KU2UgcmVnaXN0cmFyIHVtIGF0YWxobywgc2Vyw6EgbWFpcyBmw6FjaWwuLi4=,,W1ZpY2VudGVdClZlcsOhcyB1bmEgbnVldmEgaGFiaWxpZGFkIGVuIGxhIHBlc3Rhw7FhIE90cmFzIGRlIGxhIHZlbnRhbmEgZGUgaGFiaWxpZGFkZXMuClRlIGNvbnZlbmRyw61hIGNvbG9jYXJsYSBlbiB2ZW50YW5hIGRlIGFjY2VzbyBkaXJlY3RvLg==
tVffBg,,W1ZpY2VudGVdClRoZXJlIHNob3VsZCBzb21ldGhpbmcgY2FsbGVkIF40RDRERkZTdGVhbF4wMDAwMDAgdGhlcmUuCkl0IGxldHMgeW91IF40RDRERkZzdGVhbCBhbiBpdGVtIGZyb20gYSBtb25zdGVyXjAwMDAwMC4=,,,,,W1ZpY2VudGVdCk5hIHNlw6fDo28gdm9jw6ogZW5jb250cmFyw6EgYSBIYWJpbGlkYWRlIGRlIF40RDRERkZGdXJ0b14wMDAwMDAuCl40RDRERkbDiSB1bWEgSGFiaWxpZGFkZSB1c2FkYSBwYXJhIHJvdWJhciBpdGVucyBkZSBtb25zdHJvc14wMDAwMDAu,,W1ZpY2VudGVdCkFsbMOtIGRlYmVyw61hIGhhYmVyIHVuYSBoYWJpbGlkYWQgbGxhbWFkYSBeNEQ0REZGUm9iYXJeMDAwMDAwLgpUZSBwZXJtaXRlIF40RDRERkZyb2JhciB1biBvYmpldG8gZGUgdW4gbW9uc3RydW9eMDAwMDAwLg==
tlffBg,,W1ZpY2VudGVdCkhlcmUncyB5b3VyIGFzc2lnbm1lbnQuCkRvIHlvdSBzZWUgdGhhdCBwb3JpbmcgY2FnZT8KXjRENERGRlN0ZWFsIDEgc3RvbmUgZnJvbSB0aGUgcG9yaW5nXjAwMDAwMC4=,,,,,W1ZpY2VudGVdCkFxdWkgZXN0w6EgbyBxdWUgdGVtIHF1ZSBmYXplci4KRXN0w6EgdmVuZG8gYSBnYWlvbGEgY29tIFBvcmluZ3M/Cl40RDRERkZVc2UgbyBGdXJ0byBlbSB1bSBQb3JpbmcgcGFyYSByb3ViYXIgMSBQZWRyYV4wMDAwMDAu,,W1ZpY2VudGVdCkVzdGEgZXMgdHUgdGFyZWEuCsK/VmVzIGVzYSBqYXVsYSBkZSBQb3Jpbmc/Cl40RDRERkZSw7NiYWxlIDFwaWVkcmEgYWwgUG9yaW5nXjAwMDAwMC4=
t1ffBg,,W1ZpY2VudGVdClN0ZWFsIGNhbiBzb21ldGltZXMgZmFpbC4KQmVzdCBvZiBsdWNrLg==,,,,,W1ZpY2VudGVdCkZ1cnRvIHRlbSB1bWEgcHJvYmFiaWxpZGFkZSBkZSBmYWxoYXIuLi4KQm9hIHNvcnRlLi4u,,W1ZpY2VudGVdCkEgdmVjZXMsIGVsIHJvYm8gcHVlZGUgZmFsbGFyLgpNdWNoYSBzdWVydGUu
uFffBg,,W1ZpY2VudGVdCllvdSd2ZSBnb3R0ZW4gZXhwZXJpZW5jZSB3aXRoIHRoZSBza2lsbCwgc28gbGV0J3MgZW5kIGl0IHdpdGggdGhhdC4KSWYgeW91IGhhdmVuJ3QgYWxyZWFkeSBjb21wbGV0ZWQgVmVya2hhc2VsbCdzIGFzc2lnbm1lbnQsIHlvdSBzaG91bGQgZ2V0IHN0YXJ0ZWQgd2l0aCB0aGF0Lg==,,,,,W1ZpY2VudGVdClZvY8OqIGFkcXVpcml1IGV4cGVyacOqbmNpYSBjb20gYSBoYWJpbGlkYWRlLCBlbnTDo28gdmFtb3MgZW5jZXJyYXIgcG9yIGFxdWkuClNlIG7Do28gY29tcGxldG91IGFzIHRhcmVmYXMgZG8gVmVya2hhc2VsLCBwb3IgZmF2b3IgdsOhIGZhbGFyIGNvbSBlbGUu,,W1ZpY2VudGVdCllhIHRpZW5lcyBleHBlcmllbmNpYSBjb24gbGEgaGFiaWxpZGFkLCBhc8OtIHF1ZSB0ZXJtaW5lbW9zIGNvbiBlc28uClNpIGHDum4gbm8gY29tcGxldGFzdGUgbGEgdGFyZWEgZGUgVmVya2hhc2VsbCwgZGViZXLDrWFzIGNvbWVuemFyIHBvciBlc28u
uVffBg,,W1ZpY2VudGVdCkFsbCB5b3UgaGF2ZSB0byBkbyBpcyB0byBzdGVhbCAxIHN0b25lIGZyb20gYSBwb3JpbmcuCklzIGl0IHRvbyBkaWZmaWN1bHQ/,,,,,W1ZpY2VudGVdClVzZSBvIEZ1cnRvIGVtIHVtIFBvcmluZyBwYXJhIHJvdWJhciAxIFBlZHJhLgpOw6NvIMOpIG11aXRvIGRpZsOtY2lsLCBuw6k/,,W1ZpY2VudGVdCkxvIMO6bmljbyBxdWUgdGllbmVzIHF1ZSBoYWNlciBlcyByb2JhcmxlIDFwaWVkcmEgYWwgUG9yaW5nLgrCv0VzIGRlbWFzaWFkbyBkaWbDrWNpbD8=
ulffBg,,SSBjb3VsZG4ndCBnZXQgdGhlIHN0b25lLg==,,,,,TsOjbyBjb25zZWd1aSBwZWdhciBhIFBlZHJhLg==,,Tm8gcHVkZSBjb25zZWd1aXIgbGEgcGllZHJhLg==
u1ffBg,,W1ZpY2VudGVdCkhtbSwgbWF5YmUgdGhhdCBwb3JpbmcgZG9lc24ndCBoYXZlIGEgc3RvbmUuCkkgd2lsbCByZXNwYXduIHRoYXQgcG9yaW5nLiBHbyBhaGVhZCBhbmQgdHJ5IGFnYWluLg==,,,,,W1ZpY2VudGVdCkhtbSwgdGFsdmV6IGVzc2UgUG9yaW5nIG7Do28gdGVuaGEgdW1hIFBlZHJhLgpWb3UgaW52b2NhciBlc3NlcyBQb3JpbmdzIG5vdmFtZW50ZS4gVsOhIGVtIGZyZW50ZSBlIHRlbnRlIG1haXMgdW1hIHZlei4=,,W1ZpY2VudGVdCk1tbSwgcXVpesOhcyBlc2UgUG9yaW5nIG5vIHRpZW5lIG5pbmd1bmEgcGllZHJhLgpSZWFwYXJlY2Vyw6kgYWwgUG9yaW5nLiBWdWVsdmUgYSBpbnRlbnRhcmxvLg==
vFffBg,,W1ZpY2VudGVdClJlYWxseT8KSSBndWVzcyB0aGlzIGlzbid0IHRoZSBqb2IgZm9yIHlvdS4KQWxsIHJpZ2h0LCBJIHdpbGwgY2FuY2VsIHRoZSBhc3NpZ25tZW50Lg==,,,,,W1ZpY2VudGVdCkhtLCDDqSBtZXNtbz8KQm9tLCBuZW0gdG9kbyBtdW5kbyB0ZW0gYm9tIGdvc3RvLgpDZXJ0by4gQ2FuY2VsYXJlaSBhcyB0YXJlZmFzLi4u,,W1ZpY2VudGVdCsK/RGUgdmVyZGFkPwpTdXBvbmdvIHF1ZSBlc3RhIG5vIGVzIGxhIGNsYXNlIHBhcmEgdGkuCk11eSBiaWVuLCBjYW5jZWxhcsOpIGxhIHRhcmVhLg==
vVffBg,,W1ZpY2VudGVdCkFoaGgsIHNvIGJvcmluZy4gQm9yZWQgYnJlZCBib3JlZC4KTm8gd29uZGVyIHRoZSBtYXN0ZXIgcmFuIGF3YXkuCkkgd2FudCB0byBnbyBob21lLg==,,,,,W1ZpY2VudGVdCi4uLgpBY2hvIHF1ZSB2b2PDqiBjb25zZWd1ZSBpbWFnaW5hciBwb3JxdWUgdG9kb3MgZXZlbnR1YWxtZW50ZSBmb2dlbS4KUXVlcm8gaXIgcHJhIGNhc2EuLi4=,,W1ZpY2VudGVdClVmLCBxdcOpIGFidXJyaWRvLiBBYnVycmlkbywgYWJ1cnJpZG8sIGFidXJyaWRvLgpObyBtZSBzb3JwcmVuZGUgcXVlIGVsIG1hZXN0cm8gaGF5YSBodWlkby4KUXVpZXJvIGlybWUgYSBjYXNhLg==
vlffBg,,W1ZlcmtoYXNlbGxdClNhbWUgaGVyZS4KSSBoYXZlIG5vIElkZWEgd2hhdCBNYXlzaGVsbCBpcyB1cCB0by4gVHNrLg==,,,,,W1ZlcmtoYXNlbGxdCkNvbmNvcmRvLi4uCk8gcXVlIHNlcsOhIHF1ZSBvIHBlc3NvYWwgcGVuc2EgZGEgZ2VudGU/,,W1ZlcmtoYXNlbGxdCllvIHRhbWJpw6luLgpObyB0ZW5nbyBpZGVhIGRlIHF1w6kgdHJhbWEgTWF5c2hlbGwuIFBmLg==
v1ffBg,,W1J1bWluXQpFYWdlciB0byBuZWdsZWN0IG91ciBkdXRpZXMgbm93LCBhcmUgd2U/,,,,,W1J1bWluXQpRdWUgdGFsdmV6IHPDsyBzaXJ2YW0gcGFyYSBkYXIgaW5zdHJ1w6fDtWVzIGRlIENsYXNzZT8=,,W1J1bWluXQpJbXBhY2llbnRlcyBwb3IgYWJhbmRvbmFyIHN1cyBkZWJlcmVzLCDCv2VoPw==
wFffBg,,W1ZlcmtoYXNlbGxdCkhhIQpTdGFuZGluZyBoZXJlIGRvaW5nIG5vdGhpbmcgaXMgdGhlIHVsdGltYXRlIG5lZ2xlY3Qgb2YgZHV0eSEKSSdkIG11Y2ggcmF0aGVyIHRha2UgYSBsaWZlLWVuZGFuZ2VyaW5nIHRvcCBzZWNyZXQgbWlzc2lvbiB0aGFuIHN0YW5kIGhlcmUh,,,,,W1ZlcmtoYXNlbGxdCkVuZ3Jhw6dhZGluaG8uLi4KUG9pcyDDqSBleGF0YW1lbnRlIG8gcXVlIGZhemVtb3MhCkUgw6kgdW1hIHRhcmVmYSBtdWl0byByZWNvbXBlbnNhZG9yYSwgc2UgcXVpc2VyIHNhYmVyLi4u,,W1ZlcmtoYXNlbGxdCsKhSmEhCsKhRXN0YXIgYXF1w60gc2luIGhhY2VyIG5hZGEgZXMgZWwgYWJhbmRvbm8gZGVmaW5pdGl2byBkZSBudWVzdHJvcyBkZWJlcmVzIQrCoVByZWZpZXJvIGFjZXB0YXIgdW5hIG1pc2nDs24gc2VjcmV0YSBxdWUgcG9uZ2EgZW4gcmllc2dvIG1pIHZpZGEgcXVlIHF1ZWRhcm1lIGFxdcOtIQ==
wVffBg,,W1ZpY2VudGVdCi4uLk5vdCBtZSwgdGhhbmtzLgpJIGp1c3Qgd2FudCB0byBnZW0tY3JhZnQgaW4gbXkgd29ya3Nob3AsIGxpa2UgaG93IEkgYWx3YXlzIGRpZC4=,,,,,W1ZpY2VudGVdCkFoLCBuw6NvIGFjaG8uLi4KUHJlZmlybyBlc3RhciByZWxheGFuZG8gZW0gdW1hIHByYWlhLi4uIFRvbWFuZG8gdW0gc3VjbyBkZSBsYXJhbmphLi4u,,W1ZpY2VudGVdCi4uLllvIG5vLCBncmFjaWFzLgpTb2xvIHF1aWVybyBmYWJyaWNhciBnZW1hcyBlbiBtaSB0YWxsZXIsIGlndWFsIHF1ZSBzaWVtcHJlLg==
wlffBg,,W01heXNoZWxsXQouLi4uIC4uIC4uCk9oLCBWZXJraGFzZWxsLiBXaGF0IGlzIGl0IHlvdSBkZXNpcmU/Ckkgd2lsbCBncmFudCB5b3UgeW91ciB3aXNoLiBIYWhhLi4u,,,,,W01heXNoZWxsXQouLi4KTXVpdGEgY29udmVyc2EgZSBwb3VjbyB0cmFiYWxoby4uLgpWYW1vcywgcGFyZW0gZGUgcGFwZWFyLi4u,,W01heXNoZWxsXQouLi4uIC4uIC4uCkFoLCBWZXJraGFzZWxsLiDCv1F1w6kgZGVzZWFzPwpUZSBjb25jZWRlcsOpIHR1IGRlc2VvLiBKYSwgamEuLi4=
w1ffBg,,VGhpbmdzIGFyZSBnZXR0aW5nIHdlaXJkLgpJJ2QgYmV0dGVyIGdldCBvdXQgb2YgaGVyZS4=,,,,,QXMgY29pc2FzIGVzdMOjbyBmaWNhbmRvIGVzdHJhbmhhcy4Kw4kgbWVsaG9yIGV1IHNhaXIgZGFxdWku,,RXN0byBzZSBlc3TDoSBwb25pZW5kbyByYXJvLgpTZXLDoSBtZWpvciBxdWUgc2FsZ2EgZGUgYXF1w60u
xFffBg,,W1ZpY2VudGVdCllvdSdyZSBkb2luZyBncmVhdC4KSSBob3BlIEknbGwgYmUgYWJsZSB0byBzZWUgeW91IGFnYWluIHNvbWUgZGF5Lg==,,,,,W1ZpY2VudGVdClZvY8OqIGVzdMOhIGRhbmRvIHNldSBtZWxob3IhClF1ZXJpYSBjb25oZWNlciBhbGd1w6ltIGNvbSB0YW50byBlc2ZvcsOnby4uLg==,,W1ZpY2VudGVdCkxvIGVzdMOhcyBoYWNpZW5kbyBnZW5pYWwuCkVzcGVybyB2b2x2ZXIgYSB2ZXJ0ZSBhbGfDum4gZMOtYS4=
xVffBg,,W1ZpY2VudGVdCkJ5IHRoZSB3YXksIEkgaGF2ZSBhIHdvcmtzaG9wIGluIExpZ2h0aGFsemVuLgpQbGVhc2UgY29tZSBieSBhbmQgc2F5IGhlbGxvLgouLg==,,,,,W1ZpY2VudGVdCkEgcHJvcMOzc2l0bywgdGVuaG8gdW0gQXRlbGnDqiBlbSBMaWdodGhhbHplbi4KUG9yIGZhdm9yLCBwYXNzZSBwb3IgbMOhIGUgZGlnYSBvbMOhLgpIZWhlLg==,,W1ZpY2VudGVdClBvciBjaWVydG8sIHRlbmdvIHVuIHRhbGxlciBlbiBMaWdodGhhbHplbi4KVmUgYSB2aXNpdGFybG8gY3VhbmRvIHF1aWVyYXMuCi4uLg==
xlffBg,,W1ZpY2VudGVdClRob3VnaCBJIGxpa2VseSB3b24ndCByZWNvZ25pemUgeW91LgpIYWhhLi4u,,,,,W1ZpY2VudGVdClByb3ZhdmVsbWVudGUgdm91IGVzcXVlY2VyIGRlIHZvY8OqIHF1YW5kbyB2b2PDqiBmb3IgZW1ib3JhLi4uCkhhaGEuLi4=,,W1ZpY2VudGVdCkF1bnF1ZSBlcyBtdXkgcHJvYmFibGUgcXVlIG5vIHRlIHJlY29ub3pjYS4KSmEsIGphLi4u
