YNIzDQ,,S2VybGlu,,,,,S2VybGlu,,S2VybGlu
tNIzDQ,,W0RyLiBDb3JuXQpTbywgQWR2ZW50dXJlciwgd291bGQgeW91IGxpa2UgdG8gaGVscCB0b28/IEh1bnQgXjRENERGRjMgV2FybSBFeHBsb3Npb25zXjAwMDAwMCBhbmQgXjRENERGRjMgV2FybSBJbXBzXjAwMDAwMCBeNEQ0REZGZWFjaF4wMDAwMDAuIEluIHJldHVybiwgSSdsbCBnaXZlIHlvdSAxMCA8SVRFTT5bR29sZGVuIENvcm5dPElORk8+MjUzNDA8L0lORk8+PC9JVEVNPi4=,,,,,W0RyYS4gUGlwb2thXQpFbnTDo28sIEF2ZW50dXJlaXJvLCBnb3N0YXJpYSBkZSBhanVkYXIgdGFtYsOpbT8gQ2HDp2UgXjRENERGRjMgRXhwbG9zw7VlcyBRdWVudGVzXjAwMDAwMCBlIF40RDRERkYzIEltcHMgUXVlbnRlc14wMDAwMDAgXjRENERGRmNhZGFeMDAwMDAwLiBFbSB0cm9jYSwgbGhlIGRhcmVpIDEwIDxJVEVNPltNaWxobyBEb3VyYWRvXTxJTkZPPjI1MzQwPC9JTkZPPjwvSVRFTT4u,,W0RyYS4gTWHDrXpdCkFzw60gcXVlLCBhdmVudHVyZXJvLCDCv3BvZHLDrWFzIGF5dWRhciB0YW1iacOpbj8gQ2F6YSBeNEQ0REZGMyBFeHBsb3Npw7NuIENhbGllbnRlc14wMDAwMDAgeSBeNEQ0REZGMyBEaWFibGlsbG9zIENhbGllbnRlc14wMDAwMDAsIF40RDRERkZ0cmVzIGRlIGNhZGEgdW5vXjAwMDAwMC4gQ29tbyByZWNvbXBlbnNhLCB0ZSBkYXLDqSAxMCA8SVRFTT5bTWHDrXogRG9yYWRvXTxJTkZPPjI1MzQwPC9JTkZPPjwvSVRFTT4u
tdIzDQ,,SSB3aWxsIGRvIGl0Lg==,,,,,QWNlaXRvLg==,,QWNlcHRvLg==
ttIzDQ,,SSByZWZ1c2Uu,,,,,UmVjdXNvLg==,,UmVjaGF6by4=
t9IzDQ,,W0RyLiBDb3JuXQpBZHZlbnR1cmVyLCB5b3UgZG9uJ3QgeWV0IGtub3cgaG93IHNjYXJ5IHNvbWVvbmUgd2hvIGRlbWFuZHMgc29tZXRoaW5nIGluIHJldHVybiBmb3IgY29ybiBjYW4gYmUuIE9uY2UgeW91IGZpbmQgb3V0LCB5b3UgY2FuJ3QgZ28gYmFjayB0byBob3cgeW91IHdlcmUuLi4uLi4=,,,,,W0RyYS4gUGlwb2thXQpBdmVudHVyZWlybywgdm9jw6ogYWluZGEgbsOjbyBzYWJlIG8gcXXDo28gYXNzdXN0YWRvcmEgw6kgdW1hIHBlc3NvYSBxdWUgcGVkZSBhbGdvIGVtIHRyb2NhIGRvIG1pbGhvLiBRdWFuZG8gZGVzY29icmlyLCBuw6NvIHBvZGVyw6Egdm9sdGFyIGF0csOhcy4uLi4uLg==,,W0RyYS4gTWHDrXpdCkF2ZW50dXJlcm8sIGHDum4gbm8gc2FiZXMgbG8gYXRlcnJhZG9yIHF1ZSBlcyBhbGd1aWVuIHF1ZSBleGlnZSBhbGdvIGEgY2FtYmlvIGRlIG1hw616LiBDdWFuZG8gbG8gZGVzY3VicmFzLCBubyBwb2Ryw6FzIHZvbHZlciBhdHLDoXMuLi4=
uNIzDQ,,W0RyLiBDb3JuXQpeNEQ0REZGMyBXYXJtIEV4cGxvc2lvbnNeMDAwMDAwIGFuZCBeNEQ0REZGMyBXYXJtIEltcHNeMDAwMDAwIF40RDRERkZlYWNoXjAwMDAwMC4gVGhleSBhcmUgXjRENERGRnNjYXR0ZXJlZCBhY3Jvc3MgYWxsIGZpZWxkcyBhbmQgZHVuZ2VvbnNeMDAwMDAwIGhlYWRpbmcgaGVyZS4gSSdtIGNvdW50aW5nIG9uIHlvdS4=,,,,,W0RyYS4gUGlwb2thXQpeNEQ0REZGMyBFeHBsb3PDtWVzIFF1ZW50ZXNeMDAwMDAwIGUgXjRENERGRjMgSW1wcyBRdWVudGVzXjAwMDAwMCBeNEQ0REZGY2FkYV4wMDAwMDAuIEVsZXMgZXN0w6NvIF40RDRERkZlc3BhbGhhZG9zIHBvciB0b2RvcyBvcyBjYW1wb3MgZSBtYXNtb3JyYXNeMDAwMDAwIHZpbmRvIHBhcmEgY8OhLiBFc3RvdSBjb250YW5kbyBjb20gdm9jw6ou,,W0RyYS4gTWHDrXpdClNvbiBeNEQ0REZGMyBFeHBsb3Npw7NuIENhbGllbnRlXjAwMDAwMCB5IF40RDRERkYzIERpYWJsaWxsbyBDYWxpZW50ZV4wMDAwMDAsIF40RDRERkZ0cmVzIGRlIGNhZGEgdW5vXjAwMDAwMC4gRXN0w6FuIHZpbmllbmRvIGhhY2lhIGFjw6EsIF40RDRERkZyZXBhcnRpZG9zIHBvciBjYW1wb3MgeSBtYXptb3JyYXNeMDAwMDAwLiBDdWVudG8gY29udGlnby4=
udIzDQ,,W0RyLiBDb3JuXQpUaGUgbW9zdCBpbXBvcnRhbnQgZWxlbWVudCBvZiB0aGUgUG9wY29ybiBGZXN0YSBpcyBwb3Bjb3JuLiBZb3UndmUgdGFrZW4gb24gdGhlIG1vc3QgaW1wb3J0YW50IHJvbGUgb2YgcHJvdGVjdGluZyB0aGUgY29ybiwgQWR2ZW50dXJlci4=,,,,,W0RyYS4gUGlwb2thXQpPIGVsZW1lbnRvIG1haXMgaW1wb3J0YW50ZSBkYSBGZXN0YSBkYSBQaXBvY2Egw6kgYSBwaXBvY2EuIFZvY8OqIGFzc3VtaXUgbyBwYXBlbCBtYWlzIGltcG9ydGFudGUgZGUgcHJvdGVnZXIgbyBtaWxobywgQXZlbnR1cmVpcm8u,,W0RyYS4gTWHDrXpdCkVsIGVsZW1lbnRvIG3DoXMgaW1wb3J0YW50ZSBkZWwgRmVzdGl2YWwgZGUgbGFzIFBhbG9taXRhcyBlcyBsYSBwYWxvbWl0YS4gVMO6IHRpZW5lcyBsYSBtaXNpw7NuIGNydWNpYWwgZGUgcHJvdGVnZXIgZWwgbWHDrXosIGF2ZW50dXJlcm8u
utIzDQ,,W0RyLiBDb3JuXQpQbGVhc2UgaHVudCBeNEQ0REZGMyBXYXJtIEV4cGxvc2lvbnNeMDAwMDAwIGFuZCBeNEQ0REZGMyBXYXJtIEltcHNeMDAwMDAwIF40RDRERkZlYWNoXjAwMDAwMC4gVGhleSBhcmUgXjRENERGRnNjYXR0ZXJlZCBhY3Jvc3MgYWxsIGZpZWxkcyBhbmQgZHVuZ2VvbnNeMDAwMDAwIGhlYWRpbmcgaGVyZS4gSSdtIGNvdW50aW5nIG9uIHlvdS4=,,,,,W0RyYS4gUGlwb2thXQpQb3IgZmF2b3IsIGNhw6dlIF40RDRERkYzIEVzdHJvbmRvIE1vcm5vXjAwMDAwMCBlIF40RDRERkYzIEltcCBNb3Jub14wMDAwMDAgXjRENERGRmNhZGFeMDAwMDAwLiBFbGVzIGVzdMOjbyBeNEQ0REZGZXNwYWxoYWRvcyBwb3IgdG9kb3Mgb3MgY2FtcG9zIGUgbWFzbW9ycmFzXjAwMDAwMCB2aW5kbyBwYXJhIGPDoS4gRXN0b3UgY29udGFuZG8gY29tIHZvY8OqLg==,,W0RyYS4gTWHDrXpdCkNhemEgYSBeNEQ0REZGMyBFeHBsb3Npw7NuIFRpYmlhXjAwMDAwMCB5IF40RDRERkYzIERpYWJpbGxvIFRpYmlvXjAwMDAwMCBeNEQ0REZGY2FkYV4wMDAwMDAuIEVzdMOhbiBeNEQ0REZGZGVhbWJ1bGFuZG8gcG9yIGNhbXBvcyB5IG1hem1vcnJhc14wMDAwMDAgdmluaWVuZG8gaGFjaWEgYWPDoS4gQ3VlbnRvIGNvbnRpZ28u
u9IzDQ,,W0RyLiBDb3JuXQpZb3UndmUgaHVudGVkIHdlbGwuIEhvdyBkaWQgSSBrbm93PyBZb3VyIGJvZHkgZW1hbmF0ZXMgaGVhdCBhZnRlciBjb21pbmcgYmFjayBmcm9tIGh1bnRpbmcuIEhvdyBjb3VsZCBJIG5vdCBrbm93Pw==,,,,,W0RyYS4gUGlwb2thXQpWb2PDqiBmZXogdW0gYm9tIHRyYWJhbGhvLiBDb21vIGV1IHNhYmlhPyBTZXUgY29ycG8gZW1hbmEgY2Fsb3IgZGVwb2lzIGRlIHRlciB2b2x0YWRvIGRhIGNhw6dhZGEuIENvbW8gZXUgbsOjbyBwZXJjZWJlcmlhPw==,,W0RyYS4gTWHDrXpdCkhhcyBoZWNobyB1biBidWVuIHRyYWJham8uIMK/Q8OzbW8gbG8gc2Fiw61hPyBUdSBjdWVycG8gZGVzcHJlbmRlIGNhbG9yIHRyYXMgaGFiZXIgdnVlbHRvIGRlIGxhIGNhemEuIMK/Q8OzbW8gbm8gaWJhIGEgZGFybWUgY3VlbnRhPw==
vNIzDQ,,W0RyLiBDb3JuXQpBcyBwcm9taXNlZCwgSSdsbCBnaXZlIHlvdSAxMCA8SVRFTT5bR29sZGVuIENvcm5dPElORk8+MjUzNDA8L0lORk8+PC9JVEVNPi4gR28gdG8gPE5BVkk+W1BvcGNvcm4gTWFzdGVyXTxJTkZPPmNvbW9kby5nYXQsMTcwLDE5NiwwLDEwMSwwPC9JTkZPPjwvTkFWST4gYW5kIHRoZXkgd2lsbCBwb3AgdGhpcyBjb3JuIGludG8gcG9wY29ybiBmb3IgeW91Lg==,,,,,W0RyYS4gUGlwb2thXQpDb21vIHByb21ldGlkbywgbGhlIGRhcmVpIDEwIDxJVEVNPltNaWxobyBEb3VyYWRvXTxJTkZPPjI1MzQwPC9JTkZPPjwvSVRFTT4uIFbDoSBhdMOpIG8gPE5BVkk+W1BpcG9xdWVpcm9dPElORk8+Y29tb2RvLmdhdCwxNzAsMTk2LDAsMTAxLDA8L0lORk8+PC9OQVZJPiBlIGVsZSB2YWkgdHJhbnNmb3JtYXIgZXNzZSBtaWxobyBlbSBwaXBvY2EgcGFyYSB2b2PDqi4=,,W0RyYS4gTWHDrXpdClRhbCBjb21vIHByb21ldMOtLCBhcXXDrSB0aWVuZXMgMTAgPElURU0+W01hw616IERvcmFkb108SU5GTz4yNTM0MDwvSU5GTz48L0lURU0+LiBTaSB2YXMgYWwgPE5BVkk+W01hZXN0cm8gUGFsb21pdGFdPElORk8+Y29tb2RvLmdhdCwxNzAsMTk2LDAsMTAxLDA8L0lORk8+PC9OQVZJPiwgw6lsIHByZXBhcmFyw6EgcGFsb21pdGFzIGNvbiBlc3RlIG1hw616Lg==
vdIzDQ,,W0RyLiBDb3JuXQpOb3csIGdvIHNpdCBieSB0aGUgYmVhY2ggYW5kIGNvb2wgb2ZmIHdoaWxlIGVhdGluZyBzb21lIHBvcGNvcm4uIEFuZCBpZiB5b3UgZG9uJ3QgbWluZCwgSSdkIGxpa2UgeW91IHRvIGhlbHAgbWUgYWdhaW4gdG9tb3Jyb3cu,,,,,W0RyYS4gUGlwb2thXQpBZ29yYSwgdsOhIHNlIHNlbnRhciBuYSBwcmFpYSBlIHNlIHJlZnJlc3F1ZSBlbnF1YW50byBjb21lIHBpcG9jYS4gRSBzZSB2b2PDqiBuw6NvIHNlIGltcG9ydGFyLCBnb3N0YXJpYSBxdWUgdm9jw6ogbWUgYWp1ZGFzc2UgZGUgbm92byBhbWFuaMOjLg==,,W0RyYS4gTWHDrXpdCkFob3JhLCBzacOpbnRhdGUgZW4gbGEgcGxheWEsIGNvbWUgcGFsb21pdGFzIHkgcmVmcmVzY2EgdHUgY3VlcnBvLiBZIHNpIHB1ZWRlcywgbWUgZ3VzdGFyw61hIHF1ZSBtZSBheXVkYXJhcyBkZSBudWV2byBtYcOxYW5hLg==
vtIzDQ,,W0RyLiBDb3JuXQpNeSByZWxpYWJsZSBBZHZlbnR1cmVyLCBJJ20gY291bnRpbmcgb24geW91IHRvIHRha2UgY2FyZSBvZiB0aGUgR29sZGVuIENvcm4gZHVyaW5nIHRoZSBmZXN0aXZhbCBwZXJpb2Qu,,,,,W0RyYS4gUGlwb2thXQpDb25macOhdmVsIFZpYWphbnRlLCBlc3RvdSBjb250YW5kbyBjb20gdm9jw6ogcGFyYSBjdWlkYXIgZG8gTWlsaG8gRG91cmFkbyBkdXJhbnRlIG8gZmVzdGl2YWwu,,W0RyYS4gTWHDrXpdCk1pIGZpZWwgVHJvdGFtdW5kb3MsIG5lY2VzaXRvIHF1ZSBjdWlkZXMgYmllbiBkZWwgTWHDrXogRG9yYWRvIGR1cmFudGUgZWwgZmVzdGl2YWwu
v9IzDQ,,W0RyLiBDb3JuXQpJdCdzIGhhcnZlc3Qgc2Vhc29uLCBzbyBJJ20gdGhlIG9ubHkgb25lIHdobyBjb3VsZCBjb21lIG91dCB0byB0aGUgZmVzdGl2YWwgZ3JvdW5kcy4gVGhhbmtzIHRvIHRoYXQsIEknbSBxdWl0ZSBidXN5IGhhbmRsaW5nIHRoaW5ncyBoZXJlIGFsb25lLg==,,,,,W0RyYS4gUGlwb2thXQrDiSDDqXBvY2EgZGUgY29saGVpdGEsIGVudMOjbyBldSBzb3UgbyDDum5pY28gcXVlIHDDtGRlIHZpciBhbyBsb2NhbCBkbyBmZXN0aXZhbC4gR3Jhw6dhcyBhIGlzc28sIGVzdG91IGJhc3RhbnRlIG9jdXBhZG8gY3VpZGFuZG8gZGFzIGNvaXNhcyBhcXVpIHNvemluaG8u,,W0RyYS4gTWHDrXpdCkp1c3RvIGVuIHRlbXBvcmFkYSBkZSBjb3NlY2hhLCB5byBlcmEgZWwgw7puaWNvIGRpc3BvbmlibGUgcGFyYSB2ZW5pciBhbCBsdWdhciBkZWwgZmVzdGl2YWwuIFBvciBlc28sIGVzdG95IHNvbG8gYSBjYXJnbyBkZSB0b2RvIGVzdG8geSBhbmRvIGJhc3RhbnRlIG9jdXBhZG8u
wNIzDQ,,W0RyLiBDb3JuXQpJJ2QgbGlrZSB5b3UgdG8gaGVscCBhIGxvdCwgYnV0IEknbSBzaG9ydC1oYW5kZWQgaGVyZS4uLiBQbGVhc2UganVzdCBvbmNlIGEgZGF5LiBDb21lIGJhY2sgYWZ0ZXIgbWlkbmlnaHQu,,,,,W0RyYS4gUGlwb2thXQpHb3N0YXJpYSBxdWUgdm9jw6ogYWp1ZGFzc2UgYmFzdGFudGUsIG1hcyBlc3RvdSBjb20gZmFsdGEgZGUgbcOjbyBkZSBvYnJhLi4uIEFwZW5hcyB1bWEgdmV6IHBvciBkaWEuIFZvbHRlIGRlcG9pcyBkYSBtZWlhLW5vaXRlLg==,,W0RyYS4gTWHDrXpdCk1lIGd1c3RhcsOtYSByZWNpYmlyIG11Y2hhIGF5dWRhLCBwZXJvIHBvciBmYWx0YSBkZSBtYW5vcy4uLiBTb2xvIHB1ZWRvIHBlZGlyIHVuYSB2ZXogYWwgZMOtYS4gVnVlbHZlIGN1YW5kbyBoYXlhIHBhc2FkbyBsYSBtYWRydWdhZGEu
wdIzDQ,,W0RyLiBDb3JuXQpZb3UndmUgY29tZS4gRGlkIHlvdSB0cnkgdGhlIHBvcGNvcm4/IElmIHlvdSBnbyB0byA8TkFWST5bUG9wY29ybiBNYXN0ZXJdPElORk8+Y29tb2RvLmdhdCwxNzAsMTk2LDAsMTAxLDA8L0lORk8+PC9OQVZJPiwgdGhleSdsbCBub3Qgb25seSBwb3AgcG9wY29ybiBmb3IgeW91IGJ1dCBhbHNvIG1ha2UgPElURU0+W0dvdXJtZXQgUG9wY29ybl08SU5GTz4xMTYyNTwvSU5GTz48L0lURU0+LiBUaGF0J3MgYWxzbyBhIGRlbGljYWN5Lg==,,,,,W0RyYS4gUGlwb2thXQpWb2PDqiB2ZWlvLiBFeHBlcmltZW50b3UgYSBwaXBvY2E/IFNlIHZvY8OqIGZvciBhdMOpIDxOQVZJPltNZXN0cmUgZGEgUGlwb2NhXTxJTkZPPmNvbW9kby5nYXQsMTcwLDE5NiwwLDEwMSwwPC9JTkZPPjwvTkFWST4sIGVsZXMgbsOjbyBzw7MgZXN0b3VyYW0gYSBwaXBvY2EgcGFyYSB2b2PDqiwgbWFzIHRhbWLDqW0gZmF6ZW0gPElURU0+W1BpcG9jYSBHb3VybWV0XTxJTkZPPjExNjI1PC9JTkZPPjwvSVRFTT4uIElzc28gdGFtYsOpbSDDqSB1bWEgZGVsw61jaWEu,,W0RyYS4gTWHDrXpdClZpbmlzdGUuIMK/WWEgcHJvYmFzdGUgbGFzIHBhbG9taXRhcz8gU2kgdmFzIGFsIDxOQVZJPltNYWVzdHJvIGRlIGxhcyBQYWxvbWl0YXNdPElORk8+Y29tb2RvLmdhdCwxNzAsMTk2LDAsMTAxLDA8L0lORk8+PC9OQVZJPiwgbm8gc29sbyBwcmVwYXJhIHBhbG9taXRhcywgc2lubyBxdWUgdGFtYmnDqW4gZWxhYm9yYSA8SVRFTT5bUGFsb21pdGFzIEdvdXJtZXRdPElORk8+MTE2MjU8L0lORk8+PC9JVEVNPi4gVGFtYmnDqW4gc29uIHVuYSBkZWxpY2lhLg==
wtIzDQ,,W0RyLiBDb3JuXQpJJ2QgbGlrZSB5b3UgdG8gaHVudCBeNEQ0REZGMyBXYXJtIEV4cGxvc2lvbnNeMDAwMDAwIGFuZCBeNEQ0REZGMyBXYXJtIEltcHNeMDAwMDAwIF40RDRERkZlYWNoXjAwMDAwMC4gSWYgeW91IGh1bnQgdGhlbSwgSSdsbCBnaXZlIHlvdSAxMCA8SVRFTT5bR29sZGVuIENvcm5dPElORk8+MjUzNDA8L0lORk8+PC9JVEVNPi4=,,,,,W0RyYS4gUGlwb2thXQpHb3N0YXJpYSBxdWUgdm9jw6ogY2HDp2Fzc2UgXjRENERGRjMgRXN0cm9uZG8gTW9ybm9eMDAwMDAwIGUgXjRENERGRjMgSW1wIE1vcm5vXjAwMDAwMCBeNEQ0REZGY2FkYV4wMDAwMDAuIFNlIG9zIGNhw6dhciwgbGhlIGRhcmVpIDEwIDxJVEVNPltNaWxobyBEb3VyYWRvXTxJTkZPPjI1MzQwPC9JTkZPPjwvSVRFTT4u,,W0RyYS4gTWHDrXpdCk1lIGd1c3RhcsOtYSBxdWUgY2FjZXMgXjRENERGRjMgRXhwbG9zacOzbiBUaWJpYV4wMDAwMDAgeSBeNEQ0REZGMyBEaWFiaWxsbyBUaWJpb14wMDAwMDAsIF40RDRERkZjYWRhXjAwMDAwMC4gQ3VhbmRvIHJlZ3Jlc2VzLCB0ZSBkYXLDqSAxMCA8SVRFTT5bTWHDrXogRG9yYWRvXTxJTkZPPjI1MzQwPC9JTkZPPjwvSVRFTT4u
w9IzDQ,,SSdsbCBiZSBiYWNrLg==,,,,,Vm9sdG8gasOhLg==,,WWEgdnVlbHZvLg==
xNIzDQ,,W0RyLiBDb3JuXQpBZHZlbnR1cmVyLCBpdCBzZWVtcyB5b3Ugc3RpbGwgZG9uJ3Qga25vdyBob3cgc2Nhcnkgc29tZW9uZSB3aG8gZGVtYW5kcyBzb21ldGhpbmcgaW4gcmV0dXJuIGZvciBjb3JuIGNhbiBiZS4gSXMgaXQgYmVjYXVzZSBJJ20gbm90IGFza2luZyBmb3IgZ29sZD8=,,,,,W0RyYS4gUGlwb2thXQpWaWFqYW50ZSwgcGFyZWNlIHF1ZSB2b2PDqiBhaW5kYSBuw6NvIHNhYmUgbyBxdWFudG8gdW1hIHBlc3NvYSBxdWUgcGVkZSBhbGdvIGVtIHRyb2NhIGRlIG1pbGhvIHBvZGUgc2VyIGFzc3VzdGFkb3JhLiBTZXLDoSBxdWUgw6kgcG9ycXVlIG7Do28gZXN0b3UgcGVkaW5kbyBvdXJvPw==,,W0RyYS4gTWHDrXpdClRyb3RhbXVuZG9zLCBwYXJlY2UgcXVlIGHDum4gbm8gc2FiZXMgbG8gYXRlcnJhZG9yIHF1ZSBlcyBhbGd1aWVuIHF1ZSBleGlnZSBhbGdvIGEgY2FtYmlvIGRlIG1hw616LiDCv1NlcsOhIHBvcnF1ZSB5byBubyBwaWRvIG9ybz8=
xdIzDQ,,UGFraWhh,,,,,UGFraWhh,,UGFraWhh
xtIzDQ,,PEtvcm9kbyBHdWlkZT4=,,,,,PEd1aWEgZGUgS29yb2RvPg==,,PEd1w61hIGRlIEtvcm9kbz4=
x9IzDQ,,W1Bha2loYV0KSGVsbG8sIGJyYXZlIHdhcnJpb3IgSSBzZWUgeW91J3JlIGludmVzdGVkIG9uIHlvdXIgYWR2ZW50dXJlcywgYXJlbid0IHlvdT8=,,,,,W1Bha2loYV0KT2zDoSwgYnJhdm8oYSkgZ3VlcnJlaXJvKGEpLiBWZWpvIHF1ZSBlc3TDoSBlbXBlbmhhZG8oYSkgbmFzIHN1YXMgYXZlbnR1cmFzLCBuw6NvIGVzdMOhPw==,,W1Bha2loYV0KwqFIb2xhLCB2YWxpZW50ZSBndWVycmVybyhhKSEgwr9WZW8gcXVlIGVzdMOhcyBlbiBwbGVuYSBhdmVudHVyYSwgdmVyZGFkPw==
yNIzDQ,,W1Bha2loYV0KT25jZSB5b3UgYnVpbGQgdXAgeW91ciBza2lsbHMgYSBiaXQgbW9yZSwgSSdsbCB0ZWxsIHlvdSBhbm90aGVyIHdheSB0byBlbmpveSB0aGUgUG9wY29ybiBGZXN0YSBldmVuIG1vcmUuIFVudGlsIHRoZW4sIHNlZSB5b3Uh,,,,,W1Bha2loYV0KUXVhbmRvIHZvY8OqIGFwcmltb3JhciBzdWFzIGhhYmlsaWRhZGVzIHVtIHBvdWNvIG1haXMsIHZvdSB0ZSBjb250YXIgb3V0cmEgbWFuZWlyYSBkZSBhcHJvdmVpdGFyIGFpbmRhIG1haXMgYSBGZXN0YSBkYSBQaXBvY2EuIEF0w6kgbMOhLCBjdWlkZS1zZSE=,,W1Bha2loYV0KQ3VhbmRvIGFjdW11bGVzIHVuIHBvY28gbcOhcyBkZSBleHBlcmllbmNpYSwgdGUgZW5zZcOxYXLDqSBvdHJhIGZvcm1hIGRlIGRpc2ZydXRhciBhw7puIG3DoXMgbGEgRmllc3RhIGRlIGxhcyBQYWxvbWl0YXMuIMKhSGFzdGEgZW50b25jZXMsIHNhbHVkb3Mh
ydIzDQ,,W1Bha2loYV0KSGVsbG8sIGJyYXZlIHdhcnJpb3IgSSBzZWUgeW91J3JlIGludmVzdGVkIG9uIHlvdXIgYWR2ZW50dXJlcywgYXJlbid0IHlvdT8=,,,,,W1Bha2loYV0KT2zDoSwgYnJhdm8oYSkgZ3VlcnJlaXJvKGEpLiBWZWpvIHF1ZSBlc3TDoSBlbXBlbmhhZG8oYSkgbmFzIHN1YXMgYXZlbnR1cmFzLCBuw6NvIGVzdMOhPw==,,W1Bha2loYV0KwqFIb2xhLCB2YWxpZW50ZSBndWVycmVybyhhKSEgwr9WZW8gcXVlIGVzdMOhcyBlbiBwbGVuYSBhdmVudHVyYSwgdmVyZGFkPw==
ytIzDQ,,W1Bha2loYV0KWW91ciBpbnZlbnRvcnkgaXMgdG9vIGZ1bGwgcmlnaHQgbm93LiBLYWZyYSBpcyBvdmVyIHRoZXJlISBPcmdhbml6ZSB5b3VyIGJhZyBhbmQgbWVldCBtZSBhZ2FpbiE=,,,,,W1Bha2loYV0KU2V1IGludmVudMOhcmlvIGVzdMOhIG11aXRvIGNoZWlvIGFnb3JhLiBBIEthZnJhIMOpIHBvciBhbGkhIEFycnVtZSBzdWEgbW9jaGlsYSBlIG1lIGVuY29udHJlIGRlIG5vdm8h,,W1Bha2loYV0KQWhvcmEgbWlzbW8gdGllbmVzIGRlbWFzaWFkb3Mgb2JqZXRvcyBlbiBlbCBpbnZlbnRhcmlvLiDCoUxhIEthZnJhIGVzdMOhIHBvciBhbGzDrSEgT3JnYW5pemEgdHUgbW9jaGlsYSB5IG5vcyB2ZW1vcyBkZXNwdcOpcywgY29uIHVuYSByZXZlcmVuY2lhLCDCoXNhbHVkb3Mh
y9IzDQ,,W1Bha2loYV0KSGVsbG9+IE91ciBicmF2ZSB3YXJyaW9yLiBIYXZlIHlvdSBjb21lIHRvIHBhcnRpY2lwYXRlIGluIHRoZSBQb3Bjb3JuIEZlc3RhPw==,,,,,W1Bha2loYV0KT2zDoX4gTm9zc28gYnJhdm8gZ3VlcnJlaXJvLiBWb2PDqiB2ZWlvIHBhcmEgcGFydGljaXBhciBkYSBGZXN0YSBkYSBQaXBvY2E/,,W1Bha2loYV0KwqFIb2xhfiwgbnVlc3RybyBow6lyb2UhIMK/VmllbmVzIGEgcGFydGljaXBhciBlbiBsYSBGaWVzdGEgZGUgbGFzIFBhbG9taXRhcz8=
zNIzDQ,,W1Bha2loYV0KSWYgc28sIHBsZWFzZSBmaXJzdCBmdWxmaWxsIDxOQVZJPltLZXJsaW5dPElORk8+Y29tb2RvLmdhdCwyNjIsMTI2LDAsMTAxLDA8L0lORk8+PC9OQVZJPidzIHJlcXVlc3QuIFRoZW4sIGhvcGluZyB0byBzZWUgeW91IGFnYWluIQ==,,,,,W1Bha2loYV0KU2Ugc2ltLCBwcmltZWlybyBhdGVuZGEgYW8gcGVkaWRvIGRlIDxOQVZJPltLZXJsaW5dPElORk8+Y29tb2RvLmdhdCwyNjIsMTI2LDAsMTAxLDA8L0lORk8+PC9OQVZJPi4gRXNwZXJvIHRlIHZlciBkZSBub3ZvIQ==,,W1Bha2loYV0KRW4gZXNlIGNhc28sIHByaW1lcm8gYXRpZW5kZSBsYSBwZXRpY2nDs24gZGUgPE5BVkk+W0tlcmxpbl08SU5GTz5jb21vZG8uZ2F0LDI2MiwxMjYsMCwxMDEsMDwvSU5GTz48L05BVkk+LiDCoUVzcGVybyB2ZXJ0ZSBkZSBudWV2byE=
zdIzDQ,,W1Bha2loYV0KSGVsbG9+IE91ciBicmF2ZSB3YXJyaW9yLiBZb3UncmUgdHJ5aW5nIHRvIHZpc2l0IEtvcm9kbyBmb3IgdGhlIGZpcnN0IHRpbWUh,,,,,W1Bha2loYV0KT2zDoSwgYnJhdm8oYSkgZ3VlcnJlaXJvKGEpLiBWb2PDqiBlc3TDoSB0ZW50YW5kbyB2aXNpdGFyIEtvcm9kbyBwZWxhIHByaW1laXJhIHZleiE=,,W1Bha2loYV0KwqFIb2xhLCB2YWxpZW50ZSBndWVycmVybyhhKSEgwqFFcyBsYSBwcmltZXJhIHZleiBxdWUgdmlzaXRhcyBLb3JvZG8h
ztIzDQ,,W1Bha2loYV0KRmlyc3R+IGxldCBtZSBpbnRyb2R1Y2UgbXlzZWxmISBJIGFtIFBha2loYSwgdGhlIEtvcm9kbyBHdWlkZSB3aG8gaGVscHMgeW91IHZpc2l0IEtvcm9kbyE=,,,,,W1Bha2loYV0KUHJpbWVpcm8sIGRlaXhlLW1lIG1lIGFwcmVzZW50YXIhIFNvdSBQYWtpaGEsIGEgR3VpYSBkZSBLb3JvZG8gcXVlIGFqdWRhIHZvY8OqIGEgdmlzaXRhciBLb3JvZG8h,,W1Bha2loYV0KwqFQcmltZXJvLCBtZSBwcmVzZW50YXLDqSEgwqFTb3kgUGFraWhhLCBsYSBndcOtYSBkZSBLb3JvZG8sIHkgYXl1ZG8gZW4gbGFzIHZpc2l0YXMgYSBsYSBpc2xhIQ==
