oFEqDA,,S2FyYW0gUHVjaGk=,,,,,S2FyYW0gUHVjaGk=,,S2FyYW0gUHVjaGk=
pVIqDA,,SGUgdG90YWxseSByYW4gYXdheT8gSGVoZWgu,,,,,RWxlIGZ1Z2l1IGNvbXBsZXRhbWVudGU/IEhlaGVoLg==,,wr9TZSBmdWUgcG9yIGNvbXBsZXRvPyBKZWplai4=
plIqDA,,SXZva2EsIGFuZCB0aGUgS2FjdHRlciBmcmllbmRzISBZb3UgZGlkIHZlcnkgd2VsbCEgTm93IGxldCdzIGFycmVzdCBoaW0u,,,,,SXZva2EsIGUgb3MgS2FjdHRlciEgVm9jw6pzIHNlIHNhw61yYW0gbXVpdG8gYmVtISBBZ29yYSB2YW1vcyBwcmVuZMOqLWxvLg==,,SXZva2EsIMKheSBsb3MgYW1pZ29zIEthY3RlciEgTG8gaGljaWVyb24gbXV5IGJpZW4uIEFob3JhIGFycmVzdMOpbW9zbG8u
p1IqDA,,QXJyZXN0IGhpbSEh,,,,,UHJlbmRhbSBlbGUhIQ==,,wqHCoUFycsOpc3RlbmxvISE=
qFIqDA,,R290IGhpbSEh,,,,,UGVndWVpIGVsZSEh,,wqHCoUxvIHRlbmdvISE=
qVIqDA,,QmVoYXZlISE=,,,,,Q29tcG9ydGUtc2UhIQ==,,wqHCoUNvbXDDs3J0YXRlISE=
qlIqDA,,R3JyPyE/IT8gQXJlIHlvdSBmaW5lIHdpdGggbG9zaW5nIHRoZSBvcmUgbGlrZSB0aGlzISE=,,,,,R3JyPyE/IT8gVHVkbyBiZW0gcGVyZGVyIG8gbWluw6lyaW8gYXNzaW0hIQ==,,wqHCv8K/R3JyPyE/ISDCv0VzdMOhcyBiaWVuIGNvbiBwZXJkZXIgZWwgbWluZXJhbCBhc8OtISE=
q1IqDA,,V2hvIGNhcmVzPyEh,,,,,UXVlbSBzZSBpbXBvcnRhPyEh,,wqHCv0EgcXVpw6luIGxlIGltcG9ydGE/IQ==
rFIqDA,,V2UncmUganVzdCBnb2luZyB0byBhcnJlc3QgeW91ISEh,,,,,TsOzcyBzw7MgdmFtb3MgcHJlbmRlciB2b2PDqiEhIQ==,,wqHCocKhU29sbyB2YW1vcyBhIGFycmVzdGFydGUhISE=
rVIqDA,,UXVpZXQhIEJlZm9yZSBJIHBva2UgaG9sZXMgaW4geW91ciBub3NlISEh,,,,,UXVpZXRvISBBbnRlcyBxdWUgZXUgZmHDp2EgYnVyYWNvcyBubyBzZXUgbmFyaXohISE=,,wqFTaWxlbmNpbyEgwqHCocKhQW50ZXMgZGUgcXVlIHRlIHBlcmZvcmUgbGEgbmFyaXohISE=
rlIqDA,,TGV0J3MgZ28hIEZyaWVuZHMh,,,,,VmFtb3MhIEFtaWdvcyE=,,wqFWw6Ftb25vcyEgwqFBbWlnb3Mh
r1IqDA,,U2hhbGwgd2UgaGVhZCBiYWNrIHNsb3dseSB0b28/,,,,,RGV2ZW1vcyB2b2x0YXIgZGV2YWdhciB0YW1iw6ltPw==,,wr9Ob3NvdHJvcyB0YW1iacOpbiByZWdyZXNhbW9zIGxlbnRhbWVudGU/
sFIqDA,,SXQncyBicm9rZW4sIGRhbWFnZWQsIGFuZCBsZWZ0IGFiYW5kb25lZCBzb21ld2hlcmUu,,,,,RXN0w6EgcXVlYnJhZG8sIGRhbmlmaWNhZG8gZSBhYmFuZG9uYWRvIGVtIGFsZ3VtIGx1Z2FyLg==,,RXN0w6Egcm90bywgZGHDsWFkbyB5IGFiYW5kb25hZG8gZW4gYWxnw7puIGx1Z2FyLg==
sVIqDA,,W1d5YXR0IFdhcnBdCkl2b2thJ3MgcGxhbiB3b3JrZWQgcGVyZmVjdGx5LgpJdCB3YXMgYSBwbGFuIG9ubHkgcG9zc2libGUgYmVjYXVzZSBvZiB0aGUgS2FjdHRlciBUcmliZS4=,,,,,W1d5YXR0IFdhcnBdCk8gcGxhbm8gZG8gSXZva2EgZnVuY2lvbm91IHBlcmZlaXRhbWVudGUuCkZvaSB1bSBwbGFubyBzw7MgcG9zc8OtdmVsIHBvciBjYXVzYSBkYSBUcmlibyBLYWN0dGVyLg==,,W1d5YXR0IFdhcnBdCkVsIHBsYW4gZGUgSXZva2EgZnVuY2lvbsOzIHBlcmZlY3RhbWVudGUuCkZ1ZSB1biBwbGFuIHNvbG8gcG9zaWJsZSBncmFjaWFzIGEgbGEgVHJpYnUgS2FjdHRlci4=
slIqDA,,W1d5YXR0IFdhcnBdCklmIENvc3RlbGxvIGhhZCBjb21lLCB0aGlzIHBsYW4gcHJvYmFibHkgd291bGRuJ3QgaGF2ZSB3b3JrZWQgd2VsbC4KWW91LCBhbiB1bmZhbWlsaWFyIHBlcnNvbiwgY2FtZSBhbmQgZGlzdHJhY3RlZCB0aGVpciBhdHRlbnRpb24gZXZlbiBtb3JlLg==,,,,,W1d5YXR0IFdhcnBdClNlIG8gQ29zdGVsbG8gdGl2ZXNzZSB2aW5kbywgZXN0ZSBwbGFubyBwcm92YXZlbG1lbnRlIG7Do28gdGVyaWEgZnVuY2lvbmFkbyBiZW0uClZvY8OqLCB1bWEgcGVzc29hIGRlc2NvbmhlY2lkYSwgdmVpbyBlIGRpc3RyYWl1IGEgYXRlbsOnw6NvIGRlbGVzIGFpbmRhIG1haXMu,,W1d5YXR0IFdhcnBdClNpIENvc3RlbGxvIGh1YmllcmEgdmVuaWRvLCBlc3RlIHBsYW4gcHJvYmFibGVtZW50ZSBubyBoYWJyw61hIGZ1bmNpb25hZG8gYmllbi4KVMO6LCB1bmEgcGVyc29uYSBkZXNjb25vY2lkYSwgdmluaXN0ZSB5IGRpc3RyYWppc3RlIHN1IGF0ZW5jacOzbiBhw7puIG3DoXMu
s1IqDA,,W1d5YXR0IFdhcnBdCkFueXdheSwgd2l0aCB0aGlzLCB3ZSBmaW5hbGx5IGhhdmUgZXF1YWwgZm9vdGluZy4KTmV4dCB0aW1lLCB3ZSBtaWdodCBiZSBhYmxlIHRvIG5lZ290aWF0ZSBmb3IgdGhlIG9yZSB1c2luZyBKb2hubnkgYXMgbGV2ZXJhZ2Uu,,,,,W1d5YXR0IFdhcnBdCkRlIHF1YWxxdWVyIGZvcm1hLCBjb20gaXNzbywgZmluYWxtZW50ZSBlc3RhbW9zIGVtIHDDqSBkZSBpZ3VhbGRhZGUuCkRhIHByw7N4aW1hIHZleiwgcG9kZXJlbW9zIG5lZ29jaWFyIHBlbG8gbWluw6lyaW8gdXNhbmRvIG8gSm9obm55IGNvbW8gYWxhdmFuY2Eu,,W1d5YXR0IFdhcnBdCkRlIHRvZG9zIG1vZG9zLCBjb24gZXN0bywgZmluYWxtZW50ZSBlc3RhbW9zIGVuIGlndWFsZGFkIGRlIGNvbmRpY2lvbmVzLgpMYSBwcsOzeGltYSB2ZXosIHBvZHLDrWFtb3MgbmVnb2NpYXIgcG9yIGVsIG1pbmVyYWwgdXNhbmRvIGEgSm9obm55IGNvbW8gcGFsYW5jYS4=
tFIqDA,,W1d5YXR0IFdhcnBdClRoZW4gbGV0J3MgcmV0dXJuIHRvIHRoZSBzaGVyaWZmJ3Mgb2ZmaWNlLg==,,,,,W1d5YXR0IFdhcnBdCkVudMOjbyB2YW1vcyB2b2x0YXIgcGFyYSBvIGVzY3JpdMOzcmlvIGRvIHhlcmlmZS4=,,W1d5YXR0IFdhcnBdCkVudG9uY2VzIHZvbHZhbW9zIGEgbGEgb2ZpY2luYSBkZWwgc2hlcmlmZi4=
tVIqDA,,Sm9obm55IEphbWVz,,,,,Sm9obm55IEphbWVz,,Sm9obm55IEphbWVz
tlIqDA,,S2FjdHRlciBUcmliZSBHdW5tYW4=,,,,,QXRpcmFkb3IgZG9zIEthY3R0ZXI=,,UGlzdG9sZXJvIGRlIGxhIFRyaWJ1IEthY3R0ZXI=
t1IqDA,,QWxiZXJ0IEZvcmQ=,,,,,QWxiZXJ0IEZvcmQ=,,QWxiZXJ0IEZvcmQ=
uFIqDA,,WW91IGJhc3RhcmQhIFlvdSBzaG91bGQgZmFsbCBpbnRvIGhlbGwhIEhvdyBkYXJlIHlvdSBzaG93IHlvdXIgZmFjZSBoZXJlIQ==,,,,,SWRpb3RhISBWw6EgcHJvIGluZmVybm8hIENvbW8gb3VzYSBtb3N0cmFyIHN1YSBjYXJhIGFxdWk/IQ==,,wqFCYXN0YXJkbyEgwqFEZWJlcsOtYXMgY2FlciBhbCBpbmZpZXJubyEgwr9Dw7NtbyB0ZSBhdHJldmVzIGEgbW9zdHJhciB0dSBjYXJhIGFxdcOtPw==
uVIqDA,,SGV5IG5vdywgd2hhdCBraW5kIG9mIGxhbmd1YWdlIGlzIHRoYXQgdG93YXJkcyBvdXIgZnV0dXJlIG1heW9yLg==,,,,,RWkgYWdvcmEsIHF1ZSB0aXBvIGRlIGxpbmd1YWdlbSDDqSBlc3NhIGRlIHVtIHByZWZlaXRvPyE=,,T3llIGFob3JhLCBxdcOpIGNsYXNlIGRlIGxlbmd1YWplIGVzIGVzZSBoYWNpYSBudWVzdHJvIGZ1dHVybyBhbGNhbGRlLg==
ulIqDA,,W0l2b2thIFNrdWRpXQpJIHNhaWQgSSdkIGhhbmRsZSBpdCBhbG9uZSwgd2h5IGRpZCB5b3UgY29tZSB0byB0YWxrIHRvIHRoaXMgZ3V5PwpJdCB3YXMgdW5uZWNlc3NhcnkuLi4=,,,,,W0l2b2thIFNrdWRpXQpFdSBkaXNzZSBxdWUgbGlkYXJpYSBzb3ppbmhvLCBwb3IgcXVlIHZvY8OqIHZlaW8gZmFsYXIgY29tIGVzdGUgY2FyYT8KRm9pIGRlc25lY2Vzc8OhcmlvLi4u,,W0l2b2thIFNrdWRpXQpEaWplIHF1ZSBsbyBtYW5lamFyw61hIHNvbG8sIMK/cG9yIHF1w6kgdmluaXN0ZSBhIGhhYmxhciBjb24gZXN0ZSB0aXBvPwpGdWUgaW5uZWNlc2FyaW8uLi4=
u1IqDA,,V2Ugc3RpbGwgbmVlZCB0byBnaXZlIHJvb20gZm9yIG5lZ290aWF0aW9uLg==,,,,,QWluZGEgcHJlY2lzYW1vcyBkYXIgbWFyZ2VtIHBhcmEgbmVnb2NpYcOnw6NvLg==,,VG9kYXbDrWEgbmVjZXNpdGFtb3MgZGFyIG1hcmdlbiBwYXJhIGxhIG5lZ29jaWFjacOzbi4=
vFIqDA,,W0l2b2thIFNrdWRpXQpOZWdvdGlhdGlvbj8gV2hhdCBuZWdvdGlhdGlvbj8KSGUncyBhIGd1eSBBbGJlcnQgZ2F2ZSB1cCBvbi4KSGUncyB3b3J0aGxlc3MgYXMgYSBob3N0YWdlLg==,,,,,W0l2b2thIFNrdWRpXQpOZWdvY2lhw6fDo28/IFF1ZSBuZWdvY2lhw6fDo28/CkVsZSDDqSB1bSBjYXJhIHF1ZSBvIEFsYmVydCBkZXNpc3RpdS4KRWxlIG7Do28gdGVtIHZhbG9yIGNvbW8gcmVmw6ltLg==,,W0l2b2thIFNrdWRpXQrCv05lZ29jaWFjacOzbj8gwr9RdcOpIG5lZ29jaWFjacOzbj8KRXMgdW4gdGlwbyBhbCBxdWUgQWxiZXJ0IGFiYW5kb27Dsy4KTm8gdmFsZSBuYWRhIGNvbW8gcmVow6luLg==
vVIqDA,,PyEgQWxiZXJ0IGRpZD8=,,,,,TyBBbGJlcnQgZmV6IGlzc28/IQ==,,wqHCv0FsYmVydCBsbyBoaXpvPyE=
vlIqDA,,W0l2b2thIFNrdWRpXQpUaGUgb25seSB0aGluZyB3ZSBoYXZlIHRvIGRvIGZvciB0aGUgZnV0dXJlIGFuZCBzYWZldHkgb2YgdGhlIHRvd24gaXMgdG8gaGFuZyB0aGlzIGd1eSBoaWdoIQpGdXR1cmUgbWF5b3Ih,,,,,W0l2b2thIFNrdWRpXQpBIMO6bmljYSBjb2lzYSBxdWUgdGVtb3MgcXVlIGZhemVyIHBlbG8gZnV0dXJvIGUgc2VndXJhbsOnYSBkYSBjaWRhZGUgw6kgZW5mb3JjYXIgZXN0ZSBjYXJhIGJlbSBhbHRvIQpGdXR1cm8gcHJlZmVpdG8h,,W0l2b2thIFNrdWRpXQrCoUxvIMO6bmljbyBxdWUgdGVuZW1vcyBxdWUgaGFjZXIgcG9yIGVsIGZ1dHVybyB5IGxhIHNlZ3VyaWRhZCBkZWwgcHVlYmxvIGVzIGNvbGdhciBhIGVzdGUgdGlwbyBlbiBhbHRvIQrCoUZ1dHVybyBhbGNhbGRlIQ==
v1IqDA,,W0l2b2thIFNrdWRpXQpUaGUgc2hlcmlmZiBzYWlkIHNvIHRvby4KQWhofiBXaWxsIHRvbW9ycm93IGJlIGdvb2QsIG9yIHRoZSBkYXkgYWZ0ZXIhCk5vLCBpdCdzIHRvZGF5ISBUb2RheSBpcyBwZXJmZWN0ISBBIGdvb2R+IGRheSBmb3IgaGFuZ2luZ34=,,,,,W0l2b2thIFNrdWRpXQpPIHhlcmlmZSBkaXNzZSBpc3NvIHRhbWLDqW0uCkFoaH4gU2Vyw6EgcXVlIGFtYW5ow6Mgc2Vyw6EgYm9tLCBvdSBkZXBvaXMgZGUgYW1hbmjDoyEKTsOjbywgw6kgaG9qZSEgSG9qZSDDqSBwZXJmZWl0byEgVW0gYm9tIGRpYSBwYXJhIH5lbmZvcmNhcn4=,,W0l2b2thIFNrdWRpXQpFbCBzaGVyaWZmIHRhbWJpw6luIGxvIGRpam8uCsKhQWhofiDCv1NlcsOhIGJ1ZW5vIG1hw7FhbmEsIG8gcGFzYWRvIQpObywgwqFlcyBob3khIMKhSG95IGVzIHBlcmZlY3RvISBVbiBidWVufiBkw61hIHBhcmEgYWhvcmNhcn4=
wFIqDA,,SGFuZz8gV2hvPyBXaGF0PyBEb24ndCB0ZWxsIG1lIHlvdSBtZWFuIG1lPyE=,,,,,RW5mb3JjYXI/IFF1ZW0/IE8gcXXDqj8gTsOjbyBtZSBkaWdhIHF1ZSBxdWVyZW0gZGl6ZXIgZXU/IQ==,,wr9BaG9yY2FyPyDCv0EgcXVpw6luPyDCv1F1w6k/IMKhwr9ObyBtZSBkaWdhcyBxdWUgdGUgcmVmaWVyZXMgYSBtw60/IQ==
wVIqDA,,W0pvaG5ueSBKYW1lc10KWW91IGd1eXMga2VlcCBzYXlpbmcgc3RyYW5nZSB0aGluZ3MsIHdoYXQgaXMgaXQ/CldoYXQgZG8geW91IHdhbnQ/,,,,,W0pvaG5ueSBKYW1lc10KVm9jw6pzIGNvbnRpbnVhbSBkaXplbmRvIGNvaXNhcyBlc3RyYW5oYXMsIG8gcXVlIMOpPwpPIHF1ZSB2b2PDqnMgcXVlcmVtPw==,,W0pvaG5ueSBKYW1lc10KVXN0ZWRlcyBzaWd1ZW4gZGljaWVuZG8gY29zYXMgZXh0cmHDsWFzLCDCv3F1w6kgcGFzYT8Kwr9RdcOpIHF1aWVyZW4/
wlIqDA,,QWxiZXJ0IGlzIHRyeWluZyB0byBiZWNvbWUgdGhlIG5ldyBsZWFkZXIu,,,,,TyBBbGJlcnQgZXN0w6EgdGVudGFuZG8gc2UgdG9ybmFyIG8gbm92byBsw61kZXIu,,QWxiZXJ0IGVzdMOhIHRyYXRhbmRvIGRlIGNvbnZlcnRpcnNlIGVuIGVsIG51ZXZvIGzDrWRlci4=
w1IqDA,,W0pvaG5ueSBKYW1lc10KV2hhdCBub25zZW5zZSBhcmUgeW91IHN1ZGRlbmx5IHNwb3V0aW5nIQpBcmUgeW91IGFza2luZyBtZSB0byBiZWxpZXZlIHRoYXQgbm93PyE=,,,,,W0pvaG5ueSBKYW1lc10KUXVlIGFic3VyZG8gdm9jw6ogZXN0w6EgZmFsYW5kbyBkZSByZXBlbnRlIQpFc3TDoSBtZSBwZWRpbmRvIHBhcmEgYWNyZWRpdGFyIG5pc3NvIGFnb3JhPyE=,,W0pvaG5ueSBKYW1lc10KwqHCv1F1w6kgdG9udGVyw61hcyBlc3TDoXMgc29sdGFuZG8gZGUgcmVwZW50ZSEKwqHCv01lIGVzdMOhcyBwaWRpZW5kbyBxdWUgY3JlYSBlc28gYWhvcmE/IQ==
xFIqDA,,SGVoLi4gQnV0IGhlIHJhbiBhd2F5LCByaWdodD8gQW5kIGhlJ3MgYmVlbiBxdWlldCB1bnRpbCBub3c/,,,,,SGVoLi4gTWFzIGVsZSBmdWdpdSwgY2VydG8/IEUgZWxlIGZpY291IHF1aWV0byBhdMOpIGFnb3JhPw==,,SmUuLiBQZXJvIMOpbCBodXnDsywgwr92ZXJkYWQ/IMK/WSBoYSBlc3RhZG8gY2FsbGFkbyBoYXN0YSBhaG9yYT8=
xVIqDA,,SGUgc2F5cyBoZSdsbCBzZWxsIHRoZSBvcmUgZm9yIDEgbWlsbGlvbiB6ZW55Lg==,,,,,RWxlIGRpeiBxdWUgdmFpIHZlbmRlciBvIG1pbsOpcmlvIHBvciAxIG1pbGjDo28gZGUgemVueS4=,,RGljZSBxdWUgdmVuZGVyw6EgZWwgbWluZXJhbCBwb3IgMSBtaWxsw7NuIGRlIHplbnku
xlIqDA,,W0pvaG5ueSBKYW1lc10KV2hhdD8gQWxiZXJ0LCB5b3UgY3JhenkgYmFzdGFyZCEhIQpJcyBpdCB0cnVlPwpXaHkgYXJlIHlvdSBkZWxpYmVyYXRlbHkgY29taW5nIHRvIHRlbGwgbWUgdGhpcz8h,,,,,W0pvaG5ueSBKYW1lc10KTyBxdcOqPyBBbGJlcnQsIHNldSBsb3VjbyEhIQrDiSB2ZXJkYWRlPwpQb3IgcXVlIHZvY8OqIGVzdMOhIHZpbmRvIG1lIGNvbnRhciBpc3NvPyE=,,W0pvaG5ueSBKYW1lc10KwqHCv1F1w6k/IEFsYmVydCwgwqHCocKhbWFsZGl0byBsb2NvISEhCsK/RXMgY2llcnRvPwrCocK/UG9yIHF1w6kgdmllbmVzIGRlbGliZXJhZGFtZW50ZSBhIGNvbnRhcm1lIGVzdG8/IQ==
x1IqDA,,U28geW91IGNhbiBwcmVwYXJlIHlvdXJzZWxmIG1lbnRhbGx5Li4=,,,,,UGFyYSBxdWUgdm9jw6ogcG9zc2Egc2UgcHJlcGFyYXIgbWVudGFsbWVudGUuLg==,,UGFyYSBxdWUgcHVlZGFzIHByZXBhcmFydGUgbWVudGFsbWVudGUuLg==
yFIqDA,,VGhlIGp1ZGdtZW50IG9mIHRoZSBsYXcgYXdhaXRzIHlvdS4=,,,,,QSBsZWkgbyBhZ3VhcmRhLg==,,VGUgZXNwZXJhIGVsIGp1aWNpbyBkZSBsYSBsZXku
yVIqDA,,VGhhdCdzIHJpZ2h0fiEgVGhlIHNoZXJpZmYgaXMgZWFnZXJseSBhd2FpdGluZyB0aGF0IGRheSEgSGFoYSE=,,,,,SXNzbyBtZXNtb34hIE8geGVyaWZlIGVzdMOhIGFndWFyZGFuZG8gZXNzZSBkaWEhIEhhaGEh,,wqFFc28gZXN+ISDCoUVsIHNoZXJpZmYgZXNwZXJhIGFuc2lvc2FtZW50ZSBlc2UgZMOtYSEgwqFKYWphIQ==
ylIqDA,,W0pvaG5ueSBKYW1lc10KSGV5IGhleSBoZXkhClNvIEkgaGF2ZSBubyBjaGFuY2U/CklzIHRoaXMgdGhlIGVuZCBmb3IgbWU/,,,,,W0pvaG5ueSBKYW1lc10KRWkgZWkgZWkhCkVudMOjbyBldSBuw6NvIHRlbmhvIGNoYW5jZT8KRXN0ZSDDqSBvIGZpbSBwYXJhIG1pbT8=,,W0pvaG5ueSBKYW1lc10KwqFPeWUgb3llIG95ZSEKwr9FbnRvbmNlcyBubyB0ZW5nbyBvcG9ydHVuaWRhZD8Kwr9Fc3RlIGVzIGVsIGZpbmFsIHBhcmEgbcOtPw==
y1IqDA,,SXQncyBub3QgdGhhdCB0aGVyZSdzIGFic29sdXRlbHkgbm8gd2F5Li4u,,,,,TsOjbyDDqSBxdWUgbsOjbyBoYWphIGFic29sdXRhbWVudGUgbmVuaHVtIGplaXRvLi4u,,Tm8gZXMgcXVlIG5vIGhheWEgYWJzb2x1dGFtZW50ZSBuaW5ndW5hIG1hbmVyYS4uLg==
zFIqDA,,W3swfV0KSWYgd2UgYWNjZXB0IEFsYmVydCdzIHByb3Bvc2FsLCB3ZSBoYXZlIHRvIHBheSBtb25leS4KQnV0IGlmIHlvdSB0ZWxsIHVzIHRoZSBvcmUncyBsb2NhdGlvbiwgd2Ugd29uJ3QgbmVlZCB0byBuZWdvdGlhdGUgd2l0aCBBbGJlcnQu,,,,,W3swfV0KU2UgYWNlaXRhcm1vcyBhIHByb3Bvc3RhIGRvIEFsYmVydCwgdGVtb3MgcXVlIHBhZ2FyIGRpbmhlaXJvLgpNYXMgc2Ugdm9jw6ogbm9zIGRpc3NlciBhIGxvY2FsaXphw6fDo28gZG8gbWluw6lyaW8sIG7Do28gcHJlY2lzYXJlbW9zIG5lZ29jaWFyIGNvbSBvIEFsYmVydC4=,,W3swfV0KU2kgYWNlcHRhbW9zIGxhIHByb3B1ZXN0YSBkZSBBbGJlcnQsIHRlbmVtb3MgcXVlIHBhZ2FyIGRpbmVyby4KUGVybyBzaSBub3MgZGljZXMgbGEgdWJpY2FjacOzbiBkZWwgbWluZXJhbCwgbm8gbmVjZXNpdGFyZW1vcyBuZWdvY2lhciBjb24gQWxiZXJ0Lg==
zVIqDA,,W3swfV0KT24gdG9wIG9mIHRoYXQsIHdlIG5lZWQgdG8gZ2V0IHRoZSBtaW5lIGJhY2ssIHNvIGhvbmVzdGx5LCBuZWdvdGlhdGluZyB3aXRoIEFsYmVydCBpdHNlbGYgaXMgYXdrd2FyZC4KSm9obm55LCBpZiB5b3UgY29vcGVyYXRlLCB3ZSBjYW4gZ2V0IHRoZSBvcmUgYmFjayB3aXRob3V0IHNwZW5kaW5nIG1vbmV5Lg==,,,,,W3swfV0KQWzDqW0gZGlzc28sIHByZWNpc2Ftb3MgcmVjdXBlcmFyIGEgbWluYSwgZW50w6NvIGhvbmVzdGFtZW50ZSwgbmVnb2NpYXIgY29tIG8gQWxiZXJ0IGVtIHNpIMOpIGVzdHJhbmhvLgpKb2hubnksIHNlIHZvY8OqIGNvb3BlcmFyLCBwb2RlbW9zIHJlY3VwZXJhciBvIG1pbsOpcmlvIHNlbSBnYXN0YXIgZGluaGVpcm8u,,W3swfV0KQWRlbcOhcywgbmVjZXNpdGFtb3MgcmVjdXBlcmFyIGxhIG1pbmEsIGFzw60gcXVlIGhvbmVzdGFtZW50ZSwgbmVnb2NpYXIgY29uIEFsYmVydCBlbiBzw60gZXMgaW5jw7Ntb2RvLgpKb2hubnksIHNpIGNvb3BlcmFzLCBwb2RlbW9zIHJlY3VwZXJhciBlbCBtaW5lcmFsIHNpbiBnYXN0YXIgZGluZXJvLg==
zlIqDA,,V2hhdGV2ZXIuIEZ1dHVyZSBtYXlvciwgeW91J3JlIGEgZ2VuaXVzIQ==,,,,,VGFudG8gZmF6LiBWb2PDqiDDqSBnZW5pYWwh,,TG8gcXVlIHNlYS4gwqFGdXR1cm8gYWxjYWxkZSwgZXJlcyB1biBnZW5pbyE=
z1IqDA,,W3swfV0KQW5kIGlmIHlvdSBjb29wZXJhdGUgYSBiaXQgbW9yZSwgd2UgY2FuIGFsc28gdGFrZSBvdXQgQWxiZXJ0IEZvcmQsIHdobyB3b3VsZCBiZSBhbiBvYnN0YWNsZSB0byByZWNsYWltaW5nIHRoZSBtaW5lLgpIb3cgYWJvdXQgaXQ/,,,,,W3swfV0KRSBzZSB2b2PDqiBjb29wZXJhciB1bSBwb3VjbyBtYWlzLCB0YW1iw6ltIHBvZGVtb3MgZWxpbWluYXIgQWxiZXJ0IEZvcmQsIHF1ZSBzZXJpYSB1bSBvYnN0w6FjdWxvIHBhcmEgcmVjdXBlcmFyIGEgbWluYS4KUXVlIHRhbD8=,,W3swfV0KWSBzaSBjb29wZXJhcyB1biBwb2NvIG3DoXMsIHRhbWJpw6luIHBvZGVtb3MgZWxpbWluYXIgYSBBbGJlcnQgRm9yZCwgcXVpZW4gc2Vyw61hIHVuIG9ic3TDoWN1bG8gcGFyYSByZWNsYW1hciBsYSBtaW5hLgrCv1F1w6kgdGFsPw==
0FIqDA,,W3swfV0KSnVzdCBzbyB5b3Uga25vdywgd2UgZG9uJ3QgaGF2ZSBtdWNoIHRpbWUgdG8gc3BhcmUuClNvIHRoaW5rIGFib3V0IGl0IGNhcmVmdWxseX4u,,,,,W3swfV0KU8OzIHBhcmEgdm9jw6ogc2FiZXIsIG7Do28gdGVtb3MgbXVpdG8gdGVtcG8gcGFyYSBwZXJkZXIuCkVudMOjbyBwZW5zZSBiZW1+Lg==,,W3swfV0KUGFyYSBxdWUgc2VwYXMsIG5vIHRlbmVtb3MgbXVjaG8gdGllbXBvIGRlIHNvYnJhLgpBc8OtIHF1ZSBwacOpbnNhbG8gY3VpZGFkb3NhbWVudGV+Lg==
0VIqDA,,Li4uLg==,,,,,Li4uLg==,,Li4uLg==
0lIqDA,,U3RvcCBsb29raW5nIG91dHNpZGUgdGhlIGJhcnMu,,,,,UGFyZSBkZSBvbGhhciBwYXJhIGZvcmEgZGFzIGdyYWRlcyE=,,RGVqYSBkZSBtaXJhciBmdWVyYSBkZSBsb3MgYmFycm90ZXMu
01IqDA,,W0l2b2thIFNrdWRpXQpSaWdodCEgV2Uga25ldyBmcm9tIHRoZSBzdGFydCB0aGF0IEFsYmVydCBoYWQgYSBwYXduIGhlcmUuClRoYXQgZ3V5IGlzIGhlcmUgdG8gY2hlY2sgd2hlbiB5b3UsIEpvaG5ueSwgYXJlIGRyYWdnZWQgdG8gdGhlIGV4ZWN1dGlvbiBncm91bmQh,,,,,W0l2b2thIFNrdWRpXQpJc3NvISBOw7NzIHNhYsOtYW1vcyBkZXNkZSBvIGluw61jaW8gcXVlIG8gQWxiZXJ0IHRpbmhhIHVtIHBlw6NvIGFxdWkuCkFxdWVsZSBjYXJhIGVzdMOhIGFxdWkgcGFyYSB2ZXJpZmljYXIgcXVhbmRvIHZvY8OqLCBKb2hubnksIGZvciBhcnJhc3RhZG8gcGFyYSBvIGxvY2FsIGRlIGV4ZWN1w6fDo28h,,W0l2b2thIFNrdWRpXQrCoUNvcnJlY3RvISAKU3VwaW1vcyBkZXNkZSBlbCBwcmluY2lwaW8gcXVlIEFsYmVydCB0ZW7DrWEgdW4gcGXDs24gYXF1w60uCsKhRXNlIHRpcG8gZXN0w6EgYXF1w60gcGFyYSB2ZXJpZmljYXIgY3XDoW5kbyB0w7osIEpvaG5ueSwgZXJlcyBhcnJhc3RyYWRvIGFsIHBhdMOtYnVsbyE=
1FIqDA,,W0l2b2thIFNrdWRpXQpJZiBoZSBjYW1lIHRvIHNhdmUgeW91LCBoZSB3b3VsZCBoYXZlIHByZXNzZWQgYWdhaW5zdCB0aGUgYmFycyBhbmQgc2FpZCBzb21ldGhpbmchCklmIGl0IHdlcmUgbWUsIEknZCBoYXZlIHRocm93biBhIG5vdGUgdGllZCB0byBhIHJvY2sgYXQgbGVhc3Qh,,,,,W0l2b2thIFNrdWRpXQpTZSBlbGUgdmllc3NlIHBhcmEgdGUgc2FsdmFyLCBlbGUgdGVyaWEgcHJlc3Npb25hZG8gY29udHJhIGFzIGdyYWRlcyBlIGRpdG8gYWxndW1hIGNvaXNhIQpTZSBmb3NzZSBldSwgdGVyaWEgcGVsbyBtZW5vcyBqb2dhZG8gdW1hIG5vdGEgYW1hcnJhZGEgYSB1bWEgcGVkcmEh,,W0l2b2thIFNrdWRpXQrCoVNpIGh1YmllcmEgdmVuaWRvIGEgc2FsdmFydGUsIHNlIGhhYnLDrWEgYXByZXRhZG8gY29udHJhIGxvcyBiYXJyb3RlcyB5IGRpY2hvIGFsZ28hCsKhU2kgZnVlcmEgeW8sIGFsIG1lbm9zIGhhYnLDrWEgbGFuemFkbyB1bmEgbm90YSBhdGFkYSBhIHVuYSBwaWVkcmEh
