gGNQAw,,SWxzdW5n,,,,,SWxzdW5n,,SWxzdW5n
uGNQAw,,W0lsc3VuZ10KVGhpcyBzcGlyaXQgaXMgb25seSBnaXZlbiB0bwp0aG9zZSB3aG8gd29yayBoYXJkIG9uIHRoZWlyIGVuZGVhdm9ycy4KSW4gdGhhdCByZXNwZWN0LCBJIGNvbXBsaW1lbnQKeW91IG9uIGNvbXBsZXRpbmcKYWxsIHlvdXIgdGVzdHMKc3VjY2Vzc2Z1bGx5Lg==,,,,,W0lsc3VuZ10KRXNzZSBlc3DDrXJpdG8gc8OzIMOpIGRhZG8gw6BxdWVsZXMKYXF1ZWxlcyBxdWUgdHJhYmFsaGFtIGR1cm8gZW0gc2V1cyBlbXByZWVuZGltZW50b3MuCkNvbSByZWxhw6fDo28gYSBpc3NvLCBldSBvIGVsb2dpbwp2b2PDqiBwb3IgdGVyIGNvbmNsdcOtZG8KdG9kb3Mgb3Mgc2V1cyB0ZXN0ZXMKY29tIHN1Y2Vzc28u,,W0lsc3VuZ10KIEVzdGUgZXNww61yaXR1IHPDs2xvIHNlIGNvbmNlZGUgYSBxdWllbmVzCiBsb3MgcXVlIHNlIGVzZnVlcnphbiBlbiBzdSBlbXBlw7FvLgogRW4gZXN0ZSBzZW50aWRvLCBsZSBmZWxpY2l0bwogcG9yIGhhYmVyIGNvbXBsZXRhZG8KIHRvZGFzIHN1cyBwcnVlYmFzCiBjb24gw6l4aXRvLg==
uWNQAw,,W0lsc3VuZ10KSSBoYXZlIGEgcmV3YXJkIGZvcgphbGwgb2YgeW91LiBUaGlzIHdhcyBwcmVwYXJlZApieSBvcmRlciBvZiB5b3VyCmtpbmcsIFRyaXN0YW4gSUlJLgpCZSBncmF0ZWZ1bCBmb3IgcmVjZWl2aW5nIHN1Y2ggYW4gaG9ub3Iu,,,,,W0lsc3VuZ10KVGVuaG8gdW1hIHJlY29tcGVuc2EgcGFyYQp0b2RvcyB2b2PDqnMuIElzc28gZm9pIHByZXBhcmFkbwpwb3Igb3JkZW0gZGUgc2V1CnJlaSwgVHJpc3RhbiBJSUkuClNlamFtIGdyYXRvcyBwb3IgcmVjZWJlcmVtIHRhbCBob25yYS4=,,W0lsc3VuZ10KIFRlbmdvIHVuYSByZWNvbXBlbnNhIHBvcgogYSB0b2RvcyB2b3NvdHJvcy4gU2UgaGEgcHJlcGFyYWRvCiBwb3Igb3JkZW4gZGUgc3UKIHJleSwgVHJpc3TDoW4gSUlJLgogRXN0w6kgYWdyYWRlY2lkbyBwb3IgcmVjaWJpciB0YWwgaG9ub3Iu
umNQAw,,W0lsc3VuZ10KSXQgdG9vayBhIGxvdCBvZiBlZmZvcnQKdG8gcHJlcGFyZSB0aGUgcmV3YXJkcy4KQWggeWVzLi4uCllvdSBhbGwgbXVzdCBiZSB2ZXJ5IHRpcmVkLgpZb3VyIHJvb21zIGFyZSByZWFkeS4=,,,,,W0lsc3VuZ10KRm9pIHByZWNpc28gbXVpdG8gZXNmb3LDp28KcGFyYSBwcmVwYXJhciBhcyByZWNvbXBlbnNhcy4KQWgsIHNpbS4uLgpUb2RvcyB2b2PDqnMgZGV2ZW0gZXN0YXIgbXVpdG8gY2Fuc2Fkb3MuClNldXMgcXVhcnRvcyBlc3TDo28gcHJvbnRvcy4=,,W0lsc3VuZ10KIE1lIGNvc3TDsyBtdWNobyBlc2Z1ZXJ6bwogcGFyYSBwcmVwYXJhciBsYXMgcmVjb21wZW5zYXMuCiBPaCwgc8OtLi4uCiBEZWJlbiBlc3RhciB0b2RvcyBtdXkgY2Fuc2Fkb3MuCiBTdXMgaGFiaXRhY2lvbmVzIGVzdMOhbiBsaXN0YXMu
u2NQAw,,W0lsc3VuZ10KSSB3aWxsIGFsc28gYmUgcmF0aGVyIGJ1c3kKZm9yIGEgd2hpbGUuClNvLCBzZWUgeW91IGxhdGVyLg==,,,,,W0lsc3VuZ10KRXUgdGFtYsOpbSBlc3RhcmVpIGJhc3RhbnRlIG9jdXBhZG8KcG9yIHVtIHRlbXBvLgpFbnTDo28sIGF0w6kgbWFpcyB0YXJkZS4=,,W0lsc3VuZ10KIFlvIHRhbWJpw6luIGVzdGFyw6kgYmFzdGFudGUgb2N1cGFkbwogZHVyYW50ZSB1biB0aWVtcG8uCiBIYXN0YSBsdWVnbywgZW50b25jZXMu
vGNQAw,,W0lsc3VuZ10KT2gsIGFuZCBpZiB5b3UgYXJlIGV2ZXIgd2FudGluZwp0byB0YWtlIGEgdGVzdCBhZ2FpbiwKZmVlbCBmcmVlIHRvIGNvbWUgdmlzaXQgbWUKc29tZXRpbWUuLi4KTm93IGdvIGFuZCByZXN0Lg==,,,,,W0lsc3VuZ10KQWgsIGUgc2UgYWxndW0gZGlhIHZvY8OqIHF1aXNlcgpmYXplciB1bSB0ZXN0ZSBub3ZhbWVudGUsCnNpbnRhLXNlIMOgIHZvbnRhZGUgcGFyYSB2aXIgbWUgdmlzaXRhcgphbGd1bSBkaWEuLi4KQWdvcmEgdsOhIGRlc2NhbnNhci4=,,W0lsc3VuZ10KIEFoLCB5IHNpIGFsZ3VuYSB2ZXogcXVpZXJlcwogdm9sdmVyIGEgaGFjZXIgdW5hIHBydWViYSwKIG5vIGR1ZGUgZW4gdmVuaXIgYSB2aXNpdGFybWUKIGFsZ8O6biBkw61hLi4uCiBBaG9yYSB2ZXRlIHkgZGVzY2Fuc2Eu
vWNQAw,,W0lsc3VuZ10KQXQgdGhpcyBtb21lbnQsIHlvdQphcmVuJ3QgZG9pbmcgYW55dGhpbmcuCkhvdyBhYm91dCB5b3UgZ28gYW5kIHNwZW5kIHRpbWUKd2l0aCB5b3VyIGd1aWxkbWF0ZXM/,,,,,W0lsc3VuZ10KTmVzdGUgbW9tZW50bywgdm9jw6oKbsOjbyBlc3TDoSBmYXplbmRvIG5hZGEuClF1ZSB0YWwgdm9jw6ogaXIgZSBwYXNzYXIgdW0gdGVtcG8KY29tIHNldXMgY29tcGFuaGVpcm9zIGRlIGd1aWxkYT8=,,W0lsc3VuZ10KIEVuIGVzdGUgcHVudG8sIHVzdGVkCiBubyBlc3TDoSBoYWNpZW5kbyBuYWRhLgogwr9RdcOpIHRhbCBzaSB2YXMgeSBwYXNhcyBhbGfDum4gdGllbXBvCiBjb24gdHVzIGNvbXBhw7Flcm9zIGRlIGdyZW1pbz8=
vmNQAw,,W0lsc3VuZ10KSGVsbG8uIE1hc3Rlci4KSSBhbSBJbHN1bmcsIHRoZSBsZWFkZXIgb2YKdGhlIGZvdXIgR3JlYXQgU2FnZXMuCkkgYW0gaGVyZSBieSBvcmRlciBvZgp5b3VyIGtpbmcsIFRyaXN0YW4gSUlJLg==,,,,,W0lsc3VuZ10KT2zDoS4gTWVzdHJlLgpFdSBzb3UgSWxzdW5nLCBvIGzDrWRlciBkb3MKb3MgcXVhdHJvIEdyYW5kZXMgU8OhYmlvcy4KRXN0b3UgYXF1aSBwb3Igb3JkZW0gZGUKc2V1IHJlaSwgVHJpc3RhbiBJSUku,,W0lsc3VuZ10KIEhvbGEuIE1hZXN0cm8uCiBTb3kgSWxzdW5nLCBlbCBsw61kZXIgZGUgbGEKIGxvcyBjdWF0cm8gR3JhbmRlcyBTYWJpb3MuCiBFc3RveSBhcXXDrSBwb3Igb3JkZW4gZGUKIHN1IHJleSwgVHJpc3TDoW4gSUlJLg==
v2NQAw,,W0lsc3VuZ10KV2UgdGVzdCBndWlsZHMgdGhhdApvd24gYWdpdHMgdG8gY2hlY2sgaWYgdGhleQphcmUgcXVhbGlmaWVkIHRvIGJlY29tZSBhbiBlbGl0ZSBndWlsZC4KT3VyIGdvYWwgaXMgdG8gdHJhaW4gdGhlIGd1aWxkcyBhbmQKc3RyZW5ndGhlbiB0aGUgY291bnRyeSdzIG1pbGl0YXJ5IHBvd2VyLg==,,,,,W0lsc3VuZ10KVGVzdGFtb3MgYXMgZ3VpbGRhcyBxdWUKcG9zc3VlbSBhZ2l0cyBwYXJhIHZlcmlmaWNhciBzZSBlbGFzCmVzdMOjbyBxdWFsaWZpY2FkYXMgcGFyYSBzZSB0b3JuYXJlbSB1bWEgZ3VpbGRhIGRlIGVsaXRlLgpOb3NzbyBvYmpldGl2byDDqSB0cmVpbmFyIGFzIGd1aWxkYXMgZQpmb3J0YWxlY2VyIG8gcG9kZXIgbWlsaXRhciBkbyBwYcOtcy4=,,W0lsc3VuZ10KIFByb2JhbW9zIGxvcyBncmVtaW9zIHF1ZQogdGllbmVuIGFnaXRzIHBhcmEgY29tcHJvYmFyIHNpCiBlc3TDoW4gY3VhbGlmaWNhZG9zIHBhcmEgY29udmVydGlyc2UgZW4gdW4gZ3JlbWlvIGRlIMOpbGl0ZS4KIE51ZXN0cm8gb2JqZXRpdm8gZXMgZm9ybWFyIGEgbG9zIGdyZW1pb3MgeQogcmVmb3J6YXIgZWwgcG9kZXIgbWlsaXRhciBkZWwgcGHDrXMu
wGNQAw,,W0lsc3VuZ10KTWFzdGVyLCB5b3UgYW5kIHlvdXIgZ3VpbGRtYXRlcyBoYXZlCmNvbWUgdG8gb2NjdXB5IHlvdXIgYWdpdCBieSBkZWFkbHkgZm9yY2UuCldlIHJlc3BlY3QgeW91ciBicmF2ZXJ5IGFuZCB0aGUgY29tYmF0CnNraWxsIG9mIHlvdXIgdGVhbS4=,,,,,W0lsc3VuZ10KTWVzdHJlLCB2b2PDqiBlIHNldXMgY29tcGFuaGVpcm9zIGRlIGd1aWxkYQp2aWVyYW0gb2N1cGFyIHN1YSBhZ2l0YcOnw6NvIGNvbSBmb3LDp2EgbW9ydGFsLgpSZXNwZWl0YW1vcyBzdWEgYnJhdnVyYSBlIGEgaGFiaWxpZGFkZSBkZSBjb21iYXRlCmUgYSBoYWJpbGlkYWRlIGRlIGNvbWJhdGUgZGUgc3VhIGVxdWlwZS4=,,W0lsc3VuZ10KIE1hZXN0cm8sIHVzdGVkIHkgc3VzIGNvbXBhw7Flcm9zIGRlIGdyZW1pbwogdmlubyBhIG9jdXBhciBzdSBhZ2l0YWNpw7NuIGNvbiBmdWVyemEgbW9ydGFsLgogUmVzcGV0YW1vcyB0dSB2YWxlbnTDrWEgeSB0dXMgaGFiaWxpZGFkZXMgZGUgY29tYmF0ZQogeSBsYXMgaGFiaWxpZGFkZXMgZGUgY29tYmF0ZSBkZSB0dSBlcXVpcG8u
wWNQAw,,W0lsc3VuZ10KSG93ZXZlciwgaXQgaXMKbm90IGVub3VnaCB0byBwcm92ZQp0aGF0IHlvdXIgZ3VpbGQgaXMgcXVhbGlmaWVkIHRvIGJlIGFuCmVsaXRlIGd1aWxkIHdobyB1cGhvbGRzIGp1c3RpY2UgYW5kIHByb3RlY3RzIHRoZSB3ZWFrLgpJZiB5b3Ugd2lzaCwgd2UgY2FuIGhlbHAgeW91ciBndWlsZCB0byBiZWNvbWUKc3Ryb25nZXIu,,,,,W0lsc3VuZ10KTm8gZW50YW50bywgbsOjbyDDqQpuw6NvIMOpIHN1ZmljaWVudGUgcGFyYSBwcm92YXIKcXVlIHN1YSBndWlsZGEgZXN0w6EgcXVhbGlmaWNhZGEgcGFyYSBzZXIgdW1hCmd1aWxkYSBkZSBlbGl0ZSBxdWUgZGVmZW5kZSBhIGp1c3Rpw6dhIGUgcHJvdGVnZSBvcyBmcmFjb3MuClNlIGRlc2VqYXIsIHBvZGVtb3MgYWp1ZGFyIHN1YSBndWlsZGEgYSBzZSB0b3JuYXIKbWFpcyBmb3J0ZS4=,,W0lsc3VuZ10KIFNpbiBlbWJhcmdvLCBubyBlcwogbm8gZXMgc3VmaWNpZW50ZSBwYXJhIGRlbW9zdHJhcgogcXVlIHN1IGdyZW1pbyBlc3TDoSBjdWFsaWZpY2FkbyBwYXJhIHNlcgogZ3JlbWlvIGRlIMOpbGl0ZSBxdWUgZGVmaWVuZGUgbGEganVzdGljaWEgeSBwcm90ZWdlIGEgbG9zIGTDqWJpbGVzLgogU2kgbG8gZGVzZWEsIHBvZGVtb3MgYXl1ZGFyIGEgc3UgZ3JlbWlvIGEgY29udmVydGlyc2UgZW4KIG3DoXMgZnVlcnRlLg==
wmNQAw,,W0lsc3VuZ10KSXQgaXMgdXAgdG8geW91LApndWlsZCBtYXN0ZXIu,,,,,W0lsc3VuZ10KRGVwZW5kZSBkZSB2b2PDqiwKbWVzdHJlIGRhIGd1aWxkYS4=,,W0lsc3VuZ10KIERlcGVuZGUgZGUgdGksCiBtYWVzdHJvIGRlbCBncmVtaW8u
w2NQAw,,V2hhdCBkbyB5b3Ugc2F5Pw==,,,,,TyBxdWUgdm9jw6ogYWNoYT8=,,wr9RdcOpIHRlIHBhcmVjZT8=
xGNQAw,,SSBhY2NlcHQgeW91ciBvZmZlci4=,,,,,QWNlaXRvIHN1YSBvZmVydGEu,,QWNlcHRvIHN1IG9mZXJ0YS4=
xWNQAw,,Li4uR2l2ZSBtZSBzb21lIHRpbWUgdG8gdGhpbmsu,,,,,Li4uRMOqLW1lIGFsZ3VtIHRlbXBvIHBhcmEgcGVuc2FyLg==,,Li4uZGFtZSB0aWVtcG8gcGFyYSBwZW5zYXIu
xmNQAw,,W0lsc3VuZ10KSXMgdGhhdCBzbz8KWW91IG5lZWQgdG8gZm9sbG93IG91cgpvcmRlcnMgYmVjYXVzZSB0aGUgY2VydGlmaWNhdGVzCndpbGwgb25seSBiZSBnaXZlbiBvbmNlLgpQbGVhc2UgdGFrZSB2ZXJ5Cmdvb2QgY2FyZSBvZiB0aGVtLi4uClN0YXkgdmlnaWxhbnQu,,,,,W0lsc3VuZ10Kw4kgaXNzbyBtZXNtbz8KVm9jw6ogcHJlY2lzYSBzZWd1aXIgbm9zc2FzCm9yZGVucyBwb3JxdWUgb3MgY2VydGlmaWNhZG9zCnNlcsOjbyBlbnRyZWd1ZXMgYXBlbmFzIHVtYSB2ZXouClBvciBmYXZvciwgY3VpZGUgbXVpdG8gYmVtCm11aXRvIGJlbSBjb20gZWxlcy4uLgpGaXF1ZW0gYXRlbnRvcy4=,,W0lsc3VuZ10KIMK/RXMgZXNvIGNpZXJ0bz8KIERlYmUgc2VndWlyIG51ZXN0cm8KIHBvcnF1ZSBsb3MgY2VydGlmaWNhZG9zCiBzw7NsbyBzZSBlbnRyZWdhcsOhIHVuYSB2ZXouCiBQb3IgZmF2b3IsIGN1w61kZXNlCiBtdXkgYmllbiBjb24gZWxsb3MuLi4KIFBlcm1hbmV6Y2EgYXRlbnRvLg==
x2NQAw,,W0lsc3VuZ10KSWYgeW91IGRvIGxvc2UgYQpjZXJ0aWZpY2F0ZSwgeW91IHdpbGwgYmUganVkZ2VkIGFzCmlycmVzcG9uc2libGUgYW5kIGxhY2tpbmcKY2FyZS4gVGhlIHF1ZXN0IHdpbGwgYmUgc3RvcHBlZCBhbmQKdGhlcmUgd2lsbCBiZSBubyBzZWNvbmQgY2hhbmNlcy4=,,,,,W0lsc3VuZ10KU2Ugdm9jw6ogcGVyZGVyIHVtCmNlcnRpZmljYWRvLCB2b2PDqiBzZXLDoSBqdWxnYWRvIGNvbW8KaXJyZXNwb25zw6F2ZWwgZSBzZW0KY3VpZGFkby4gQSBidXNjYSBzZXLDoSBpbnRlcnJvbXBpZGEgZSBuw6NvIGhhdmVyw6EKbsOjbyBoYXZlcsOhIHNlZ3VuZGEgY2hhbmNlLg==,,W0lsc3VuZ10KIFNpIHRlIHBpZXJkZXMgdW5hCiBjZXJ0aWZpY2Fkbywgc2UgbGUganV6Z2Fyw6EgY29tbwogaXJyZXNwb25zYWJsZSB5CiBjdWlkYWRvLiBMYSBiw7pzcXVlZGEgc2UgaW50ZXJydW1waXLDoSB5IG5vIGhhYnLDoQogbm8gaGFicsOhIHVuYSBzZWd1bmRhIG9wb3J0dW5pZGFkLg==
yGNQAw,,W0lsc3VuZ10KSWYgeW91IG1hbmFnZSB0byByZWNvdmVyIHRoZSBjZXJ0aWZpY2F0ZSwgdGhlCnF1ZXN0IHdpbGwgY29udGludWUgdGhvdWdoLgpFaXRoZXIgd2F5LCB0aGF0J3Mgd2h5IHlvdSBuZWVkIHRvIHRha2UgZ29vZCBjYXJlIG9mIHRoZW0u,,,,,W0lsc3VuZ10KU2Ugdm9jw6ogY29uc2VndWlyIHJlY3VwZXJhciBvIGNlcnRpZmljYWRvLCBhCm1pc3PDo28gY29udGludWFyw6EuCkRlIHF1YWxxdWVyIGZvcm1hLCDDqSBwb3IgaXNzbyBxdWUgdm9jw6ogcHJlY2lzYSBjdWlkYXIgYmVtIGRlbGVzLg==,,W0lsc3VuZ10KIFNpIGNvbnNpZ3VlIHJlY3VwZXJhciBlbCBjZXJ0aWZpY2FkbywgZWwKIG1pc2nDs24gY29udGludWFyw6EuCiBFbiBjdWFscXVpZXIgY2FzbywgcG9yIGVzbyBoYXkgcXVlIGN1aWRhcmxvcyBiaWVuLg==
yWNQAw,,W0lsc3VuZ10KSGVyZSBhcmUgdGhlIHRoaW5ncwp5b3UgbmVlZCB0byBrbm93LgpGaXJzdCwgXkZGMDAwMG9ubHkgb25lIGNlcnRpZmljYXRlIHdpbGwgYmUgZ2l2ZW4uCllvdSBuZWVkIHRvIGNvbXBsZXRlIHRoZSBxdWVzdCB3aXRoIGp1c3Qgb25lIGNlcnRpZmljYXRlLl4wMDAwMDA=,,,,,W0lsc3VuZ10KQXF1aSBlc3TDo28gYXMgY29pc2FzIHF1ZQpxdWUgdm9jw6ogcHJlY2lzYSBzYWJlci4KUHJpbWVpcm8sIF5GRjAwMDBzb21lbnRlIHVtIGNlcnRpZmljYWRvIHNlcsOhIGRhZG8uClZvY8OqIHByZWNpc2EgY29uY2x1aXIgYSBtaXNzw6NvIGNvbSBhcGVuYXMgdW0gY2VydGlmaWNhZG8uXjAwMDAwMA==,,W0lsc3VuZ10KIEVzdGFzIHNvbiBsYXMgY29zYXMgcXVlCiBxdWUgbmVjZXNpdGFzIHNhYmVyLgogRW4gcHJpbWVyIGx1Z2FyLCBeRkYwMDAwc8OzbG8gc2UgZW50cmVnYXLDoSB1biBjZXJ0aWZpY2Fkby4KIFRpZW5lcyBxdWUgY29tcGxldGFyIGxhIG1pc2nDs24gY29uIHVuIHNvbG8gY2VydGlmaWNhZG8uXjAwMDAwMA==
ymNQAw,,W0lsc3VuZ10KU2Vjb25kLCBeRkYwMDAweW91IG5lZWQgdG8gY29tcGxldGUgdGhlIHF1ZXN0cyBpbiBvcmRlci4KT25seSBwcm9jZWVkIGJhc2VkIG9uIHRoZSB3b3JkcyBvZiBvdXIgZ3VpZGVzXjAwMDAwMC4KVGhpcmQsIF5GRjAwMDB0aGUgY2VydGlmaWNhdGUgc2hvdWxkIG9ubHkgYmUgY2FycmllZCBieSB0aGUgcGVyc29uIGNvbXBsZXRpbmcgdGhlIHF1ZXN0Ll4wMDAwMDA=,,,,,W0lsc3VuZ10KU2VndW5kbywgXkZGMDAwMHZvY8OqIHByZWNpc2EgY29uY2x1aXIgYXMgbWlzc8O1ZXMgZW0gb3JkZW0uClPDsyBwcm9zc2lnYSBjb20gYmFzZSBuYXMgcGFsYXZyYXMgZGUgbm9zc29zIGd1aWFzXjAwMDAwMC4KVGVyY2Vpcm8sIF5GRjAwMDBvIGNlcnRpZmljYWRvIHPDsyBkZXZlIHNlciBjYXJyZWdhZG8gcGVsYSBwZXNzb2EgcXVlIGVzdGl2ZXIgY29tcGxldGFuZG8gYSBtaXNzw6NvLl4wMDAwMDA=,,W0lsc3VuZ10KIEVuIHNlZ3VuZG8gbHVnYXIsIF5GRjAwMDBuZWNlc2l0YXMgY29tcGxldGFyIGxhcyBtaXNpb25lcyBlbiBvcmRlbi4KIFPDs2xvIHByb2NlZGEgYmFzw6FuZG9zZSBlbiBsYXMgcGFsYWJyYXMgZGUgbnVlc3Ryb3MgZ3XDrWFzXjAwMDAwMC4KIEVuIHRlcmNlciBsdWdhciwgXkZGMDAwMGVsIGNlcnRpZmljYWRvIHPDs2xvIGRlYmUgbGxldmFybG8gbGEgcGVyc29uYSBxdWUgY29tcGxldGEgbGEgbWlzacOzbi5eMDAwMDAw
y2NQAw,,W0lsc3VuZ10KUGxlYXNlIGJlYXIgdGhpcyBpbiBtaW5kLgpJZiB0aGlzIHJ1bGUgaXMgYnJva2VuLCB3ZSBtYXkKZGVlbSB5b3UgaW5lbGlnaWJsZSBmb3IgdGhlIHRlc3QuClBsZWFzZSBkb24ndCBsZXQgdGhhdApoYXBwZW4u,,,,,W0lsc3VuZ10KUG9yIGZhdm9yLCB0ZW5oYSBpc3NvIGVtIG1lbnRlLgpTZSBlc3NhIHJlZ3JhIGZvciB2aW9sYWRhLCBwb2RlcmVtb3MKY29uc2lkZXLDoS1sbyBpbmVsZWfDrXZlbCBwYXJhIG8gdGVzdGUuClBvciBmYXZvciwgbsOjbyBkZWl4ZSBxdWUgaXNzbwphY29udGXDp2Eu,,W0lsc3VuZ10KIFTDqW5nYWxvIGVuIGN1ZW50YS4KIFNpIHNlIGluY3VtcGxlIGVzdGEgbm9ybWEsIHBvZGVtb3MKIGNvbnNpZGVyYXJsZSBubyBhcHRvIHBhcmEgbGEgcHJ1ZWJhLgogUG9yIGZhdm9yLCBubyBkZWplcyBxdWUKIHN1Y2VkZXIu
zGNQAw,,W0lsc3VuZ10KT2theSwgdGFrZSB0aGlzLgpHaXZlIGl0IHRvIG9uZSBvZiB5b3VyIHRhbGVudGVkIEtuaWdodHMuCmZhcmV3ZWxsIGFuZCBnb29kIGx1Y2su,,,,,W0lsc3VuZ10KQ2VydG8sIHBlZ3VlIGlzc28uCkVudHJlZ3VlLW8gYSB1bSBkZSBzZXVzIHRhbGVudG9zb3MgQ2F2YWxlaXJvcy4KQWRldXMgZSBib2Egc29ydGUu,,W0lsc3VuZ10KIEJpZW4sIHRvbWEgZXN0by4KIETDoXNlbG8gYSB1bm8gZGUgdHVzIHRhbGVudG9zb3MgY2FiYWxsZXJvcy4KIEFkacOzcyB5IGJ1ZW5hIHN1ZXJ0ZS4=
zWNQAw,,W0lsc3VuZ10KaXQgd291bGQgYmUgYSBnb29kIGlkZWEgdG8KdG8gdGFsayB0byB5b3VyIGd1aWxkbWF0ZXMgZmlyc3QKYmVmb3JlIG1ha2luZyBhIGRlY2lzaW9uLgpGZWVsIGZyZWUgdG8gdmlzaXQgbWUgYWdhaW4u,,,,,W0lsc3VuZ10Kc2VyaWEgdW1hIGJvYSBpZGVpYQpjb252ZXJzYXIgY29tIHNldXMgY29tcGFuaGVpcm9zIGRlIGd1aWxkYSBwcmltZWlybwphbnRlcyBkZSB0b21hciB1bWEgZGVjaXPDo28uClNpbnRhLXNlIMOgIHZvbnRhZGUgcGFyYSBtZSB2aXNpdGFyIG5vdmFtZW50ZS4=,,W0lsc3VuZ10KIHNlcsOtYSB1bmEgYnVlbmEgaWRlYQogaGFibGEgcHJpbWVybyBjb24gdHVzIGNvbXBhw7Flcm9zIGRlIGdyZW1pbwogYW50ZXMgZGUgdG9tYXIgdW5hIGRlY2lzacOzbi4KIE5vIGR1ZGUgZW4gdm9sdmVyIGEgdmlzaXRhcm1lLg==
zmNQAw,,W0lsc3VuZ10KSGVsbG8sezB9LAp5b3UgYXJlIHRoZSBvbmUgY2hvc2VuIGJ5IHRoZSBtYXN0ZXI/CkkgYW0gaW4gY2hhcmdlIGhlcmUsCmJ1dCBmb3IgbW9yZSBpbmZvcm1hdGlvbiwgeW91IGhhZCBiZXR0ZXIgZmluZCBzb21lb25lIGVsc2Uu,,,,,W0lsc3VuZ10KT2zDoSwgezB9LAp2b2PDqiDDqSBvIGVzY29saGlkbyBwZWxvIG1lc3RyZT8KRXUgc291IG8gcmVzcG9uc8OhdmVsIGFxdWksCm1hcyBwYXJhIG9idGVyIG1haXMgaW5mb3JtYcOnw7Vlcywgw6kgbWVsaG9yIHByb2N1cmFyIG91dHJhIHBlc3NvYS4=,,W0lsc3VuZ10KIEhvbGEsIHswfSwKIMK/ZXJlcyBlbCBlbGVnaWRvIGRlbCBtYWVzdHJvPwogQXF1w60gbWFuZG8geW8sCiBwZXJvIHBhcmEgbcOhcyBpbmZvcm1hY2nDs24sIGVzIG1lam9yIGJ1c2NhciBhIG90cmEgcGVyc29uYS4=
z2NQAw,,W0lsc3VuZ10KRm9yIHRoZSBTcGlyaXQgb2YgR3VpbGQsCnlvdSBzaG91bGQgbG9vayBmb3IgWWlzdW5nLgpIZSB3aWxsIGd1aWRlIHlvdS4=,,,,,W0lsc3VuZ10KUGFyYSBvIEVzcMOtcml0byBkYSBHdWlsZGEsCnZvY8OqIGRldmUgcHJvY3VyYXIgWWlzdW5nLgpFbGUgbyBndWlhcsOhLg==,,W0lsc3VuZ10KIFBvciBlbCBFc3DDrXJpdHUgZGVsIEdyZW1pbywKIGRlYmVyw61hcyBidXNjYXIgYSBZaXN1bmcuCiDDiWwgdGUgZ3VpYXLDoS4=
0GNQAw,,W0lsc3VuZ10KVGhhdCBpdGVtIGlzIHVzZWxlc3MgaWYgdGhlIG93bmVyIGlzCm5vdCBkb2luZyB0aGUgcXVlc3QuCkZvciB0aGUgU3Bpcml0IG9mIEd1aWxkLCBZaXN1bmcga25vd3MgYmVzdCBhYm91dCBpdC4KWW91IHNob3VsZCBnbyBhbmQgdGFsayB0byBoaW0u,,,,,W0lsc3VuZ10KRXNzZSBpdGVtIMOpIGluw7p0aWwgc2UgbyBwcm9wcmlldMOhcmlvIG7Do28gZXN0aXZlcgpuw6NvIGVzdGl2ZXIgZmF6ZW5kbyBhIG1pc3PDo28uClF1YW50byBhbyBFc3DDrXJpdG8gZGUgR3VpbGRhLCBZaXN1bmcgw6kgcXVlbSBzYWJlIG1haXMgc29icmUgaXNzby4KVm9jw6ogZGV2ZSBpciBmYWxhciBjb20gZWxlLg==,,W0lsc3VuZ10KIEVzdGUgYXJ0w61jdWxvIGVzIGluw7p0aWwgc2kgZWwgcHJvcGlldGFyaW8gbm8KIG5vIGVzdMOhIGN1bXBsaWVuZG8gbGEgbWlzacOzbi4KIEVuIGN1YW50byBhbCBFc3DDrXJpdHUgZGVsIEdyZW1pbywgWWlzdW5nIGVzIGVsIHF1ZSBtw6FzIHNhYmUgc29icmUgw6lsLgogRGViZXLDrWFzIGlyIGEgaGFibGFyIGNvbiDDqWwu
0WNQAw,,W0lsc3VuZ10KSGVsbG8sezB9LApMb29rcyBsaWtlIHlvdSBoYXZlIGRvbmUgYSBnb29kIGpvYi4KQ29uZ3JhdHVsYXRpb25zLgpJZiB5b3Ugd2lzaCB0byBjb250aW51ZSwgcGxlYXNlIGdpdmUgdGhlIGNlcnRpZmljYXRlIHRvIHRoZSBuZXh0IHBlcnNvbi4=,,,,,W0lsc3VuZ10KT2zDoSwgezB9LApQYXJlY2UgcXVlIHZvY8OqIGZleiB1bSBib20gdHJhYmFsaG8uClBhcmFiw6lucy4KU2UgcXVpc2VyIGNvbnRpbnVhciwgZW50cmVndWUgbyBjZXJ0aWZpY2FkbyBwYXJhIGEgcHLDs3hpbWEgcGVzc29hLg==,,W0lsc3VuZ10KIEhvbGEsIHswfSwKIFBhcmVjZSBxdWUgaGEgaGVjaG8gdW4gYnVlbiB0cmFiYWpvLgogRW5ob3JhYnVlbmEuCiBTaSBxdWllcmVzIGNvbnRpbnVhciwgZW50cmVnYSBlbCBjZXJ0aWZpY2FkbyBhIGxhIHNpZ3VpZW50ZSBwZXJzb25hLg==
