AFkAAQ,,R2F0ZQ==,,,,,R2F0ZWk=,,R2F0ZWk=
TFkAAQ,,WW91IHNpZ25lZCB0d28gY29waWVzIG9mIHRoZSBjb250cmFjdCBiZWFyaW5nIHRoZSBzYW1lIGNvbnRlbnRzLg==,,,,,Vm9jw6ogYXNzaW5vdSBhcyBkdWFzIGPDs3BpYXMgZG8gY29udHJhdG8gZGUgdHJhYmFsaG8u,,RmlybWFzdGUgbGFzIGRvcyBjb3BpYXMgZGVsIGNvbnRyYXRvIGRlIHRyYWJham8u
TVkAAQ,,W0RpY2VdClRoYW5rIHlvdS4KV2l0aCB0aGlzLCBvdXIgbWVyY2VuYXJ5IGNvbnRyYWN0IGhhcyBiZWVuIGNvbmNsdWRlZC4=,,,,,W0RpdHplXQpPYnJpZ2FkYS4KQWdvcmEgdm9jw6ogdHJhYmFsaGEgcGFyYSBhIENvcnBvcmHDp8OjbyBSZWtlbmJlci4=,,W0RpdHplXQpHcmFjaWFzLgpBaG9yYSB0cmFiYWphcyBwYXJhIGxhIENvcnBvcmFjacOzbiBSZWtlbmJlci4=
TlkAAQ,,W0RpY2VdClRoaXMgY29udHJhY3QgaXMgZWZmZWN0aXZlIG9ubHkgaGVyZSwgaW4gVGhhbmF0b3MgVG93ZXIsIHNvIHlvdSBuZWVkIG5vdCB3b3JyeS4=,,,,,W0RpdHplXQpDb21vIHZvY8OqIGrDoSBzYWJlLCBvIGNvbnRyYXRvIHPDsyDDqSB2w6FsaWRvIGRlbnRybyBkYSBUb3JyZSBkZSBUaGFuYXRvcy4=,,W0RpdHplXQpDb21vIHlhIHNhYmVzLCBlbCBjb250cmF0byBzb2xvIGVzIHbDoWxpZG8gZGVudHJvIGRlIGxhIFRvcnJlIGRlIFRoYW5hdG9zLg==
T1kAAQ,,W0RpY2VdClRoZSBkZXRhaWxzIGFyZSBhcyB3cml0dGVuIGluIHRoZSBjb250cmFjdCwgYW5kIHRoZSBndWlkZSBvbiB0aGUgMm5kIGZsb29yIGhhbmRsZXMgYWNjZXNzIHRvIHRoZSAzcmQgZmxvb3IsIHNvIHBsZWFzZSByZWNlaXZlIGd1aWRhbmNlIHRoZXJlLg==,,,,,W0RpdHplXQpPcyBkZXRhbGhlcyBlc3TDo28gY29uZm9ybWUgZXNjcml0b3Mgbm8gY29udHJhdG8sIGUgbyBhY2Vzc28gYW8gM8K6IGFuZGFyIMOpIGZlaXRvIHBlbG8gUG9ydGVpcm8gZG8gMsK6IGFuZGFyLCBlbnTDo28gcmVjZWJhIGFzIGluc3RydcOnw7VlcyBjb20gZWxlLg==,,W0RpdHplXQpMb3MgZGV0YWxsZXMgZXN0w6FuIHNlZ8O6biBsbyBlc2NyaXRvIGVuIGVsIGNvbnRyYXRvLCB5IGVsIGFjY2VzbyBhbCAzLsK6IHBpc28gZXMgcG9yIGVsIFBvcnRlcm8gZGVsIDIuwrogcGlzbywgYXPDrSBxdWUgcmVjaWJlIGxhcyBpbnN0cnVjY2lvbmVzIGNvbiDDqWwu
UFkAAQ,,W0RpY2VdCkFuZCB0aGUgMm5kIGZsb29yIGd1aWRlIHdpbGwgZXhwbGFpbiB0aGUgZGV0YWlscy4gVGhlbiwgSSB3aXNoIHlvdSBnb29kIHJlc3VsdHMu,,,,,W0RpdHplXQpFIG8gUG9ydGVpcm8gZG8gMsK6IGFuZGFyIGxoZSBkYXLDoSB1bWEgZXhwbGljYcOnw6NvIG1haXMgZGV0YWxoYWRhIHNvYnJlIGlzc28uIEVudMOjbywgZGVzZWpvIHN1Y2Vzc28u,,W0RpdHplXQpZIGVsIFBvcnRlcm8gZGVsIDIuwrogcGlzbyB0ZSBkYXLDoSB1bmEgZXhwbGljYWNpw7NuIG3DoXMgZGV0YWxsYWRhIHNvYnJlIGVzdG8uIEFzw60gcXVlIHRlIGRlc2VvIMOpeGl0by4=
UVkAAQ,,W0RpY2VdCkh1aC4uLi4KQXJlIHlvdSBub3QgZ29pbmcgdG8gc2lnbj8KSG1tLi4uIEl0IHNlZW1zIHRoZXJlIGlzIHNvbWV0aGluZyB5b3UgZG8gbm90IGxpa2Uu,,,,,W0RpdHplXQpVw6kuLi4uCk7Do28gdmFpIGFzc2luYXI/CkJlbS4uLiBpbWFnaW5vIHF1ZSB2aXUgYWxndW1hIGNsw6F1c3VsYSBxdWUgbsOjbyBjb25jb3JkYS4=,,W0RpdHplXQpWYXlhLi4uLgrCv05vIHZhcyBhIGZpcm1hcj8KQnVlbm8uLi4gc3Vwb25nbyBxdWUgdmlzdGUgYWxndW5hIGNsw6F1c3VsYSBjb24gbGEgcXVlIG5vIGVzdMOhcyBkZSBhY3VlcmRvLg==
UlkAAQ,,W0RpY2VdClRoZW4gaXQgY2Fubm90IGJlIGhlbHBlZC4KSWYgeW91IGNoYW5nZSB5b3VyIG1pbmQsIHBsZWFzZSBjb21lIHZpc2l0IHVzIGFnYWluLg==,,,,,W0RpdHplXQpFbnTDo28gbsOjbyBow6EgbyBxdWUgZmF6ZXIuClNlIG11ZGFyIGRlIGlkZWlhLCBwb3IgZmF2b3IsIHZvbHRlIGEgbWUgcHJvY3VyYXIu,,W0RpdHplXQpFbnRvbmNlcyBubyBoYXkgbmFkYSBxdWUgaGFjZXIuClNpIGNhbWJpYXMgZGUgb3BpbmnDs24sIHBvciBmYXZvciwgdnVlbHZlIGEgYnVzY2FybWUu
U1kAAQ,,W0RpY2VdClRoaXMgd2FzICdEaWNlIExhcGEnLCBhbiBpbmZvcm1hdGlvbiBzdGFmZiBtZW1iZXIgaW5zaWRlICdUaGFuYXRvcyBUb3dlcicuClBsZWFzZSBlbmpveSB5b3VyIHRpbWUu,,,,,W0RpdHplXQpFdSBzb3UgJ0RpdHplIExhcHBhJywgcmVjZXBjaW9uaXN0YSBkYSAnVG9ycmUgZGUgVGhhbmF0b3MnLgpBcHJvdmVpdGUgc2V1IHRlbXBvLg==,,W0RpdHplXQpTb3kgJ0RpdHplIExhcHBhJywgcmVjZXBjaW9uaXN0YSBkZSBsYSAnVG9ycmUgZGUgVGhhbmF0b3MnLgpEaXNmcnV0YSB0dSBlc3RhbmNpYS4=
VFkAAQ,,W0RpY2VdCkZvciBtb3JlIGRldGFpbGVkIGluZm9ybWF0aW9uLCB0aGUgZ3VpZGUgb24gdGhlIDJuZCBmbG9vciBhbmQgdGhlIGd1aWRlIGJlc2lkZSBtZSB3aWxsIGFzc2lzdCB5b3UuClRoYW5rIHlvdS4=,,,,,W0RpdHplXQpQYXJhIG1haXMgaW5mb3JtYcOnw7VlcywgdsOhIGF0w6kgbyAywrogYW5kYXIgZSBmYWxlIGNvbSBvIGZ1bmNpb27DoXJpbyBlbmNhcnJlZ2Fkby4KT2JyaWdhZGEu,,W0RpdHplXQpQYXJhIG3DoXMgaW5mb3JtYWNpw7NuLCB2ZSBhbCAyLsK6IHBpc28geSBoYWJsYSBjb24gZWwgZW1wbGVhZG8gZW5jYXJnYWRvLgpHcmFjaWFzLg==
VVkAAQ,,TGllIEtuaXppZXI=,,,,,QXNjZW5zb3Jpc3Rh,,QXNjZW5zb3Jpc3Rh
VlkAAQ,,UmlkZSBjb21mb3J0YWJseSB0byB0aGUgdXBwZXIgZmxvb3JzIGJ5IGVsZXZhdG9yIQ==,,,,,RWxldmFkb3Igc3ViaW5kbyE=,,wqFBc2NlbnNvciBzdWJpZW5kbyE=
V1kAAQ,,W0xpZV0KSWYgeW91IHdvdWxkIGxpa2UgdG8gY2xpbWIgVGhhbmF0b3MgVG93ZXIgbW9yZSBjb252ZW5pZW50bHksIHVzZSB0aGUgZWxldmF0b3IhCkZvciB0aGUgbG93IHByaWNlIG9mIGp1c3QgXjAwMDBDRDEwMDAgWmVueV4wMDAwMDAsIHdlIHdpbGwgdGFrZSB5b3UgZGlyZWN0bHkgdG8gdGhlIGZsb29yIHlvdSB3YW50Lg==,,,,,W0xpZWkgS25pemllcl0KUXVlIHRhbCB1c2FyIG8gZWxldmFkb3IgcGFyYSBhbGNhbsOnYXIgb3MgYW5kYXJlcyBtYWlzIGFsdG9zPwpFc3RlIHNlcnZpw6dvIGN1c3RhIF4wMDAwQ0QxLjAwMCB6ZW55c14wMDAwMDAsIGUgdm9jw6ogaXLDoSBhbyBhbmRhciBkZXNlamFkby4=,,W0xpZWkgS25pemllcl0Kwr9RdcOpIHRhbCB1c2FyIGVsIGFzY2Vuc29yIHBhcmEgYWxjYW56YXIgbG9zIHBpc29zIG3DoXMgYWx0b3M/CkVzdGUgc2VydmljaW8gY3Vlc3RhIF4wMDAwQ0QxLDAwMCB6ZW55c14wMDAwMDAsIHkgdGUgbGxldmFyw6EgYWwgcGlzbyBkZXNlYWRvLg==
WFkAAQ,,SSdsbCB1c2UgaXQgbmV4dCB0aW1lLg==,,,,,QWdvcmEgbsOjby4=,,QWhvcmEgbm8u
WVkAAQ,,VG8gdGhlIDJuZCBmbG9vcg==,,,,,UGFyYSBvIDLCuiBhbmRhcg==,,QWwgMi7CuiBwaXNv
WlkAAQ,,VG8gdGhlIDNyZCBmbG9vcg==,,,,,UGFyYSBvIDPCuiBhbmRhcg==,,QWwgMy7CuiBwaXNv
W1kAAQ,,VG8gdGhlIDR0aCBmbG9vcg==,,,,,UGFyYSBvIDTCuiBhbmRhcg==,,QWwgNC7CuiBwaXNv
XFkAAQ,,VG8gdGhlIDV0aCBmbG9vcg==,,,,,UGFyYSBvIDXCuiBhbmRhcg==,,QWwgNS7CuiBwaXNv
XVkAAQ,,VG8gdGhlIDZ0aCBmbG9vcg==,,,,,UGFyYSBvIDbCuiBhbmRhcg==,,QWwgNi7CuiBwaXNv
XlkAAQ,,VG8gdGhlIDd0aCBmbG9vcg==,,,,,UGFyYSBvIDfCuiBhbmRhcg==,,QWwgNy7CuiBwaXNv
X1kAAQ,,VG8gdGhlIDh0aCBmbG9vcg==,,,,,UGFyYSBvIDjCuiBhbmRhcg==,,QWwgOC7CuiBwaXNv
YFkAAQ,,VG8gdGhlIDl0aCBmbG9vcg==,,,,,UGFyYSBvIDnCuiBhbmRhcg==,,QWwgOS7CuiBwaXNv
YVkAAQ,,VG8gdGhlIDEwdGggZmxvb3I=,,,,,UGFyYSBvIDEwwrogYW5kYXI=,,QWwgMTAuwrogcGlzbw==
YlkAAQ,,VG8gdGhlIDExdGggZmxvb3I=,,,,,UGFyYSBvIDExwrogYW5kYXI=,,QWwgMTEuwrogcGlzbw==
Y1kAAQ,,VG8gdGhlIDEydGggZmxvb3I=,,,,,UGFyYSBvIDEywrogYW5kYXI=,,QWwgMTIuwrogcGlzbw==
ZFkAAQ,,W0xpZV0KRWgtIFlvdSdyZSBnb2luZyB0byB3YWxrIHVwPyBUaGF0J3Mgbm90IGJhZCBlaXRoZXIhIFBsZWFzZSB1c2UgdXMgbmV4dCB0aW1lIQ==,,,,,W0xpZWkgS25pemllcl0KSMOjLi4uIHZhaSBzdWJpciBhIHDDqT8gSXNzbyB0YW1iw6ltIG7Do28gw6kgdW1hIG3DoSBpZGVpYSEgRmF6IGJlbSBwcmEgc2HDumRlIQ==,,W0xpZWkgS25pemllcl0KSG1tLi4uIMK/dmFzIGEgc3ViaXIgY2FtaW5hbmRvPyDCoVRhbXBvY28gZXMgbWFsYSBpZGVhISDCoUhhY2UgYmllbiBhIGxhIHNhbHVkIQ==
ZVkAAQ,,W0xpZV0KWW91IGFyZSBnb2luZyB0byB0aGUgezB9IGZsb29yLCBjb3JyZWN0Pw==,,,,,W0xpZWkgS25pemllcl0KRGVzZWphIGlyIGFvIHswfcK6IGFuZGFyPw==,,W0xpZWkgS25pemllcl0Kwr9EZXNlYXMgaXIgYWwgezB9wrogcGlzbz8=
ZlkAAQ,,WWVzLg==,,,,,U2ltLg==,,U8OtLg==
Z1kAAQ,,Tm8h,,,,,TsOjbyE=,,wqFObyE=
aFkAAQ,,W0xpZV0KUGxlYXNlIGNoZWNrIHRoZSBmbG9vciB5b3Ugd2FudCBhZ2FpbiBiZWZvcmUgdXNpbmcgaXQu,,,,,W0xpZWkgS25pemllcl0KUG9yIGZhdm9yLCBjb25maXJtZSBvIGFuZGFyIGRlc2VqYWRvIGFudGVzIGRlIHVzYXIu,,W0xpZWkgS25pemllcl0KUG9yIGZhdm9yLCBjb25maXJtYSBlbCBwaXNvIGRlc2VhZG8gYW50ZXMgZGUgdXNhcmxvLg==
aVkAAQ,,W0xpZV0KQnV0IHlvdSBkb24ndCBzZWVtIHRvIGhhdmUgZW5vdWdoIG1vbmV5PyBUaGUgZmVlIGlzIF4wMDAwQ0QxMDAwIFplbnleMDAwMDAwISBQbGVhc2UgY2hlY2sgeW91ciBmdW5kcyBiZWZvcmUgdXNpbmcgaXQh,,,,,W0xpZWkgS25pemllcl0KTWFzIHZvY8OqIG7Do28gdGVtIHplbnlzIHN1ZmljaWVudGVzISBBIHRheGEgw6kgZGUgXjAwMDBDRDEuMDAwIHplbnlzXjAwMDAwMCEgVmVyaWZpcXVlIHNldXMgemVueXMgYW50ZXMgZGUgdXNhciE=,,W0xpZWkgS25pemllcl0KwqFQZXJvIG5vIHRpZW5lcyBzdWZpY2llbnRlcyB6ZW55cyEgwqFMYSB0YXJpZmEgZXMgZGUgXjAwMDBDRDEsMDAwIHplbnlzXjAwMDAwMCEgwqFSZXZpc2EgdHVzIHplbnlzIGFudGVzIGRlIHVzYXJsbyE=
alkAAQ,,W0xpZV0KVGhhbmsgeW91IGZvciB1c2luZyBvdXIgc2VydmljZSE=,,,,,W0xpZWkgS25pemllcl0KT2JyaWdhZGEgcG9yIHVzYXIgbm9zc29zIHNlcnZpw6dvcyE=,,W0xpZWkgS25pemllcl0KwqFHcmFjaWFzIHBvciB1c2FyIG51ZXN0cm9zIHNlcnZpY2lvcyE=
a1kAAQ,,W0xpZV0KVWguLi4gd2FpdCBhIG1vbWVudCEgUG93ZXJmdWwgbW9uc3RlcnMgYXBwZWFyIGluIHRoZSB1cHBlciBmbG9vcnMsIHNvIGVudHJ5IGlzIHJlc3RyaWN0ZWQuIFBsZWFzZSB1c2UgaXQgYW5vdGhlciB0aW1lIQ==,,,,,W0xpZWkgS25pemllcl0KQWguLi4gc8OzIHVtIG1vbWVudG8hIE9zIGFuZGFyZXMgc3VwZXJpb3JlcyB0w6ptIHJlc3RyacOnw6NvIGRlIGVudHJhZGEgcG9ycXVlIG1vbnN0cm9zIHBvZGVyb3NvcyBhcGFyZWNlbSBwb3IgbMOhLiBQb3IgZmF2b3IsIHZvbHRlIGRlcG9pcyE=,,W0xpZWkgS25pemllcl0KQWguLi4gwqF1biBtb21lbnRvISBMb3MgcGlzb3Mgc3VwZXJpb3JlcyB0aWVuZW4gcmVzdHJpY2Npw7NuIGRlIGVudHJhZGEgcG9ycXVlIGFwYXJlY2VuIG1vbnN0cnVvcyBwb2Rlcm9zb3MuIMKhUG9yIGZhdm9yLCByZWdyZXNhIGRlc3B1w6lzIQ==
bFkAAQ,,XjRENERGRlRoZSByZWNvbW1lbmRlZCBlbnRyeSBsZXZlbCBmb3IgdGhlIHVwcGVyIGZsb29ycyBvZiBUaGFuYXRvcyBUb3dlciBpcyA5NSBvciBoaWdoZXIuXjAwMDAwMA==,,,,,XjRENERGRkFwZW5hcyBubyBuw612ZWwgZGUgYmFzZSA5NSBvdSBtYWlzLl4wMDAwMDA=,,XjRENERGRlNvbG8gbml2ZWwgYmFzZSA5NSBvIG3DoXMuXjAwMDAwMA==
bVkAAQ,,W0xpZV0KVWguLi4gd2FpdCBhIG1vbWVudCEgUG93ZXJmdWwgbW9uc3RlcnMgYXBwZWFyIGluIHRoZSB0b3Btb3N0IGZsb29ycywgc28gZW50cnkgaXMgcmVzdHJpY3RlZC4gUGxlYXNlIHVzZSBpdCBhbm90aGVyIHRpbWUh,,,,,W0xpZWkgS25pemllcl0KQWguLi4gc8OzIHVtIG1vbWVudG8hIEEgcGFydGUgbWFpcyBhbHRhIGRhIHRvcnJlIHRlbSByZXN0cmnDp8OjbyBkZSBlbnRyYWRhIHBvcnF1ZSBtb25zdHJvcyBwb2Rlcm9zb3MgYXBhcmVjZW0gcG9yIGzDoS4gUG9yIGZhdm9yLCB2b2x0ZSBkZXBvaXMh,,W0xpZWkgS25pemllcl0KQWguLi4gwqF1biBtb21lbnRvISBMYSBwYXJ0ZSBtw6FzIGFsdGEgZGUgbGEgdG9ycmUgdGllbmUgcmVzdHJpY2Npw7NuIGRlIGVudHJhZGEgcG9ycXVlIGFwYXJlY2VuIG1vbnN0cnVvcyBwb2Rlcm9zb3MuIMKhUG9yIGZhdm9yLCByZWdyZXNhIGRlc3B1w6lzIQ==
blkAAQ,,XjRENERGRlRoZSByZWNvbW1lbmRlZCBlbnRyeSBsZXZlbCBmb3IgdGhlIHVwcGVyIGZsb29ycyBvZiBUaGFuYXRvcyBUb3dlciBpcyAxODAgb3IgaGlnaGVyLl4wMDAwMDA=,,,,,XjRENERGRkFwZW5hcyBubyBuw612ZWwgZGUgYmFzZSAxODAgb3UgbWFpcy5eMDAwMDAw,,XjRENERGRlNvbG8gbml2ZWwgYmFzZSAxODAgbyBtw6FzLl4wMDAwMDA=
b1kAAQ,,W0xpZV0KV2VsY29tZSB0byB0aGUgdW5zb2x2ZWQgbXlzdGVyeSwgVGhhbmF0b3MgVG93ZXIhCklmIHlvdSBoYXZlIHF1ZXN0aW9ucyBhYm91dCBUaGFuYXRvcyBUb3dlciwgcGxlYXNlIHJlY2VpdmUgZ3VpZGFuY2UgZnJvbSB0aGUgZ3VpZGUgbmV4dCB0byBtZSE=,,,,,W0xpZWkgS25pemllcl0KQm9hcy12aW5kYXMgw6AgVG9ycmUgZGUgVGhhbmF0b3MhClNlIHRpdmVyIGN1cmlvc2lkYWRlIHNvYnJlIG8gbG9jYWwsIHBlw6dhIGluZm9ybWHDp8O1ZXMgw6AgUmVjZXBjaW9uaXN0YSBhbyBsYWRvIQ==,,W0xpZWkgS25pemllcl0KwqFCaWVudmVuaWRvIGEgbGEgVG9ycmUgZGUgVGhhbmF0b3MhClNpIHRpZW5lcyBjdXJpb3NpZGFkIHNvYnJlIGVsIGx1Z2FyLCDCoXBpZGUgaW5mb3JtYWNpw7NuIGEgbGEgUmVjZXBjaW9uaXN0YSBkZSBhbCBsYWRvIQ==
cFkAAQ,,QmxhZGUgQ29uY2VlZA==,,,,,R3VpYSBkYSBFbnRyYWRh,,R3XDrWEgZGUgbGEgRW50cmFkYQ==
cVkAAQ,,W0JsYWRlXQpUaGlzIGlzIHRoZSBwYXNzYWdlIGxlYWRpbmcgdG8gdGhlIDNyZCBmbG9vci4KT25seSB0aG9zZSB3aG8gaGF2ZSBzaWduZWQgYSBjb250cmFjdCB3aXRoIHVzIGFuZCBhcmUgYWN0aXZlIG1heSBlbnRlci4gSWYgeW91IGFyZSBhIHByZXZpb3VzbHkgY29udHJhY3RlZCBjb250cmFjdG9yLCBwbGVhc2UgcmVuZXcgeW91ciBjb250cmFjdCBmaXJzdC4=,,,,,W0J1cmxlZF0KRXNzYSDDqSBhIGVudHJhZGEgZG8gM8K6IGFuZGFyLgpBcGVuYXMgZnVuY2lvbsOhcmlvcyB0w6ptIHBlcm1pc3PDo28gcGFyYSBlbnRyYXIu,,W0J1cmxlZF0KRXN0YSBlcyBsYSBlbnRyYWRhIGRlbCAzLsK6IHBpc28uClNvbG8gbG9zIGVtcGxlYWRvcyB0aWVuZW4gcGVybWlzbyBwYXJhIGVudHJhci4=
clkAAQ,,W0JsYWRlXQpGb3IgZGV0YWlscywgcGxlYXNlIHVzZSB0aGUgZ3VpZGUgb24gdGhlIGxvd2VyIGZsb29yLg==,,,,,W0J1cmxlZF0KUGFyYSBtYWlzIGluZm9ybWHDp8O1ZXMsIGZhbGUgY29tIGEgUmVjZXBjaW9uaXN0YSBubyB0w6lycmVvLg==,,W0J1cmxlZF0KUGFyYSBtw6FzIGluZm9ybWFjacOzbiwgaGFibGEgY29uIGxhIFJlY2VwY2lvbmlzdGEgZW4gbGEgcGxhbnRhIGJhamEu
c1kAAQ,,W0JsYWRlXQpJdCBzZWVtcyB5b3UgdmlzaXRlZCB0aGlzIHBsYWNlIGEgdmVyeSBsb25nIHRpbWUgYWdvPyBBIGxvdCBoYXMgY2hhbmdlZCBzaW5jZSB0aGVuLiBUaGUgaW5mb3JtYXRpb24gYW5kIG1lbW9yaWVzIHlvdSBoYXZlIG5vdyB3aWxsIHByb2JhYmx5IGJlIG9mIG5vIHVzZS4=,,,,,W0J1cmxlZF0KUGFyZWNlIHF1ZSB2b2PDqiB2aXNpdG91IGVzdGUgbHVnYXIgaMOhIG11aXRvIHRlbXBvLCBuw6NvIMOpPyBNdWl0YSBjb2lzYSBtdWRvdSBkZXNkZSBlbnTDo28uIFByb3ZhdmVsbWVudGUsIHRvZGFzIGFzIGluZm9ybWHDp8O1ZXMgZSBsZW1icmFuw6dhcyBxdWUgdm9jw6ogdGVtIG7Do28gc2Vydmlyw6NvIG1haXMu,,W0J1cmxlZF0KUGFyZWNlIHF1ZSB2aXNpdGFzdGUgZXN0ZSBsdWdhciBoYWNlIG11Y2hvIHRpZW1wbywgwr9ubyBlcyBhc8OtPyBNdWNoYXMgY29zYXMgaGFuIGNhbWJpYWRvIGRlc2RlIGVudG9uY2VzLiBQcm9iYWJsZW1lbnRlLCB0b2RhIGxhIGluZm9ybWFjacOzbiB5IHJlY3VlcmRvcyBxdWUgdGllbmVzIHlhIG5vIHNpcnZhbi4=
dFkAAQ,,W0JsYWRlXQpJIHdpbGwgY2xlYXIgdXAgdGhlIHJlY29yZHMgZm9yIHlvdSwgc28gcGxlYXNlIGludmVzdGlnYXRlIG9uY2UgYWdhaW4u,,,,,W0J1cmxlZF0KVm91IGxpbXBhciBzZXVzIHJlZ2lzdHJvcywgZW50w6NvIHBlw6dvIHF1ZSBmYcOnYSBhIG1pc3PDo28gbm92YW1lbnRlLg==,,W0J1cmxlZF0KVm95IGEgYm9ycmFyIHR1cyByZWdpc3Ryb3MsIGFzw60gcXVlIHRlIHBpZG8gcXVlIGhhZ2FzIGxhIG1pc2nDs24gbnVldmFtZW50ZS4=
dVkAAQ,,W0JsYWRlXQpUaGlzIGlzIHRoZSBwYXNzYWdlIGxlYWRpbmcgdG8gdGhlIDNyZCBmbG9vci4gT25seSB0aG9zZSB3aG8gaGF2ZSBzaWduZWQgYSBjb250cmFjdCB3aXRoIHVzIGFuZCBhcmUgYWN0aXZlIG1heSBlbnRlci4KSG93IG1heSBJIGhlbHAgeW91Pw==,,,,,W0J1cmxlZF0KRXNzYSDDqSBhIGVudHJhZGEgZG8gM8K6IGFuZGFyLiBBcGVuYXMgZnVuY2lvbsOhcmlvcyB0w6ptIHBlcm1pc3PDo28gcGFyYSBlbnRyYXIuIApFbSBxdWUgcG9zc28gYWp1ZGFyPw==,,W0J1cmxlZF0KRXN0YSBlcyBsYSBlbnRyYWRhIGRlbCAzLsK6IHBpc28uIFNvbG8gbG9zIGVtcGxlYWRvcyB0aWVuZW4gcGVybWlzbyBwYXJhIGVudHJhci4Kwr9FbiBxdcOpIHB1ZWRvIGF5dWRhcmxlPw==
dlkAAQ,,R28gdXAgdG8gdGhlIDNyZCBmbG9vci4=,,,,,RW50cmFyIG5vIDPCuiBhbmRhci4=,,RW50cmFyIGFsIDMuwrogcGlzby4=
d1kAAQ,,UGxlYXNlIGdpdmUgbWUgZ3VpZGFuY2UgYWJvdXQgdGhlIHRvd2VyLg==,,,,,UXVlcm8gaW5mb3JtYcOnw7VlcyBzb2JyZSBhIHRvcnJlLg==,,UXVpZXJvIGluZm9ybWFjacOzbiBzb2JyZSBsYSB0b3JyZS4=
eFkAAQ,,VGFsay4=,,,,,Q29udmVyc2Fy,,Q29udmVyc2Fy
eVkAAQ,,W0JsYWRlXQpXaWxsIHlvdSBlbnRlciB0aGUgM3JkIGZsb29yPwpZb3VyIG5hbWUgYXMgYSBjb250cmFjdG9yIGlzLi4uCnswfS4gQ29uZmlybWVkLg==,,,,,W0J1cmxlZF0KRGVzZWphIGVudHJhciBubyAzwrogYW5kYXI/CkRlaXhlLW1lIHZlcmlmaWNhciBzZXUgY29udHJhdG8uLi4KU2V1IG5vbWUgw6kgezB9Lg==,,W0J1cmxlZF0Kwr9EZXNlYXMgZW50cmFyIGFsIDMuwrogcGlzbz8KRMOpamFtZSB2ZXJpZmljYXIgdHUgY29udHJhdG8uLi4KVHUgbm9tYnJlIGVzIHswfS4=
elkAAQ,,W0JsYWRlXQpQbGVhc2UgbW92ZSBxdWlja2x5LgpJZiB5b3UgZGVsYXksIHRoZSBtb25zdGVycyBmcm9tIHRoZSB1cHBlciBmbG9vcnMgbWF5IGNvbWUgZG93biBoZXJlLg==,,,,,W0J1cmxlZF0KQ2VydG8sIHBvZGUgZW50cmFyLgpTZWphIGJyZXZlLCBhIHBvcnRhIG7Do28gcG9kZSBmaWNhciBhYmVydGEgcG9yIG11aXRvIHRlbXBvLCBwb2lzIG9zIG1vbnN0cm9zIHBvZGVtIHNhaXIgZGVzc2UgYW5kYXIu,,W0J1cmxlZF0KQmllbiwgcHVlZGVzIHBhc2FyLgpTw6kgYnJldmUsIGxhIHB1ZXJ0YSBubyBwdWVkZSBlc3RhciBhYmllcnRhIG11Y2hvIHRpZW1wbywgcG9ycXVlIGxvcyBtb25zdHJ1b3MgcHVlZGVuIHNhbGlyIGRlIGVzdGUgcGlzby4=
e1kAAQ,,XjRENERGRkJsYWRlIGxpZ2h0bHkgd2lua2VkIGFuZCBzbWlsZWQsIHNvIHN1YnRseSB0aGF0IG9ubHkgSSBjb3VsZCBub3RpY2UuCkkgbGlnaHRseSBub2RkZWQgYXMgSSB3YXRjaGVkIEJsYWRlIG9wZW4gdGhlIGdhdGUuXjAwMDAwMA==,,,,,XjRENERGRkJ1cmxlZCBzb3JyaSBkaXNmYXLDp2FkYW1lbnRlIHBhcmEgdm9jw6ouLi4KLi4uIGUgZWxlIGFicmUgbyBwb3J0w6NvLl4wMDAwMDA=,,XjRENERGRkJ1cmxlZCBzb25yw61lIGRpc2ltdWxhZGFtZW50ZSBoYWNpYSB0aS4uLgouLi4geSBhYnJlIGVsIHBvcnTDs24uXjAwMDAwMA==
fFkAAQ,,W0JsYWRlXQpZb3UgYXJlIGN1cmlvdXMgYWJvdXQgdGhlIHRvd2VyPyBZb3UgbXVzdCBoYXZlIGhlYXJkIG1vc3Qgb2YgaXQgYmVsb3csIHNvIEkgd2lsbCBrZWVwIHRoZSBleHBsYW5hdGlvbiBicmllZi4=,,,,,W0J1cmxlZF0KUXVlciBzYWJlciBzb2JyZSBhIHRvcnJlPyBDb21vIHByb3ZhdmVsbWVudGUgasOhIG91dml1IGEgbWFpb3IgcGFydGUgbMOhIGVtYmFpeG8sIGZhcmVpIGFwZW5hcyB1bWEgZXhwbGljYcOnw6NvIGJyZXZlLg==,,W0J1cmxlZF0Kwr9RdWllcmVzIHNhYmVyIHNvYnJlIGxhIHRvcnJlPyBDb21vIHByb2JhYmxlbWVudGUgeWEgZXNjdWNoYXN0ZSBsYSBtYXlvciBwYXJ0ZSBhYmFqbywgc29sbyBoYXLDqSB1bmEgZXhwbGljYWNpw7NuIGJyZXZlLg==
