4FZSDQ,,U2lnbnBvc3Q=,,,,,UGxhY2E=,,Q2FydGVs
NFdSDQ,,W0V1bmhhXQpCZWNhdXNlIF4wMDAwQ0RoZWxwaW5nIG90aGVycyB3aWxsIHVsdGltYXRlbHkgaGVscCB5b3VeMDAwMDAwLiBUaGUgcmVzdWx0cyBvZiB5b3VyIGFjdGlvbnMgYWxsIHJldHVybiB0byB5b3Uu,,,,,W0Nvc21vc10KUG9ycXVlIF4wMDAwQ0RhanVkYXIgb3Mgb3V0cm9zLCBubyBmaW0sIMOpIGFqdWRhciBhIHNpIG1lc21vXjAwMDAwMC4gQXMgY29uc2VxdcOqbmNpYXMgZGFzIGHDp8O1ZXMgc2VtcHJlIHJldG9ybmFtIHBhcmEgdm9jw6ou,,W0Nvc21vc10KQXl1ZGFyIGEgbG9zIGRlbcOhcyBeMDAwMENEdGVybWluYSBzaWVuZG8gYXl1ZGFydGUgYSB0aSBtaXNtb14wMDAwMDAuIExvcyByZXN1bHRhZG9zIGRlIHR1cyBhY3RvcyBzaWVtcHJlIHZ1ZWx2ZW4gYSB0aS4=
NVdSDQ,,W0V1bmhhXQpTbyBnbyBhcm91bmQgYW5kIGhlbHAgcGVvcGxlIHdobyBuZWVkIGhlbHAuIF4wMDAwQ0Q0IHBlb3BsZV4wMDAwMDAgc2hvdWxkIGJlIGVub3VnaC4gQnkgdGhlIHdheSwgeW91IGFic29sdXRlbHkgbXVzdCBub3QgYWNjZXB0IGFueSByZXdhcmQuIFRoaXMgZ29vZCBkZWVkIG11c3Qgbm90IGJlIGRvbmUgaW4gZXhjaGFuZ2UgZm9yIGNvbXBlbnNhdGlvbi4=,,,,,W0Nvc21vc10KRW50w6NvIHbDoSBwb3IgYcOtIGUgYWp1ZGUgcGVzc29hcyBxdWUgcHJlY2lzZW0gZGUgYWp1ZGEuIF4wMDAwQ0Q0IHBlc3NvYXNeMDAwMDAwIGRldmUgYmFzdGFyLiBFLCBzw7MgcGFyYSBsZW1icmFyLCB2b2PDqiBuw6NvIHBvZGUgYWNlaXRhciByZWNvbXBlbnNhLCBlbnRlbmRldT8gRXN0YSBib2EgYcOnw6NvIG7Do28gcG9kZSBzZXIgZmVpdGEgZW0gdHJvY2EgZGUgcGFnYW1lbnRvLg==,,W0Nvc21vc10KQXPDrSBxdWUgcmVjb3JyZSBkaXN0aW50b3MgbHVnYXJlcyB5IGF5dWRhIGEgcGVyc29uYXMgbmVjZXNpdGFkYXMuIENvbiBeMDAwMENENCBwZXJzb25hc14wMDAwMDAgYmFzdGFyw6EuIFksIHBvciBjaWVydG8sIG5vIGFjZXB0ZXMgbnVuY2EgbmluZ3VuYSByZWNvbXBlbnNhLiBFc3RhIGJ1ZW5hIGFjY2nDs24gbm8gZGViZSBoYWNlcnNlIGEgY2FtYmlvIGRlIG5hZGEu
NldSDQ,,QWxsIG9mIGEgc3VkZGVuPw==,,,,,RGUgcmVwZW50ZSBhc3NpbT8=,,wr9Bc8OtIGRlIHJlcGVudGU/
N1dSDQ,,W0V1bmhhXQpUaGVyZSBpcyBubyB0aW1lLiBIdXJyeSBhbmQgZ28uIEFzIGl0IGhhcHBlbnMsIHRoZXJlIGlzIGEgPE5BVkk+W3BlcnNvbl08SU5GTz52ZWlucywyMzgsMTEwLDAsMTAxLDAsPC9JTkZPPjwvTkFWST4gd2hvIG1hZGUgYSB3aXNoIHRvIG1lLCBzbyB5b3UgY2FuIGdvIHRoZXJlLiBJIHdpbGwgYXR0YWNoIG15IGxpdHRsZSBjbG91ZCB0byB5b3Ugc28geW91IGNhbiBjb21lIGJhY2sgcXVpY2tseS4gSnVzdCB0aGluayBvZiB3aGVyZSB5b3Ugd2FudCB0byBnby4=,,,,,W0Nvc21vc10KTsOjbyBow6EgdGVtcG8uIFbDoSBsb2dvLiBQb3IgYWNhc28sIGjDoSB1bWEgPE5BVkk+W3Blc3NvYV08SU5GTz52ZWlucywyMzgsMTEwLDAsMTAxLDAsPC9JTkZPPjwvTkFWST4uIEVsYSBmZXogdW0gcGVkaWRvIGEgbWltLCBlbnTDo28gdm9jw6ogcG9kZSBpciBhdMOpIGzDoS4gVm91IHByZW5kZXIgbWluaGEgcGVxdWVuYSBudXZlbSBlbSB2b2PDqiBwYXJhIHF1ZSBwb3NzYSBpciBlIHZvbHRhciByYXBpZGFtZW50ZS4gQmFzdGEgcGVuc2FyIG5vIGx1Z2FyIHBhcmEgb25kZSBxdWVyIGlyLg==,,W0Nvc21vc10KTm8gaGF5IHRpZW1wby4gVmUgcsOhcGlkby4gSnVzdG8gaGF5IHVuYSA8TkFWST5bcGVyc29uYV08SU5GTz52ZWlucywyMzgsMTEwLDAsMTAxLDAsPC9JTkZPPjwvTkFWST4gcXVlIG1lIHBpZGnDsyB1biBkZXNlbywgYXPDrSBxdWUgcHVlZGVzIGlyIGFsbMOtLiBQYXJhIHF1ZSBwdWVkYXMgdm9sdmVyIHLDoXBpZG8sIHRlIHBvbmRyw6kgdW5hIGRlIG1pcyBudWJlY2l0YXMuIFNvbG8gcGllbnNhIGVuIGVsIGx1Z2FyIGFsIHF1ZSBxdWllcmVzIGlyLg==
OFdSDQ,,WW91IGNhbiBkbyB0aGF0IHRvby4uLj8=,,,,,Vm9jw6ogY29uc2VndWUgZmF6ZXIgYXTDqSBpc3NvLi4uPw==,,wr9UYW1iacOpbiBwdWVkZSBoYWNlciBhbGdvIGFzw60uLi4/
OVdSDQ,,W0V1bmhhXQpIYXZlIGEgZ29vZCB0cmlwISE=,,,,,W0Nvc21vc10KQm9hIHZpYWdlbSEh,,W0Nvc21vc10KwqFCdWVuIHZpYWplIQ==
OldSDQ,,W0V1bmhhXQpXaHkgYXJlIHlvdSBoZXJlPyBHbyBwZXJmb3JtIGdvb2QgZGVlZHMu,,,,,W0Nvc21vc10KUG9yIHF1ZSBlc3TDoSBhcXVpPyBWw6EgcHJhdGljYXIgYm9hcyBhw6fDtWVzLg==,,W0Nvc21vc10Kwr9Qb3IgcXXDqSBlc3TDoXMgYXF1w60/IFRlIGRpamUgcXVlIGhpY2llcmFzIGJ1ZW5hcyBhY2Npb25lcy4=
O1dSDQ,,W0V1bmhhXQpZb3UgYXJlIGhlcmUhIFlvdSBoZWxwZWQgcGVvcGxlIHByb3Blcmx5LCByaWdodD8gTm93IHRoZW4uIExldCB1cyBzZWUgdGhlIHN0YW1wIGFwcGVhci4=,,,,,W0Nvc21vc10KVm9jw6ogdm9sdG91ISBEZXZlIHRlciBhanVkYWRvIGJlbSBhcyBwZXNzb2FzLCBjZXJ0bz8gRW50w6NvIHZhbW9zIHZlciBvIGNhcmltYm8gc2VyIG1hcmNhZG8u,,W0Nvc21vc10KwqFIYXMgdnVlbHRvISBTZWd1cm8gcXVlIGF5dWRhc3RlIGJpZW4gYSBlc2FzIHBlcnNvbmFzLCDCv3ZlcmRhZD8gQmllbiwgdmVhbW9zIGPDs21vIHNlIGVzdGFtcGFuIGxvcyBzZWxsb3Mu
PFdSDQ,,W0V1bmhhXQpeRkYwMDAwOTk2XjAwMDAwMC4uLg==,,,,,W0Nvc21vc10KXkZGMDAwMDk5Nl4wMDAwMDAuLi4=,,W0Nvc21vc10KXkZGMDAwMDk5Nl4wMDAwMDAuLi4=
PVdSDQ,,W0V1bmhhXQo5OTYuLi4KXkZGMDAwMDk5N14wMDAwMDAuLi4=,,,,,W0Nvc21vc10KOTk2Li4uCl5GRjAwMDA5OTdeMDAwMDAwLi4u,,W0Nvc21vc10KOTk2Li4uCl5GRjAwMDA5OTdeMDAwMDAwLi4u
PldSDQ,,W0V1bmhhXQo5OTYuLi4KOTk3Li4uCl5GRjAwMDA5OTheMDAwMDAwLi4u,,,,,W0Nvc21vc10KOTk2Li4uCjk5Ny4uLgpeRkYwMDAwOTk4XjAwMDAwMC4uLg==,,W0Nvc21vc10KOTk2Li4uCjk5Ny4uLgpeRkYwMDAwOTk4XjAwMDAwMC4uLg==
P1dSDQ,,W0V1bmhhXQo5OTYuLi4KOTk3Li4uCjk5OC4uLgo5OS4uLiBIdWg/,,,,,W0Nvc21vc10KOTk2Li4uCjk5Ny4uLgo5OTguLi4KOTkuLi4gSMOjPw==,,W0Nvc21vc10KOTk2Li4uCjk5Ny4uLgo5OTguLi4KOTkuLi4gwr9FaD8=
QFdSDQ,,W0V1bmhhXQpPbmUgcGVyc29uIGlzIG1pc3Npbmc/IE5vLCBuby4gSXQgbXVzdCBiZSBleGFjdGx5IDQgcGVvcGxlLg==,,,,,W0Nvc21vc10KRXN0w6EgZmFsdGFuZG8gdW1hIHBlc3NvYS4gTsOjbywgbsOjby4gUHJlY2lzYSBzZXIgZXhhdGFtZW50ZSA0IHBlc3NvYXMu,,W0Nvc21vc10KRmFsdGEgdW5hIHBlcnNvbmEuIE5vIHB1ZWRlIHNlciwgbm8gcHVlZGUgc2VyLiBUaWVuZW4gcXVlIHNlciBleGFjdGFtZW50ZSA0Lg==
QVdSDQ,,W0V1bmhhXQpUaGVyZSBpcyBub3QgbXVjaCB0aW1lLCBzbyBodXJyeSBiYWNrIGRvd24gYW5kIGhlbHAgc29tZW9uZSBlbHNlLiBUaGF0IHdheSwgdGhlIG51bWJlciB3aWxsIGJlIGp1c3QgcmlnaHQuIFlvdSBuZWVkIHRvIGh1cnJ5Lg==,,,,,W0Nvc21vc10KTsOjbyBow6EgbXVpdG8gdGVtcG8sIGVudMOjbyBkZXPDp2EgbG9nbyBkZSBub3ZvIGUgYWp1ZGUgb3V0cmEgcGVzc29hLiBBc3NpbSBvIG7Dum1lcm8gZmljYXLDoSBjZXJ0by4gUHJlY2lzYSBzZSBhcHJlc3Nhci4=,,W0Nvc21vc10KTm8gcXVlZGEgbXVjaG8gdGllbXBvLCBhc8OtIHF1ZSBiYWphIGRlIG51ZXZvIGVuc2VndWlkYSB5IGF5dWRhIGEgb3RyYSBwZXJzb25hLiBBc8OtIGVsIG7Dum1lcm8gZW5jYWphcsOhIGp1c3RvLiBUaWVuZXMgcXVlIGRhcnRlIHByaXNhLg==
QldSDQ,,SSBkZWZpbml0ZWx5IGhlbHBlZCA0IHBlb3BsZS4=,,,,,RXUgY29tIGNlcnRlemEgYWp1ZGVpIDQgcGVzc29hcy4=,,RXN0b3kgc2VndXJvIGRlIHF1ZSBheXVkw6kgYSA0IHBlcnNvbmFzLg==
Q1dSDQ,,W0V1bmhhXQpUaGVuIG9uZSBvZiB0aGVtIG11c3Qgbm90IGhhdmUgbWV0IHRoZSBoZWF2ZW5seSByZWFsbSdzIHN0YW5kYXJkIGZvciBhIGdvb2QgZGVlZC4gT3IgeW91IGFjY2VwdGVkIGNvbXBlbnNhdGlvbi4KVGhlcmUgaXMgbm8gdGltZSBmb3IgdGhpcywgc28gZ28gYmFjayBkb3duIGFuZCBoZWxwIHNvbWVvbmUgZWxzZS4gWW91IG5lZWQgdG8gcmVjZWl2ZSBoZWxwIHRvby4=,,,,,W0Nvc21vc10KRW50w6NvIHVtYSBkZWxhcyBuw6NvIGRldmUgdGVyIGFsY2Fuw6dhZG8gbyBwYWRyw6NvIGRlIGJvYXMgYcOnw7VlcyBleGlnaWRvIHBlbG8gcmVpbm8gY2VsZXN0aWFsLiBPdSB0YWx2ZXogdm9jw6ogdGVuaGEgcmVjZWJpZG8gcmVjb21wZW5zYS4KTsOjbyBow6EgdGVtcG8gcGFyYSBpc3NvLCBlbnTDo28gZGVzw6dhIGRlIG5vdm8gZSBhanVkZSBvdXRyYSBwZXNzb2EuIFZvY8OqIHRhbWLDqW0gcHJlY2lzYSByZWNlYmVyIGFqdWRhIGxvZ28u,,W0Nvc21vc10KRW50b25jZXMgdW5hIGRlIGVsbGFzIG5vIGhhYnLDoSBjdW1wbGlkbyBlbCBlc3TDoW5kYXIgZGUgYnVlbmFzIGFjY2lvbmVzIHF1ZSBleGlnZSBlbCByZWlubyBjZWxlc3RpYWwuIE8gcXVpesOhIGFjZXB0YXN0ZSB1bmEgcmVjb21wZW5zYS4KTm8gdGVuZW1vcyB0aWVtcG8gcGFyYSBlc3RvLCBhc8OtIHF1ZSBiYWphIGRlIG51ZXZvIHkgYXl1ZGEgYSBvdHJhIHBlcnNvbmEuIFTDuiB0YW1iacOpbiBkZWJlcyByZWNpYmlyIGF5dWRhIHByb250by4=
RFdSDQ,,W0V1bmhhXQpVaC4uLj8gV2FpdCEhIQ==,,,,,W0Nvc21vc10KSMOjLi4uPyBFc3BlcmUhISE=,,W0Nvc21vc10Kwr9FaC4uLj8gwqHCocKhRXNwZXJhIHVuIG1vbWVudG8hISE=
RVdSDQ,,W0V1bmhhXQpeRkYwMDAwOTk5XjAwMDAwMCEhIQ==,,,,,W0Nvc21vc10KXkZGMDAwMDk5OV4wMDAwMDAhISE=,,W0Nvc21vc10KwqHCocKhXkZGMDAwMDk5OV4wMDAwMDAhISE=
RldSDQ,,W0V1bmhhXQpUaGUgc3RhbXAgc3VkZGVubHkgYXBwZWFyZWQ/IFdoeT8gSXQgc2VlbXMgeW91ciBnb29kIGRlZWQgaGFzIGZpbmFsbHkgYmVlbiBjb21wbGV0ZWQuIFdoYXQgZGlkIHlvdSBkbz8KTm8sIHdoYXRldmVyISBOb3cgaXQgaXMgeW91ciB0dXJuLi4u,,,,,W0Nvc21vc10KTyBjYXJpbWJvIGZvaSBtYXJjYWRvIGRlIHJlcGVudGU/IFBvciBxdcOqPyBQYXJlY2UgcXVlIHN1YSBib2EgYcOnw6NvIHPDsyBmb2kgY29uY2x1w61kYSBhZ29yYS4gTyBxdWUgdm9jw6ogZmV6PwpOw6NvLCB0YW50byBmYXohIEFnb3JhIMOpIHN1YSB2ZXouLi4=,,W0Nvc21vc10Kwr9EZSBwcm9udG8gc2UgZXN0YW1ww7MgZWwgc2VsbG8/IMK/UG9yIHF1w6k/IFBhcmVjZSBxdWUgdHUgYnVlbmEgYWNjacOzbiBhY2FiYSBkZSBjb21wbGV0YXJzZSBhaG9yYS4gwr9RdcOpIGhhcyBoZWNobz8KQnVlbm8sIMKhcXXDqSBtw6FzIGRhISBBaG9yYSBlcyB0dSB0dXJuby4uLg==
R1dSDQ,,W1RpcmVkIFBlcnNvbl0KTGFkeSBFdW5oYSEhIQ==,,,,,W1Blc3NvYSBDYW5zYWRhXQpTZW5ob3IgQ29zbW9zISEh,,W1BlcnNvbmEgZmF0aWdhZGFdCsKhwqHCoVNlw7FvciBDb3Ntb3MhISE=
SFdSDQ,,W0V1bmhhXQpPaCBteS4uLiBeMDAwMENESHVpdW5eMDAwMDAwPyBIb3cgZGlkIHlvdSBnZXQgaGVyZT8gQWR2ZW50dXJlciwgQWR2ZW50dXJlcj8gV2FzIHlvdXIgZ29vZCBkZWVkIGJyaW5naW5nIGhpbSBoZXJlPyBUaGF0IGlzIG5vdCBhIGdvb2QgZGVlZC4uLg==,,,,,W0Nvc21vc10KTm9zc2Egc2VuaG9yYS4uLiBeMDAwMENESGVldW5eMDAwMDAwPyBDb21vIHZvY8OqIHZlaW8gcGFyYXIgYXF1aT8gVmlhamFudGU/IEEgYm9hIGHDp8OjbyBxdWUgdm9jw6ogZmV6IGZvaSB0cmF6ZXIgZXN0YSBwZXNzb2E/IElzc28gbsOjbyDDqSB1bWEgYm9hIGHDp8Ojby4uLg==,,W0Nvc21vc10KTWFkcmUgbcOtYS4uLiDCv14wMDAwQ0RIdWl5dW5eMDAwMDAwPyDCv0PDs21vIGhhcyBsbGVnYWRvIGhhc3RhIGFxdcOtPyBBdmVudHVyZXJvLCDCv2F2ZW50dXJlcm8/IMK/TGEgYnVlbmEgYWNjacOzbiBxdWUgaGljaXN0ZSBmdWUgdHJhZXJsbyBhcXXDrT8gRXNvIG5vIGVzIHVuYSBidWVuYSBhY2Npw7NuLi4u
SVdSDQ,,QnV0IHdoeSBkaWQgeW91ciBoYWlyIHR1cm4gYmxhY2s/IERpZCBzb21ldGhpbmcgdXBzZXR0aW5nIGhhcHBlbj8=,,,,,TWFzIHBvciBxdWUgc2V1IGNhYmVsbyBmaWNvdSBwcmV0bz8=,,UGVybyDCv3BvciBxdcOpIHRpZW5lcyBlbCBwZWxvIG5lZ3JvPyDCv1RlIGhhIHBhc2FkbyBhbGdvIG1hbG8/
SldSDQ,,QXJlIHlvdSBhc2tpbmcgYmVjYXVzZSB5b3UgdHJ1bHkgZG8gbm90IGtub3c/,,,,,Vm9jw6ogbsOjbyBzYWJlPw==,,wr9MbyBwcmVndW50YSBwb3JxdWUgbm8gbG8gc2FiZT8=
S1dSDQ,,W0h1aXVuXQpIYXZlIEkgY29tZSBzb21ld2hlcmUgSSBzaG91bGQgbm90PyBJIGNhbWUgYmVjYXVzZSB0aGUgb25lIHdobyBzaG91bGQgaGF2ZSByZXR1cm5lZCB0byB0aGUgaGVhdmVubHkgcmVhbG0gbG9uZyBhZ28gc3RpbGwgaGFzIG5vdCByZXR1cm5lZC4KWW91IGtub3cgdGhhdCB0aGUgZGVhZGxpbmUgZm9yIF4wMDAwQ0RhY2N1bXVsYXRpbmcgZ29vZCBkZWVkc14wMDAwMDAgaXMgdG9kYXksIGRvIHlvdSBub3Q/IFlvdSBoYXZlIG5vdCBmb3Jnb3R0ZW4sIGhhdmUgeW91PyBZb3UgbXVzdCBoYXZlIGhlbHBlZCBhbGwgXjAwMDBDRDEsMDAwIHBlb3BsZV4wMDAwMDAsIHllcz8=,,,,,W0hlZXVuXQpFdSB2aW0gYSB1bSBsdWdhciBvbmRlIG7Do28gZGV2ZXJpYT8gUXVlbSBqw6EgZGV2ZXJpYSB0ZXIgdm9sdGFkbyBhbyByZWlubyBjZWxlc3RpYWwgYWluZGEgbsOjbyB2b2x0b3UsIGVudMOjbyBldSB2aW0uClZvY8OqIHNhYmUgcXVlIG8gcHJhem8gcGFyYSBeMDAwMENEYWN1bXVsYXIgYm9hcyBhw6fDtWVzXjAwMDAwMCB0ZXJtaW5hIGhvamUsIG7Do28gc2FiZT8gTsOjbyBlc3F1ZWNldSwgY2VydG8/IFZvY8OqIGrDoSBhanVkb3UgYXMgXjAwMDBDRDEuMDAwIHBlc3NvYXNeMDAwMDAwLCBuw6NvIMOpPw==,,W0h1aXl1bl0Kwr9BY2FzbyBoZSB2ZW5pZG8gYSB1biBsdWdhciBhbCBxdWUgbm8gZGViw61hPyBIZSB2ZW5pZG8gcG9ycXVlIHF1aWVuIHlhIGRlYmVyw61hIGhhYmVyIHJlZ3Jlc2FkbyBhbCByZWlubyBjZWxlc3RpYWwgYcO6biBubyBoYSB2dWVsdG8uClNhYmUgcXVlIGVsIHBsYXpvIHBhcmEgXjAwMDBDRGFjdW11bGFyIGJ1ZW5hcyBhY2Npb25lc14wMDAwMDAgdGVybWluYSBob3ksIMK/dmVyZGFkPyBObyBsbyBoYSBvbHZpZGFkbywgwr92ZXJkYWQ/IFlhIGhhYnLDoSBheXVkYWRvIGEgXjAwMDBDRDEwMDAgcGVyc29uYXNeMDAwMDAwLCDCv25vPw==
TFdSDQ,,W0V1bmhhXQpBaCwgb2YgY291cnNlIEkga25vdy4gVGhhdCBpcyB3aHkgSSBhbSB3b3JraW5nIGhhcmQuIE9ubHkgb25lIHBlcnNvbiByZW1haW5zIG5vdy4KTmFnZ2luZyBtZSB0aGUgbW9tZW50IHlvdSBzZWUgbWU/IFRoaXMgaXMgZXhhY3RseSB3aHkgSSBwbGFjZWQgYSB0cmljayBvbiB0aGUgc2lnbnBvc3Qgc28gaGVhdmVubHkgYmVpbmdzIGNvdWxkIG5vdCBmaW5kIHRoZSB3YXku,,,,,W0Nvc21vc10KQWgsIGNsYXJvIHF1ZSBzZWkuIFBvciBpc3NvIGVzdG91IG1lIGVzZm9yw6dhbmRvLiBTw7MgZmFsdGEgdW1hIHBlc3NvYS4KVm9jw6ogbWFsIG1lIHbDqiBlIGrDoSBjb21lw6dhIGNvbSBzZXJtw6NvPyBGb2kgcG9yIHNhYmVyIHF1ZSBpc3NvIGFjb250ZWNlcmlhIHF1ZSB1c2VpIHVtIHRydXF1ZSBuYSBwbGFjYSBwYXJhIHF1ZSBvcyBzZXJlcyBjZWxlc3RpYWlzIG7Do28gZW5jb250cmFzc2VtIG8gY2FtaW5oby4=,,W0Nvc21vc10KQWgsIGNsYXJvIHF1ZSBsbyBzw6kuIFBvciBlc28gZXN0b3kgdHJhYmFqYW5kbyB0YW4gZHVyby4gU29sbyBtZSBxdWVkYSB1bmEgcGVyc29uYS4Kwr9NZSByZWdhw7FhcyBuYWRhIG3DoXMgdmVybWU/IFBvciBlc28gaGFiw61hIGhlY2hvIHVuIHRydWNvIGVuIGVsIGNhcnRlbCBwYXJhIHF1ZSBsb3MgY2VsZXN0aWFsZXMgbm8gcHVkaWVyYW4gZW5jb250cmFyIGVsIGNhbWluby4=
TVdSDQ,,W0h1aXVuXQpEaWQgSSBzYXkgc29tZXRoaW5nIEkgc2hvdWxkIG5vdCBoYXZlPyBPdGhlcnMgbWF5IG5vdCBiZSBhYmxlIHRvLCBidXQgSSBjYW4hCldoeSBoYXMgaXQgdGFrZW4geW91IHNvIGxvbmc/IElmIGl0IGlzIGEgbWF0dGVyIG9mIGhlbHBpbmcgMSwwMDAgcGVvcGxlLCBldmVuIHdpdGggeW91ciBwb3dlcnMgc2VhbGVkLCBMYWR5IEV1bmhhLCB5b3Ugc2hvdWxkIGhhdmUgYmVlbiBhYmxlIHRvIGRvIGl0IHF1aWNrbHkgd2l0aG91dCBib3Jyb3dpbmcgc29tZW9uZSBlbHNlJ3MgaGFuZHMuLi4=,,,,,W0hlZXVuXQpFdSBkaXNzZSBhbGdvIHF1ZSBuw6NvIGRldmlhPyBTZSBmb3NzZSBvdXRyYSBwZXNzb2EsIHRhbHZleiBuw6NvLCBtYXMgZXUgcG9zc28gZGl6ZXIhClBvciBxdWUgZGVtb3JvdSB0YW50bz8gU2UgZXJhIHBhcmEgYWp1ZGFyIDEuMDAwIHBlc3NvYXMsIG1lc21vIGNvbSBzZXVzIHBvZGVyZXMgc2VsYWRvcywgU2VuaG9yIENvc21vcywgdm9jw6ogY29uc2VndWlyaWEgcmFwaWRhbWVudGUgc2VtIHByZWNpc2FyIGRhIGFqdWRhIGRlIG91dHJvcy4uLg==,,W0h1aXl1bl0Kwr9IZSBkaWNobyBhbGdvIHF1ZSBubyBwdWVkYSBkZWNpcj8gQXVucXVlIG90cm9zIG5vIHB1ZWRhbiwgeW8gc8OtIHB1ZWRvLgrCv1BvciBxdcOpIGhhIHRhcmRhZG8gdGFudG8/IFNpIHNlIHRyYXRhIGRlIGF5dWRhciBhIDEwMDAgcGVyc29uYXMsIGluY2x1c28gY29uIHN1cyBwb2RlcmVzIHNlbGxhZG9zLCBzZcOxb3IgQ29zbW9zLCBwb2Ryw61hIGhhYmVybG8gaGVjaG8gZW5zZWd1aWRhIHNpbiBwZWRpciBheXVkYSBhIG5hZGllLi4u
TldSDQ,,W0h1aXVuXQpBaCwgd2FpdC4gRG8gbm90IHNheSBpdC4gSSBrbm93IHdoYXQgdGhpcyBpcy4gSSBmZWVsIGxpa2UgSSBhbSBnb2luZyB0byBidXJzdCBmcm9tIGZydXN0cmF0aW9uISEh,,,,,W0hlZXVuXQpBaCwgZXNwZXJlLiBOw6NvIGRpZ2EgbmFkYS4gSsOhIHNlaSBkbyBxdWUgc2UgdHJhdGEuIFZvdSBleHBsb2RpciBkZSBmcnVzdHJhw6fDo28hISE=,,W0h1aXl1bl0KQWgsIGVzcGVyZS4gTm8gbG8gZGlnYS4gWWEgc8OpIGRlIHF1w6kgc2UgdHJhdGEuIMKhwqFQb3JxdWUgc2llbnRvIHF1ZSB2b3kgYSBlc3RhbGxhciBkZSBmcnVzdHJhY2nDs24hIQ==
T1dSDQ,,W0V1bmhhXQpIZWhlLSBJZiB0aGUgYWR2ZW50dXJlciBoZWxwcyA0IHBlb3BsZSBhbmQgSSBoZWxwIHRoYXQgYWR2ZW50dXJlciwgdGhlbiBJIGhhdmUgaGVscGVkIDUgcGVvcGxlLCByaWdodD8gSSB3YXMgaGVscGluZyBtYW55IHBlb3BsZSBpbiB0aGUgbW9ydGFsIHJlYWxtIGRvIGdvb2QgZGVlZHMgdGhhdCB3YXkuClRoYXQgZG9lcyBub3QgbWVhbiBJIHdhcyBqdXN0IHBsYXlpbmcgYXJvdW5kLiBJIGhhdmUgYWxzbyBiZWVuIHJhaXNpbmcgU3RhciBFbXBlcm9yIGR1cmluZyB0aGF0IHRpbWUsIHlvdSBrbm93Pw==,,,,,W0Nvc21vc10KSGVoZS0gc2UgbyB2aWFqYW50ZSBhanVkYSA0IHBlc3NvYXMgZSBldSBhanVkbyBlc3NlIHZpYWphbnRlLCBpc3NvIHNpZ25pZmljYSBxdWUgYWp1ZGVpIDUgcGVzc29hcywgbsOjbyDDqT8gQXNzaW0gZXUgZXN0YXZhIGFqdWRhbmRvIHbDoXJpYXMgcGVzc29hcyBkbyBtdW5kbyBodW1hbm8gYSBwcmF0aWNhcmVtIGJvYXMgYcOnw7Vlcy4KRSBpc3NvIG7Do28gc2lnbmlmaWNhIHF1ZSBldSBlc3RhdmEgYnJpbmNhbmRvLiBOZXNzZSBtZWlvIHRlbXBvLCB0YW1iw6ltIGFqdWRlaSBhIGZvcm1hciBNZXN0cmUgRXN0ZWxhciwgc2FiaWE/,,W0Nvc21vc10KSmUsIGplLiBTaSBlbCBhdmVudHVyZXJvIGF5dWRhIGEgNCBwZXJzb25hcyB5IHlvIGF5dWRvIGEgZXNlIGF2ZW50dXJlcm8sIGVudG9uY2VzIGhlIGF5dWRhZG8gYSA1IHBlcnNvbmFzLCDCv25vPyBBc8OtIGVzdGFiYSBheXVkYW5kbyBhIG11Y2hhcyBwZXJzb25hcyBkZWwgbXVuZG8gaHVtYW5vIGEgaGFjZXIgYnVlbmFzIGFjY2lvbmVzLgpZIGVzbyBubyBzaWduaWZpY2EgcXVlIGhheWEgZXN0YWRvIGhvbGdhemFuZWFuZG8uIFRhbWJpw6luIGhlIGVzdGFkbyBjcmlhbmRvIGEgRW1wZXJhZG9yIEVzdGVsYXIgZHVyYW50ZSB0b2RvIGVzdGUgdGllbXBvLg==
UFdSDQ,,W0h1aXVuXQpJIHRvbGQgeW91IG5vdCB0byBzYXkgaXQhISBZb3UganVzdCBoYWQgdG8gc2F5IGl0ISBBbmQgdHVybiBteSBzdG9tYWNoIGluc2lkZSBvdXQhISE=,,,,,W0hlZXVuXQpFdSBkaXNzZSBwYXJhIG7Do28gZmFsYXIhISBWb2PDqiBpbnNpc3RlIGVtIGZhbGFyISBFIG1lIGRlaXhhIGFpbmRhIG1haXMgaXJyaXRhZG8hISE=,,W0h1aXl1bl0KwqHCoUxlIGRpamUgcXVlIG5vIGxvIGRpamVyYSEhIMKhwqFUZW7DrWEgcXVlIGRlY2lybG8geSByZXZvbHZlcm1lIGxhcyBlbnRyYcOxYXMhIQ==
