YP7N,,Q3Jld21hbg==,,,,,VHJpcHVsYW50ZQ==,,VHJpcHVsYW50ZQ==
oP7N,,W0thaW4gSGltZXJlXQpJIHRoaW5rIEkgc2FuZyBpdCBzbwptdWNoLCBJIGV2ZW4gZ290IG15IGxpdHRsZQpkYXVnaHRlciB0byBzaW5nIGl0IHdpdGggbWV+CihCdXQgd2hhdCB3YXMgaGVyIG5hbWU/ISk=,,,,,W0thaW4gSGltZXJlXQpBY2hvIHF1ZSBjYW50ZWkgdGFudG8KcXVlIGF0w6kgY29uc2VndWkgcXVlIG1pbmhhIHBlcXVlbmEKZmlsaGEgcGFyYSBjYW50YXNzZSBjb21pZ29+CihNYXMgcXVhbCBlcmEgbyBub21lIGRlbGE/ISk=,,W0thaW4gSGltZXJlXQpDcmVvIHF1ZSBsYSBjYW50w6kgdGFudG8sCnF1ZSBpbmNsdXNvIGxhIGNhbnRhYmEganVudG8KY29uIG1pIGhpaml0YS4KKMKhwr9QZXJvIGN1w6FsIGVyYSBzdSBub21icmU/ISk=
of7N,,W3swfV0KXjMzMzMzMypDb3VnaCBjb3VnaCoKKkNvdS0tVEFSU0hBLS1Db3VnaCpeMDAwMDAw,,,,,W3swfV0KXjMzMzMzMypDb2YgY29mKgoqQ29mLS1UQVJTSEEtLUNvZipeMDAwMDAw,,W3swfV0KXjMzMzMzMypDb2YsIGNvZioKKkNvZi0tVEFSU0hBLS1Db2YqXjAwMDAwMA==
ov7N,,W0thaW4gSGltZXJlXQpXaGF0IHRoZS4uLj8KV2FpdC4gVC1UYXJzaGEuLi4KV2h5IGRvZXMgaXQgZmVlbCBsaWtlIHRoYXQKbmFtZSBtZWFucyBzb21ldGhpbmc/,,,,,W0thaW4gSGltZXJlXQpNYXMgbyBxdWUuLi4/CkVzcGVyZS4gVC1UYXJzaGEuLi4KUG9yIHF1ZSBwYXJlY2UgcXVlIGVzc2UKbm9tZSBzaWduaWZpY2EgYWxnbz8=,,W0thaW4gSGltZXJlXQrCv1Blcm8gcXXDqS4uLj8KRXNwZXJhLiBULVRhcnNoYS4uLgrCv1BvciBxdcOpIHNpZW50byBxdWUgZXNlCm5vbWJyZSBzaWduaWZpY2EgYWxnbz8=
o/7N,,W3swfV0KWW91IGtub3cuLi4KSSBtZXQgYSBsaXR0bGUgZ2lybCBpbiBFaW5icm9jaAp3aG8gd2FzIHNpbmdpbmcgdGhlICcnTWluZXIncwpTb25nLicnIEl0IHNlZW1zIGhlciBtb3RoZXIKVGFyc2hhIGhhZCB0YXVnaHQgaXQgdG8gaGVyLg==,,,,,W3swfV0KVm9jw6ogc2FiZS4uLgpDb25oZWNpIHVtYSBnYXJvdGluaGEgZW0gRWluYnJvY2gKcXVlIGVzdGF2YSBjYW50YW5kbyBhCicnQ2Fuw6fDo28gZG9zIE1pbmVpcm9zJycuIFBhcmVjZSBxdWUgc3VhIG3Do2UKVGFyc2hhIGhhdmlhIGxoZSBlbnNpbmFkby4=,,W3swfV0Kwr9TYWJlcy4uLj8KQ29ub2PDrSBhIHVuYSBuacOxaXRhIGVuIEVpbmJyb2NoCnF1ZSBjYW50YWJhIGxhIENhbmNpw7NuIGRlbApNaW5lcm8uIFBhcmVjZSBxdWUgVGFyaHNhLCBzdSBtYWRyZSwgc2UgbGEgZW5zZcOxw7Mu
pP7N,,W0thaW4gSGltZXJlXQpJbnRlcmVzdGluZy4gQnV0IHVzdWFsbHksCm9ubHkgbWluZXJzIHdvdWxkIGtub3cKdGhhdCBzb25nLiBEb2VzIHRoaXMgaGF2ZQphbnl0aGluZyB0byBkbyB3aXRoIG1lPw==,,,,,W0thaW4gSGltZXJlXQpJbnRlcmVzc2FudGUuIE1hcyBub3JtYWxtZW50ZSwKYXBlbmFzIG9zIG1pbmVpcm9zIHNhYmVyaWFtIAplc3NhIG3DunNpY2EuIFNlcsOhIHF1ZSBpc3NvIHRlbQphbGd1bWEgY29pc2EgYSB2ZXIgY29taWdvPw==,,W0thaW4gSGltZXJlXQpJbnRlcmVzYW50ZS4gUGVybywgcG9yIGxvIGdlbmVyYWwsCnNvbG8gbG9zIG1pbmVyb3MgY29ub2NlbiAKZXNhIGNhbmNpw7NuLiDCv0FjYXNvIGVzdG8gdGllbmUKYWxnbyBxdWUgdmVyIGNvbm1pZ28/
pf7N,,W3swfV0KV2VsbCwgdGhpcyBsaXR0bGUgZ2lybCdzIG1vdGhlciwgVGFyc2hhLCBsZWFybmVkIHRoZSBzb25nIGZyb20KaGVyIGZhdGhlciB3aG8gbWlnaHQgaGF2ZSBiZWVuCmEgbWluZXIuIEJ1dCBoZSBteXN0ZXJpb3VzbHkKZGlzYXBwZWFyZWQgeWVhcnMgYWdvLi4u,,,,,W3swfV0KQmVtLCBhIG3Do2UgZGVzc2EgZ2Fyb3RpbmhhLCBUYXJzaGEsIGFwcmVuZGV1IGEgbcO6c2ljYQpjb20gc2V1IHBhaSBzZXUgcGFpLCBxdWUgcG9kZSB0ZXIgc2lkbwp1bSBtaW5laXJvLiBNYXMgZWxlIG1pc3Rlcmlvc2FtZW50ZQpkZXNhcGFyZWNldSBhbm9zIGF0csOhcy4uLg==,,W3swfV0KUHVlcyBiaWVuLCBsYSBtYWRyZSBkZSBlc3RhIG5pw7FpdGEsIFRhcnNoYSwgYXByZW5kacOzIGxhIGNhbmNpw7NuIGRlCnBhcnRlIGRlIHN1IHBhZHJlIHF1ZSBwdWVkZSBoYWJlciBzaWRvCm1pbmVyby4gUGVybyBkZXNhcGFyZWNpw7MKbWlzdGVyaW9zYW1lbnRlIGhhY2UgYcOxb3MuLi4=
pv7N,,W0thaW4gSGltZXJlXQpQb29yIGdpcmwuLi4hCkhlciBmYXRoZXIganVzdApsZWZ0IGhlcj8hIFdoeSwKc2hlJ3MganVzdCBsaWtlLi4u,,,,,W0thaW4gSGltZXJlXQpQb2JyZSBnYXJvdGEuLi4hClNldSBwYWkgc2ltcGxlc21lbnRlCmEgZGVpeG91PyEgUG9yIHF1w6o/Cklzc28gw6kgY29tby4uLg==,,W0thaW4gSGltZXJlXQrCoVBvYnJlIG5pw7FhLi4uIQrCocK/QWNhc28gc3UgcGFkcmUKbGEgYWJhbmRvbsOzPyEgwr9Qb3IgcXXDqT8KRWxsYSBlcyBjb21vLi4u
p/7N,,W0thaW4gSGltZXJlXQpXYWl0Li4uClN3ZWV0IENocmlzdC4uLgpUaGUgbWluZXIgd2hvIHRhdWdodApUYXJzaGEgdGhhdCBzb25nIG1pZ2h0CmhhdmUgYmVlbi4uLiBeMDAwMEZGbWVeMDAwMDAwLg==,,,,,W0thaW4gSGltZXJlXQpFc3BlcmUuLi4KU2FudG8gRGV1cy4uLgpPIG1pbmVpcm8gcXVlIGVuc2lub3UKVGFyc2hhIGVzc2EgbcO6c2ljYSBwb2RlCnRlciBzaWRvLi4uIF4wMDAwRkZldV4wMDAwMDAu,,W0thaW4gSGltZXJlXQpFc3BlcmEuLi4KU2FudG8gY2llbG8uLi4KRWwgbWluZXJvIHF1ZSBsZSBlbnNlw7HDswplc2EgY2FuY2nDs24gYSBUYXJzaGEuLi4KcHVkZSBoYWJlciBzaWRvLi4uIF4wMDAwRkZ5b14wMDAwMDAu
qP7N,,W3swfV0KV2VsbCwgZm9yIG5vdywgd2UgY2FuJ3QKYmUgdG9vIHN1cmUuIERvIHlvdSBoYXZlCmFueXRoaW5nIHRoYXQgbWlnaHQgcHJvdmUKeW91J3JlIFRhcnNoYSdzIGZhdGhlcj8=,,,,,W3swfV0KQmVtLCBwb3IgZW5xdWFudG8sIG7Do28gcG9kZW1vcwp0ZXIgbXVpdGEgY2VydGV6YS4gVm9jw6ogdGVtCmFsZ3VtYSBjb2lzYSBxdWUgcG9zc2EgcHJvdmFyCnF1ZSB2b2PDqiDDqSBvIHBhaSBkYSBUYXJzaGE/,,W3swfV0KQnVlbm8sIHBvciBhaG9yYSwgbm8gcG9kZW1vcwpzYWJlcmxvIGNvbiBjZXJ0ZXphLiDCv1RpZW5lcwphbGdvIHF1ZSBwdWVkYSBwcm9iYXIKcXVlIGVyZXMgZWwgcGFkcmUgZGUgVGFyc2hhPw==
qf7N,,W0thaW4gSGltZXJlXQpFaGhtbW0uLi4KQmVmb3JlIEkgbGVmdCBvd24sIEkgYnVyaWVkCnNvbWUgb2YgbXkgc3R1ZmYgdW5kZXJuZWF0aAphIHRyZWUgaW4gRWluYmVjaC4gSSBjYW4ndCBleGFjdGx5IHJlbWVtYmVyIHdoZXJlLCBidXQgbXkgd2lmZSdzCmpvdXJuYWwgc2hvdWxkIGJlIHRoZXJlLg==,,,,,W0thaW4gSGltZXJlXQpFaGhtbW0uLi4KQW50ZXMgZGUgc2FpciBkZSBjYXNhLCBlbnRlcnJlaQphbGd1bWFzIGRlIG1pbmhhcyBjb2lzYXMgZW1iYWl4byBkZQp1bWEgw6Fydm9yZSBlbSBFaW5iZWNoLiBOw6NvIG1lIGxlbWJybyBleGF0YW1lbnRlIG9uZGUsIG1hcyBvIGRpw6FyaW8gZGUgbWluaGEgZXNwb3NhCmRldmUgZXN0YXIgbMOhLg==,,W0thaW4gSGltZXJlXQpNbW1tLi4uCkFudGVzIGRlIGlybWUgZGVsIHB1ZWJsbywgZW50ZXJyw6kKYWxndW5hcyBkZSBtaXMgY29zYXMgZGViYWpvCmRlIHVuIMOhcmJvbCBlbiBFaW5iZWNoLiBObyBwdWVkbyByZWNvcmRhciBjb24gZXhhY3RpdHVkIGVsIGx1Z2FyLCBwZXJvIGVsIGRpYXJpbwpkZSBtaSBlc3Bvc2EgZGViZXLDrWEgZXN0YXIgYWjDrS4=
qv7N,,W0thaW4gSGltZXJlXQpTaW5jZSBteSB3aWZlIGtlcHQgdHJhY2sKb2YgZXZlcnl0aGluZyBpbiBoZXIgam91cm5hbCwKc2hlIHNob3VsZCBoYXZlIHdyaXR0ZW4gZW5vdWdoCmFib3V0IG91ciBkYXVnaHRlciBmb3IgdXMgdG8ga25vdyB3aGV0aGVyIG9yIG5vdCB0aGlzIFRhcnNoYSBjb3VsZCAgYmUgbXkgbG9uZyBsb3N0IGRhdWdodGVyLg==,,,,,W0thaW4gSGltZXJlXQpDb21vIG1pbmhhIGVzcG9zYSBtYW50aW5oYSByZWdpc3Ryb3MKZGUgdHVkbyBlbSBzZXUgZGnDoXJpbywKZWxhIGRldmUgdGVyIGVzY3JpdG8gbyBzdWZpY2llbnRlCnNvYnJlIG5vc3NhIGZpbGhhIHBhcmEgc2FiZXJtb3Mgc2UgZXNzYSBUYXJzaGEgcG9kZXJpYSBvdSBuw6NvIHNlciBtaW5oYSBmaWxoYSBow6EgbXVpdG8gdGVtcG8gcGVyZGlkYS4=,,W0thaW4gSGltZXJlXQpDb21vIG1pIGVzcG9zYSByZWdpc3RyYWJhCnRvZG8gZW4gc3UgZGlhcmlvLApkZWJlcsOtYSBoYWJlciBlc2NyaXRvIG11Y2hhcyBjb3Nhcwpzb2JyZSBudWVzdHJhIGhpamEsIGFzw60gcG9kcsOtYW1vcyBzYWJlciBzaSBUYXJzaGEgZXMgbGEgaGlqYSBxdWUgcGVyZMOtIGhhY2UgdGllbXBvLg==
q/7N,,W0thaW4gSGltZXJlXQpOb3csIEkgY2FuJ3QgcmVhbGx5IGxlYXZlCnRoZSBBaXJzaGlwLCBzbyB3b3VsZCB5b3UgaGVscAptZSBieSBmaW5kaW5nIHRoYXQgam91cm5hbCBhbmQKc2VlaW5nIGlmIFRhcnNoYSBpcyByZWFsbHkgcmVsYXRlZCB0byBtZSBzb21laG93PyBJJ2QgYmUgZ3JhdGVmdWwKaWYgeW91IGNvdWxkIGRvIHRoYXQgZm9yIG1lLi4u,,,,,W0thaW4gSGltZXJlXQpFdSByZWFsbWVudGUgbsOjbyBwb3NzbyBkZWl4YXIKbyBkaXJpZ8OtdmVsLCBlbnTDo28gdm9jw6ogcG9kZXJpYSBtZSBhanVkYXIKYSBlbmNvbnRyYXIgZXNzZSBkacOhcmlvIGUKZSB2ZXIgc2UgVGFyc2hhIGVzdMOhIHJlbGFjaW9uYWRhIGEgbWltIGRlIGFsZ3VtYSBmb3JtYT8KRXUgZmljYXJpYSBtdWl0byBncmF0byBzZSB2b2PDqiBwdWRlc3NlIGZhemVyIGlzc28gcG9yIG1pbS4uLg==,,W0thaW4gSGltZXJlXQpBaG9yYSBtaXNtbyBubyBwdWVkbyBkZWphcgpsYSBhZXJvbmF2ZSwgYXPDrSBxdWUsIMK/bWUgYXl1ZGFyw61hcwphIGVuY29udHJhciBlc2UgZGlhcmlvIHkKdmVyIHNpIGRlIHZlcmRhZCBUYXJzaGEgdGllbmUgYWxnw7puIHRpcG8gZGUgcmVsYWNpw7NuIGNvbm1pZ28/IEVzdGFyw61hIGJhc3RhbnRlIGFncmFkZWNpZG8Kc2kgcHVkaWVyYXMgaGFjZXIgZXNvIHBvciBtw60uLi4=
rP7N,,W0thaW4gSGltZXJlXQpXb3VsZCB5b3UgZmluZCBteSB3aWZlJ3MKam91cm5hbCBhbmQgc2VlIGlmIFRhcnNoYQppcyByZWFsbHkgbXkgZGF1Z2h0ZXI/IFRoZQpqb3VybmFsIHNob3VsZCBiZSBidXJpZWQKdW5kZXJuZWF0aCBhIHRyZWUgaW4gRWluYmVjaC4=,,,,,W0thaW4gSGltZXJlXQpWb2PDqiBwb2RlcmlhIGVuY29udHJhciBvIGRpw6FyaW8gZGUgbWluaGEgZXNwb3NhCmUgdmVyIHNlIFRhcnNoYQrDqSByZWFsbWVudGUgbWluaGEgZmlsaGE/IE8gZGnDoXJpbwpkZXZlIGVzdGFyIGVudGVycmFkbwplbWJhaXhvIGRlIHVtYSDDoXJ2b3JlIGVtIEVpbmJlY2gu,,W0thaW4gSGltZXJlXQrCv1BvZHLDrWFzIGJ1c2NhciBlbCBkaWFyaW8KZGUgbWkgZXNwb3NhIHBhcmEgYXZlcmlndWFyIHNpIFRhcnNoYQplcyByZWFsbWVudGUgbWkgaGlqYT8gRWwKZGlhcmlvIGRlYmUgZXN0YXIgZW50ZXJyYWRvCmRlYmFqbyBkZSB1biDDoXJib2wgZW4gRWluYmVjaC4=
rf7N,,XjMzNTVGRllvdSBiZXR0ZXIgZnVsZmlsbCBLYWluJ3MKcmVxdWVzdCBieSBmaW5kaW5nIGhpcyB3aWZlJ3MKam91cm5hbCBhbmQgY29uZnJvbnRpbmcgVGFyc2hhCmJlZm9yZSB5b3Ugc3BlYWsgdG8gaGltIGFnYWluLl4wMDAwMDA=,,,,,XjMzNTVGRsOJIG1lbGhvciB2b2PDqiBhdGVuZGVyIGFvIHBlZGlkbyBkZSBLYWluCmVuY29udHJhbmRvIG8gZGnDoXJpbyBkZSBzdWEgZXNwb3NhCmUgY29uZnJvbnRhbmRvIFRhcnNoYQphbnRlcyBkZSBmYWxhciBjb20gZWxlIG5vdmFtZW50ZS5eMDAwMDAw,,XjMzNTVGRlNlcsOhIG1lam9yIHF1ZSBjdW1wbGFzIGxhCnNvbGljaXR1ZCBkZSBLYWluIGRlIGVuY29udHJhcgplbCBkaWFyaW8gZGUgc3UgZXNwb3NhIHkgY29uZnJvbnRhciBhIFRhcnNoYQphbnRlcyBkZSB2b2x2ZXIgYSBoYWJsYXIgY29uIMOpbC5eMDAwMDAw
rv7N,,XjMzNTVGRllvdSBnaXZlIGhpcyB3aWZlJ3MKam91cm5hbCB0byBLYWluIGFuZCB0ZWxsCmhpbSB0aGF0IHlvdSBsZWFybiB0aGF0IFRhcnNoYQppcyByZWFsbHkgaGlzIGRhdWdodGVyIGFuZCB0aGF0CnNoZSBpcyBoYXBwaWx5IG1hcnJpZWQgYW5kIGlzCmFuIGludmVudG9yIGluIEVpbmJyb2NoLl4wMDAwMDA=,,,,,XjMzNTVGRlZvY8OqIGVudHJlZ2EgbyBkacOhcmlvIGRhIGVzcG9zYQpwYXJhIEthaW4gZSBkaXogYSBlbGUKcXVlIHZvY8OqIGRlc2NvYnJpdSBxdWUgVGFyc2hhCsOpIHJlYWxtZW50ZSBzdWEgZmlsaGEgZSBxdWUKZWxhIHRlbSB1bSBjYXNhbWVudG8gZmVsaXogZSDDqQp1bWEgaW52ZW50b3JhIGVtIEVpbmJyb2NoLl4wMDAwMDA=,,XjMzNTVGRkxlIGRhcyBlbCBkaWFyaW8gZGUKc3UgZXNwb3NhIGEgS2FpbiB5IGxlCmRpY2VzIHF1ZSBzdXBpc3RlIHF1ZSBUYXJzaGEKc8OtIGVzIHN1IGhpamEsIHF1ZQplc3TDoSBmZWxpem1lbnRlIGNhc2FkYSB5IHF1ZQp0cmFiYWphIGNvbW8gaW52ZW50b3JhIGVuIEVpbmJyb2NoLl4wMDAwMDA=
r/7N,,XjMzNTVGRkthaW4ncyBleWVzIHdlbGwKd2l0aCB0ZWFycyBhbmQgaGlzCmVudGlyZSBib2R5IHRyZW1ibGVzCndpdGggdW5yZXN0cmFpbmFibGUgam95Lg==,,,,,XjMzNTVGRk9zIG9saG9zIGRlIEthaW4gc2UgZW5jaGVtCmNvbSBsw6FncmltYXMgZSBzZXUKY29ycG8gaW50ZWlybyB0cmVtZQpjb20gdW1hIGFsZWdyaWEgaW5jb250cm9sw6F2ZWwu,,XjMzNTVGRkxvcyBvam9zIGRlIEthaW4Kc2UgbGxlbmFuIGRlIGzDoWdyaW1hcyB5IGNvbWllbnphCmEgc2FjdWRpcnNlIHBvciBjb21wbGV0bwp0cmFzIHNlbnRpciB1bmEgYWxlZ3LDrWEgaW5jb250ZW5pYmxlLg==
sP7N,,W0thaW4gSGltZXJlXQpTaGUgbXVzdCBoYXZlCmhhZCBhIGhhcmQgdGltZS4uLgpCdXQgc2hlIGRvZXNuJ3QKaGF0ZSBtZSBhdCBhbGwu,,,,,W0thaW4gSGltZXJlXQpFbGEgZGV2ZSB0ZXIKcGFzc2FkbyBwb3IgdW0gbW9tZW50byBkaWbDrWNpbC4uLgpNYXMgZWxhIG7Do28KbWUgb2RlaWEgZGUgZm9ybWEgYWxndW1hLg==,,W0thaW4gSGltZXJlXQpFbGxhIGRlYmUgZGUgaGFiZXJsbwpwYXNhZG8gbWFsLi4uClNpbiBlbWJhcmdvLApubyBtZSBvZGlhIGVuIGFic29sdXRvLg==
sf7N,,W0thaW4gSGltZXJlXQpSYXNoZWxsZT8KQ2FuIHlvdSBzZWUgbWU/CkNhbiBJIHJlYWxseSBiZSB0aGlzCmhhcHB5PyBJJ20gc28gc29ycnksCm15IGxvdmUuLi4gXjY2NjY2NipTb2IuLi4qXjAwMDAwMA==,,,,,W0thaW4gSGltZXJlXQpSYXNoZWxsZT8KVm9jw6ogY29uc2VndWUgbWUgdmVyPwpQb3NzbyByZWFsbWVudGUgZXN0YXIgdMOjbwpmZWxpej8gU2ludG8gbXVpdG8sCm1ldSBhbW9yLi4uIF42NjY2NjYqQ2hvcmEuLi4qXjAwMDAwMA==,,W0thaW4gSGltZXJlXQrCv1Jhc2hlbGxlPwrCv1B1ZWRlcyB2ZXJtZT8Kwr9NZXJlemNvIHNlbnRpcm1lIGFzw60gZGUKZmVsaXo/IExvIHNpZW50byBtdWNobywKbWkgYW1vci4uLiBeNjY2NjY2KlNvbGxvemEqXjAwMDAwMA==
sv7N,,W0thaW4gSGltZXJlXQpUaGFuayB5b3UgZm9yIGFsbCBvZgp5b3VyIGhlbHAsIHlvdW5nc3Rlci4KQW5kIHBsZWFzZSwgdGFrZSB0aGlzCmFzIGEgdG9rZW4gb2YgbXkgZ3JhdGl0dWRlLg==,,,,,W0thaW4gSGltZXJlXQpPYnJpZ2FkbyBwb3IgdG9kYSBhCnN1YSBhanVkYSwgam92ZW0uCkUsIHBvciBmYXZvciwgYWNlaXRlIGlzc28KY29tbyB1bSBzw61tYm9sbyBkZSBtaW5oYSBncmF0aWTDo28u,,W0thaW4gSGltZXJlXQpHcmFjaWFzIHBvciB0b2RhCnR1IGF5dWRhLCBqb3Zlbi4KWSBwb3IgZmF2b3IsIHRvbWEgZXN0bwpjb21vIG11ZXN0cmEgZGUgbWkgZ3JhdGl0dWQu
s/7N,,W0thaW4gSGltZXJlXQpJIGtub3cgdGhpcyBpc24ndAptdWNoLCBidXQgcGxlYXNlCnVuZGVyc3RhbmQgdGhhdCBpdCdzCmFsbCBJIGhhdmUgdG8gZ2l2ZSB5b3UuCkdvZCBibGVzcyB5b3UgZm9yIGFsbAp5b3UndmUgZG9uZSBmb3IgbWV+,,,,,W0thaW4gSGltZXJlXQpFdSBzZWkgcXVlIGlzc28gbsOjbyDDqQptdWl0bywgbWFzIHBvciBmYXZvcgplbnRlbmRhIHF1ZSDDqQp0dWRvIG8gcXVlIHRlbmhvIHBhcmEgbGhlIGRhci4KRGV1cyBvIGFiZW7Dp29lIHBvciB0dWRvCnF1ZSB2b2PDqiBmZXogcG9yIG1pbX4=,,W0thaW4gSGltZXJlXQpTw6kgcXVlIG5vIGVzCm11Y2hvLCBwZXJvIGVzcGVybyBxdWUKZW50aWVuZGFzIHF1ZSBlcwp0b2RvIGxvIHF1ZSB0ZW5nbyBwYXJhIGRhcnRlLgpRdWUgcmVjaWJhcyBtdWNoYXMgYmVuZGljaW9uZXMgcG9yIHRvZG8KbG8gcXVlIGhhcyBoZWNobyBwb3IgbcOtLg==
tP7N,,XjMzNTVGRkhtbW0uLi4KSXQgd291bGQgYmUgYmV0dGVyCmlmIHlvdSBhcHByb2FjaGVkCkthaW4gd2l0aCB0aGUgRG9vZGxlZApMZXR0ZXIgdGhhdCB5b3UgcmVjZWl2ZWQuXjAwMDAwMA==,,,,,XjMzNTVGRkh1bW1tbS4uLgpTZXJpYSBtZWxob3IKc2Ugdm9jw6ogc2UgYXByb3hpbWFzc2UgZGUKS2FpbiBjb20gYSBjYXJ0YSByYWJpc2NhZGEKcXVlIHZvY8OqIHJlY2ViZXUuXjAwMDAwMA==,,XjMzNTVGRk1tbW0uLi4KU2Vyw61hIG1lam9yIHF1ZQp0ZSBhY2VyY2FyYXMgYQpLYWluIGNvbiBsYSBDYXJ0YQpjb24gZ2FyYWJhdG9zIHF1ZSByZWNpYmlzdGUuXjAwMDAwMA==
tf7N,,W0thaW4gSGltZXJlXQpPaCwgaG93IGFyZSB5b3UKbGF0ZWx5LCBteSBmcmllbmQ/CkkndmUgYmVlbiBkb2luZyBncmVhdCwKZXNwZWNpYWxseSBzaW5jZSB5b3UndmUKaGVscGVkIG1lIGZpbmQgbXkgZGF1Z2h0ZXIuCkVuam95IHlvdXIgdHJhdmVsc34=,,,,,W0thaW4gSGltZXJlXQpPaCwgY29tbyB2b2PDqiBlc3TDoQp1bHRpbWFtZW50ZSwgbWV1IGFtaWdvPwpUZW5obyBtZSBzYcOtZG8gbXVpdG8gYmVtLAplc3BlY2lhbG1lbnRlIGRlc2RlIHF1ZSB2b2PDqgptZSBhanVkb3UgYSBlbmNvbnRyYXIgbWluaGEgZmlsaGEuCkFwcm92ZWl0ZSBzdWFzIHZpYWdlbnN+,,W0thaW4gSGltZXJlXQrCv0PDs21vIHRlCmhhIGlkbywgYW1pZ28gbcOtbz8KTWUgaGEgaWRvIG11eSBiaWVuLAplc3BlY2lhbG1lbnRlIGRlc2RlIHF1ZQptZSBheXVkYXN0ZSBhIGVuY29udHJhciBhIG1pIGhpamEuCkRpc2ZydXRhIGRlIHR1cyB2aWFqZXMu
tv7N,,W3swfV0KRXhjdXNlIG1lLi4uPw==,,,,,W3swfV0KRGVzY3VscGUtbWUuLi4/,,W3swfV0Kwr9EaXNjdWxwYT8=
t/7N,,XjMzNTVGRk5vIG9uZSdzIGhlcmUhXjAwMDAwMA==,,,,,XjMzNTVGRk7Do28gaMOhIG5pbmd1w6ltIGFxdWkhXjAwMDAwMA==,,XjMzNTVGRsKhTm8gaGF5IG5hZGllIGFxdcOtIV4wMDAwMDA=
uP7N,,W3swfV0KVGhpcyBtdXN0IGJlIHRoZSByb29tLi4uCkJ1dCB3aGVyZSB0aGUgaGVsbCBpcyBoZT8KSSBjYW4ndCBqdXN0IGxlYXZlIHRoaXMgc3R1ZmYKaGVyZSBpZiBoZSB3b24ndCBjb21lIGJhY2su,,,,,W3swfV0KRXN0YSBkZXZlIHNlciBhIHNhbGEuLi4KTWFzIG9uZGUgZGlhYm9zIGVsZSBlc3TDoT8KTsOjbyBwb3NzbyBzaW1wbGVzbWVudGUgZGVpeGFyIGVzc2FzIGNvaXNhcwphcXVpIHNlIGVsZSBuw6NvIHZvbHRhci4=,,W3swfV0KRXN0YSBkZWJlIHNlciBsYSBoYWJpdGFjacOzbi4uLgpQZXJvLCDCv2TDs25kZSBkaWFibG9zIGVzdMOhPwpObyBwdWVkbyBkZWphciBlc3RhcyBjb3NhcwphcXXDrSBzaSBubyB2YSBhIHZvbHZlci4=
uf7N,,W3swfV0KT2ggd2VsbC4uLgpJIGd1ZXNzIEkgY2FuCmp1c3QgZ2l2ZSB0aGlzCmJhY2sgdG8gS2FpbgpvbiB0aGUgQWlyc2hpcC4=,,,,,W3swfV0KQWgsIGJlbS4uLgpBY2hvIHF1ZSBwb3NzbwpzaW1wbGVzbWVudGUgZGV2b2x2ZXIgaXNzbwpwYXJhIG8gS2FpbgpubyBkaXJpZ8OtdmVsLg==,,W3swfV0KQWgsIGJ1ZW5vLi4uClN1cG9uZ28gcXVlIHB1ZWRvCmRldm9sdmVybGUgZXN0bwphIEthaW4KZW4gbGEgYWVyb25hdmUu
uv7N,,W3swfV0KV2hpbGUgSSdtIGluIEVpbmJyb2NoLApJIG1heSBhcyB3ZWxsIHRha2UgYSBsb29rCmFyb3VuZCBoZXJlIGFuZCBzZWUgaWYgSSBjYW4KZmluZCBhbnl0aGluZyBpbnRlcmVzdGluZy4gU3RpbGwsICBJIGNhbid0IGhlbHAgYnV0IHRoaW5rIG9mIEthaW4KSGltZXJlJ3MgbG9uZyBsb3N0IGRhdWdodGVyLi4u,,,,,W3swfV0KSsOhIHF1ZSBlc3RvdSBlbSBFaW5icm9jaCwKcG9zc28gZGFyIHVtYSBvbGhhZGEgYXF1aSBlIHZlciBzZSBjb25zaWdvCmVuY29udHJhciBhbGdvIGludGVyZXNzYW50ZS4KTWFzIG7Do28gY29uc2lnbyBkZWl4YXIgZGUgcGVuc2FyIG5hIGZpbGhhCmRlIEthaW4gSGltZXJlIGjDoSBtdWl0byB0ZW1wbyBwZXJkaWRhLi4u,,W3swfV0KTWllbnRyYXMgZXN0w6kgZW4gRWluYnJvY2gsCnB1ZWRvIGFwcm92ZWNoYXIgYSBlY2hhcgp1biB2aXN0YXpvIHBvciBsb3MgYWxyZWRlZG9yZXMgeSB2ZXIgc2kKZW5jdWVudHJvIGFsZ28gaW50ZXJlc2FudGUuIEHDum4gYXPDrSwgbm8gcHVlZG8gZXZpdGFyIHBlbnNhcgplbiBsYSBoaWphIHF1ZSBLYWluIEhpbWVyZSBwZXJkacOzIGhhY2UgbXVjaG8gdGllbXBvLi4uIA==
