YCMkAw,,S2VsbGFzdXM=,,,,,S2VsbGFzdXM=,,S2VsbGFzdXM=
nSMkAw,,W0tlbGxhc3VzXQpOZXZlcnRoZWxlc3MsIEkgY2Fubm90IHRlYWNoIHlvdSB0aGUgaG9tdW5jdWx1cyB0ZWNobmlxdWUuCk5vIG1hdHRlciBob3cgbXVjaCB5b3UgaGF2ZSBncm93biB0byBlYXJuIG15IHJlY29nbml0aW9uLAp3aGF0IGNhbm5vdCBiZSBkb25lIGNhbm5vdCBiZSBkb25lLg==,,,,,W0tlbGxhc3VzXQpObyBlbnRhbnRvLCBuw6NvIHBvc3NvIGxoZSBlbnNpbmFyIGEgdMOpY25pY2EgZG8gaG9tw7puY3Vsby4KTsOjbyBpbXBvcnRhIG8gcXVhbnRvIHZvY8OqIHRlbmhhIGNyZXNjaWRvIHBhcmEgZ2FuaGFyIG1ldSByZWNvbmhlY2ltZW50bywKbyBxdWUgbsOjbyBwb2RlIHNlciBmZWl0bywgbsOjbyBwb2RlIHNlciBmZWl0by4=,,W0tlbGxhc3VzXQpObyBvYnN0YW50ZSwgbm8gcHVlZG8gZW5zZcOxYXJ0ZSBsYSB0w6ljbmljYSBkZWwgaG9tw7puY3Vsby4KTm8gaW1wb3J0YSBjdcOhbnRvIGhheWFzIGNyZWNpZG8gcGFyYSBnYW5hciBtaSByZWNvbm9jaW1pZW50bywKbG8gcXVlIG5vIHNlIHB1ZWRlIGhhY2VyLCBubyBzZSBwdWVkZSBoYWNlci4=
niMkAw,,W0tlbGxhc3VzXQpJIGJlbGlldmUgdGhhdCBpZiB5b3Ugd2VyZSB0YXVnaHQgdGhlIGhvbXVuY3VsdXMgdGVjaG5pcXVlLCB5b3Ugd291bGQgc3VyZWx5IGRvIHdlbGwuCkFsY2hlbWlzdHMgd2l0aCBhcyBtdWNoIGtub3dsZWRnZSBhcyB5b3UgYXJlIG5vdCBjb21tb24u,,,,,W0tlbGxhc3VzXQpBY3JlZGl0byBxdWUgc2UgbGhlIGVuc2luYXNzZW0gYSB0w6ljbmljYSBkbyBob23Dum5jdWxvLCB2b2PDqiBjZXJ0YW1lbnRlIHNlIHNhaXJpYSBiZW0uCkFscXVpbWlzdGFzIGNvbSB0YW50byBjb25oZWNpbWVudG8gcXVhbnRvIHZvY8OqIG7Do28gc8OjbyBjb211bnMu,,W0tlbGxhc3VzXQpDcmVvIHF1ZSBzaSB0ZSBlbnNlw7FhcmFuIGxhIHTDqWNuaWNhIGRlbCBob23Dum5jdWxvLCBjaWVydGFtZW50ZSBsbyBoYXLDrWFzIGJpZW4uCkxvcyBhbHF1aW1pc3RhcyBjb24gdGFudG8gY29ub2NpbWllbnRvIGNvbW8gdMO6IG5vIHNvbiBjb211bmVzLg==
nyMkAw,,W0tlbGxhc3VzXQpCdXQgdGhlIHJlYXNvbiBJIHdvbid0IHRlYWNoIHlvdSBpcyBub3QgYmVjYXVzZSB5b3UgbGFjayB0YWxlbnQuCkFzIEkgc2FpZCBiZWZvcmUsIGEgaG9tdW5jdWx1cyBpcyBhIGxpZmUsCmFuZCBhIG1lcmUgaHVtYW4gc2hvdWxkIG5vdCBwYXNzIGp1ZGdtZW50IG9uIHN1Y2ggYSBsaWZlLg==,,,,,W0tlbGxhc3VzXQpNYXMgYSByYXrDo28gcGVsYSBxdWFsIG7Do28gdm91IGVuc2luw6EtbG8gbsOjbyDDqSBwb3JxdWUgbGhlIGZhbHRhIHRhbGVudG8uCkNvbW8gZXUgZGlzc2UgYW50ZXMsIHVtIGhvbcO6bmN1bG8gw6kgdW1hIHZpZGEsCmUgdW0gbWVybyBodW1hbm8gbsOjbyBkZXZlcmlhIGp1bGdhciB0YWwgdmlkYS4=,,W0tlbGxhc3VzXQpQZXJvIGxhIHJhesOzbiBwb3IgbGEgcXVlIG5vIHZveSBhIGVuc2XDsWFydGUgbm8gZXMgcG9ycXVlIHRlIGZhbHRlIHRhbGVudG8uCkNvbW8gZGlqZSBhbnRlcywgdW4gaG9tw7puY3VsbyBlcyB1bmEgdmlkYSwKeSB1biBtZXJvIGh1bWFubyBubyBkZWJlcsOtYSBqdXpnYXIgdGFsIHZpZGEu
oCMkAw,,W0tlbGxhc3VzXQpUaGF0IGlzIHdoeSBJIHNlYWxlZCB0aGUgaG9tdW5jdWx1cyB0ZWNobmlxdWUuCkFsY2hlbWlzdHMgcHVyc3VlIG9ubHkgdGhlIHRydXRoIGFuZCBmb3JnZXQgdGhlIHByZWNpb3VzbmVzcyBvZiBsaWZlLg==,,,,,W0tlbGxhc3VzXQrDiSBwb3IgaXNzbyBxdWUgc2VsZWkgYSB0w6ljbmljYSBkbyBob23Dum5jdWxvLgpPcyBhbHF1aW1pc3RhcyBidXNjYW0gYXBlbmFzIGEgdmVyZGFkZSBlIGVzcXVlY2VtIGEgcHJlY2lvc2lkYWRlIGRhIHZpZGEu,,W0tlbGxhc3VzXQpFcyBwb3IgZXNvIHF1ZSBzZWxsw6kgbGEgdMOpY25pY2EgZGVsIGhvbcO6bmN1bG8uCkxvcyBhbHF1aW1pc3RhcyBidXNjYW4gc29sbyBsYSB2ZXJkYWQgeSBvbHZpZGFuIGVsIHZhbG9yIGRlIGxhIHZpZGEu
oSMkAw,,W0tlbGxhc3VzXQpIb3cgZm9vbGlzaC4uLiBXaGF0IGlzIHRoZSBwb2ludCBvZiBhbGNoZW15PwpXaGF0IGlzIHRoZXJlIG9uIGEgcGF0aCBtZWFudCBvbmx5IGZvciBvbmVzZWxmPwpObywgeW91IGNhbm5vdCBldmVuIGNhbGwgaXQgeW91ciBvd24gcGF0aCB3aGlsZSBpZ25vcmluZyB0aGUgcHJlY2lvdXNuZXNzIG9mIGxpZmUh,,,,,W0tlbGxhc3VzXQpRdWUgdG9saWNlLi4uIFF1YWwgw6kgbyBvYmpldGl2byBkYSBhbHF1aW1pYT8KTyBxdWUgaMOhIGVtIHVtIGNhbWluaG8gZGVzdGluYWRvIGFwZW5hcyBhIHNpIG1lc21vPwpOw6NvLCB2b2PDqiBuw6NvIHBvZGUgbmVtIG1lc21vIGNoYW3DoS1sbyBkZSBzZXUgcHLDs3ByaW8gY2FtaW5obyBlbnF1YW50byBpZ25vcmEgYSBwcmVjaW9zaWRhZGUgZGEgdmlkYSE=,,W0tlbGxhc3VzXQpRdcOpIHRvbnRlcsOtYS4uLiDCv0N1w6FsIGVzIGVsIG9iamV0aXZvIGRlIGxhIGFscXVpbWlhPwrCv1F1w6kgaGF5IGVuIHVuIGNhbWlubyBkZXN0aW5hZG8gc29sbyBhIHVubyBtaXNtbz8KwqFObywgbmkgc2lxdWllcmEgcHVlZGVzIGxsYW1hcmxvIHR1IHByb3BpbyBjYW1pbm8gbWllbnRyYXMgaWdub3JhcyBlbCB2YWxvciBkZSBsYSB2aWRhIQ==
oiMkAw,,W0tlbGxhc3VzXQpBbnl3YXksIGZvciB0aGF0IHJlYXNvbiwgSSBjYW5ub3QgdGVhY2ggdGhlIGhvbXVuY3VsdXMgdGVjaG5pcXVlCnRvIHlvdSBvciBhbnlvbmUgZWxzZS4gVGhpcyBpcyB0aGUgb25lIHRoaW5nIEkgY2Fubm90IGNvbXByb21pc2Ugb24u,,,,,W0tlbGxhc3VzXQpEZSBxdWFscXVlciBmb3JtYSwgcG9yIGVzc2EgcmF6w6NvLCBuw6NvIHBvc3NvIGVuc2luYXIgYSB0w6ljbmljYSBkbyBob23Dum5jdWxvCmEgdm9jw6ogb3UgYSBxdWFscXVlciBvdXRyYSBwZXNzb2EuIEVzdGEgw6kgYSDDum5pY2EgY29pc2EgZW0gcXVlIG7Do28gcG9zc28gY2VkZXIu,,W0tlbGxhc3VzXQpEZSB0b2RhcyBmb3JtYXMsIHBvciBlc2EgcmF6w7NuLCBubyBwdWVkbyBlbnNlw7FhciBsYSB0w6ljbmljYSBkZWwgaG9tw7puY3VsbwphIHRpIG5pIGEgbmluZ3VuYSBvdHJhIHBlcnNvbmEuIEVzdGEgZXMgbGEgw7puaWNhIGNvc2EgZW4gbGEgcXVlIG5vIHB1ZWRvIGNlZGVyLg==
oyMkAw,,W0tlbGxhc3VzXQpZb3UgY291bGRuJ3QgZXZlbiBhbnN3ZXIgdGhlc2UgcXVlc3Rpb25zIGFuZCB5b3UgY2xhaW0gdG8gaGF2ZSBzdHVkaWVkPwpEb24ndCBiZSByaWRpY3Vsb3VzLiBHZXQgbG9zdCEgTHlpbmcgbGlrZSB0aGF0IGlzIHRoZSB3b3JzdC4=,,,,,W0tlbGxhc3VzXQpWb2PDqiBuw6NvIGNvbnNlZ3VpdSBuZW0gcmVzcG9uZGVyIGEgZXNzYXMgcGVyZ3VudGFzIGUgYWZpcm1hIHRlciBlc3R1ZGFkbz8KTsOjbyBzZWphIHJpZMOtY3Vsby4gU3VtYSBkYXF1aSEgTWVudGlyIGFzc2ltIMOpIG8gcGlvci4=,,W0tlbGxhc3VzXQrCv05pIHNpcXVpZXJhIHB1ZGlzdGUgcmVzcG9uZGVyIGEgZXN0YXMgcHJlZ3VudGFzIHkgYWZpcm1hcyBoYWJlciBlc3R1ZGlhZG8/Ck5vIHNlYXMgcmlkw61jdWxvLiDCoUzDoXJnYXRlISBNZW50aXIgYXPDrSBlcyBsbyBwZW9yLg==
pCMkAw,,W0tlbGxhc3VzXQpBbHRob3VnaCBJIGFja25vd2xlZGdlIHlvdSwgdGhhdCBpcyBhIHNlcGFyYXRlIGlzc3VlIGZyb20gdGVhY2hpbmcgdGhlIGhvbXVuY3VsdXMgdGVjaG5pcXVlLgpHaXZlIGl0IHVwLg==,,,,,W0tlbGxhc3VzXQpFbWJvcmEgZXUgbyByZWNvbmhlw6dhLCBpc3NvIMOpIHVtYSBxdWVzdMOjbyBzZXBhcmFkYSBkZSBlbnNpbmFyIGEgdMOpY25pY2EgZG8gaG9tw7puY3Vsby4KRGVzaXN0YS4=,,W0tlbGxhc3VzXQpBdW5xdWUgdGUgcmVjb25vemNvLCBlc28gZXMgdW4gYXN1bnRvIHNlcGFyYWRvIGRlIGVuc2XDsWFyIGxhIHTDqWNuaWNhIGRlbCBob23Dum5jdWxvLgpSw61uZGV0ZS4=
pSMkAw,,W0tlbGxhc3VzXQpCYWNrIGFnYWluPyBZb3UncmUgYSBwZXJzaXN0ZW50IGFsY2hlbWlzdC4KV2VsbCwgbW9zdCBhbGNoZW1pc3RzIGFyZSBwZXJzaXN0ZW50IHBlb3BsZSB3aG8gZG9uJ3Qga25vdyBob3cgdG8gZ2l2ZSB1cC4uLg==,,,,,W0tlbGxhc3VzXQpEZSB2b2x0YSBvdXRyYSB2ZXo/IFZvY8OqIMOpIHVtIGFscXVpbWlzdGEgcGVyc2lzdGVudGUuCkJlbSwgYSBtYWlvcmlhIGRvcyBhbHF1aW1pc3RhcyBzw6NvIHBlc3NvYXMgcGVyc2lzdGVudGVzIHF1ZSBuw6NvIHNhYmVtIGRlc2lzdGlyLi4u,,W0tlbGxhc3VzXQrCv0hhcyB2dWVsdG8gb3RyYSB2ZXo/IEVyZXMgdW4gYWxxdWltaXN0YSBwZXJzaXN0ZW50ZS4KQnVlbm8sIGxhIG1heW9yw61hIGRlIGxvcyBhbHF1aW1pc3RhcyBzb24gcGVyc29uYXMgcGVyc2lzdGVudGVzIHF1ZSBubyBzYWJlbiByZW5kaXJzZS4uLg==
piMkAw,,SSBjYW1lIHRvIHRhbGsgYWJvdXQgc29tZXRoaW5nIGEgbGl0dGxlIGRpZmZlcmVudC4=,,,,,VmltIGZhbGFyIHNvYnJlIGFsZ28gdW0gcG91Y28gZGlmZXJlbnRlLg==,,VmluZSBhIGhhYmxhciBkZSBhbGdvIHVuIHBvY28gZGlmZXJlbnRlLg==
pyMkAw,,W3swfV0KSSBjYW1lIHRvIHRhbGsgYWJvdXQgc29tZXRoaW5nIGEgbGl0dGxlIGRpZmZlcmVudCB0aGlzIHRpbWUuClBsZWFzZSBoZWFyIG1lIG91dCBiZWZvcmUgeW91IHNheSBhbnl0aGluZy4=,,,,,W3swfV0KVmltIGZhbGFyIHNvYnJlIGFsZ28gdW0gcG91Y28gZGlmZXJlbnRlIGRlc3RhIHZlei4KUG9yIGZhdm9yLCBvdcOnYS1tZSBhbnRlcyBkZSBkaXplciBxdWFscXVlciBjb2lzYS4=,,W3swfV0KVmluZSBhIGhhYmxhciBkZSBhbGdvIHVuIHBvY28gZGlmZXJlbnRlIGVzdGEgdmV6LgpQb3IgZmF2b3IsIGVzY8O6Y2hhbWUgYW50ZXMgZGUgcXVlIGRpZ2FzIGFsZ28u
qCMkAw,,W0tlbGxhc3VzXQpTb21ldGhpbmcgZGlmZmVyZW50PyBIb3cgdW5leHBlY3RlZC4gV2VsbCwgb2NjYXNpb25hbGx5IHN0ZXBwaW5nIG91dHNpZGUgdGhlIGxpbmVzCmNhbiBhbHNvIGJlIGEgcGF0aCB0byB0aGUgdHJ1dGguIEFscmlnaHQsIHNheSB3aGF0ZXZlciB5b3Ugd2FudC4=,,,,,W0tlbGxhc3VzXQpBbGdvIGRpZmVyZW50ZT8gUXVlIGluZXNwZXJhZG8uIEJlbSwgb2Nhc2lvbmFsbWVudGUgc2FpciBkb3MgdHJpbGhvcwp0YW1iw6ltIHBvZGUgc2VyIHVtIGNhbWluaG8gcGFyYSBhIHZlcmRhZGUuIE11aXRvIGJlbSwgZGlnYSBvIHF1ZSBxdWlzZXIu,,W0tlbGxhc3VzXQrCv0FsZ28gZGlmZXJlbnRlPyBRdcOpIGluZXNwZXJhZG8uIEJ1ZW5vLCBvY2FzaW9uYWxtZW50ZSBzYWxpcnNlIGRlIGxvcyByaWVsZXMKdGFtYmnDqW4gcHVlZGUgc2VyIHVuIGNhbWlubyBoYWNpYSBsYSB2ZXJkYWQuIE11eSBiaWVuLCBkaSBsbyBxdWUgcXVpZXJhcy4=
qSMkAw,,W3swfV0KSSBrbm93IHRoYXQgTXIuIEtlbGxhc3VzIGhhcyBhIGZhbWlseSBhbmQgb25lIHNvbi4=,,,,,W3swfV0KU2VpIHF1ZSBvIFNyLiBLZWxsYXN1cyB0ZW0gdW1hIGZhbcOtbGlhIGUgdW0gZmlsaG8u,,W3swfV0KU8OpIHF1ZSBlbCBTci4gS2VsbGFzdXMgdGllbmUgdW5hIGZhbWlsaWEgeSB1biBoaWpvLg==
qiMkAw,,W0tlbGxhc3VzXQpIbT8gQWgsIHllcy4gSSBoYXZlIGEgZmFtaWx5IGFuZCBvbmUgYWRvcmFibGUgY2hpbGQuCkhlJ3MgbXkgc29uLCBzbyBhZG9yYWJsZSBpdCB3b3VsZG4ndCBodXJ0IHRvIHB1dCBoaW0gaW4gbXkgZXllcy4KVHJ1bHkuLi4gaGUncyBteSBncmVhdGVzdCBtb3RpdmF0aW9uIGluIGxpZmUu,,,,,W0tlbGxhc3VzXQpIbT8gQWgsIHNpbS4gVGVuaG8gdW1hIGZhbcOtbGlhIGUgdW0gZmlsaG8gYWRvcsOhdmVsLgpFbGUgw6kgbWV1IGZpbGhvLCB0w6NvIGFkb3LDoXZlbCBxdWUgbsOjbyBkb2VyaWEgY29sb2PDoS1sbyBub3MgbWV1cyBvbGhvcy4KVmVyZGFkZWlyYW1lbnRlLi4uIGVsZSDDqSBtaW5oYSBtYWlvciBtb3RpdmHDp8OjbyBuYSB2aWRhLg==,,W0tlbGxhc3VzXQrCv0htPyBBaCwgc8OtLiBUZW5nbyB1bmEgZmFtaWxpYSB5IHVuIGhpam8gYWRvcmFibGUuCkVzIG1pIGhpam8sIHRhbiBhZG9yYWJsZSBxdWUgbm8gbWUgZG9sZXLDrWEgcG9uZXJsbyBlbiBtaXMgb2pvcy4KVmVyZGFkZXJhbWVudGUuLi4gZXMgbWkgbWF5b3IgbW90aXZhY2nDs24gZW4gbGEgdmlkYS4=
qyMkAw,,W0tlbGxhc3VzXQpJJ20gdmVyeSBzb3JyeSB0byBzYXkgdGhpcywgYnV0IG15IHNvbiBnaXZlcyBtZSBtb3JlIHN0cmVuZ3RoIHRoYW4gbXkgd2lmZS4KSGVoZS4uLiBFZWssIHRoaXMgbXVzdCBiZSBvdXIgc2VjcmV0LiBJIGRvbid0IG1lYW4gaGUncyBsZXNzIGltcG9ydGFudCwKanVzdCB0aGF0IG15IHdpZmUgbWlnaHQgYmUgc2xpZ2h0bHkgbGVzcy4uLiBhbnl3YXksIGl0J3Mgbm90IHRoYXQgc2hlJ3MgdW5pbXBvcnRhbnQuLi4=,,,,,W0tlbGxhc3VzXQpTaW50byBtdWl0byBkaXplciBpc3NvLCBtYXMgbWV1IGZpbGhvIG1lIGTDoSBtYWlzIGZvcsOnYSBkbyBxdWUgbWluaGEgZXNwb3NhLgpIZWhlLi4uIEVlaywgaXNzbyBkZXZlIHNlciBub3NzbyBzZWdyZWRvLiBOw6NvIHF1ZXJvIGRpemVyIHF1ZSBlbGUgw6kgbWVub3MgaW1wb3J0YW50ZSwKYXBlbmFzIHF1ZSBtaW5oYSBlc3Bvc2EgcG9kZSBzZXIgdW0gcG91Y28gbWVub3MuLi4gZGUgcXVhbHF1ZXIgZm9ybWEsIG7Do28gw6kgcXVlIGVsYSBuw6NvIHNlamEgaW1wb3J0YW50ZS4uLg==,,W0tlbGxhc3VzXQpMYW1lbnRvIG11Y2hvIGRlY2lyIGVzdG8sIHBlcm8gbWkgaGlqbyBtZSBkYSBtw6FzIGZ1ZXJ6YSBxdWUgbWkgZXNwb3NhLgpKZWplLi4uIEVlaywgZXN0byBkZWJlIHNlciBudWVzdHJvIHNlY3JldG8uIE5vIHF1aWVybyBkZWNpciBxdWUgw6lsIHNlYSBtZW5vcyBpbXBvcnRhbnRlLApzb2xvIHF1ZSBtaSBlc3Bvc2EgcHVlZGUgc2VyIHVuIHBvY28gbWVub3MuLi4gZGUgdG9kYXMgZm9ybWFzLCBubyBlcyBxdWUgZWxsYSBubyBzZWEgaW1wb3J0YW50ZS4uLg==
rCMkAw,,W3swfV0KSSBoZWFyZCB0aGF0IHNvbiB3YXMgb25jZSB2ZXJ5IGlsbC4gSG93IGRpZCB5b3UgZmVlbCBiYWNrIHRoZW4/,,,,,W3swfV0KT3V2aSBkaXplciBxdWUgZXNzZSBmaWxobyBlc3RldmUgbXVpdG8gZG9lbnRlIHVtYSB2ZXouIENvbW8gdm9jw6ogc2Ugc2VudGl1IG5hcXVlbGEgw6lwb2NhPw==,,W3swfV0KRXNjdWNow6kgcXVlIGVzZSBoaWpvIGVzdHV2byBtdXkgZW5mZXJtbyB1bmEgdmV6LiDCv0PDs21vIHRlIHNlbnRpc3RlIGVuIGVzZSBlbnRvbmNlcz8=
rSMkAw,,W0tlbGxhc3VzXQouLi4uLi4uLi4uLi4uLi4uLi4KSSBkb24ndCBldmVuIHdhbnQgdG8gdGhpbmsgYWJvdXQgaXQuIEkgZmVsdCBsaWtlIEkgY291bGQgZG8gYW55dGhpbmcgdG8gc2F2ZSB0aGF0IGtpZC4KTm8sIEkgd291bGQgaGF2ZSBkb25lIGFueXRoaW5nLg==,,,,,W0tlbGxhc3VzXQouLi4uLi4uLi4uLi4uLi4uLi4KTsOjbyBxdWVybyBuZW0gcGVuc2FyIG5pc3NvLiBTZW50aSBxdWUgcG9kZXJpYSBmYXplciBxdWFscXVlciBjb2lzYSBwYXJhIHNhbHZhciBhcXVlbGUgZ2Fyb3RvLgpOw6NvLCBldSB0ZXJpYSBmZWl0byBxdWFscXVlciBjb2lzYS4=,,W0tlbGxhc3VzXQouLi4uLi4uLi4uLi4uLi4uLi4KTmkgc2lxdWllcmEgcXVpZXJvIHBlbnNhcmxvLiBTZW50w60gcXVlIHBvZMOtYSBoYWNlciBjdWFscXVpZXIgY29zYSBwYXJhIHNhbHZhciBhIGVzZSBuacOxby4KTm8sIGhhYnLDrWEgaGVjaG8gY3VhbHF1aWVyIGNvc2Eu
riMkAw,,W0tlbGxhc3VzXQpJbiB0aGUgZW5kLCBpdCB3YXMgYSBtaW5vciBpbGxuZXNzLCBhbmQgaGUgcXVpY2tseSByZWNvdmVyZWQgaGlzIGhlYWx0aC4uLgpidXQgaWYgaXQgaGFkIGJlZW4gYSBmYXRhbCBkaXNlYXNlLCBJIHdvdWxkIGhhdmUgc2F2ZWQgaGltIGJ5IGFueSBtZWFucyBuZWNlc3Nhcnku,,,,,W0tlbGxhc3VzXQpObyBmaW5hbCwgZm9pIHVtYSBkb2Vuw6dhIGxldmUsIGUgZWxlIHJhcGlkYW1lbnRlIHJlY3VwZXJvdSBhIHNhw7pkZS4uLgptYXMgc2UgdGl2ZXNzZSBzaWRvIHVtYSBkb2Vuw6dhIGZhdGFsLCBldSBvIHRlcmlhIHNhbHZhZG8gcG9yIHF1YWxxdWVyIG1laW8gbmVjZXNzw6FyaW8u,,W0tlbGxhc3VzXQpBbCBmaW5hbCwgZnVlIHVuYSBlbmZlcm1lZGFkIGxldmUsIHkgcsOhcGlkYW1lbnRlIHJlY3VwZXLDsyBsYSBzYWx1ZC4uLgpwZXJvIHNpIGh1YmllcmEgc2lkbyB1bmEgZW5mZXJtZWRhZCBmYXRhbCwgbG8gaGFicsOtYSBzYWx2YWRvIHBvciBjdWFscXVpZXIgbWVkaW8gbmVjZXNhcmlvLg==
ryMkAw,,W3swfV0KVGhhdCBpcyB3aHkgSSB0aGluayB0aGUgaG9tdW5jdWx1cyB0ZWNobmlxdWUgaXMgbmVjZXNzYXJ5LgpTaG91bGRuJ3Qgd2Ugc2F2ZSBhIGR5aW5nIGxvdmVkIG9uZT8=,,,,,W3swfV0Kw4kgcG9yIGlzc28gcXVlIGFjaG8gcXVlIGEgdMOpY25pY2EgZG8gaG9tw7puY3VsbyDDqSBuZWNlc3PDoXJpYS4KTsOjbyBkZXZlcsOtYW1vcyBzYWx2YXIgdW0gZW50ZSBxdWVyaWRvIMOgIGJlaXJhIGRhIG1vcnRlPw==,,W3swfV0KRXMgcG9yIGVzbyBxdWUgY3JlbyBxdWUgbGEgdMOpY25pY2EgZGVsIGhvbcO6bmN1bG8gZXMgbmVjZXNhcmlhLgrCv05vIGRlYmVyw61hbW9zIHNhbHZhciBhIHVuIHNlciBxdWVyaWRvIGFsIGJvcmRlIGRlIGxhIG11ZXJ0ZT8=
sCMkAw,,W0tlbGxhc3VzXQpXaGF0IGRvIHlvdSBtZWFuPyBIb3cgY2FuIGhvbXVuY3VsaSBzYXZlIHRoZSBkeWluZz8=,,,,,W0tlbGxhc3VzXQpPIHF1ZSB2b2PDqiBxdWVyIGRpemVyPyBDb21vIG9zIGhvbcO6bmN1bG9zIHBvZGVtIHNhbHZhciBvcyBtb3JpYnVuZG9zPw==,,W0tlbGxhc3VzXQrCv1F1w6kgcXVpZXJlcyBkZWNpcj8gwr9Dw7NtbyBwdWVkZW4gbG9zIGhvbcO6bmN1bG9zIHNhbHZhciBhIGxvcyBtb3JpYnVuZG9zPw==
sSMkAw,,W3swfV0KWW91IHNhaWQgYmVmb3JlIHRoYXQgYWxjaGVteSBpcyBhIG1ldGEtZGlzY2lwbGluZSBjb21iaW5pbmcgYWxsIGZpZWxkcyBvZiBzdHVkeS4KQW5kIHRoYXQgaXRzIHVsdGltYXRlIGdvYWwgaXMgdG8gcmVhY2ggdGhlIHRydXRoLgpPbmUgb2YgdGhlIGludGVybWVkaWF0ZSBzdGVwcyBpcyBjcmVhdGluZyBsaWZlLi4uIGNyZWF0aW5nIGhvbXVuY3VsaS4=,,,,,W3swfV0KVm9jw6ogZGlzc2UgYW50ZXMgcXVlIGEgYWxxdWltaWEgw6kgdW1hIG1ldGFkaXNjaXBsaW5hIHF1ZSBjb21iaW5hIHRvZG9zIG9zIGNhbXBvcyBkZSBlc3R1ZG8uCkUgcXVlIHNldSBvYmpldGl2byBmaW5hbCDDqSBhbGNhbsOnYXIgYSB2ZXJkYWRlLgpVbSBkb3MgcGFzc29zIGludGVybWVkacOhcmlvcyDDqSBjcmlhciB2aWRhLi4uIGNyaWFyIGhvbcO6bmN1bG9zLg==,,W3swfV0KRGlqaXN0ZSBhbnRlcyBxdWUgbGEgYWxxdWltaWEgZXMgdW5hIG1ldGFkaXNjaXBsaW5hIHF1ZSBjb21iaW5hIHRvZG9zIGxvcyBjYW1wb3MgZGUgZXN0dWRpby4KWSBxdWUgc3Ugb2JqZXRpdm8gZmluYWwgZXMgYWxjYW56YXIgbGEgdmVyZGFkLgpVbm8gZGUgbG9zIHBhc29zIGludGVybWVkaW9zIGVzIGNyZWFyIHZpZGEuLi4gY3JlYXIgaG9tw7puY3Vsb3Mu
siMkAw,,W0tlbGxhc3VzXQpUaGF0IGlzIGNvcnJlY3QuIEh1bWFucywgZHVlIHRvIHRoZWlyIGdyZWVkIHRvIG9idGFpbiB0aGUgdHJ1dGgsCmhhdmUgZ29uZSBpbnRvIGRvbWFpbnMgdGhhdCBtdXN0IG5ldmVyIGJlIHRyZXNwYXNzZWQsIGV2ZW4gbGVhZGluZyB0byBwbGF5aW5nIHdpdGggbGlmZS4=,,,,,W0tlbGxhc3VzXQpJc3NvIGVzdMOhIGNvcnJldG8uIE9zIGh1bWFub3MsIGRldmlkbyDDoCBzdWEgZ2Fuw6JuY2lhIGRlIG9idGVyIGEgdmVyZGFkZSwKZW50cmFyYW0gZW0gZG9tw61uaW9zIHF1ZSBudW5jYSBkZXZlcmlhbSBzZXIgdHJhbnNncmVkaWRvcywgY2hlZ2FuZG8gYXTDqSBhIGJyaW5jYXIgY29tIGEgdmlkYS4=,,W0tlbGxhc3VzXQpFc28gZXMgY29ycmVjdG8uIExvcyBodW1hbm9zLCBkZWJpZG8gYSBzdSBjb2RpY2lhIHBvciBvYnRlbmVyIGxhIHZlcmRhZCwKaGFuIGVudHJhZG8gZW4gZG9taW5pb3MgcXVlIG51bmNhIGRlYmllcm9uIHNlciB0cmFuc2dyZWRpZG9zLCBsbGVnYW5kbyBpbmNsdXNvIGEganVnYXIgY29uIGxhIHZpZGEu
syMkAw,,W3swfV0KVGhlIGhvbXVuY3VsdXMgdGVjaG5pcXVlIHNob3VsZG4ndCBiZSB0aG91Z2h0IG9mIG1lcmVseSBhcyBsaWZlIGNyZWF0aW9uLgpCeSBjcmVhdGluZyB0aGF0IGxpZmUgYW5kIGNvbnRpbnVpbmcgdG8gcmVzZWFyY2ggaXQsCm1pZ2h0IHdlIG5vdCBhbHNvIGJlIGFibGUgdG8gc3VwcGxlbWVudCB0aGUgZmxhd3MgaW4gaHVtYW4gbGlmZT8=,,,,,W3swfV0KQSB0w6ljbmljYSBkbyBob23Dum5jdWxvIG7Do28gZGV2ZXJpYSBzZXIgcGVuc2FkYSBtZXJhbWVudGUgY29tbyBjcmlhw6fDo28gZGUgdmlkYS4KQW8gY3JpYXIgZXNzYSB2aWRhIGUgY29udGludWFyIGEgcGVzcXVpc8OhLWxhLApuw6NvIHBvZGVyw61hbW9zIHRhbWLDqW0gc2VyIGNhcGF6ZXMgZGUgc3VwbGVtZW50YXIgYXMgZmFsaGFzIG5hIHZpZGEgaHVtYW5hPw==,,W3swfV0KTGEgdMOpY25pY2EgZGVsIGhvbcO6bmN1bG8gbm8gZGViZXLDrWEgc2VyIHBlbnNhZGEgbWVyYW1lbnRlIGNvbW8gY3JlYWNpw7NuIGRlIHZpZGEuCkFsIGNyZWFyIGVzYSB2aWRhIHkgY29udGludWFyIGludmVzdGlnw6FuZG9sYSwKwr9ubyBwb2Ryw61hbW9zIHRhbWJpw6luIHNlciBjYXBhY2VzIGRlIHN1cGxpciBsYXMgZmFsbGFzIGVuIGxhIHZpZGEgaHVtYW5hPw==
