QAVdDQ,,RXVuaGE=,,,,,Q29zbW9z,,Q29zbW9z
kwVdDQ,,SHVpdW4sIG1ha2Ugc3VyZSB5b3UgZ28gZWFzeSBvbiB0aGVtLg==,,,,,SGVldW4sIGVpLCB2w6EgY29tIGNhbG1hLg==,,SGVldW4sIHRyw6F0YWxvIGNvbiBtb2RlcmFjacOzbi4=
lAVdDQ,,T3Igd291bGQgeW91IGxpa2UgdG8gc2VlIHRoZSBzY2VuZXJ5IG91dHNpZGUgdG9vPw==,,,,,T3UgcHJlZmVyZSB2ZXIgYSBwYWlzYWdlbSBsw6EgZm9yYSB0YW1iw6ltPw==,,wr9PIHTDuiB0YW1iacOpbiBxdWllcmVzIHZlciBlbCBwYWlzYWplIGRlIGZ1ZXJhPw==
lQVdDQ,,Tm8/IEFsbCByaWdodC4gVGVsbCBtZSBhbnl0aW1lIGlmIHlvdSBjaGFuZ2UgeW91ciBtaW5kLg==,,,,,TsOjbz8gQ2VydG8uIFNlIG11ZGFyIGRlIGlkZWlhLCBiYXN0YSBtZSBkaXplci4=,,wr9Obz8gQmllbi4gU2kgY2FtYmlhcyBkZSBvcGluacOzbiwgZMOtbWVsbyBjdWFuZG8gcXVpZXJhcy4=
lgVdDQ,,VGFrZSBjYXJlLCBhbGwgcmlnaHQ/,,,,,VG9tZSBjdWlkYWRvLCBlc3TDoSBiZW0/,,Q3XDrWRhdGUsIMK/c8OtPw==
lwVdDQ,,SSBtaXNzIG15IHBvbmQgZnJpZW5kcyB0b28u,,,,,VGFtYsOpbSBzaW50byBzYXVkYWRlIGRvcyBtZXVzIGFtaWdvcyBkbyBsYWdvLg==,,VGFtYmnDqW4gZWNoYXLDqSBkZSBtZW5vcyBhIG1pcyBhbWlnb3MgZGVsIGVzdGFucXVlLg==
mAVdDQ,,SSdsbCBwcm9iYWJseSBjb21lIGJ5IGFuZCB2aXNpdCBzb21ldGltZXMsIHJpZ2h0Pw==,,,,,Vm91IHZvbHRhciBwYXJhIGJyaW5jYXIgZGUgdmV6IGVtIHF1YW5kbywgbsOjbyB2b3U/,,VmVuZHLDqSBhIGp1Z2FyIGRlIHZleiBlbiBjdWFuZG8sIMK/bm8/
mQVdDQ,,VGhpcyByZW1pbmRzIG1lIG9mIHdoZW4gSSBzb2xkIHRoaXMu,,,,,TGVtYnJvIGRlIHF1YW5kbyB2ZW5kaSBpc3RvLg==,,UmVjdWVyZG8gY3VhbmRvIGNvbXByw6kgZXN0by4=
mgVdDQ,,VGhhdCB3YXMgcmVhbGx5IGhhcmQu,,,,,RGV1IG11aXRvIHRyYWJhbGhvLg==,,RGlvIG11Y2hvIHRyYWJham8u
mwVdDQ,,Q3V0aWUhIEJlIGNhcmVmdWwh,,,,,Rm9mdXJhISBDdWlkYWRvIQ==,,wqFMaW5kdXJhISDCoUN1aWRhZG8h
nAVdDQ,,U3RpbGwsIGl0IHdhcyB3b3J0aCBpdC4=,,,,,TWVzbW8gYXNzaW0sIHZhbGV1IGEgcGVuYS4=,,UGVybyB2YWxpw7MgbGEgcGVuYS4=
nQVdDQ,,SXQga2VlcHMgdGhlIGh1bWlkaXR5IGp1c3QgcmlnaHQgdG9vLg==,,,,,QSB1bWlkYWRlIHRhbWLDqW0gc2UgbWFudMOpbSBiZW0u,,VGFtYmnDqW4gbWFudGllbmUgYmllbiBsYSBodW1lZGFkLg==
ngVdDQ,,TmV4dCB0aW1lIEkgY29tZSB2aXNpdCwgSSBzaG91bGQgYnJpbmcgYSBzdG9uZSB0byBwdXQgaGVyZS4=,,,,,RGEgcHLDs3hpbWEgdmV6IHF1ZSB2aWVyLCB2b3UgdHJhemVyIHVtYSBwZWRyYSBwYXJhIGNvbG9jYXIgYXF1aS4=,,TGEgcHLDs3hpbWEgdmV6IHF1ZSB2ZW5nYSBkZSB2aXNpdGEgdHJhZXLDqSB1bmEgcGllZHJhIHBhcmEgcG9uZXJsYSBhcXXDrS4=
nwVdDQ,,RG9kbywgSSByZWFsbHkgbWFuYWdlZCB0byBlbmR1cmUgdGhpcyBwbGFjZSBiZWNhdXNlIG9mIHlvdS4=,,,,,RG9kbywgZm9pIGdyYcOnYXMgYSB2b2PDqiBxdWUgZXUgYWd1ZW50ZWkgZmljYXIgYXF1aS4=,,RG9kbywgZ3JhY2lhcyBhIHRpIHB1ZGUgYWd1YW50YXIgZW4gZXN0ZSBsdWdhci4=
oAVdDQ,,WW91IHNob3dlZCBtZSBmbG93ZXJzIGluIHNwcmluZyBhbmQgc2hhcmVkIGZydWl0IHdpdGggbWUgaW4gc3VtbWVyLg==,,,,,TmEgcHJpbWF2ZXJhLCB2b2PDqiBtZSBtb3N0cm91IGZsb3Jlcy4gTm8gdmVyw6NvLCBkaXZpZGl1IGZydXRvcyBjb21pZ28u,,RW4gcHJpbWF2ZXJhIG1lIG1vc3RyYWJhcyBmbG9yZXMgeSBlbiB2ZXJhbm8gY29tcGFydMOtYXMgdHVzIGZydXRvcy4=
oQVdDQ,,WW91J3JlIGp1c3Qgc3VjaCBhIGN1dGllLg==,,,,,Vm9jw6ogw6kgdW1hIGZvZnVyYS4=,,RXJlcyB1bmEgYXV0w6ludGljYSBsaW5kdXJhLg==
ogVdDQ,,VGhhbmsgeW91IHNvIG11Y2ggZm9yIHNoYXJpbmcgeW91ciBwcmVjaW91cyBmcnVpdC4=,,,,,TXVpdG8gb2JyaWdhZG8gcG9yIGRpdmlkaXIgc2V1cyBwcmVjaW9zb3MgZnJ1dG9zIGNvbWlnby4=,,TXVjaGFzIGdyYWNpYXMgcG9yIGNvbXBhcnRpciB0dXMgdmFsaW9zb3MgZnJ1dG9zLg==
owVdDQ,,SSdsbCBjb21lIHZpc2l0IG9mdGVuLCBzbyBkb24ndCBiZSB0b28gc2FkLg==,,,,,Vm91IHZvbHRhciBkZSB2ZXogZW0gcXVhbmRvLCBuw6NvIGZpcXVlIHRyaXN0ZSBkZW1haXMu,,VmVuZHLDqSBkZSB2aXNpdGEgZGUgdmV6IGVuIGN1YW5kbywgYXPDrSBxdWUgbm8gdGUgcG9uZ2FzIGRlbWFzaWFkbyB0cmlzdGUu
pAVdDQ,,VGFrZSBjYXJlLiBTdGF5IGhlYWx0aHksIGFsbCByaWdodD8=,,,,,RmlxdWUgYmVtLiBDb20gc2HDumRlLiBFbnRlbmRldT8=,,Q3XDrWRhdGUgbXVjaG8uIMK/U8OtPw==
pQVdDQ,,SXMgdGhlIHNwYXJyaW5nIGhhcmQ/IFNob3VsZCBJIGhlbHAgYSBsaXR0bGU/IEp1c3QgZG9uJ3Qgc2F5IEkgaGVscGVkIHlvdS4=,,,,,TyBkdWVsbyBlc3TDoSBkaWbDrWNpbD8gUXVlciBxdWUgZXUgYWp1ZGUgdW0gcG91Y28/IFPDsyBuw6NvIGRpZ2EgcXVlIGZ1aSBldSBxdWUgYWp1ZGVpLg==,,wr9UZSBjdWVzdGEgZWwgY29tYmF0ZT8gwr9UZSBheXVkbyB1biBwb2NvPyBQZXJvIG5vIGRpZ2FzIHF1ZSB0ZSBheXVkw6ku
pgVdDQ,,T2ggZGVhciwgeW91ciBmZWV0IGFscmVhZHkgbG9vayBoZWF2eS4gSSdsbCBoZWxwIHlvdSBhIGxpdHRsZS4=,,,,,UHV4YSwgc2V1cyBww6lzIGrDoSBwYXJlY2VtIHBlc2Fkb3MuIFZvdSBhanVkYXIgdW0gcG91Y28u,,VmF5YSwgcGFyZWNlIHF1ZSB5YSB0ZSBwZXNhbiBsb3MgcGllcy4gVGUgYXl1ZGFyw6kgdW4gcG9jby4=
pwVdDQ,,SXQncyBoYXJkLCByaWdodD8gSSdsbCBzaGFyZSBzb21lIGVuZXJneSB3aXRoIHlvdS4=,,,,,RXN0w6EgZGlmw61jaWwsIG7Do28gw6k/IFZvdSBjb21wYXJ0aWxoYXIgdW0gcG91Y28gZGUgZW5lcmdpYSBjb20gdm9jw6ou,,wr9FcyBkdXJvLCB2ZXJkYWQ/IFRlIGNvbXBhcnRpcsOpIHVuIHBvY28gZGUgZW5lcmfDrWEu
