wHguAg,,Tm95ZWU=,,,,,Tm95ZWU=,,Tm95ZWU=
AHkuAg,,W0hhbGxhbmRhdXRlXQpBaC4uLgpZb3UgY2FtZSBiYWNrLgpBbHJpZ2h0LCBsZXQgbWUgZ2l2ZSB5b3UgdGhlIGdpc3Qgb2Ygd2hhdCBJJ20gcmVzZWFyY2hpbmcu,,,,,W0hhbGxhbmRhdXRlXQpBaC4uLgpWb2PDqiB2b2x0b3UuCi4uLkRlaXhlLW1lIGxoZSBmYWxhciB1bSBwb3VjbyBkbyBxdWUgZXUgdMO0IHBlc3F1aXNhbmRvIGFnb3JhLg==,,W0hhbGxhbmRhdXRlXQpBaC4uLgpSZWdyZXNhc3RlLgpNdXkgYmllbiwgZMOpamFtZSBkYXJ0ZSBlbCByZXN1bWVuIGRlIGxvIHF1ZSBlc3RveSBpbnZlc3RpZ2FuZG8u
AXkuAg,,W0hhbGxhbmRhdXRlXQpJJ20gdHJ5aW5nIHRvIGxlYXJuIG1vcmUgYWJvdXQgdGhlICdeRkYwMDAwV2hlZWwgb2YgdGhlIFVua25vd25eMDAwMDAwLCcgd2hpY2ggd2FzIGRpc2NvdmVyZWQgdG8gYmUgYSBwaWVjZSBvZiB0aGUgYXJ0aWZhY3Qga25vd24gYXMgXkZGMDAwMFNsZWlwbmlyXjAwMDAwMC4=,,,,,W0hhbGxhbmRhdXRlXQpFdSB0w7QgcGVzcXVpc2FuZG8gYSAnXkZGMDAwMFJvZGEgRGVzY29uaGVjaWRhXjAwMDAwMCcsIHF1ZSBmb2kgZGVzY29iZXJ0YSBjb21vIHVtYSBwZcOnYSBkZSAnXkZGMDAwMFNsZWlwbmlyXjAwMDAwMCcu,,W0hhbGxhbmRhdXRlXQpFc3RveSBpbnRlbnRhbmRvIGF2ZXJpZ3VhciBtw6FzIHNvYnJlIGxhIF5GRjAwMDBSdWVkYSBkZSBsbyBkZXNjb25vY2lkb14wMDAwMDAsIHF1ZSBzZSBkZXNjdWJyacOzIHF1ZSBlcmEgdW5hIHBpZXphIGRlbCBhcnRlZmFjdG8gY29ub2NpZG8gY29tbyBeRkYwMDAwU2xlaXBuaXJeMDAwMDAwLg==
AnkuAg,,W0hhbGxhbmRhdXRlXQpJdCBsb29rcyBsaWtlCmEgbm9ybWFsIGNvZ3doZWVsLi4uCkJ1dCBJIGNhbid0IGZpZ3VyZSBvdXQgaG93IGl0J3Mgc3VwcG9zZWQgdG8gd29yay4=,,,,,W0hhbGxhbmRhdXRlXQpQYXJlY2UgYXBlbmFzIHVtYSByb2RhIGRlbnRhZGEgY29tdW0sIG1hcyBldSBuw6NvIGNvbnNpZ28gZW50ZW5kZXIgY29tbyBlbGEgZnVuY2lvbmEu,,W0hhbGxhbmRhdXRlXQpTZSB2ZSBjb21vCnVuYSBydWVkYSBkZW50YWRhIGNvbcO6biB5IGNvcnJpZW50ZS4uLgpQZXJvIG5vIGxvZ3JvIGVudGVuZGVyIGPDs21vIHNlIHN1cG9uZSBxdWUgZnVuY2lvbmEu
A3kuAg,,W0hhbGxhbmRhdXRlXQpUaGUgbW9zdCBwZWN1bGlhciB0aGluZyBvZiBhbGwgYWJvdXQgdGhpcyBjb2d3aGVlbCBpcyB0aGUgbWV0YWwKb2Ygd2hpY2ggaXQgaXMgY29tcG9zZWQu,,,,,W0hhbGxhbmRhdXRlXQpBIGNvaXNhIG1haXMgZXN0cmFuaGEgc29icmUgZXNzYSByb2RhIGRlbnRhZGEgw6kgbyBzZXUgbWF0ZXJpYWwu,,W0hhbGxhbmRhdXRlXQpMbyBtw6FzIHBlY3VsaWFyIGRlIGVzdGEgcnVlZGEgZGVudGFkYSBlcyBlbCBtZXRhbApkZWwgcXVlIGVzdMOhIGNvbXB1ZXN0YS4=
BHkuAg,,W0hhbGxhbmRhdXRlXQpJdCBsb29rcyBhbmQgZmVlbHMgbGlrZSBzdGVlbCxidXQgZXh0cmVtZSBoZWF0IGFuZCBjb2xkIGRvbid0IGFmZmVjdCBpdC4gSXQgYWxzbyBjYW5ub3QgYmUgZGVudGVkIGJ5IGFueSBraW5kIG9mIGltcGFjdCBvciBmb3JjZSBJIGNhbiBhcHBseSB0byBpdC4=,,,,,W0hhbGxhbmRhdXRlXQpQYXJlY2UgZmVpdGEgZGUgYcOnbywgbWFzIG7Do28gaW1wb3J0YXZhIG8gcXVhbnRvIGV1IGEgYXF1ZWNpYSwgZWxhIG7Do28gYXByZXNlbnRvdSByZXNwb3N0YSBhbyBjYWxvci4KQSBtZXNtYSBjb2lzYSBhY29udGVjZXUgcXVhbmRvIHRlbnRlaSByZXNmcmnDoS1sYS4=,,W0hhbGxhbmRhdXRlXQpTZSB2ZSB5IHNlIHNpZW50ZSBjb21vIGFjZXJvLCBwZXJvIG5vIGxvIGFmZWN0YW4gbmkgZWwgY2Fsb3IgbmkgZWwgZnLDrW8gZXh0cmVtb3MuIFRhbXBvY28gc2UgYWJvbGxhIGFudGUgbmluZ8O6biB0aXBvIGRlIGltcGFjdG8gbyBmdWVyemEgcXVlIGxlIGFwbGlxdWVuLg==
BXkuAg,,W0hhbGxhbmRhdXRlXQpTb21ldGltZXMsIEkgZmluZCB0aGF0IHRoZSBXaGVlbCBvZiB0aGUgVW5rbm93biByZXNvbmF0ZXMgd2l0aCBjZXJ0YWluIG9iamVjdHMsIGJ1dCBJIGhhdmVuJ3QgZ290IGl0IHRvIG9jY3VyIGFsbCBvZiB0aGUgdGltZS4=,,,,,W0hhbGxhbmRhdXRlXQpBbMOpbSBkaXNzbywgZWxhIG7Do28gcmVzcG9uZGUgYSBuZW5odW0gdGlwbyBkZSBpbXBhY3RvLgpOw6NvIGltcG9ydGEgbyBxdWFudG8gZXUgYmF0aWEgbmVsYSBvdSBhIGRlaXhhdmEgY2FpciwKZWxhIHNlIG1hbnRpbmhhIGludGFjdGEu,,W0hhbGxhbmRhdXRlXQpBIHZlY2VzLCBsYSBSdWVkYSBkZSBsbyBkZXNjb25vY2lkbyByZXN1ZW5hIGNvbiBjaWVydG9zIG9iamV0b3MsIHBlcm8gbm8gaGUgY29uc2VndWlkbyBxdWUgb2N1cnJhIHNpZW1wcmUu
BnkuAg,,W0hhbGxhbmRhdXRlXQpJJ20gZ3Vlc3NpbmcgdGhhdCBJJ20gbWlzc2luZyBzb21lIHNvcnQgb2Ygc3BlY2lhbCBjb25kaXRpb24gdGhhdCB3aWxsIG1ha2UgdGhlIFdoZWVsIG9mIHRoZSBVbmtub3duIHJlc29uYXRlIHdpdGggc3BlY2lmaWMgbWF0ZXJpYWxzLg==,,,,,W0hhbGxhbmRhdXRlXQpNYXMgZGVzY29icmkgcXVlIGVzc2EgY29pc2EgcGFyZWNlIHJlc3NvYXIgY29tCmNlcnRvcyBvYmpldG9zLgpQb3LDqW0sIHBhcmVjZSBxdWUgaXNzbyBuw6NvIGZ1bmNpb25hIHNlbXByZSBkbyBtZXNtbyBqZWl0by4=,,W0hhbGxhbmRhdXRlXQpTdXBvbmdvIHF1ZSBtZSBmYWx0YSBhbGfDum4gdGlwbyBkZSBjb25kaWNpw7NuIGVzcGVjaWFsIHF1ZSBoYWdhIHF1ZSBsYSBSdWVkYSBkZSBsbyBkZXNjb25vY2lkbyByZXN1ZW5lIGNvbiBtYXRlcmlhbGVzIGVzcGVjw61maWNvcy4=
B3kuAg,,W0hhbGxhbmRhdXRlXQpBbnl3YXksIEkgdGhhbmsgeW91IGZvciBoZWxwaW5nIG1lIG91dCBlYXJsaWVyLiBUaGF0J3MgYmFzaWNhbGx5IGFsbCBJIG5lZWRlZCwgc28gcGxlYXNlIHRhbGsgdG8gdGhlIG90aGVyIHJlc2VhcmNoZXJzIGFuZCBzZWUgaWYgdGhleSBuZWVkIGFueSBhc3Npc3RhbmNlLg==,,,,,W0hhbGxhbmRhdXRlXQpWYW1vcyBkaXplciwgcXVlIGVsYSBlcmEgcmVzc29uYW50ZSBjb20gbyBvYmpldG8gJ0EnLCBtYXMsIHF1YW5kbyBldSB0ZW50YXZhIGRlIG5vdm8sIHBhcmVjaWEgbsOjbyBmdW5jaW9uYXIgY29tICdBJy4KU2VndXJhbWVudGUsIHRlbSBkZSBoYXZlciBhbGd1bSB0aXBvIGRlIGNvbmRpw6fDo28gYSBzZXIgcmVzcGVpdGFkYSBwYXJhIHF1ZSBlbGEgc2VqYSByZXNzb25hbnRlLi4uCkhtbSBobW1tLi4u,,W0hhbGxhbmRhdXRlXQpEZSB0b2RvcyBtb2RvcywgdGUgYWdyYWRlemNvIHBvciBheXVkYXJtZSBhbnRlcy4gRXNvIGVzIGLDoXNpY2FtZW50ZSB0b2RvIGxvIHF1ZSBuZWNlc2l0YWJhLCBhc8OtIHF1ZSBoYWJsYSBjb24gbG9zIG90cm9zIGludmVzdGlnYWRvcmVzIHBhcmEgdmVyIHNpIG5lY2VzaXRhbiBheXVkYS4=
CHkuAg,,W0hhbGxhbmRhdXRlXQpPaCwgc29ycnkuCkknbSBxdWl0ZSBidXN5IGNvbXBpbGluZyBhbGwgb2YgdGhpcyBpbmZvcm1hdGlvbiBhdCB0aGUgbW9tZW50Lg==,,,,,W0hhbGxhbmRhdXRlXQpBaC4uLi4KUGXDp28gZGVzY3VscGFzIHBvciBmYWxhciBjb2lzYXMgcXVlIG7Do28gc8OjbyBpbXBvcnRhbnRlcy4KUG9yIGZhdm9yLCBlc3F1ZcOnYSBvIHF1ZSBldSBkaXNzZS4KT2JyaWdhZGEgcG9yIHN1YSBhanVkYSwgZGUgcXVhbHF1ZXIgamVpdG8uCk91dHJvcyBwZXNxdWlzYWRvcmVzIHBvZGVtIHByZWNpc2FyIGRhIHN1YSBhanVkYSB0YW1iw6ltLgpIbW1tLi4u,,W0hhbGxhbmRhdXRlXQpBaCwgbG8gc2llbnRvLgpFbiBlc3RvcyBtb21lbnRvcyBlc3RveSBiYXN0YW50ZSBvY3VwYWRvIHJlY29waWxhbmRvIHRvZGEgZXN0YSBpbmZvcm1hY2nDs24u
CXkuAg,,W0hhbGxhbmRhdXRlXQpMZXQncyBzZWUuLi4KTm93IGhvdyB3b3VsZCBJLi4uCl4zMzMzMzMqTXVtYmxlIG11bWJsZSpeMDAwMDAw,,,,,W0hhbGxhbmRhdXRlXQpQb3IgZmF2b3IsIG1lIGTDqiB1bSBtaW51dG8uClRlbmhvIGRlIG9yZ2FuaXphciB1bWFzIGNvaXNhcwpVbW1tLi4uLgpQb3IgaXNzby4uLgotIGUgbXVybXVyYSBhbGd1bWEgY29pc2Eu,,W0hhbGxhbmRhdXRlXQpWZWFtb3MuLi4KRW50b25jZXMsIMK/Y8OzbW8gcG9kcsOtYS4uLj8KXjMzMzMzMypNdW1ibGUgbXVtYmxlKl4wMDAwMDA=
CnkuAg,,W0hhbGxhbmRhdXRlXQpIbW1tLi4uCkhvdyBkb2VzIHRoaXMgd29yaz8KVGhlcmUncyBzdGlsbCB0b28gbXVjaCB3ZSBkb24ndCBrbm93IGFib3V0IHRoZSBnb2RseSBhcnRpZmFjdHMuIF4zMzMzMzMqU2lnaCpeMDAwMDAw,,,,,W0hhbGxhbmRhdXRlXQpIbW1tLi4uClBvciBpc3NvLi4uCmZ1bmNpb25hIGRlc3NlIGplaXRvLi4uClVtbS4uLi4gaXNzbyDDqS4uLgpBaCBiZW0sIHNlcmlhIG1lbGhvciBzZSBlc3RpdmVzc2UgZW0gYm9hIGZvcm1hLi4uCmFmZi4uLg==,,W0hhbGxhbmRhdXRlXQpNbW1tLi4uCsK/Q8OzbW8gZnVuY2lvbmE/CkhheSBtdWNobyBxdWUgdG9kYXbDrWEgbm8gc2FiZW1vcyBzb2JyZSBsb3MgYXJ0ZWZhY3RvcyBkaXZpbm9zLiBeMzMzMzMzKlN1c3BpcmEqXjAwMDAwMA==
C3kuAg,,W0hhbGxhbmRhdXRlXQpJdCdzIG5vdCBlYXN5LCB3b3JraW5nIG9uIHRoaXMgYWxvbmUuIEhhdmluZyBhbiBleHRyYSBwYWlyIG9mIGhhbmRzIGlzIGFsd2F5cyBnb29kLg==,,,,,W0hhbGxhbmRhdXRlXQpVbW1tLi4uLgpFbnTDo28gc2Vyw6EuLi4uLi4KQmFoISBOw6NvIMOpIGbDoWNpbCB0cmFiYWxoYXIgbmlzc28gc296aW5obyEKw4kgc2VtcHJlIGJvbSB0ZXIgdW0gYXNzaXN0ZW50ZS4=,,W0hhbGxhbmRhdXRlXQpObyBlcyBmw6FjaWwgdHJhYmFqYXIgZW4gZXN0byBzb2xvLiBVbiBwYXIgZGUgbWFub3MgZXh0cmEgc2llbXByZSBlcyBkZSBheXVkYS4=
DHkuAg,,W0hhbGxhbmRhdXRlXQpSaWdodCBub3csIEkganVzdCBuZWVkIHNvbWVvbmUgd2l0aCB3aG9tIEkgY2FuIHNoYXJlIHRoZSB3b3JrbG9hZC4gU3RpbGwsIGRpZmZlcmVudCBhc3Npc3RhbnRzIG1pZ2h0IGJlIGJldHRlciBkZXBlbmRpbmcgb24gdGhlIHByb2plY3Qu,,,,,W0hhbGxhbmRhdXRlXQpFdSBwb3NzbyBkaXZpZGlyIGEgY2FyZ2EgZGUgdHJhYmFsaG8gY29tIGVsZS4KRW50cmV0YW50bywgdGlwb3MgZGUgdHJhYmFsaG8gYWZldGFtIG8gdGlwbyBkZSBhc3Npc3RlbnRlIHF1ZSBldSBwcmVjaXNvLg==,,W0hhbGxhbmRhdXRlXQpFbiBlc3RlIG1vbWVudG8sIHNvbG8gbmVjZXNpdG8gYSBhbGd1aWVuIGNvbiBxdWllbiBjb21wYXJ0aXIgbGEgY2FyZ2EgZGUgdHJhYmFqby4gQXVuIGFzw60sIHNlZ8O6biBlbCBwcm95ZWN0bywgcHVlZGUgc2VyIG1lam9yIGNvbnRhciBjb24gZGlzdGludG9zIGFzaXN0ZW50ZXMu
DXkuAg,,W0hhbGxhbmRhdXRlXQpCYXNpY2FsbHksIGlmIGFuIGFzc2lzdGFudCBpcyBlc3BlY2lhbGx5IHRyYWluZWQgaW4gdGhlIGZpZWxkIHJlbGF0ZWQgdG8gbXkgY3VycmVudCByZXNlYXJjaCBwcm9qZWN0LCBoZSdsbCBwcm9iYWJseSBiZSBtb3JlIHVzZWZ1bCB0aGFuIHNvbWVvbmUgd2hvJ3Mgbm90Lg==,,,,,W0hhbGxhbmRhdXRlXQpQb3IgZXhlbXBsbywgc2UgZXN0aXZlciB0cmFiYWxoYW5kbyBudW0gcHJvamV0byBjaGFtYWRvICdBJywKZXUgdm91IHByZWNpc2FyIGRlIHVtIGFzc2lzdGVudGUgY2hhbWFkbyAnRycsIHF1ZSDDqSBlc3BlY2lhbGl6YWRvIG5lc3NlIHByb2pldG8uCk1hcywgc2UgZXN0aXZlciB0cmFiYWxoYW5kbyBudW0gcHJvamV0byBjaGFtYWRvICdCJywKZXUgdm91IHByZWNpc2FyIGRlIHVtIGFzc2lzdGVudGUgY2hhbWFkbyAnSCcsIHF1ZSDDqSBlc3BlY2lhbGl6YWRvIG5lc3NlIHByb2pldG8u,,W0hhbGxhbmRhdXRlXQpCw6FzaWNhbWVudGUsIHNpIHVuIGFzaXN0ZW50ZSBlc3TDoSBlc3BlY2lhbG1lbnRlIGZvcm1hZG8gZW4gZWwgY2FtcG8gZGUgaW52ZXN0aWdhY2nDs24gcmVsYWNpb25hZG8gY29uIG1pIHByb3llY3RvIGFjdHVhbCwgcHJvYmFibGVtZW50ZSBzZXLDoSBtw6FzIMO6dGlsIHF1ZSBhbGd1aWVuIHF1ZSBubyBsbyBlc3TDqS4=
DnkuAg,,W0hhbGxhbmRhdXRlXQpPZiBjb3Vyc2UsIHRoZXJlIGFyZSBwZW9wbGUgd2hvIGFyZSBnb29kIGF0IGV2ZXJ5dGhpbmcuIEJ1dCBzaW5jZSB0aG9zZSBhcmUgcmFyZSwgSSB0cnkgdG8gY2hvb3NlIGp1c3QgdGhlIHJpZ2h0IGFzc2lzdGFudCBmb3IgZWFjaCBvZiBteSBwcm9qZWN0cy4=,,,,,W0hhbGxhbmRhdXRlXQpDbGFybywgcG9kZW0gZXhpc3RpciBwZXNzb2FzIHF1ZSBzw6NvIGJvYXMgZW0gcXVhbHF1ZXIgY29pc2EuCk1hcywgY29tbyBlbGFzIHPDo28gZGlmw61jZWlzIGRlIGFjaGFyLCBkZXZlbW9zIGVzY29saGVyIGEgcGVzc29hIGNlcnRhIHBhcmEgY2FkYSBwcm9qZXRvLg==,,W0hhbGxhbmRhdXRlXQpQb3Igc3VwdWVzdG8sIGhheSBnZW50ZSBxdWUgZXMgYnVlbmEgZW4gdG9kby4gUGVybyBjb21vIGVzbyBubyBlcyBtdXkgY29tw7puLCBpbnRlbnRvIGVsZWdpciBhbCBheXVkYW50ZSBhZGVjdWFkbyBwYXJhIGNhZGEgdW5vIGRlIG1pcyBwcm95ZWN0b3Mu
D3kuAg,,W0FhZGluXQpeMzMzMzMzKllhd25+Kl4wMDAwMDAKSG1tbW1tPwpBaC4uLg==,,,,,W0FhZGluXQoqYm9jZWpvKgpIw6M/CkhtbW0uLi4u,,W0FhZGluXQpeMzMzMzMzKkJvc3Rlem8qXjAwMDAwMArCv01tbW1tbT8KQWguLi4=
EHkuAg,,W0FhZGluXQpOaWNlIHRvIG1lZXQgeW91LgpZb3UncmUgdGhlIHRlbXBvcmFyeSBhc3Npc3RhbnQsIHJpZ2h0PyBUaGF0J3MgZ3JlYXQsIGFsbCBvZiB1cyBhcmUgaGF2aW5nIGEgaGFyZCB0aW1lIHdvcmtpbmcKd2l0aG91dCBtdWNoIGhlbHAu,,,,,W0FhZGluXQpQcmF6ZXIgZW0gY29uaGVjw6otbG8u,,W0FhZGluXQpRdcOpIGJ1ZW5vIGNvbm9jZXJ0ZS4KVmllbmVzIGNvbW8gYXNpc3RlbnRlIHRlbXBvcmFsLCDCv3ZlcmRhZD8gRXNvIGVzIGdlbmlhbC4gU2Ugbm9zIGVzdMOhIGRpZmljdWx0YW5kbyBhIHRvZG9zIHRyYWJhamFyCmNvbiB0YW4gcG9jYSBheXVkYS4=
EXkuAg,,W0FhZGluXQpPa2F5Li4uCkxldCBtZSBleHBsYWluCnRvIHlvdSB0aGUgcHJvamVjdAp0aGF0IEknbSB3b3JraW5nIG9uLg==,,,,,W0FhZGluXQpUw6EgYm9tLi4uCkRlaXhhIGV1IGxoZSBleHBsaWNhciBvIHF1ZSB0w7QgZmF6ZW5kbyBubyBtb21lbnRvLg==,,W0FhZGluXQpEZSBhY3VlcmRvLi4uClRlIGV4cGxpY2Fyw6kKZWwgcHJveWVjdG8KZW4gZWwgcXVlIGVzdG95IHRyYWJhamFuZG8u
EnkuAg,,W0FhZGluXQpJJ20gdHJ5aW5nIHRvIGZpbmQgb3V0IGV2ZXJ5dGhpbmcgSSBjYW4gYWJvdXQgdGhlICdeRkYwMDAwRmVhdGhlciBvZiBBbmdlbCBXaW5nXjAwMDAwMC4nIFN1cHBvc2VkbHksIGl0J3Mgb25lIG9mCnRoZSBwYXJ0cyBvZiAnU2xlaXBuaXIuJw==,,,,,W0FhZGluXQpFdSB0w7QgZXN0dWRhbmRvICdQZW5hIGRlIEFzYSBBbmdlbGljYWwnLCBxdWUgw6kgCnVtIGRvcyBtYXRlcmlhaXMgZGUgJ1NsZWlwbmlyJy4=,,W0FhZGluXQpJbnRlbnRvIGF2ZXJpZ3VhciB0b2RvIGxvIHF1ZSBwdWVkYSBzb2JyZSBsYSBeRkYwMDAwUGx1bWEgZGUgw6FuZ2VsIGFsYWRvXjAwMDAwMC4gU3VwdWVzdGFtZW50ZSwgZXMgdW5hIGRlCmxhcyBwaWV6YXMgZGUgU2xlaXBuaXIu
E3kuAg,,W0FhZGluXQpSaWdodCBub3csIEknbQpmb2N1c2luZyBvbiBzdHVkeWluZwp0aGUgYmFja2dyb3VuZCBzdG9yeSBvZiB0aGlzIGZlYXRoZXIsIGFzIHdlbGwgYXMgaG93IGl0IGNhbWUKdG8gYmUgYSBtYXRlcmlhbCBmb3IgYSBnb2RseSBhcnRpZmFjdC4=,,,,,W0FhZGluXQpTb2JyZXR1ZG8sIGV1IHTDtCBmb2NhZG8gbmEgaGlzdMOzcmlhIHBvciB0csOhcwpkZXNzYSBwZW5hLCBwb3IgZXhlbXBsbywgY29tbyBlbGEgc2UgdG9ybm91IG1hdGVyaWFsIGRlICdTbGVpcG5pcicu,,W0FhZGluXQpFbiBlc3RlIG1vbWVudG8sIG1lCmVzdG95IGNlbnRyYW5kbyBlbiBlc3R1ZGlhcgpsYSBoaXN0b3JpYSBkZSBmb25kbyBkZSBlc3RhIHBsdW1hLCBhc8OtIGNvbW8gdGFtYmnDqW4KY8OzbW8gcGFzw7MgYSBzZXIgdW4gbWF0ZXJpYWwgcGFyYSBlc3RlIGFydGVmYWN0byBkaXZpbm8u
FHkuAg,,W0FhZGluXQpJIHdhcyByZWNlbnRseSB0b2xkIHRoYXQgdGhlcmUgaXMgYSBwZXJzb24gaW4gUGF5b24gd2hvIGFjdHVhbGx5IGtub3dzIHRoaXMgc3RvcnkuIFZlcnkgZmV3IHBlb3BsZSBpbiB0aGUgd29ybGQgYXJlIHByaXZ5IHRvIGhhdmluZyBzdWNoIGtub3dsZWRnZS4=,,,,,W0FhZGluXQpPdXZpIGRpemVyIHF1ZSB0ZW0gdW1hIHBlc3NvYSBlbSAnUGF5b24nCnF1ZSBzYWJlIHNvYnJlIGVzc2EgaGlzdMOzcmlhLgpFbnTDo28sIGV1IHRlbnRlaSBlbnZpYXIgYWxndcOpbSBhdMOpIGEgdmlsYSBwYXJhCnJlY29saGVyIGluZm9ybWHDp8O1ZXMgc29icmUgZXNzYSBwZXNzb2EuLi4u,,W0FhZGluXQpIYWNlIHBvY28gbWUgZGlqZXJvbiBxdWUgaGF5IHVuYSBwZXJzb25hIGVuIFBheW9uIHF1ZSBjb25vY2UgZXNhIGhpc3RvcmlhLiBNdXkgcG9jYXMgcGVyc29uYXMgZW4gZWwgbXVuZG8gdGllbmVuIHRhbGVzIGNvbm9jaW1pZW50b3Mu
FXkuAg,,W0FhZGluXQpOb3csIHdlIGRvbid0IGhhdmUgZW5vdWdoCnN0YWZmIGZvciBtZSB0byBzZW5kIHNvbWVvbmUgdG8gUGF5b24uIEFsc28sIEkgZG9uJ3QgZmVlbCBzYWZlIHRha2luZyB0aGlzIGZlYXRoZXIgYXJvdW5kIHdpdGggbWUu,,,,,W0FhZGluXQpNYXMgYSBzaXR1YcOnw6NvIG1lIGltcGVkZSBkZSB1c2FyIHF1YWxxdWVyIGZvcsOnYSBkZSB0cmFiYWxobyBubyBsYWJvcmF0w7NyaW8uLi4KZW50w6NvLCBldSB0ZW5obyBwb25kZXJhZG8gc29icmUgaXIgbMOhIGV1IG1lc21vIG91IG7Do28uClBvcnF1ZSBldSBuw6NvIG1lIHNpbnRvIHNlZ3VybyBkZSBkZWl4YXIgZXNzYSBzYWxhIGRlIGVzdHVkb3MgY29tIGVzc2EgcGVuYSBkZXNwcm90ZWdpZGE=,,W0FhZGluXQpObyB0ZW5lbW9zIHN1ZmljaWVudGUKcGVyc29uYWwgcGFyYSBlbnZpYXIgYSBhbGd1aWVuIGEgUGF5b24uIEFkZW3DoXMsIG5vIG1lIGRhIHNlZ3VyaWRhZCBsbGV2YXIgZXN0YSBwbHVtYSBjb25taWdvLg==
FnkuAg,,W0FhZGluXQpJdCBzaG91bGRuJ3QgYmUgdGhhdCBkaWZmaWN1bHQgdG8gZmluZCB0aGUgcGVyc29uIHdobyBrbm93cyBhYm91dCBTbGVpcG5pcidzIG9yaWdpbi4gSG93ZXZlciwgeW91IG11c3QgbWVtb3JpemUgZXZlcnkgc2luZ2xlCndvcmQgb2YgdGhlIHN0b3J5Lg==,,,,,W0FhZGluXQpOw6NvIGRldmVyaWEgc2VyIHTDo28gZGlmw61jaWwgZW5jb250cmFyIHVtYSBwZXNzb2EgcXVlIHNhYmUgc29icmUgYSBvcmlnZW0gU2xlaXBuaXIuIEVudHJldGFudG8sIHZvY8OqIGRldmVyw6EgbWVtb3JpemFyIHR1ZG8KVG9kYXMgYXMgcGFsYXZyYXMgZGVzc2EgbWFnbsOtZmljYSBoaXN0w7NyaWEu,,W0FhZGluXQpObyBkZWJlcsOtYSBzZXIgbXV5IGRpZsOtY2lsIGVuY29udHJhciBhIGxhIHBlcnNvbmEgcXVlIGNvbm9jZSBlbCBvcmlnZW4gZGUgU2xlaXBuaXIuIFNpbiBlbWJhcmdvLCBkZWJlcyBtZW1vcml6YXIgY2FkYQpwYWxhYnJhIGRlIGxhIGhpc3RvcmlhLg==
F3kuAg,,W0FhZGluXQpUaGUgcmVzdWx0cyBvZiB0aGlzIHJlc2VhcmNoIGNvdWxkIGJlIGFmZmVjdGVkIGJ5IHRoZSB3b3JkcyB5b3UgZGVsaXZlciB0byBtZS4=,,,,,W0FhZGluXQpPcyByZXN1bHRhZG9zIGRlc3NhIHBlc3F1aXNhIHBvZGVtIGFsdGVyYXIgbyBjdXJzbyBkZSBub3NzYSBoaXN0w7NyaWEu,,W0FhZGluXQpMb3MgcmVzdWx0YWRvcyBkZSBlc3RhIGludmVzdGlnYWNpw7NuIHBvZHLDrWFuIHZlcnNlIGFmZWN0YWRvcyBwb3IgbGFzIHBhbGFicmFzIHF1ZSBtZSBkaWdhcy4=
GHkuAg,,W0FhZGluXQpUaGFuayB5b3UgZm9yIHRoZSB0cm91YmxlLgpUaGVyZSdzIG5vIHJlYWwgdGltZSBsaW1pdCBmb3IgdGhpcyB0YXNrLCBidXQgdGhlIHNvb25lciB5b3UgY29tcGxldGUgaXQsIHRoZSBiZXR0ZXIu,,,,,W0FhZGluXQpBbnRlcyBkZSB0dWRvLCBtdWl0byBvYnJpZ2Fkby4KTsOjbyBow6EgbGltaXRlIGRlIHRlbXBvIHBhcmEgaXNzbywgbWFzIHF1YW50byBtYWlzIHLDoXBpZG8gbWVsaG9yLi4u,,W0FhZGluXQpHcmFjaWFzIHBvciBsYXMgbW9sZXN0aWFzLgpObyBoYXkgdW4gbMOtbWl0ZSBkZSB0aWVtcG8gcmVhbCBwYXJhIGVzdGEgdGFyZWEsIHBlcm8gY3VhbnRvIGFudGVzIGxhIGNvbXBsZXRlcywgbWVqb3Iu
GXkuAg,,W0FhZGluXQpIYXZlIGEgc2FmZSB0cmlwfg==,,,,,W0FhZGluXQpGYcOnYSB1bWEgYm9hIHZpYWdlbX4=,,W0FhZGluXQpCdWVuIHZpYWplLg==
GnkuAg,,W0FhZGluXQpNbW0uLi4/CllvdSBoYXZlbid0IGxlZnQgZm9yIFBheW9uIHlldCB0byBmaW5kIHRoZSBtYW4gd2hvIGtub3dzIG9mIFNsZWlwbmlyJ3Mgb3JpZ2luPw==,,,,,W0FhZGluXQpNbW0uLi4/ClZvY8OqIGFpbmRhIG7Do28gZm9pIGEgUGF5b24gZW5jb250cmFyIGEgcGVzc29hIHF1ZSBjb25oZWNlIHRvZGEgYSBoaXN0w7NyaWE/,,W0FhZGluXQrCv01tbS4uLj8Kwr9Ub2RhdsOtYSBubyB0ZSBmdWlzdGUgYSBQYXlvbiBwYXJhIGVuY29udHJhciBhbCBob21icmUgcXVlIGNvbm9jZSBlbCBvcmlnZW4gZGUgU2xlaXBuaXI/
